,friendica/friendica,diaspora/diaspora,mastodon/mastodon
2020-03-20,5,71,0
2020-03-21,10,2,6
2020-03-22,18,0,2
2020-03-23,8,0,0
2020-03-24,3,0,0
2020-03-25,12,0,4
2020-03-26,3,0,2
2020-03-27,0,0,1
2020-03-28,9,2,1
2020-03-29,14,0,0
2020-03-30,7,0,1
2020-03-31,2,0,6
2020-04-01,15,0,0
2020-04-02,1,0,4
2020-04-03,2,0,1
2020-04-04,9,0,4
2020-04-05,16,0,8
2020-04-06,2,0,3
2020-04-07,0,0,1
2020-04-08,0,0,0
2020-04-09,0,0,0
2020-04-10,0,0,1
2020-04-11,0,0,0
2020-04-12,0,0,4
2020-04-13,4,0,1
2020-04-14,5,0,0
2020-04-15,19,0,3
2020-04-16,3,0,3
2020-04-17,6,0,3
2020-04-18,7,0,2
2020-04-19,5,0,1
2020-04-20,7,0,1
2020-04-21,4,0,1
2020-04-22,3,0,0
2020-04-23,5,0,2
2020-04-24,19,0,0
2020-04-25,8,0,3
2020-04-26,17,0,1
2020-04-27,7,0,3
2020-04-28,23,0,7
2020-04-29,7,0,0
2020-04-30,3,0,1
2020-05-01,14,0,2
2020-05-02,10,0,0
2020-05-03,3,0,4
2020-05-04,11,0,2
2020-05-05,29,0,0
2020-05-06,18,0,0
2020-05-07,12,0,0
2020-05-08,6,0,5
2020-05-09,16,0,2
2020-05-10,8,0,12
2020-05-11,8,0,0
2020-05-12,4,0,5
2020-05-13,4,0,3
2020-05-14,10,0,5
2020-05-15,28,0,5
2020-05-16,20,0,0
2020-05-17,17,0,1
2020-05-18,15,0,0
2020-05-19,6,0,0
2020-05-20,5,0,0
2020-05-21,6,0,0
2020-05-22,9,0,0
2020-05-23,0,0,3
2020-05-24,4,0,1
2020-05-25,0,0,1
2020-05-26,6,0,0
2020-05-27,18,0,0
2020-05-28,5,0,1
2020-05-29,8,0,2
2020-05-30,4,0,0
2020-05-31,3,0,3
2020-06-01,3,0,1
2020-06-02,3,0,3
2020-06-03,12,0,6
2020-06-04,7,0,1
2020-06-05,8,0,3
2020-06-06,13,0,2
2020-06-07,14,0,0
2020-06-08,10,0,4
2020-06-09,13,0,8
2020-06-10,17,0,3
2020-06-11,2,1,0
2020-06-12,5,0,0
2020-06-13,3,6,0
2020-06-14,10,8,2
2020-06-15,9,0,1
2020-06-16,7,0,0
2020-06-17,7,0,2
2020-06-18,9,0,0
2020-06-19,4,0,1
2020-06-20,3,0,3
2020-06-21,3,0,2
2020-06-22,1,0,1
2020-06-23,9,0,4
2020-06-24,5,2,4
2020-06-25,10,0,11
2020-06-26,5,0,2
2020-06-27,11,0,1
2020-06-28,14,0,1
2020-06-29,2,0,6
2020-06-30,9,0,2
2020-07-01,4,0,7
2020-07-02,2,0,1
2020-07-03,0,0,5
2020-07-04,3,0,0
2020-07-05,1,0,1
2020-07-06,5,0,5
2020-07-07,3,0,9
2020-07-08,7,2,6
2020-07-09,11,0,4
2020-07-10,7,0,7
2020-07-11,14,0,1
2020-07-12,13,0,3
2020-07-13,10,0,1
2020-07-14,9,0,4
2020-07-15,6,0,8
2020-07-16,15,0,1
2020-07-17,11,0,3
2020-07-18,4,0,4
2020-07-19,18,0,4
2020-07-20,7,0,3
2020-07-21,29,0,0
2020-07-22,8,0,5
2020-07-23,6,0,2
2020-07-24,0,0,4
2020-07-25,5,0,0
2020-07-26,4,0,2
2020-07-27,19,0,0
2020-07-28,11,0,0
2020-07-29,7,0,0
2020-07-30,7,0,0
2020-07-31,15,0,0
2020-08-01,7,0,1
2020-08-02,8,0,9
2020-08-03,18,0,0
2020-08-04,12,0,0
2020-08-05,23,0,1
2020-08-06,9,0,0
2020-08-07,12,0,1
2020-08-08,11,0,1
2020-08-09,6,0,3
2020-08-10,7,0,0
2020-08-11,6,0,2
2020-08-12,10,0,3
2020-08-13,7,0,1
2020-08-14,4,0,1
2020-08-15,15,0,0
2020-08-16,13,0,0
2020-08-17,14,0,0
2020-08-18,21,0,0
2020-08-19,20,0,2
2020-08-20,17,0,0
2020-08-21,11,0,1
2020-08-22,19,0,2
2020-08-23,21,0,0
2020-08-24,6,0,9
2020-08-25,0,0,1
2020-08-26,15,0,0
2020-08-27,7,0,0
2020-08-28,2,0,4
2020-08-29,6,0,2
2020-08-30,13,0,3
2020-08-31,11,0,5
2020-09-01,17,0,4
2020-09-02,13,2,3
2020-09-03,17,0,0
2020-09-04,7,7,3
2020-09-05,5,0,0
2020-09-06,15,0,0
2020-09-07,26,0,3
2020-09-08,18,0,1
