,ant-design/ant-design,youzan/vant,ElemeFE/element
2017-01-27,11,0.0,0
2017-01-28,0,0.0,1
2017-01-29,0,0.0,1
2017-01-30,9,0.0,0
2017-01-31,13,0.0,0
2017-02-01,1,0.0,0
2017-02-02,0,0.0,2
2017-02-03,5,0.0,3
2017-02-04,5,0.0,27
2017-02-05,1,0.0,0
2017-02-06,7,1.0,6
2017-02-07,13,0.7,3
2017-02-08,13,-0.40499999999999997,1
2017-02-09,16,-0.1644999999999999,7
2017-02-10,12,7.9003375,1
2017-02-11,0,-2.4698827500000005,0
2017-02-12,0,2.1069988875000005,3
2017-02-13,16,7.58176186375,2
2017-02-14,7,1.628866009484375,5
2017-02-15,15,2.109277870001563,0
2017-02-16,21,4.119182186767188,16
2017-02-17,13,3.47521856,3
2017-02-18,9,-3.7976510716250003,2
2017-02-19,20,-0.8759806396124992,2
2017-02-20,42,3.5191113234531253,8
2017-02-21,21,-1.4890106218390633,7
2017-02-22,20,9.448071540826563,18
2017-02-23,16,0.8143698962578121,10
2017-02-24,22,6.743212250226563,7
2017-02-25,9,-4.597765522489063,0
2017-02-26,12,5.9505467711203135,1
2017-02-27,20,18.343320801984376,4
2017-02-28,17,21.641759991689064,15
2017-03-01,14,8.508069393320312,5
2017-03-02,21,19.403877708595314,1
2017-03-03,11,10.17028913311094,3
2017-03-04,0,-14.276151633820312,4
2017-03-05,13,-5.004191297328122,2
2017-03-06,22,3.8008376183750006,7
2017-03-07,9,7.649038350293749,3
2017-03-08,13,20.098047669659373,2
2017-03-09,10,7.603564502187497,16
2017-03-10,22,8.554735258626561,1
2017-03-11,3,-11.460322704357814,0
2017-03-12,2,-5.417661140820311,0
2017-03-13,13,5.646282027718751,0
2017-03-14,12,7.81502174014375,1
2017-03-15,5,15.219649331185938,11
2017-03-16,11,6.020021420303124,1
2017-03-17,15,11.67802211916875,4
2017-03-18,13,-10.667797349968751,4
2017-03-19,10,0.09186572284375139,5
2017-03-20,12,1.480787823750001,5
2017-03-21,12,1.4545495153593748,0
2017-03-22,9,27.53017289045156,2
2017-03-23,8,-3.1058991333703148,5
2017-03-24,18,14.242458441878126,8
2017-03-25,2,-8.535446476303125,0
2017-03-26,1,-1.4287447216390614,3
2017-03-27,53,6.635677098671875,0
2017-03-28,18,-3.0119658592578133,10
2017-03-29,11,-0.02009180249062492,7
