,rust-lang/rust,python/cpython,JuliaLang/julia
2014-07-16,28,20,12
2014-07-17,27,12,18
2014-07-18,36,4,23
2014-07-19,20,4,6
2014-07-20,17,3,10
2014-07-21,58,14,20
2014-07-22,31,15,17
2014-07-23,29,26,18
2014-07-24,48,30,24
2014-07-25,43,30,7
2014-07-26,23,12,15
2014-07-27,23,10,17
2014-07-28,23,10,20
2014-07-29,48,18,25
2014-07-30,21,8,21
2014-07-31,41,4,6
2014-08-01,29,7,19
2014-08-02,27,5,7
2014-08-03,18,7,9
2014-08-04,23,21,13
2014-08-05,23,16,44
2014-08-06,41,6,21
2014-08-07,24,9,34
2014-08-08,28,4,56
2014-08-09,28,13,30
2014-08-10,13,10,16
2014-08-11,15,3,37
2014-08-12,41,10,48
2014-08-13,50,2,19
2014-08-14,25,5,19
2014-08-15,21,13,15
2014-08-16,14,9,7
2014-08-17,24,19,10
2014-08-18,30,4,33
2014-08-19,34,9,24
2014-08-20,22,3,20
2014-08-21,36,2,8
2014-08-22,18,20,19
2014-08-23,25,10,5
2014-08-24,23,13,8
2014-08-25,16,8,21
2014-08-26,15,4,21
2014-08-27,23,8,24
2014-08-28,21,2,14
2014-08-29,30,9,21
2014-08-30,23,2,9
2014-08-31,35,16,1
2014-09-01,11,9,8
2014-09-02,21,5,3
2014-09-03,18,19,10
2014-09-04,24,8,11
2014-09-05,31,9,9
2014-09-06,19,15,20
2014-09-07,25,0,17
2014-09-08,24,2,9
2014-09-09,45,3,9
2014-09-10,25,8,11
2014-09-11,19,11,6
2014-09-12,26,2,18
2014-09-13,15,2,6
2014-09-14,35,9,20
2014-09-15,36,9,16
2014-09-16,22,7,18
2014-09-17,61,14,15
2014-09-18,30,12,26
2014-09-19,21,6,14
2014-09-20,18,20,23
2014-09-21,12,14,10
2014-09-22,43,10,10
2014-09-23,19,18,12
2014-09-24,34,14,24
2014-09-25,31,13,22
2014-09-26,21,10,31
2014-09-27,16,17,5
2014-09-28,9,7,20
2014-09-29,47,15,20
2014-09-30,37,45,29
2014-10-01,40,24,12
2014-10-02,67,23,11
2014-10-03,43,14,30
2014-10-04,22,29,7
2014-10-05,27,13,17
2014-10-06,25,24,11
2014-10-07,29,4,19
2014-10-08,23,10,26
2014-10-09,48,18,17
2014-10-10,12,36,11
2014-10-11,25,18,24
2014-10-12,23,45,6
2014-10-13,41,24,8
2014-10-14,22,10,21
2014-10-15,28,24,19
2014-10-16,27,4,10
2014-10-17,21,21,18
2014-10-18,17,9,10
2014-10-19,16,7,11
2014-10-20,15,7,23
2014-10-21,23,2,21
2014-10-22,20,3,12
2014-10-23,21,7,32
2014-10-24,19,0,17
2014-10-25,26,6,11
2014-10-26,21,3,9
2014-10-27,53,0,9
2014-10-28,41,30,14
2014-10-29,24,34,13
2014-10-30,45,33,26
2014-10-31,37,22,9
2014-11-01,18,12,3
2014-11-02,30,22,8
2014-11-03,76,7,10
2014-11-04,24,6,14
2014-11-05,34,20,14
2014-11-06,69,9,20
2014-11-07,40,13,12
2014-11-08,18,2,13
2014-11-09,31,2,8
2014-11-10,18,19,55
2014-11-11,18,6,38
2014-11-12,32,4,15
2014-11-13,20,0,2
2014-11-14,20,3,19
2014-11-15,14,7,14
2014-11-16,42,0,17
2014-11-17,62,2,9
2014-11-18,42,8,28
2014-11-19,73,4,26
2014-11-20,38,8,29
2014-11-21,55,6,22
2014-11-22,18,7,12
2014-11-23,46,10,15
2014-11-24,25,10,13
2014-11-25,36,6,40
2014-11-26,33,9,9
2014-11-27,45,20,13
2014-11-28,11,17,15
2014-11-29,7,2,9
2014-11-30,16,7,20
2014-12-01,12,23,7
2014-12-02,18,10,20
2014-12-03,33,4,12
2014-12-04,41,8,15
2014-12-05,60,20,15
2014-12-06,17,12,6
2014-12-07,51,7,13
2014-12-08,27,12,22
2014-12-09,42,2,29
2014-12-10,20,15,32
2014-12-11,17,10,12
2014-12-12,24,20,23
2014-12-13,122,12,26
2014-12-14,79,2,23
2014-12-15,47,17,22
2014-12-16,37,10,11
2014-12-17,63,8,15
2014-12-18,41,6,6
2014-12-19,103,7,11
2014-12-20,45,6,11
2014-12-21,57,2,15
2014-12-22,62,6,7
2014-12-23,26,3,5
2014-12-24,22,6,9
2014-12-25,35,4,13
2014-12-26,30,6,8
2014-12-27,27,3,6
2014-12-28,35,2,30
2014-12-29,63,3,5
2014-12-30,126,10,18
2014-12-31,42,0,16
2015-01-01,49,7,21
2015-01-02,70,0,51
2015-01-03,61,7,30
2015-01-04,60,9,37
2015-01-05,127,6,26
2015-01-06,136,21,24
2015-01-07,78,13,14
2015-01-08,109,12,28
2015-01-09,43,20,15
2015-01-10,33,1,13
2015-01-11,48,10,23
2015-01-12,86,1,23
2015-01-13,32,12,29
2015-01-14,34,12,23
2015-01-15,91,38,20
2015-01-16,50,0,28
2015-01-17,44,7,6
2015-01-18,46,17,36
2015-01-19,43,3,28
2015-01-20,72,6,14
2015-01-21,96,9,10
2015-01-22,51,11,23
2015-01-23,28,15,8
2015-01-24,43,2,13
2015-01-25,22,8,38
2015-01-26,31,43,12
2015-01-27,66,11,18
2015-01-28,44,13,12
2015-01-29,40,27,8
2015-01-30,65,10,15
2015-01-31,28,13,28
2015-02-01,36,17,17
2015-02-02,51,31,36
2015-02-03,43,15,44
2015-02-04,21,10,24
2015-02-05,49,12,9
2015-02-06,71,22,24
2015-02-07,35,8,16
2015-02-08,18,12,23
2015-02-09,21,6,29
2015-02-10,66,8,30
2015-02-11,75,11,21
2015-02-12,39,4,33
2015-02-13,46,6,9
2015-02-14,25,16,14
2015-02-15,71,13,13
2015-02-16,71,13,18
2015-02-17,86,14,9
2015-02-18,123,11,18
2015-02-19,36,3,39
2015-02-20,17,21,22
2015-02-21,53,6,17
2015-02-22,72,6,35
2015-02-23,64,8,22
2015-02-24,105,0,17
2015-02-25,32,14,20
2015-02-26,31,9,11
2015-02-27,34,16,9
2015-02-28,41,10,10
2015-03-01,43,13,11
2015-03-02,32,28,11
2015-03-03,76,6,12
2015-03-04,31,7,5
2015-03-05,55,16,13
2015-03-06,59,14,12
2015-03-07,15,6,28
2015-03-08,38,15,7
2015-03-09,35,8,30
2015-03-10,33,16,20
2015-03-11,24,8,9
2015-03-12,33,15,14
2015-03-13,29,18,11
2015-03-14,18,8,15
2015-03-15,42,4,15
2015-03-16,30,9,22
2015-03-17,53,10,25
2015-03-18,37,28,13
2015-03-19,57,23,28
2015-03-20,41,26,26
2015-03-21,10,12,15
2015-03-22,23,17,3
2015-03-23,96,6,10
2015-03-24,65,35,7
2015-03-25,24,17,12
2015-03-26,44,5,20
2015-03-27,79,18,11
2015-03-28,26,11,19
2015-03-29,34,19,18
2015-03-30,37,35,14
2015-03-31,75,27,25
2015-04-01,95,23,17
2015-04-02,34,33,13
2015-04-03,37,17,14
2015-04-04,42,16,3
2015-04-05,18,4,3
2015-04-06,21,13,12
2015-04-07,43,15,10
2015-04-08,68,12,10
2015-04-09,38,10,5
2015-04-10,57,22,10
2015-04-11,45,11,4
2015-04-12,21,10,8
2015-04-13,36,55,23
2015-04-14,86,41,21
2015-04-15,49,12,23
2015-04-16,31,17,29
2015-04-17,75,3,24
2015-04-18,35,3,14
2015-04-19,22,14,31
2015-04-20,35,20,22
2015-04-21,99,8,36
2015-04-22,30,18,20
2015-04-23,45,11,7
2015-04-24,63,4,22
2015-04-25,50,4,16
2015-04-26,25,14,18
2015-04-27,51,4,16
2015-04-28,31,2,20
2015-04-29,97,4,9
2015-04-30,70,5,8
2015-05-01,44,0,19
2015-05-02,36,15,15
