,python/cpython,ruby/ruby,nodejs/node
2009-03-16,2,5,0
2009-03-17,9,14,0
2009-03-18,18,5,0
2009-03-19,10,5,0
2009-03-20,11,12,0
2009-03-21,11,3,0
2009-03-22,13,2,0
2009-03-23,26,7,0
2009-03-24,20,6,0
2009-03-25,11,0,0
2009-03-26,26,7,0
2009-03-27,7,4,0
2009-03-28,17,3,0
2009-03-29,30,2,0
2009-03-30,69,4,0
2009-03-31,122,3,0
2009-04-01,64,9,0
2009-04-02,55,1,0
2009-04-03,29,3,1
2009-04-04,65,1,2
2009-04-05,65,2,0
2009-04-06,13,11,0
2009-04-07,33,3,0
2009-04-08,17,8,0
2009-04-09,17,5,0
2009-04-10,26,2,0
2009-04-11,29,1,0
2009-04-12,29,1,0
2009-04-13,28,3,0
2009-04-14,7,1,0
2009-04-15,9,2,2
2009-04-16,19,7,10
2009-04-17,16,0,1
2009-04-18,33,7,5
2009-04-19,15,2,0
2009-04-20,19,6,5
2009-04-21,8,14,9
2009-04-22,18,9,14
2009-04-23,8,2,7
2009-04-24,28,0,0
2009-04-25,66,13,0
2009-04-26,38,16,0
2009-04-27,56,2,0
2009-04-28,26,1,3
2009-04-29,34,2,5
2009-04-30,9,7,0
2009-05-01,22,3,0
2009-05-02,32,4,4
2009-05-03,25,0,3
2009-05-04,30,0,6
2009-05-05,56,6,4
2009-05-06,37,3,3
2009-05-07,28,10,3
2009-05-08,29,4,0
2009-05-09,27,9,0
2009-05-10,27,8,0
2009-05-11,10,4,5
2009-05-12,19,6,3
2009-05-13,15,3,6
2009-05-14,32,4,11
2009-05-15,14,5,3
2009-05-16,21,22,4
2009-05-17,46,12,1
2009-05-18,16,4,7
2009-05-19,11,6,10
2009-05-20,17,10,8
2009-05-21,1,8,2
2009-05-22,20,7,0
2009-05-23,36,6,0
2009-05-24,24,8,0
2009-05-25,20,7,3
2009-05-26,19,6,13
2009-05-27,17,10,5
2009-05-28,23,0,3
2009-05-29,28,4,3
2009-05-30,21,0,2
2009-05-31,14,4,2
2009-06-01,28,3,2
2009-06-02,14,4,0
2009-06-03,24,4,1
2009-06-04,30,3,4
2009-06-05,10,0,8
2009-06-06,7,0,1
2009-06-07,14,4,0
2009-06-08,24,2,5
2009-06-09,16,6,7
2009-06-10,9,1,5
2009-06-11,36,5,6
2009-06-12,16,5,5
2009-06-13,17,11,3
2009-06-14,11,4,0
2009-06-15,3,7,3
2009-06-16,16,16,9
2009-06-17,10,11,5
2009-06-18,6,9,7
2009-06-19,7,15,1
2009-06-20,2,5,2
2009-06-21,8,4,16
2009-06-22,6,14,7
2009-06-23,20,8,2
2009-06-24,8,9,3
2009-06-25,11,5,0
2009-06-26,9,9,4
2009-06-27,19,6,2
2009-06-28,63,11,13
2009-06-29,33,17,7
2009-06-30,19,13,7
2009-07-01,27,11,1
2009-07-02,29,6,0
2009-07-03,24,9,0
2009-07-04,21,4,0
2009-07-05,15,7,0
2009-07-06,4,6,0
2009-07-07,26,14,0
2009-07-08,5,7,0
2009-07-09,22,7,0
2009-07-10,11,17,2
2009-07-11,28,3,1
2009-07-12,17,9,0
2009-07-13,14,19,9
2009-07-14,1,7,2
2009-07-15,12,9,5
2009-07-16,10,18,4
2009-07-17,41,19,0
2009-07-18,13,10,0
2009-07-19,18,7,0
2009-07-20,19,7,7
2009-07-21,25,14,0
