,twbs/bootstrap,jgthms/bulma,tailwindlabs/tailwindcss
2017-10-20,12,0,10
2017-10-21,0,0,17
2017-10-22,31,3,0
2017-10-23,17,1,6
2017-10-24,2,0,34
2017-10-25,6,0,23
2017-10-26,1,1,21
2017-10-27,3,0,27
2017-10-28,2,1,10
2017-10-29,15,0,11
2017-10-30,12,0,53
2017-10-31,14,0,94
2017-11-01,1,2,103
2017-11-02,1,2,42
2017-11-03,8,0,45
2017-11-04,0,3,9
2017-11-05,0,4,2
2017-11-06,15,20,38
2017-11-07,8,5,38
2017-11-08,2,2,21
2017-11-09,6,1,22
2017-11-10,0,1,17
2017-11-11,3,0,9
2017-11-12,0,0,1
2017-11-13,2,0,12
2017-11-14,0,3,6
2017-11-15,6,1,11
2017-11-16,4,1,11
2017-11-17,1,0,14
2017-11-18,0,0,4
2017-11-19,2,0,9
2017-11-20,3,0,2
2017-11-21,0,0,5
2017-11-22,0,0,3
2017-11-23,3,0,16
2017-11-24,5,0,23
2017-11-25,10,0,5
2017-11-26,1,0,2
2017-11-27,3,0,1
2017-11-28,2,0,9
2017-11-29,2,1,11
2017-11-30,0,1,2
2017-12-01,2,0,11
2017-12-02,3,0,44
2017-12-03,0,0,5
2017-12-04,1,17,4
2017-12-05,1,0,0
2017-12-06,0,2,3
2017-12-07,1,0,1
2017-12-08,1,0,2
2017-12-09,0,2,0
2017-12-10,0,1,0
2017-12-11,1,0,4
2017-12-12,2,0,2
2017-12-13,0,1,26
2017-12-14,0,1,11
2017-12-15,0,0,3
2017-12-16,1,0,3
2017-12-17,1,0,0
2017-12-18,0,0,2
2017-12-19,0,0,2
2017-12-20,0,2,0
2017-12-21,0,0,0
2017-12-22,2,0,0
2017-12-23,13,0,0
2017-12-24,6,0,2
2017-12-25,0,0,0
2017-12-26,9,0,0
2017-12-27,15,0,2
2017-12-28,22,4,1
2017-12-29,1,0,1
2017-12-30,11,0,0
2017-12-31,16,0,1
2018-01-01,2,0,0
2018-01-02,7,0,0
2018-01-03,10,0,0
2018-01-04,2,0,0
2018-01-05,2,0,1
2018-01-06,1,9,0
2018-01-07,0,0,0
2018-01-08,1,0,1
2018-01-09,0,2,0
2018-01-10,1,5,0
2018-01-11,11,0,1
2018-01-12,1,0,1
2018-01-13,5,0,0
2018-01-14,6,0,0
2018-01-15,9,1,3
2018-01-16,7,6,0
2018-01-17,4,0,0
2018-01-18,9,6,0
2018-01-19,4,3,4
2018-01-20,5,0,0
2018-01-21,7,0,0
2018-01-22,4,0,7
2018-01-23,2,0,0
2018-01-24,0,0,0
2018-01-25,0,0,2
2018-01-26,0,0,0
2018-01-27,0,0,0
2018-01-28,1,0,1
2018-01-29,0,0,0
2018-01-30,3,0,4
2018-01-31,4,0,0
2018-02-01,0,0,6
2018-02-02,1,1,0
2018-02-03,3,0,0
2018-02-04,0,1,0
2018-02-05,1,0,0
2018-02-06,0,0,1
2018-02-07,1,0,0
2018-02-08,0,0,0
2018-02-09,1,1,4
2018-02-10,0,0,0
2018-02-11,9,0,0
2018-02-12,2,0,1
2018-02-13,1,2,0
2018-02-14,1,1,1
2018-02-15,0,2,0
2018-02-16,2,1,2
2018-02-17,0,0,0
2018-02-18,0,0,0
2018-02-19,6,0,1
2018-02-20,2,1,0
2018-02-21,1,0,0
2018-02-22,0,0,0
2018-02-23,0,0,0
2018-02-24,8,0,1
2018-02-25,1,0,0
2018-02-26,0,0,0
2018-02-27,0,1,0
2018-02-28,0,0,0
2018-03-01,1,0,2
2018-03-02,1,0,0
2018-03-03,4,0,0
2018-03-04,2,0,0
2018-03-05,2,0,25
2018-03-06,1,0,0
2018-03-07,0,1,11
2018-03-08,3,0,0
2018-03-09,0,1,0
2018-03-10,0,0,0
2018-03-11,0,0,0
2018-03-12,14,0,13
