,llvm/llvm-project,gcc-mirror/gcc,golang/go
2020-06-03,143,52,18
2020-06-04,141,69,15
2020-06-05,161,52,13
2020-06-06,39,4,0
2020-06-07,49,12,2
2020-06-08,125,47,13
2020-06-09,149,62,9
2020-06-10,112,49,7
2020-06-11,119,57,7
2020-06-12,93,45,4
2020-06-13,34,4,1
2020-06-14,31,7,2
2020-06-15,145,44,7
2020-06-16,144,65,5
2020-06-17,128,59,12
2020-06-18,151,53,8
2020-06-19,117,43,6
2020-06-20,62,9,1
2020-06-21,29,4,0
2020-06-22,102,16,1
2020-06-23,132,24,5
2020-06-24,136,27,9
2020-06-25,154,25,9
2020-06-26,142,12,8
2020-06-27,48,8,1
2020-06-28,27,11,1
2020-06-29,116,24,7
2020-06-30,140,20,7
2020-07-01,142,30,4
2020-07-02,109,24,1
2020-07-03,92,13,1
2020-07-04,42,2,0
2020-07-05,21,4,3
2020-07-06,103,44,6
2020-07-07,127,47,11
2020-07-08,138,44,9
2020-07-09,131,25,4
2020-07-10,120,55,4
2020-07-11,52,8,0
2020-07-12,25,2,0
2020-07-13,124,32,2
2020-07-14,131,26,3
2020-07-15,120,41,1
2020-07-16,142,45,7
2020-07-17,114,19,3
2020-07-18,52,7,0
2020-07-19,28,6,0
2020-07-20,123,23,3
2020-07-21,118,19,5
2020-07-22,163,21,1
2020-07-23,125,19,6
2020-07-24,100,20,3
2020-07-25,45,5,2
2020-07-26,45,7,0
2020-07-27,108,43,2
2020-07-28,136,17,2
2020-07-29,166,24,0
2020-07-30,129,28,11
2020-07-31,104,33,7
2020-08-01,34,9,2
2020-08-02,36,6,1
2020-08-03,112,33,8
2020-08-04,138,38,1
2020-08-05,170,21,1
2020-08-06,148,18,2
2020-08-07,136,10,2
2020-08-08,48,5,0
2020-08-09,38,5,0
2020-08-10,103,21,10
2020-08-11,165,16,6
2020-08-12,99,21,13
2020-08-13,143,16,7
2020-08-14,98,15,11
2020-08-15,34,1,11
2020-08-16,29,3,6
2020-08-17,131,12,41
2020-08-18,112,25,27
2020-08-19,116,23,13
2020-08-20,90,16,7
2020-08-21,107,12,7
2020-08-22,44,5,3
2020-08-23,18,5,3
2020-08-24,100,15,22
2020-08-25,109,25,17
2020-08-26,133,42,14
2020-08-27,157,20,19
2020-08-28,94,16,13
2020-08-29,55,3,2
2020-08-30,34,8,1
2020-08-31,53,17,3
2020-09-01,94,15,13
2020-09-02,85,15,6
2020-09-03,101,15,10
2020-09-04,76,12,0
2020-09-05,35,1,4
2020-09-06,22,4,3
2020-09-07,102,22,4
2020-09-08,102,19,5
2020-09-09,105,31,19
2020-09-10,102,36,6
2020-09-11,111,42,13
2020-09-12,47,8,4
2020-09-13,22,2,5
2020-09-14,116,17,11
2020-09-15,153,15,12
2020-09-16,158,35,18
2020-09-17,139,25,15
2020-09-18,102,20,21
2020-09-19,43,14,4
2020-09-20,29,6,1
2020-09-21,121,30,8
2020-09-22,133,32,17
2020-09-23,137,36,14
2020-09-24,145,37,12
2020-09-25,97,22,6
2020-09-26,34,15,6
2020-09-27,25,6,2
2020-09-28,100,24,11
2020-09-29,130,26,17
2020-09-30,121,32,13
2020-10-01,112,35,19
2020-10-02,106,31,8
2020-10-03,46,6,3
2020-10-04,40,2,0
2020-10-05,96,18,14
2020-10-06,102,24,19
2020-10-07,91,23,11
2020-10-08,94,28,7
2020-10-09,117,21,10
2020-10-10,36,19,2
2020-10-11,30,26,1
2020-10-12,110,35,26
2020-10-13,122,17,24
2020-10-14,121,44,15
2020-10-15,116,63,15
2020-10-16,107,56,22
2020-10-17,28,5,9
2020-10-18,32,4,3
2020-10-19,157,51,21
2020-10-20,133,62,39
2020-10-21,122,55,23
2020-10-22,124,77,21
2020-10-23,135,57,33
2020-10-24,51,7,11
2020-10-25,25,3,3
2020-10-26,129,60,42
2020-10-27,146,61,41
2020-10-28,151,45,29
2020-10-29,120,47,34
2020-10-30,150,29,30
2020-10-31,52,6,7
2020-11-01,15,8,4
2020-11-02,127,37,15
2020-11-03,166,67,9
2020-11-04,132,28,11
2020-11-05,119,30,22
2020-11-06,94,51,7
2020-11-07,46,10,9
2020-11-08,30,5,1
2020-11-09,129,35,23
2020-11-10,138,32,12
2020-11-11,151,36,9
2020-11-12,109,30,11
2020-11-13,133,64,5
2020-11-14,37,9,2
2020-11-15,20,13,0
2020-11-16,101,22,9
2020-11-17,134,48,7
2020-11-18,133,38,15
2020-11-19,106,34,13
2020-11-20,99,31,17
2020-11-21,43,17,4
2020-11-22,33,7,0
2020-11-23,90,24,2
2020-11-24,110,61,34
2020-11-25,98,67,35
2020-11-26,86,61,2
2020-11-27,63,54,3
2020-11-28,20,6,3
2020-11-29,21,12,0
2020-11-30,105,67,36
2020-12-01,140,39,37
2020-12-02,126,54,23
2020-12-03,116,48,30
2020-12-04,119,19,45
2020-12-05,50,47,2
2020-12-06,40,7,4
2020-12-07,103,25,29
2020-12-08,147,38,13
2020-12-09,123,21,19
2020-12-10,137,32,16
2020-12-11,85,31,6
2020-12-12,44,6,1
2020-12-13,33,20,0
2020-12-14,122,51,34
2020-12-15,154,73,23
2020-12-16,109,65,13
2020-12-17,129,73,29
2020-12-18,115,25,12
2020-12-19,38,4,1
2020-12-20,24,6,1
2020-12-21,74,18,19
2020-12-22,86,17,25
2020-12-23,84,17,53
2020-12-24,28,4,2
2020-12-25,20,5,7
2020-12-26,13,5,1
2020-12-27,21,6,1
2020-12-28,50,6,24
2020-12-29,60,10,25
2020-12-30,73,6,11
2020-12-31,52,11,5
2021-01-01,41,26,15
2021-01-02,35,10,2
2021-01-03,20,4,9
2021-01-04,67,28,6
2021-01-05,104,42,16
2021-01-06,121,18,8
2021-01-07,136,23,10
2021-01-08,113,26,27
2021-01-09,46,12,0
2021-01-10,27,2,4
2021-01-11,122,28,12
2021-01-12,114,21,17
2021-01-13,102,35,7
2021-01-14,106,45,18
2021-01-15,101,42,17
2021-01-16,47,9,4
2021-01-17,29,6,10
2021-01-18,78,22,6
2021-01-19,133,25,18
2021-01-20,118,20,15
2021-01-21,92,19,23
2021-01-22,162,30,18
2021-01-23,74,6,14
2021-01-24,34,1,1
2021-01-25,132,19,25
2021-01-26,132,19,13
2021-01-27,114,24,13
2021-01-28,133,21,8
2021-01-29,88,25,3
2021-01-30,31,9,2
2021-01-31,24,3,0
2021-02-01,103,23,6
2021-02-02,174,22,6
2021-02-03,100,46,10
2021-02-04,115,20,10
2021-02-05,118,15,11
2021-02-06,37,1,0
2021-02-07,21,1,2
2021-02-08,101,9,12
2021-02-09,114,19,12
2021-02-10,121,22,13
2021-02-11,136,20,6
2021-02-12,139,31,18
2021-02-13,54,6,4
2021-02-14,35,3,0
2021-02-15,71,10,2
2021-02-16,100,11,20
2021-02-17,116,11,5
2021-02-18,144,13,24
2021-02-19,125,22,65
2021-02-20,66,5,8
2021-02-21,31,3,2
2021-02-22,101,18,8
2021-02-23,123,18,48
2021-02-24,130,28,30
2021-02-25,109,28,22
2021-02-26,97,17,12
2021-02-27,58,6,4
2021-02-28,25,7,0
2021-03-01,119,6,9
2021-03-02,123,23,13
2021-03-03,111,30,13
2021-03-04,162,20,36
2021-03-05,125,20,31
2021-03-06,69,10,0
2021-03-07,33,2,2
2021-03-08,106,19,8
2021-03-09,135,22,22
2021-03-10,129,26,25
2021-03-11,124,26,20
2021-03-12,115,10,14
2021-03-13,38,7,16
2021-03-14,27,3,5
2021-03-15,127,21,22
2021-03-16,109,16,21
2021-03-17,90,11,16
2021-03-18,122,17,27
2021-03-19,117,20,15
2021-03-20,53,5,1
2021-03-21,40,2,0
2021-03-22,129,17,11
2021-03-23,162,37,19
2021-03-24,146,11,16
2021-03-25,106,23,29
2021-03-26,80,30,3
2021-03-27,31,2,2
2021-03-28,32,11,1
2021-03-29,86,18,19
2021-03-30,125,16,23
2021-03-31,98,23,16
2021-04-01,116,14,8
2021-04-02,105,8,17
2021-04-03,27,15,9
2021-04-04,33,2,3
2021-04-05,60,15,32
2021-04-06,137,25,22
2021-04-07,94,15,17
2021-04-08,111,38,31
2021-04-09,94,28,30
2021-04-10,26,17,8
2021-04-11,31,5,3
2021-04-12,116,17,31
2021-04-13,140,22,25
2021-04-14,134,22,36
2021-04-15,105,21,20
2021-04-16,118,23,39
2021-04-17,36,7,1
2021-04-18,25,2,1
2021-04-19,106,15,15
2021-04-20,160,18,22
2021-04-21,133,39,28
2021-04-22,162,23,24
2021-04-23,125,22,34
2021-04-24,42,11,1
2021-04-25,36,2,0
2021-04-26,103,26,12
2021-04-27,134,40,37
2021-04-28,126,66,32
2021-04-29,110,64,30
2021-04-30,121,30,37
2021-05-01,38,4,5
2021-05-02,26,5,7
2021-05-03,107,50,21
2021-05-04,125,55,30
2021-05-05,128,75,18
2021-05-06,106,55,14
2021-05-07,107,53,14
2021-05-08,37,4,6
2021-05-09,16,1,9
2021-05-10,118,61,11
2021-05-11,118,31,6
2021-05-12,121,27,10
2021-05-13,135,27,12
2021-05-14,179,22,10
2021-05-15,45,8,1
2021-05-16,30,5,0
2021-05-17,116,33,7
2021-05-18,116,40,13
2021-05-19,116,38,20
2021-05-20,104,26,15
2021-05-21,105,37,28
2021-05-22,38,5,1
2021-05-23,25,8,0
2021-05-24,96,16,21
2021-05-25,150,31,5
2021-05-26,121,30,23
2021-05-27,113,18,25
2021-05-28,78,15,7
2021-05-29,23,6,2
2021-05-30,18,3,2
2021-05-31,57,7,1
2021-06-01,88,21,14
2021-06-02,113,15,33
