,rust-lang/rust,JetBrains/kotlin,apple/swift
2010-10-17,0,0,4.0
2010-10-18,9,0,-1.4000000000000004
2010-10-19,5,0,-1.08
2010-10-20,4,0,-0.344
2010-10-21,15,0,-0.19039999999999987
2010-10-22,12,0,-0.12499199999999999
2010-10-23,8,0,-0.08986880000000004
2010-10-24,0,0,0.93154304
2010-10-25,0,0,-0.654286848
2010-10-26,5,0,-0.16434862080000004
2010-10-27,2,0,-0.0645020672
2010-10-28,8,0,-0.03359999999999997
2010-10-29,0,0,-0.022848000000000004
2010-10-30,0,0,-0.01675520000000001
2010-10-31,0,0,-0.012925440000000009
2010-11-01,0,0,-0.01034035200000001
2010-11-02,2,0,-0.00850206720000001
2010-11-03,9,0,0.0
2010-11-04,3,0,0.0
2010-11-05,8,0,0.0
2010-11-06,9,0,0.0
2010-11-07,0,0,0.0
2010-11-08,2,3,0.0
2010-11-09,2,1,0.0
2010-11-10,1,0,0.0
2010-11-11,2,0,5.0
2010-11-12,3,0,-3.0000000000000004
2010-11-13,1,0,-0.6
2010-11-14,7,0,-0.27999999999999997
2010-11-15,1,4,-0.16799999999999984
2010-11-16,1,2,-0.11424000000000002
2010-11-17,0,0,-0.08377600000000004
2010-11-18,1,1,-0.06462720000000004
2010-11-19,4,4,-0.05170176000000005
2010-11-20,5,0,-0.04251033600000005
2010-11-21,6,0,0.0
2010-11-22,6,2,0.0
2010-11-23,7,0,0.0
2010-11-24,4,0,0.0
2010-11-25,10,4,4.0
2010-11-26,10,0,-2.4000000000000004
2010-11-27,2,0,0.52
2010-11-28,0,0,-0.8240000000000001
2010-11-29,5,0,0.7456000000000002
2010-11-30,6,0,-0.7473920000000001
2010-12-01,6,0,-0.2206208
2010-12-02,8,0,-0.13054976000000001
2010-12-03,14,0,-0.091716608
2010-12-04,5,0,-0.06978170880000005
2010-12-05,0,0,-0.027095552000000016
2010-12-06,1,0,-0.02142750720000002
2010-12-07,9,5,-0.01034035200000001
2010-12-08,5,0,-0.00850206720000001
2010-12-09,12,2,0.0
2010-12-10,10,13,0.0
2010-12-11,11,0,0.0
2010-12-12,4,0,0.0
2010-12-13,9,3,0.0
2010-12-14,7,0,0.0
2010-12-15,13,5,0.0
2010-12-16,10,11,0.0
2010-12-17,5,0,0.0
2010-12-18,6,1,0.0
2010-12-19,0,1,0.0
2010-12-20,7,5,0.0
2010-12-21,7,4,0.0
2010-12-22,6,4,0.0
2010-12-23,2,0,0.0
2010-12-24,2,0,0.0
2010-12-25,4,0,0.0
2010-12-26,0,0,0.0
2010-12-27,0,6,0.0
2010-12-28,0,1,0.0
2010-12-29,1,9,0.0
2010-12-30,7,9,0.0
2010-12-31,17,0,0.0
2011-01-01,1,3,0.0
2011-01-02,0,10,0.0
2011-01-03,9,14,0.0
2011-01-04,14,3,0.0
2011-01-05,4,4,0.0
2011-01-06,6,5,0.0
2011-01-07,5,1,0.0
2011-01-08,2,6,0.0
2011-01-09,0,8,0.0
2011-01-10,12,14,0.0
2011-01-11,5,4,0.0
2011-01-12,10,8,0.0
2011-01-13,1,0,0.0
2011-01-14,7,14,0.0
2011-01-15,2,0,0.0
2011-01-16,0,0,0.0
2011-01-17,7,0,0.0
2011-01-18,7,3,0.0
2011-01-19,5,0,0.0
2011-01-20,7,1,0.0
2011-01-21,8,0,0.0
2011-01-22,2,0,0.0
2011-01-23,0,0,0.0
2011-01-24,5,5,0.0
2011-01-25,4,9,0.0
2011-01-26,6,5,0.0
2011-01-27,11,8,0.0
2011-01-28,7,0,0.0
2011-01-29,0,0,0.0
2011-01-30,3,0,0.0
2011-01-31,4,1,0.0
2011-02-01,5,1,0.0
2011-02-02,9,0,0.0
2011-02-03,3,6,0.0
2011-02-04,2,2,1.0
2011-02-05,0,0,-0.6000000000000001
2011-02-06,0,0,-0.12
2011-02-07,5,1,-0.055999999999999994
2011-02-08,1,7,-0.03359999999999997
2011-02-09,10,8,-0.022848000000000004
2011-02-10,10,0,-0.01675520000000001
2011-02-11,9,1,-0.012925440000000009
2011-02-12,0,0,-0.01034035200000001
2011-02-13,0,0,-0.00850206720000001
2011-02-14,5,2,0.0
2011-02-15,11,0,0.0
2011-02-16,7,2,0.0
2011-02-17,1,0,0.0
2011-02-18,3,0,0.0
2011-02-19,4,0,0.0
2011-02-20,0,0,0.0
2011-02-21,1,3,0.0
2011-02-22,4,0,10.0
2011-02-23,12,0,-6.000000000000001
2011-02-24,8,3,-1.2
2011-02-25,12,12,-0.5599999999999999
2011-02-26,6,0,2.664
2011-02-27,0,0,-1.0284800000000005
2011-02-28,2,11,-1.127552
2011-03-01,9,6,3.5827456
2011-03-02,27,0,3.3397964799999995
2011-03-03,16,1,-4.267164672000001
2011-03-04,12,0,-0.017113600000000062
2011-03-05,3,3,-1.12593152
2011-03-06,6,0,0.5430615040000001
2011-03-07,18,0,1.1040446463999998
2011-03-08,17,0,-1.5143350272000002
2011-03-09,23,2,-0.43776204800000007
2011-03-10,18,3,-0.2584055808000001
2011-03-11,17,3,-0.15398584320000003
2011-03-12,4,1,-0.07279155200000002
2011-03-13,2,1,3.9450620927999998
2011-03-14,27,5,4.5638087679999995
2011-03-15,12,15,-2.709182771200001
2011-03-16,15,10,-2.2810041344
2011-03-17,9,6,6.2336
2011-03-18,24,0,-0.6385920000000009
2011-03-19,15,0,-0.5341568000000003
2011-03-20,13,0,4.11331584
2011-03-21,32,5,3.815450111999999
2011-03-22,29,1,13.1654223872
2011-03-23,24,5,-9.861673574400001
2011-03-24,17,19,-5.7822470144
2011-03-25,30,7,-2.236685824
2011-03-26,6,0,1.6414294016000004
2011-03-27,11,0,0.3023357951999994
2011-03-28,8,6,-2.8007136256000007
2011-03-29,17,0,-1.0061072384000003
2011-03-30,12,0,-0.6038274048000003
2011-03-31,23,5,-0.3807467520000002
2011-04-01,26,26,-0.1528178688000001
2011-04-02,6,6,1.91095808
2011-04-03,10,0,-1.2697973760000003
2011-04-04,1,3,0.7034727424
2011-04-05,8,4,1.2624937984
2011-04-06,6,0,-1.3872
2011-04-07,22,41,-0.341696
2011-04-08,23,16,-0.17911039999999998
2011-04-09,3,0,0.8841011200000001
2011-04-10,1,1,12.316868096
2011-04-11,7,1,-1.9834399744000004
2011-04-12,18,0,-5.252191232
2011-04-13,15,1,-1.5107827712
2011-04-14,13,30,0.18734786560000039
2011-04-15,4,27,-1.1153792
2011-04-16,7,0,-0.4878310400000001
2011-04-17,8,0,-0.33490227200000017
2011-04-18,14,5,-0.25407928320000017
2011-04-19,22,1,-0.19541698560000018
2011-04-20,15,3,-0.06776760320000007
2011-04-21,9,19,-0.012925440000000009
2011-04-22,17,5,1.989659648
2011-04-23,4,0,-1.2085020672000002
2011-04-24,2,0,-0.24
2011-04-25,8,6,-0.11199999999999999
2011-04-26,11,5,-0.06719999999999994
2011-04-27,13,0,-0.04569600000000001
2011-04-28,25,15,0.9664896
2011-04-29,23,1,6.37414912
2011-04-30,2,0,-4.340680704000001
2011-05-01,11,0,-0.9130041344
2011-05-02,5,5,-0.4255999999999999
2011-05-03,27,5,-0.2580479999999998
2011-05-04,17,4,-0.17669120000000002
2011-05-05,43,2,-0.13021184000000005
2011-05-06,19,5,-0.10081843200000007
2011-05-07,3,0,0.9191154688
2011-05-08,1,0,-0.6595144704000001
2011-05-09,14,5,-0.12
2011-05-10,10,3,-0.055999999999999994
