,highcharts/highcharts,plotly/plotly.js,d3/d3
2012-09-19,1,0.0,13
2012-09-20,2,1.0,3
2012-09-21,2,-0.10000000000000009,0
2012-09-22,0,-0.04500000000000003,2
2012-09-23,2,-0.028500000000000022,1
2012-09-24,1,-0.020662499999999924,10
2012-09-25,6,-0.016116749999999947,15
2012-09-26,2,1.9868379875,24
2012-09-27,1,5.78890630375,10
2012-09-28,0,0.3004316869843744,8
2012-09-29,0,-0.4353988525359378,12
2012-09-30,0,0.742675,0
2012-10-01,4,0.7152915000000004,1
2012-10-02,2,0.7113129750000003,21
2012-10-03,1,2.7092237825,3
2012-10-04,8,-0.49302331603124994,3
2012-10-05,5,-0.28558052941562473,16
2012-10-06,0,0.8045973092687503,11
2012-10-07,0,0.7892411887140628,0
2012-10-08,13,0.7728257282343751,1
2012-10-09,2,0.7579531006984376,0
2012-10-10,4,-0.24541075430156242,0
2012-10-11,7,0.8526169584171877,4
2012-10-12,3,2.7963621798921876,1
2012-10-13,1,5.59396504125,0
2012-10-14,0,-0.8134407717656256,0
2012-10-15,9,-0.41838537430156253,1
2012-10-16,6,0.7218348881984378,4
2012-10-17,6,1.6965455719484381,2
2012-10-18,0,-0.40067908628593724,0
2012-10-19,0,0.7596785232343752,1
2012-10-20,0,1.7186715309171876,0
2012-10-21,0,0.6149518142984377,0
2012-10-22,0,1.685711372284375,0
2012-10-23,0,-0.36008022125000005,0
2012-10-24,3,-0.2076974555156248,0
2012-10-25,3,0.8494065089328128,2
2012-10-26,1,1.7883428236781254,0
2012-10-27,0,1.677848781984375,1
2012-10-28,0,0.6165468001828124,0
2012-10-29,5,6.6837840894125,6
2012-10-30,7,0.11302277143281203,2
2012-10-31,8,-0.547018217571875,2
2012-11-01,4,-0.33481372124999986,0
2012-11-02,2,-0.24733398051562427,2
2012-11-03,0,0.8036353664328131,1
2012-11-04,0,-0.2552788648531247,0
2012-11-05,8,-0.16218390433749968,0
2012-11-06,1,-0.1149707398953123,0
2012-11-07,6,2.9109772192328127,0
2012-11-08,4,-0.3245156025359377,0
2012-11-09,5,10.8518379875,0
2012-11-10,0,-1.196593696250001,4
2012-11-11,0,-0.5665558130156252,6
2012-11-12,4,-0.37024910253593757,0
2012-11-13,1,-0.26677353749999905,5
2012-11-14,3,-0.21056533874999933,7
2012-11-15,1,-0.1734870765468745,3
2012-11-16,6,0.8527727836421879,2
2012-11-17,0,-0.20525144317187483,0
2012-11-18,0,-0.1373873778953123,13
2012-11-19,7,0.9715,1
2012-11-20,0,-0.1206625,1
2012-11-21,5,4.93888325,5
2012-11-22,4,-0.5416620125000005,0
2012-11-23,0,-0.25675619625000007,0
2012-11-24,0,-0.16818506301562502,0
2012-11-25,0,0.875126634964063,0
2012-11-26,6,0.8083225537500003,1
2012-11-27,6,3.779621624484375,0
2012-11-28,4,-0.5373673337859377,0
2012-11-29,5,-0.277004065078125,0
2012-11-30,7,1.8072264873203125,1
2012-12-01,0,1.6880712375000002,0
2012-12-02,0,-0.37872270874999997,0
2012-12-03,2,-0.2203100592656249,0
2012-12-04,8,-0.16066695055156222,2
2012-12-05,2,2.879769395401563,13
2012-12-06,7,1.60784706485625,9
2012-12-07,2,-0.3835114175000001,2
2012-12-08,0,2.78317598146875,2
2012-12-09,0,0.545078168896875,6
2012-12-10,4,0.6585270449281252,7
2012-12-11,3,-0.30221953749999997,8
2012-12-12,5,-0.19509261374999967,34
2012-12-13,1,-0.14840508154687465,28
2012-12-14,2,-0.12059847113906214,5
2012-12-15,0,-0.07935755632187476,10
2012-12-16,0,-0.05296064779687485,0
2012-12-17,6,-0.045858566873437374,3
2012-12-18,1,-0.017967165551562456,4
2012-12-19,5,-0.008398852535937478,71
2012-12-20,1,0.0,26
2012-12-21,1,2.0,3
2012-12-22,0,0.7999999999999998,0
2012-12-23,0,-0.19000000000000017,0
2012-12-24,0,-0.10200000000000008,0
2012-12-25,0,-0.06982499999999987,1
2012-12-26,1,2.9471040000000004,0
2012-12-27,3,3.657559225,2
2012-12-28,0,-0.5703494050000003,5
2012-12-29,0,-0.2957303222812501,1
2012-12-30,0,-0.2023535180874998,0
2012-12-31,0,0.860600897464063,0
2013-01-01,0,-0.20395303749999977,3
2013-01-02,2,-0.13092913874999978,0
2013-01-03,5,-0.10157972404687482,0
2013-01-04,4,-0.08413230967031227,1
2013-01-05,0,-0.049712160143749864,1
2013-01-06,0,0.9868379875000001,0
2013-01-07,7,-0.11109369625000005,1
2013-01-08,4,1.945431686984375,3
2013-01-09,1,0.7631011474640623,0
2013-01-10,6,-0.21066250000000009,0
2013-01-11,3,3.88188325,3
2013-01-12,0,0.5170129874999998,0
2013-01-13,0,-0.34398969625,1
2013-01-14,4,-0.21100908801562496,0
2013-01-15,2,-0.15489825753593708,2
2013-01-16,3,-0.11535982228124964,1
2013-01-17,1,0.9048691819125003,0
2013-01-18,2,-0.1659356500359374,0
2013-01-19,0,0.9056330516875001,0
2013-01-20,0,-0.171663723159375,1
2013-01-21,4,5.925938647464062,0
2013-01-22,4,1.3553832499999996,1
2013-01-23,3,2.4961754874999995,3
2013-01-24,6,-0.5882104462500004,1
2013-01-25,6,-0.3387053255156246,0
2013-01-26,0,-0.24301804878593708,0
2013-01-27,2,-0.18276138801562442,0
2013-01-28,2,0.850364694964063,0
2013-01-29,1,-0.21908330809374976,0
2013-01-30,0,-0.14781082999687475,0
2013-01-31,8,-0.0740026441187499,3
2013-02-01,6,6.954140942392188,6
2013-02-02,0,-0.7161167500000005,0
2013-02-03,0,0.6718379874999998,0
2013-02-04,3,-0.3105936962500002,0
2013-02-05,3,2.8007941869843753,2
2013-02-06,6,10.550283897464062,16
2013-02-07,5,-1.3477965875000006,2
2013-02-08,11,2.3257273762499997,0
2013-02-09,0,-0.755627703609375,1
2013-02-10,0,6.519476585998438,1
2013-02-11,11,0.988161399484375,2
2013-02-12,9,-0.7634495787859371,0
2013-02-13,7,-0.48858584779687464,0
2013-02-14,7,3.6284284617203135,3
2013-02-15,2,1.320189283354688,0
2013-02-16,1,-0.5330725265468749,0
2013-02-17,2,-0.3331764563578123,0
2013-02-18,5,-0.2288155836093745,1
2013-02-19,12,-0.18372059378281191,1
2013-02-20,11,-0.1016792550718747,0
2013-02-21,8,-0.07069880999999979,0
2013-02-22,3,0.9395393554375002,3
2013-02-23,0,-0.15273203617499995,1
2013-02-24,0,-0.061797705071874987,0
2013-02-25,11,-0.028500000000000022,0
2013-02-26,1,-0.020662499999999924,2
2013-02-27,5,-0.016116749999999947,0
2013-02-28,5,0.9868379875000001,0
2013-03-01,5,-0.11109369625000005,2
2013-03-02,0,-0.05456831301562501,7
2013-03-03,0,-0.0368988525359375,7
2013-03-04,6,-0.020662499999999924,3
2013-03-05,7,-0.016116749999999947,4
2013-03-06,12,-0.01316201249999996,18
2013-03-07,6,2.98890630375,10
2013-03-08,5,0.6904316869843747,0
2013-03-09,2,2.756601147464062,0
2013-03-10,0,1.5694999999999997,0
2013-03-11,3,-0.4254875000000001,9
2013-03-12,4,-0.2445127499999999,1
2013-03-13,1,-0.17459028749999966,20
2013-03-14,7,-0.13611835124999955,35
2013-03-15,6,-0.11151817279687468,5
2013-03-16,0,-0.09436998437343723,6
2013-03-17,0,0.9407088159171877,0
2013-03-18,0,-0.14433318363906247,0
2013-03-19,1,-0.061797705071874987,22
2013-03-20,1,-0.028500000000000022,1
2013-03-21,5,-0.020662499999999924,10
2013-03-22,8,-0.016116749999999947,2
2013-03-23,1,-0.01316201249999996,0
2013-03-24,3,-0.011093696249999967,2
2013-03-25,4,-0.009568313015624975,2
2013-03-26,0,-0.008398852535937478,3
2013-03-27,0,0.0,1
2013-03-28,0,0.0,0
2013-03-29,0,0.0,0
2013-03-30,0,0.0,1
2013-03-31,0,0.0,2
2013-04-01,0,0.0,0
2013-04-02,11,0.0,5
2013-04-03,5,0.0,6
2013-04-04,3,0.0,0
2013-04-05,9,2.0,1
2013-04-06,0,-0.20000000000000018,0
2013-04-07,0,-0.09000000000000007,5
2013-04-08,3,2.943,0
2013-04-09,11,-0.3413250000000001,0
2013-04-10,1,0.8327665,0
2013-04-11,9,-0.21182402500000008,4
2013-04-12,2,1.8708251075000002,0
2013-04-13,0,-0.29598687603125,0
2013-04-14,0,-0.16694624257187485,0
2013-04-15,2,-0.10639783874999989,1
2013-04-16,1,-0.08319195154687473,0
2013-04-17,3,-0.06852375385781229,5
2013-04-18,2,0.9641076619843751,2
2013-04-19,7,4.869413754964063,3
2013-04-20,0,2.4358633739687496,1
2013-04-21,0,0.4297022949281246,0
2013-04-22,3,3.6018375,0
2013-04-23,0,-0.64992925,0
2013-04-24,2,-0.36423326249999965,0
2013-04-25,6,2.7400834912500005,2
2013-04-26,0,-0.5032895817656247,0
2013-04-27,0,-0.3021505188640621,0
2013-04-28,0,-0.21994094797656222,0
2013-04-29,2,0.858872844376563,0
2013-04-30,0,1.8049776454015627,12
2013-05-01,3,-0.31808144764375,1
2013-05-02,1,-0.15178108875,0
2013-05-03,3,-0.1063674390468749,0
2013-05-04,0,1.9173616923921877,1
2013-05-05,0,-0.24539551250000002,1
2013-05-06,2,-0.12741772124999995,0
2013-05-07,5,5.911244294484375,1
2013-05-08,2,1.3311395214328123,2
2013-05-09,0,2.480968794928125,0
2013-05-10,0,-0.5873240250000004,0
2013-05-11,4,3.6618376075000003,0
2013-05-12,0,0.35733787396875005,0
2013-05-13,0,0.5300092199281254,1
2013-05-14,0,8.5997635475,0
2013-05-15,3,-1.1752333080937503,8
2013-05-16,1,-0.6214403299968747,0
2013-05-17,3,-0.39142994411874976,1
2013-05-18,0,-0.28481260510781153,0
2013-05-19,0,1.7924202891875005,6
2013-05-20,1,0.6272844680906253,16
2013-05-21,8,2.6921895681984376,1
2013-05-22,2,1.5034863303234374,2
2013-05-23,9,-0.4804146728234374,1
2013-05-24,5,-0.22839599999999993,3
2013-05-25,0,-0.16142827499999968,2
2013-05-26,3,1.8749753450000004,1
2013-05-27,4,0.6980501402187501,0
2013-05-28,0,1.7240288681625002,21
2013-05-29,4,2.6387088159171874,9
2013-05-30,2,1.4958418163609375,25
2013-05-31,4,-0.4616937050718751,0
2013-06-01,0,1.7407342250000002,2
2013-06-02,0,3.6134295950000004,1
2013-06-03,2,-0.63622959728125,2
2013-06-04,2,1.6427270519125001,3
2013-06-05,4,1.5575344076828126,0
2013-06-06,4,-0.4725735366187496,0
2013-06-07,2,1.7178757913609377,0
2013-06-08,1,-0.3899581475718748,5
2013-06-09,0,3.7729300889687503,0
2013-06-10,7,6.429371517865625,0
2013-06-11,6,1.9965681723562496,5
2013-06-12,10,21.197442481468748,4
2013-06-13,19,-1.679408356103127,5
2013-06-14,11,2.5764104024281247,2
2013-06-15,0,5.6814105739687495,0
2013-06-16,0,-0.5647318275718733,0
2013-06-17,8,2.9403538366875015,0
2013-06-18,8,1.833314284996876,4
