,getsentry/sentry,elastic/kibana,grafana/grafana
2017-05-22,6,4,9
2017-05-23,4,20,17
2017-05-24,4,16,18
2017-05-25,10,27,5
2017-05-26,6,15,8
2017-05-27,0,5,0
2017-05-28,0,0,0
2017-05-29,1,1,16
2017-05-30,23,5,2
2017-05-31,16,14,5
2017-06-01,8,5,1
2017-06-02,15,13,4
2017-06-03,1,0,2
2017-06-04,0,0,5
2017-06-05,6,3,17
2017-06-06,7,15,8
2017-06-07,29,5,17
2017-06-08,14,5,17
2017-06-09,11,6,1
2017-06-10,0,0,0
2017-06-11,0,0,0
2017-06-12,4,10,44
2017-06-13,6,13,10
2017-06-14,7,11,9
2017-06-15,5,3,9
2017-06-16,4,1,10
2017-06-17,0,0,10
2017-06-18,0,0,3
2017-06-19,6,10,20
2017-06-20,17,13,6
2017-06-21,19,13,10
2017-06-22,6,18,17
2017-06-23,14,12,15
2017-06-24,1,0,1
2017-06-25,1,0,3
2017-06-26,27,9,1
2017-06-27,21,16,9
2017-06-28,19,12,5
2017-06-29,17,13,5
2017-06-30,13,15,1
2017-07-01,0,2,0
2017-07-02,0,0,0
2017-07-03,11,7,7
2017-07-04,0,0,10
2017-07-05,11,7,12
2017-07-06,21,11,5
2017-07-07,5,8,4
2017-07-08,2,0,0
2017-07-09,0,1,1
2017-07-10,1,14,3
2017-07-11,9,20,1
2017-07-12,14,14,10
2017-07-13,12,13,1
2017-07-14,4,19,2
2017-07-15,0,0,0
2017-07-16,0,1,0
2017-07-17,3,10,1
2017-07-18,12,23,4
2017-07-19,12,13,3
2017-07-20,2,16,2
2017-07-21,7,22,3
2017-07-22,0,1,0
2017-07-23,0,0,0
2017-07-24,9,16,13
2017-07-25,6,9,1
2017-07-26,13,18,1
2017-07-27,21,7,2
2017-07-28,10,12,1
2017-07-29,0,1,1
2017-07-30,0,0,0
2017-07-31,7,13,25
2017-08-01,3,27,16
2017-08-02,2,16,14
2017-08-03,9,12,9
2017-08-04,6,14,10
2017-08-05,2,1,1
2017-08-06,0,0,0
2017-08-07,10,14,26
2017-08-08,8,16,26
2017-08-09,9,20,17
2017-08-10,5,16,16
2017-08-11,3,7,6
2017-08-12,0,1,0
2017-08-13,0,0,0
2017-08-14,9,11,10
2017-08-15,4,5,15
2017-08-16,9,14,5
2017-08-17,5,20,9
2017-08-18,7,18,11
2017-08-19,0,2,3
2017-08-20,2,0,2
2017-08-21,10,11,10
2017-08-22,20,9,1
2017-08-23,16,10,7
2017-08-24,17,16,14
2017-08-25,6,25,4
2017-08-26,1,0,5
2017-08-27,0,0,0
2017-08-28,14,14,13
2017-08-29,7,9,8
2017-08-30,9,16,2
2017-08-31,9,7,5
2017-09-01,6,7,6
2017-09-02,1,0,1
2017-09-03,0,3,0
2017-09-04,0,2,14
2017-09-05,8,9,8
2017-09-06,4,7,4
2017-09-07,10,24,18
2017-09-08,10,14,10
2017-09-09,0,0,0
2017-09-10,0,0,0
2017-09-11,6,22,5
2017-09-12,16,24,18
2017-09-13,9,18,17
2017-09-14,6,29,27
2017-09-15,8,18,23
2017-09-16,0,0,0
2017-09-17,1,0,0
2017-09-18,6,5,40
2017-09-19,5,16,8
2017-09-20,15,21,4
2017-09-21,2,12,30
2017-09-22,23,15,16
2017-09-23,0,0,0
2017-09-24,1,0,9
2017-09-25,5,0,1
2017-09-26,12,20,7
2017-09-27,8,3,11
2017-09-28,14,20,15
2017-09-29,8,4,54
2017-09-30,1,1,0
2017-10-01,0,0,4
2017-10-02,8,10,20
2017-10-03,8,16,11
2017-10-04,9,8,14
2017-10-05,7,10,42
2017-10-06,5,17,6
2017-10-07,1,0,3
2017-10-08,0,1,2
2017-10-09,13,10,11
2017-10-10,9,9,17
2017-10-11,13,9,31
2017-10-12,4,9,41
2017-10-13,12,4,16
2017-10-14,0,9,3
2017-10-15,0,1,2
2017-10-16,6,0,18
2017-10-17,4,0,24
2017-10-18,10,11,18
2017-10-19,20,1,6
2017-10-20,13,0,7
2017-10-21,0,0,0
2017-10-22,0,1,14
2017-10-23,8,20,19
2017-10-24,7,15,32
2017-10-25,11,19,12
2017-10-26,10,44,22
2017-10-27,4,15,6
2017-10-28,0,0,5
2017-10-29,0,0,5
2017-10-30,11,11,8
2017-10-31,12,15,30
2017-11-01,10,16,21
2017-11-02,5,29,8
2017-11-03,6,15,8
2017-11-04,0,1,1
2017-11-05,0,0,0
2017-11-06,1,33,3
2017-11-07,2,12,1
2017-11-08,2,13,4
2017-11-09,0,14,4
2017-11-10,0,5,1
2017-11-11,4,1,2
2017-11-12,0,0,0
2017-11-13,12,10,14
2017-11-14,14,8,10
2017-11-15,19,12,41
2017-11-16,7,11,22
2017-11-17,9,18,23
2017-11-18,0,1,0
2017-11-19,1,0,0
2017-11-20,5,9,18
2017-11-21,9,21,24
2017-11-22,3,19,14
2017-11-23,0,3,20
2017-11-24,0,0,8
2017-11-25,0,0,0
2017-11-26,0,0,1
2017-11-27,5,12,18
2017-11-28,8,15,11
2017-11-29,9,17,15
2017-11-30,6,15,15
2017-12-01,8,18,25
2017-12-02,1,1,7
2017-12-03,0,0,5
2017-12-04,6,24,13
2017-12-05,5,11,22
2017-12-06,6,18,20
2017-12-07,5,11,52
2017-12-08,8,9,39
2017-12-09,1,1,8
2017-12-10,0,0,9
2017-12-11,8,14,35
2017-12-12,11,25,39
2017-12-13,11,22,69
2017-12-14,10,10,36
2017-12-15,5,26,32
2017-12-16,0,3,1
2017-12-17,0,0,0
2017-12-18,25,12,11
2017-12-19,19,10,38
2017-12-20,10,8,18
2017-12-21,22,9,7
2017-12-22,2,3,9
2017-12-23,0,1,2
2017-12-24,0,3,0
2017-12-25,0,5,2
2017-12-26,0,1,7
2017-12-27,0,0,10
2017-12-28,0,2,16
2017-12-29,0,1,3
2017-12-30,0,1,0
2017-12-31,1,0,6
2018-01-01,0,0,3
2018-01-02,17,6,3
