,slint-ui/slint,iced-rs/iced,redox-os/orbtk
2020-05-04,15,12,12.0
2020-05-05,19,1,1.799999999999999
2020-05-06,14,1,5.159999999999999
2020-05-07,18,0,0.9229999999999992
2020-05-08,0,0,24.196550000000002
2020-05-09,1,0,-2.0163885000000015
2020-05-10,0,0,-1.6122694
2020-05-11,28,0,3.9318641075
2020-05-12,23,0,1.695631080062502
2020-05-13,9,0,1.8290413780218766
2020-05-14,1,2,-0.027460890701561658
2020-05-15,0,3,3.2161533400031264
2020-05-16,0,0,2.059829523287501
2020-05-17,0,0,-0.9041874389140617
2020-05-18,29,0,5.578633878714063
2020-05-19,14,10,-0.9048754413281249
2020-05-20,20,3,0.48640319702343804
2020-05-21,7,6,-0.43699349290468725
2020-05-22,15,10,3.7123993068765633
2020-05-23,0,0,6.394846306651562
2020-05-24,0,0,-1.0419349241906253
2020-05-25,29,2,-0.5368754851078125
2020-05-26,11,7,-0.3527218905937497
2020-05-27,13,10,-0.2705913114656241
2020-05-28,24,13,-0.17503361301562445
2020-05-29,1,9,-0.14490772503593707
2020-05-30,4,5,-0.11592912581249967
2020-05-31,3,0,0.8994263987468752
2020-06-01,0,4,-0.15879196775156243
2020-06-02,1,6,4.955
2020-06-03,6,1,8.471499999999999
2020-06-04,20,1,-0.14566250000000092
2020-06-05,24,9,-0.6636167500000004
2020-06-06,0,0,-0.4179745124999998
2020-06-07,0,0,-0.306139946249999
2020-06-08,17,11,-0.24109162551562424
2020-06-09,10,3,-0.1984421962859369
2020-06-10,19,3,7.839153156171875
2020-06-11,12,2,-0.9392027760703129
2020-06-12,11,1,7.554842014160937
2020-06-13,0,9,0.9636011474640616
2020-06-14,0,2,-0.7252999999999998
2020-06-15,9,0,16.553066
2020-06-16,21,0,0.9724038999999993
2020-06-17,17,0,-1.32400857
2020-06-18,6,1,-0.8335761041249998
2020-06-19,6,2,-0.6190269152874982
2020-06-20,3,1,1.5652938533750014
2020-06-21,0,0,0.44156809118125084
2020-06-22,11,0,1.5651234211781255
2020-06-23,7,3,10.502057589984375
2020-06-24,10,1,21.56868956784219
2020-06-25,19,2,14.069907442392186
2020-06-26,11,0,31.867734225
2020-06-27,2,1,-5.215370405000003
2020-06-28,0,1,-0.7685760972812492
2020-06-29,12,3,-0.1127832980874981
2020-06-30,1,3,1.2605353251828173
2020-07-01,3,10,0.38795537550625325
2020-07-02,9,0,-1.3950468510046847
2020-07-03,5,0,7.006827201657815
