,typesense/typesense,elastic/elasticsearch,meilisearch/meilisearch
2018-05-22,2.0,32,0.0
2018-05-23,-0.7999999999999998,28,0.0
2018-05-24,1.76,20,0.0
2018-05-25,-0.9279999999999998,17,0.0
2018-05-26,-0.3232000000000001,3,0.0
2018-05-27,-0.18790400000000004,1,0.0
2018-05-28,-0.1291264000000001,7,0.0
2018-05-29,0.90335488,17,0.0
2018-05-30,-0.4762378239999999,34,0.0
2018-05-31,-0.1823374336,24,0.0
2018-06-01,-0.09431142399999999,25,0.0
2018-06-02,-0.06719631360000004,5,0.0
2018-06-03,-0.029952000000000017,1,0.0
2018-06-04,0.9770368,38,0.0
2018-06-05,-0.4183705599999999,30,0.0
2018-06-06,-0.13515571199999998,28,0.0
2018-06-07,-0.0767981568,28,0.0
2018-06-08,0.9583999999999999,17,0.0
2018-06-09,0.5700480000000001,6,0.0
2018-06-10,-0.5429632,2,0.0
2018-06-11,-0.20237055999999998,18,0.0
2018-06-12,-0.12075571200000004,30,0.0
2018-06-13,-0.08435015680000006,37,0.0
2018-06-14,-0.05291520000000002,22,0.0
2018-06-15,-0.04133376,36,0.0
2018-06-16,-0.03352627199999999,2,0.0
2018-06-17,-0.02795386879999999,2,0.0
2018-06-18,-0.012798156799999997,18,0.0
2018-06-19,0.0,20,0.0
2018-06-20,0.0,21,0.0
2018-06-21,0.0,20,0.0
2018-06-22,0.0,19,0.0
2018-06-23,0.0,5,0.0
2018-06-24,0.0,3,1.0
2018-06-25,0.0,18,0.0
2018-06-26,0.0,16,0.0
2018-06-27,0.0,14,0.0
2018-06-28,0.0,27,0.0
2018-06-29,0.0,22,0.0
2018-06-30,0.0,1,0.0
2018-07-01,0.0,3,0.0
2018-07-02,0.0,10,0.0
2018-07-03,0.0,20,0.0
2018-07-04,0.0,11,0.0
2018-07-05,0.0,20,0.0
2018-07-06,0.0,18,0.0
2018-07-07,0.0,2,0.0
2018-07-08,0.0,3,0.0
2018-07-09,0.0,14,0.0
2018-07-10,0.0,16,0.0
2018-07-11,0.0,21,0.0
2018-07-12,0.0,23,0.0
2018-07-13,0.0,30,0.0
2018-07-14,0.0,3,0.0
2018-07-15,0.0,0,0.0
2018-07-16,0.0,28,0.0
2018-07-17,0.0,25,0.0
2018-07-18,0.0,23,0.0
2018-07-19,0.0,15,0.0
2018-07-20,0.0,30,0.0
2018-07-21,0.0,4,0.0
2018-07-22,0.0,2,0.0
2018-07-23,0.0,21,0.0
2018-07-24,0.0,23,0.0
2018-07-25,0.0,26,0.0
2018-07-26,0.0,24,0.0
2018-07-27,0.0,15,0.0
2018-07-28,0.0,5,0.0
2018-07-29,0.0,0,0.0
2018-07-30,3.0,19,0.0
2018-07-31,-1.1999999999999997,28,0.0
2018-08-01,-0.36,24,0.0
2018-08-02,-0.192,19,0.0
2018-08-03,0.8751999999999999,29,0.0
2018-08-04,-0.48985599999999996,1,0.0
2018-08-05,-0.18888960000000002,1,0.0
2018-08-06,-0.11911167999999998,23,0.0
2018-08-07,-0.08706713600000002,24,0.0
2018-08-08,-0.06834647040000001,16,0.0
2018-08-09,-0.022963200000000007,19,0.0
2018-08-10,0.98162944,26,0.0
2018-08-11,-0.4151557119999999,1,0.0
2018-08-12,-0.13279815679999998,0,0.0
2018-08-13,-0.064,18,0.0
2018-08-14,-0.04160000000000005,19,0.0
2018-08-15,1.970048,24,0.0
2018-08-16,-0.8229631999999998,24,0.0
2018-08-17,-0.25837055999999997,24,0.0
2018-08-18,0.856844288,7,0.0
2018-08-19,-0.49599815680000003,0,0.0
2018-08-20,-0.17990400000000004,29,0.0
2018-08-21,-0.10992640000000001,30,0.0
2018-08-22,-0.07834112000000004,23,0.0
2018-08-23,-0.060263424,22,0.0
2018-08-24,-0.0485595136,26,0.0
2018-08-25,-0.018370559999999994,3,46.0
2018-08-26,0.984844288,5,0.0
2018-08-27,-0.4127981567999999,23,0.0
2018-08-28,-0.12,28,0.0
2018-08-29,-0.064,25,1.0
2018-08-30,-0.04160000000000005,27,0.0
2018-08-31,0.970048,36,0.0
2018-09-01,0.5770368000000001,4,0.0
2018-09-02,-0.5383705599999999,6,0.0
2018-09-03,-0.19915571199999998,19,0.0
2018-09-04,1.8816018432,20,0.0
2018-09-05,-0.8715519999999999,31,0.0
2018-09-06,-0.29291520000000004,23,0.0
2018-09-07,-0.16933376,26,0.0
2018-09-08,0.8832737279999999,7,0.0
2018-09-09,-0.4878578687999999,10,3.0
2018-09-10,-0.1787245568,20,2.0
2018-09-11,-0.10074111999999999,20,0.0
2018-09-12,-0.07191142400000003,28,0.0
2018-09-13,-0.05554831360000001,24,0.0
2018-09-14,-0.022963200000000007,31,2.0
2018-09-15,-0.018370559999999994,3,3.0
2018-09-16,-0.015155711999999993,4,0.0
2018-09-17,-0.012798156799999997,28,0.0
2018-09-18,0.0,33,1.0
2018-09-19,0.0,32,0.0
2018-09-20,0.0,32,1.0
2018-09-21,0.0,12,3.0
2018-09-22,0.0,8,0.0
2018-09-23,0.0,0,0.0
