,twbs/bootstrap,ant-design/ant-design,mui/material-ui
2023-07-07,0,12,5.0
2023-07-08,0,5,2.220446049250313e-16
2023-07-09,0,3,-0.6000000000000003
2023-07-10,1,6,7.68
2023-07-11,0,10,6.184
2023-07-12,1,8,10.59872
2023-07-13,0,2,0.24831999999999965
2023-07-14,0,6,1.4021375999999988
2023-07-15,1,6,-2.30595328
2023-07-16,0,3,2.606747135999999
2023-07-17,6,8,10.2303184896
2023-07-18,0,7,9.527366144
2023-07-19,0,13,3.6292369408000003
2023-07-20,0,6,1.2133828608
2023-07-21,0,9,6.9432967168
2023-07-22,0,3,-3.7163754496
2023-07-23,2,3,0.9965021183999987
2023-07-24,6,10,8.021466111999999
2023-07-25,2,18,7.690312294400001
2023-07-26,1,8,2.0264097792000006
2023-07-27,2,14,3.7730751488
2023-07-28,0,12,2.8384314367999997
2023-07-29,1,2,4.059529728
2023-07-30,0,2,-1.0782576640000006
2023-07-31,0,6,6.926436863999999
2023-08-01,1,3,5.8335961088
2023-08-02,2,8,3.468063744
2023-08-03,0,15,4.7374990336
2023-08-04,0,10,3.6344359936
2023-08-05,3,0,-0.24118036479999994
2023-08-06,1,0,-2.4022667264000006
2023-08-07,0,19,10.524187443199999
2023-08-08,0,14,3.566741811200001
2023-08-09,0,7,4.8368169984
2023-08-10,0,6,0.6960385024
2023-08-11,0,5,8.4386394112
2023-08-12,0,0,-3.6968809471999995
2023-08-13,0,0,-1.895146188800001
2023-08-14,0,11,17.7497817088
2023-08-15,1,9,3.273686016000001
2023-08-16,0,4,9.131628851199999
2023-08-17,0,9,1.3531891711999995
2023-08-18,0,9,0.3941004287999994
2023-08-19,0,0,-0.8661262336000002
2023-08-20,0,3,3.8256019455999994
2023-08-21,3,12,7.429393919999999
2023-08-22,4,11,9.462029312
2023-08-23,0,4,7.4480164864
2023-08-24,0,10,3.3572574208
2023-08-25,0,4,-1.0302083072000006
2023-08-26,0,2,-0.7969531904000009
2023-08-27,0,3,-2.1436691456000005
2023-08-28,0,16,-0.4253385728000003
2023-08-29,0,19,8.7150258176
2023-08-30,0,7,6.097907200000002
2023-08-31,0,7,6.7694737408000005
