,expressjs/express,django/django,pallets/flask
2010-06-06,0,0.0,1
2010-06-07,0,5.0,10
2010-06-08,1,1.0,0
2010-06-09,1,0.0,0
2010-06-10,3,1.0,4
2010-06-11,2,1.0,0
2010-06-12,0,0.0,0
2010-06-13,1,0.0,0
2010-06-14,1,0.0,2
2010-06-15,4,0.0,0
2010-06-16,1,0.0,0
2010-06-17,0,2.0,3
2010-06-18,4,0.0,6
2010-06-19,3,2.0,2
2010-06-20,7,0.0,0
2010-06-21,0,3.0,0
2010-06-22,0,0.0,1
2010-06-23,0,4.0,0
2010-06-24,0,1.0,0
2010-06-25,0,0.0,0
2010-06-26,0,0.0,5
2010-06-27,0,0.0,4
2010-06-28,0,0.0,9
2010-06-29,0,0.0,2
2010-06-30,0,1.0,4
2010-07-01,0,0.0,1
2010-07-02,0,0.0,6
2010-07-03,0,0.0,0
2010-07-04,0,0.0,29
2010-07-05,22,4.0,6
2010-07-06,11,0.0,14
2010-07-07,41,0.0,2
2010-07-08,43,0.0,0
2010-07-09,7,0.0,0
2010-07-10,0,0.0,0
2010-07-11,0,0.0,0
2010-07-12,19,0.0,4
2010-07-13,18,0.0,3
2010-07-14,41,0.0,2
2010-07-15,47,0.0,11
2010-07-16,33,0.0,2
2010-07-17,0,1.0,18
2010-07-18,0,0.0,10
2010-07-19,7,0.0,0
2010-07-20,16,1.0,5
2010-07-21,11,1.0,0
2010-07-22,22,0.0,0
2010-07-23,9,0.0,8
2010-07-24,3,1.0,0
2010-07-25,0,1.0,16
2010-07-26,23,0.0,9
2010-07-27,13,0.0,14
2010-07-28,8,0.0,0
2010-07-29,0,0.0,4
2010-07-30,9,7.0,1
2010-07-31,3,0.0,0
2010-08-01,0,0.0,0
2010-08-02,3,0.0,0
2010-08-03,4,3.0,5
2010-08-04,10,2.0,0
2010-08-05,15,10.0,0
2010-08-06,8,19.0,0
2010-08-07,0,22.0,5
2010-08-08,0,0.0,0
2010-08-09,15,0.0,1
2010-08-10,0,0.0,2
2010-08-11,5,1.0,0
2010-08-12,1,1.0,0
2010-08-13,0,0.0,1
2010-08-14,0,12.0,0
2010-08-15,3,0.0,1
2010-08-16,1,2.0,0
2010-08-17,5,1.0,0
2010-08-18,0,3.0,3
2010-08-19,3,2.0,0
2010-08-20,10,4.0,3
2010-08-21,10,2.0,0
2010-08-22,0,0.0,0
2010-08-23,0,6.0,0
2010-08-24,11,1.0,0
2010-08-25,0,0.0,0
2010-08-26,0,1.0,0
2010-08-27,12,4.0,0
2010-08-28,0,10.0,0
2010-08-29,0,0.0,0
2010-08-30,1,8.0,0
2010-08-31,2,1.0,0
2010-09-01,0,0.0,0
2010-09-02,1,0.0,0
2010-09-03,2,3.0,0
2010-09-04,0,0.0,0
2010-09-05,0,0.0,0
2010-09-06,15,0.0,0
2010-09-07,0,6.0,0
2010-09-08,1,0.0,0
2010-09-09,0,3.0,1
2010-09-10,2,18.0,1
2010-09-11,1,10.0,0
2010-09-12,0,33.0,1
2010-09-13,18,20.0,0
2010-09-14,3,2.0,0
2010-09-15,0,0.0,0
2010-09-16,0,1.0,0
2010-09-17,0,0.0,0
2010-09-18,3,0.0,0
2010-09-19,0,1.0,0
2010-09-20,9,0.0,0
2010-09-21,5,1.0,0
2010-09-22,11,0.0,0
2010-09-23,2,0.0,0
2010-09-24,0,0.0,0
2010-09-25,0,0.0,0
2010-09-26,1,7.0,0
2010-09-27,0,23.0,0
2010-09-28,0,19.0,0
2010-09-29,0,3.0,0
2010-09-30,0,0.0,0
2010-10-01,5,8.0,0
2010-10-02,0,2.0,0
2010-10-03,0,0.0,0
2010-10-04,8,2.0,0
2010-10-05,6,3.0,0
2010-10-06,2,8.0,0
2010-10-07,25,5.0,4
2010-10-08,1,24.0,0
2010-10-09,0,28.0,0
2010-10-10,0,20.0,0
2010-10-11,2,17.0,0
2010-10-12,11,18.0,0
2010-10-13,0,9.0,0
2010-10-14,16,8.0,0
2010-10-15,13,11.0,0
2010-10-16,0,3.0,0
2010-10-17,6,3.0,0
2010-10-18,1,21.0,0
2010-10-19,14,14.0,3
2010-10-20,11,10.0,0
2010-10-21,1,9.0,0
2010-10-22,7,1.0,3
2010-10-23,1,10.0,0
2010-10-24,0,5.0,0
2010-10-25,1,4.0,1
2010-10-26,14,4.0,0
2010-10-27,0,7.0,0
2010-10-28,0,12.0,0
2010-10-29,0,5.0,5
2010-10-30,3,6.0,0
2010-10-31,0,6.0,0
2010-11-01,0,6.0,2
2010-11-02,0,17.0,0
2010-11-03,0,0.0,0
2010-11-04,0,13.0,0
2010-11-05,2,0.0,0
2010-11-06,0,10.0,0
2010-11-07,0,9.0,1
2010-11-08,1,2.0,1
2010-11-09,0,5.0,0
2010-11-10,0,0.0,0
2010-11-11,0,21.0,0
2010-11-12,5,9.0,0
2010-11-13,4,7.0,0
2010-11-14,0,5.0,0
2010-11-15,0,0.0,0
2010-11-16,0,10.0,0
2010-11-17,7,16.0,0
2010-11-18,1,6.0,0
2010-11-19,0,9.0,2
2010-11-20,3,13.0,0
2010-11-21,0,15.0,0
2010-11-22,1,7.0,0
2010-11-23,28,4.0,0
2010-11-24,3,4.0,0
2010-11-25,19,1.0,0
2010-11-26,0,15.0,0
2010-11-27,0,8.0,0
2010-11-28,3,6.0,0
2010-11-29,1,3.0,1
2010-11-30,2,4.0,0
2010-12-01,0,5.0,1
2010-12-02,6,11.0,0
2010-12-03,0,3.0,0
2010-12-04,0,20.0,0
2010-12-05,17,11.0,0
2010-12-06,1,7.0,1
2010-12-07,11,2.0,1
2010-12-08,1,6.0,0
2010-12-09,0,3.0,0
2010-12-10,6,1.0,0
2010-12-11,0,3.0,0
2010-12-12,0,23.0,0
2010-12-13,3,5.0,0
2010-12-14,1,4.0,0
