,davisking/dlib,scikit-image/scikit-image,opencv/opencv
2018-08-11,0,2,0
2018-08-12,0,1,0
2018-08-13,0,3,5
2018-08-14,0,0,8
2018-08-15,0,0,3
2018-08-16,0,5,14
2018-08-17,0,0,7
2018-08-18,0,0,2
2018-08-19,0,1,0
2018-08-20,0,2,10
2018-08-21,1,4,11
2018-08-22,1,9,7
2018-08-23,2,2,5
2018-08-24,0,0,14
2018-08-25,0,0,4
2018-08-26,1,0,2
2018-08-27,0,0,9
2018-08-28,0,5,9
2018-08-29,0,4,2
2018-08-30,4,0,24
2018-08-31,0,6,22
2018-09-01,0,16,8
2018-09-02,0,1,10
2018-09-03,1,3,20
2018-09-04,0,0,16
2018-09-05,0,1,13
2018-09-06,0,3,13
2018-09-07,1,2,12
2018-09-08,0,2,6
2018-09-09,0,1,8
2018-09-10,2,2,11
2018-09-11,0,0,11
2018-09-12,0,7,16
2018-09-13,1,9,14
2018-09-14,0,4,10
2018-09-15,0,1,3
2018-09-16,0,3,0
2018-09-17,0,4,15
2018-09-18,0,2,16
2018-09-19,0,4,14
2018-09-20,0,0,3
2018-09-21,0,0,7
2018-09-22,0,0,2
2018-09-23,3,2,3
2018-09-24,0,7,10
2018-09-25,0,2,8
2018-09-26,0,6,11
2018-09-27,0,0,8
2018-09-28,0,4,16
2018-09-29,6,3,11
2018-09-30,0,22,6
2018-10-01,0,1,11
2018-10-02,0,4,9
2018-10-03,0,4,5
2018-10-04,0,6,9
2018-10-05,0,3,8
2018-10-06,0,3,0
2018-10-07,0,0,2
2018-10-08,0,2,9
2018-10-09,0,10,5
2018-10-10,0,15,17
2018-10-11,0,5,18
2018-10-12,0,2,6
2018-10-13,0,0,6
2018-10-14,0,1,8
2018-10-15,0,6,27
2018-10-16,0,1,4
2018-10-17,0,9,12
2018-10-18,0,0,3
2018-10-19,0,1,3
2018-10-20,0,0,2
2018-10-21,0,3,3
2018-10-22,1,5,1
2018-10-23,0,2,4
2018-10-24,0,5,24
2018-10-25,0,6,23
2018-10-26,1,1,10
2018-10-27,0,6,3
2018-10-28,0,9,1
2018-10-29,0,3,13
2018-10-30,0,1,10
2018-10-31,0,0,12
2018-11-01,0,9,11
2018-11-02,0,5,10
2018-11-03,0,14,3
2018-11-04,1,2,4
2018-11-05,0,3,1
2018-11-06,0,8,21
2018-11-07,0,3,25
2018-11-08,0,0,19
2018-11-09,1,1,19
2018-11-10,0,1,10
2018-11-11,2,1,4
2018-11-12,2,0,25
2018-11-13,1,1,9
2018-11-14,1,0,13
2018-11-15,0,0,12
2018-11-16,0,1,27
2018-11-17,0,0,10
2018-11-18,0,0,5
2018-11-19,0,17,9
2018-11-20,2,1,9
2018-11-21,0,0,11
2018-11-22,0,1,6
2018-11-23,0,0,6
2018-11-24,0,1,3
2018-11-25,2,5,5
2018-11-26,0,3,14
2018-11-27,0,0,11
2018-11-28,0,1,9
2018-11-29,0,1,8
2018-11-30,0,0,4
2018-12-01,0,3,0
2018-12-02,0,1,0
2018-12-03,0,4,15
2018-12-04,0,2,6
