,decaporg/decap-cms,TryGhost/Ghost,strapi/strapi
2024-05-25,0,0.0,0
2024-05-26,0,0.0,0
2024-05-27,0,4.0,5
2024-05-28,0,5.2,4
2024-05-29,0,5.48,6
2024-05-30,0,8.928,8
2024-05-31,0,-1.1824000000000003,5
2024-06-01,0,-1.919744000000001,0
2024-06-02,0,-1.1581312000000008,0
2024-06-03,0,6.16536832,8
2024-06-04,0,10.949791232,6
2024-06-05,0,5.3095204864,8
2024-06-06,0,7.4214183936,10
2024-06-07,0,-3.0586037247999993,8
2024-06-08,0,-2.293490278400001,0
2024-06-09,0,-1.4103083008000006,0
2024-06-10,0,3.9685145599999996,2
2024-06-11,0,8.180883456,6
2024-06-12,0,0.9230810112000007,6
2024-06-13,0,6.661786316800001,2
2024-06-14,1,-2.0554157055999993,7
2024-06-15,0,-1.7272305664000005,0
2024-06-16,0,-1.0163733504000005,0
2024-06-17,0,2.2585343999999994,10
2024-06-18,0,3.8136550400000004,12
2024-06-19,0,10.276674048,14
2024-06-20,0,3.7009863680000006,9
2024-06-21,0,1.1029064703999998,12
2024-06-22,0,-2.3072198656000005,2
2024-06-23,0,0.7393642495999992,1
2024-06-24,0,8.71344384,12
2024-06-25,0,-0.8460943359999997,18
2024-06-26,4,8.146387148799999,9
2024-06-27,1,4.8575984640000005,0
2024-06-28,0,-2.2011250687999997,5
2024-06-29,0,-1.8282539008000005,0
2024-06-30,0,-1.1390908416000005,0
2024-07-01,0,12.188939776,7
2024-07-02,0,10.755154739200002,6
2024-07-03,0,1.6482974719999994,6
2024-07-04,0,5.731341619199999,1
2024-07-05,0,-0.6455219200000002,2
2024-07-06,0,-2.5245105152000007,0
2024-07-07,0,-1.509147750400001,0
2024-07-08,1,5.89433344,1
2024-07-09,0,7.722788864000001,1
2024-07-10,0,6.714442956800001,3
2024-07-11,0,2.3894759424000003,0
2024-07-12,0,0.029714329599999978,0
2024-07-13,0,-2.2301392896000003,0
2024-07-14,0,-1.2997696512000008,0
2024-07-15,0,1.0762649599999996,0
2024-07-16,0,0.8717148160000003,1
2024-07-17,0,5.840389427200001,2
2024-07-18,0,6.912582656000001,2
2024-07-19,0,0.2150000640000007,2
2024-07-20,0,0.10774876159999969,0
2024-07-21,0,-1.4365376512000005,0
2024-07-22,0,1.1401369599999995,6
2024-07-23,0,0.9677455359999998,4
2024-07-24,0,7.9401316352,3
2024-07-25,0,1.5536484352000004,4
2024-07-26,0,0.008387379200000211,1
2024-07-27,0,0.5404872703999999,0
2024-07-28,0,-1.2125130752000002,0
2024-07-29,1,5.280126259199999,1
2024-07-30,0,2.2881679360000002,2
2024-07-31,0,4.3139581952,5
2024-08-01,4,5.8779354112,5
2024-08-02,3,-1.7180860416,1
2024-08-03,0,-1.5281222656000006,0
2024-08-04,0,-0.9440309248000003,0
2024-08-05,1,5.3217697792,1
2024-08-06,0,0.28550604800000046,6
2024-08-07,5,0.6971063296,3
2024-08-08,0,1.8599537664,3
2024-08-09,0,-0.2644445183999995,3
2024-08-10,0,-0.8705585152,0
