,elastic/kibana,getsentry/sentry,grafana/grafana
2013-08-22,0,0.0,8
2013-08-23,0,0.0,9
2013-08-24,0,17.0,1
2013-08-25,0,15.600000000000001,0
2013-08-26,0,-0.16000000000000014,30
2013-08-27,0,0.6639999999999979,16
2013-08-28,0,32.3168,5
2013-08-29,0,-8.632511999999998,4
2013-08-30,0,-3.992473600000003,19
2013-08-31,0,-1.6179814400000017,0
2013-09-01,0,-2.1464867839999995,0
2013-09-02,0,-0.6254542847999986,1
2013-09-03,0,-0.3395710975999995,3
2013-09-04,0,3.9740672,4
2013-09-05,0,-1.7069833215999977,0
2013-09-06,0,-0.9384560639999991,5
2013-09-07,0,-0.31606272000000024,1
2013-09-08,0,-0.22835251200000004,0
2013-09-09,0,-0.17750487040000007,1
2013-09-10,0,3.866541568,1
2013-09-11,0,0.08850933760000024,12
2013-09-12,0,-0.6044079104,1
2013-09-13,0,-0.334346752,9
2013-09-14,0,1.8175999999999999,1
2013-09-15,0,36.464256,8
2013-09-16,0,-7.667251199999999,17
2013-09-17,0,5.855864319999997,10
2013-09-18,0,-3.717677568000001,0
2013-09-19,0,3.9214628863999987,9
2013-09-20,0,6.3698410496,13
2013-09-21,0,-3.3721190400000003,0
2013-09-22,0,4.107111935999999,0
2013-09-23,0,-2.574743244799998,4
2013-09-24,0,-1.5493224447999996,0
2013-09-25,0,-0.7698862079999997,3
2013-09-26,0,-0.5992436736,2
2013-09-27,2,0.6081172480000002,1
2013-09-28,0,-0.5268783103999992,0
2013-09-29,0,7.7062155264,1
2013-09-30,2,-0.7343262719999992,7
2013-10-01,1,-0.9484161024000003,3
2013-10-02,2,1.5104639999999996,0
2013-10-03,0,-0.7372288,0
2013-10-04,0,-0.41481472000000025,0
2013-10-05,0,0.7006458879999999,1
2013-10-06,0,-0.43551191040000004,0
2013-10-07,1,-0.26310041599999967,1
2013-10-08,0,1.7969998848000004,1
2013-10-09,0,12.5200772096,5
2013-10-10,0,0.18568857600000044,2
2013-10-11,0,4.218632499199999,4
2013-10-12,0,-2.1481267200000005,3
2013-10-13,0,-1.1262597120000006,0
2013-10-14,0,14.2259050496,3
2013-10-15,0,5.422364160000001,6
2013-10-16,0,-1.4633251840000008,3
2013-10-17,0,-0.2253319168000001,8
2013-10-18,0,5.1971749888000005,1
2013-10-19,0,5.534825676800001,0
2013-10-20,0,16.0657278976,0
2013-10-21,0,5.667968,3
2013-10-22,0,-4.79928576,3
2013-10-23,0,-1.6307927040000005,4
2013-10-24,0,0.11145738239999958,3
2013-10-25,0,5.329584435199999,7
2013-10-26,0,-0.5381096447999996,0
2013-10-27,0,3.1616883712,0
2013-10-28,4,-2.148051251199999,3
2013-10-29,0,2.802116710400001,2
2013-10-30,0,-1.4808991743999997,9
2013-10-31,2,-0.7303147520000004,1
2013-11-01,2,-0.5202694144000002,8
2013-11-02,0,-0.39605012479999957,0
2013-11-03,0,-0.30283847679999976,0
2013-11-04,0,16.8214075392,2
2013-11-05,2,1.4699463680000004,3
2013-11-06,9,13.582449151999999,3
2013-11-07,5,0.5341225983999998,4
2013-11-08,0,-3.0912000000000015,1
2013-11-09,0,-0.7701120000000012,0
2013-11-10,0,-0.45256960000000057,0
2013-11-11,0,-1.2464742400000006,0
2013-11-12,2,-0.9117655039999994,1
2013-11-13,4,0.26151096320000067,1
2013-11-14,2,3.363680256000001,2
2013-11-15,1,-1.197412966399999,7
2013-11-16,0,9.532297728,0
2013-11-17,0,7.743085568000001,0
2013-11-18,6,-0.9867930624000003,0
2013-11-19,2,-1.815042150400001,4
2013-11-20,1,-1.0746419200000008,0
2013-11-21,12,-0.7694545920000003,0
2013-11-22,0,-0.5968681984,0
2013-11-23,1,1.5254953984,1
2013-11-24,0,-0.7540019199999994,0
2013-11-25,0,-0.4624240639999992,1
2013-11-26,0,7.750531072,2
2013-11-27,4,-1.6921387007999995,0
2013-11-28,3,1.3089279999999994,0
2013-11-29,0,1.1751424,2
2013-11-30,0,11.13734656,0
2013-12-01,0,-1.8890634239999997,0
2013-12-02,7,7.488430899199999,6
2013-12-03,0,10.29031424,12
2013-12-04,0,-3.978231296,7
2013-12-05,4,0.013502156799998888,2
2013-12-06,0,-1.6597104640000007,6
2013-12-07,0,-1.1038875648000004,2
2013-12-08,0,-0.8263451647999995,4
2013-12-09,0,-0.6491347967999997,5
2013-12-10,0,0.5869218816000005,5
2013-12-11,0,0.4598779904000011,4
2013-12-12,2,1.5240450048000005,5
2013-12-13,1,3.443224576,4
2013-12-14,0,-1.0665387007999998,0
2013-12-15,0,-0.4751360000000004,3
2013-12-16,0,16.6948352,3
2013-12-17,5,-3.6228275199999995,4
2013-12-18,7,-1.5343160320000013,0
2013-12-19,2,-0.9584257024000006,2
2013-12-20,0,-0.6801516544,6
2013-12-21,0,1.4833984512000002,1
2013-12-22,0,-0.7971670016,4
2013-12-23,13,-0.4477542400000003,7
2013-12-24,0,0.659408896000001,11
2013-12-25,2,4.520821043200001,4
2013-12-26,0,-1.1310719999999999,10
2013-12-27,0,0.5111423999999996,7
2013-12-28,0,10.49254656,5
2013-12-29,2,8.497688576000002,12
2013-12-30,8,-2.3010475008,6
2013-12-31,0,4.239329279999999,2
2014-01-01,0,-2.3021573120000003,5
2014-01-02,1,-1.2833327104000003,2
2014-01-03,0,0.0935137279999998,10
2014-01-04,0,4.147565568,2
2014-01-05,5,0.3894270976000007,1
2014-01-06,17,3.7170727936000008,7
2014-01-07,5,-0.6867108863999998,3
2014-01-08,4,4.0116683775999995,2
2014-01-09,6,0.38987509760000005,0
2014-01-10,8,-0.18614272000000032,1
2014-01-11,0,-0.9011589120000004,1
2014-01-12,2,-0.5899413504,5
2014-01-13,2,10.560935424,1
2014-01-14,0,0.4993800192000011,3
2014-01-15,0,-1.7077616640000004,1
2014-01-16,0,2.0933098495999998,0
2014-01-17,0,0.7783511040000002,0
2014-01-18,0,-1.0610224128000003,0
2014-01-19,0,36.3822058496,5
2014-01-20,2,-4.844280319999999,16
2014-01-21,6,-2.912852992000002,6
2014-01-22,28,-2.508684390400001,4
2014-01-23,11,-1.5962458112000006,11
2014-01-24,7,-1.1706485760000003,6
2014-01-25,1,0.06774292479999988,1
2014-01-26,10,-0.9380497408000004,0
2014-01-27,14,-0.683554303999998,4
2014-01-28,14,9.430544179200002,1
2014-01-29,6,2.9146042368000007,2
2014-01-30,3,0.16199464959999954,0
2014-01-31,3,-1.3004288000000006,1
2014-02-01,0,-0.7529267200000005,16
2014-02-02,3,-0.5337477120000003,1
2014-02-03,4,0.5883626495999998,0
2014-02-04,5,7.4775168,0
2014-02-05,10,0.050631680000000845,18
2014-02-06,11,1.6815144960000001,5
2014-02-07,0,1.731277824,7
2014-02-08,0,-0.25527470080000025,8
2014-02-09,3,-0.8759168000000004,7
2014-02-10,3,-0.5562291200000004,4
2014-02-11,4,0.5839329279999999,6
2014-02-12,5,-0.5329188863999996,9
2014-02-13,6,2.6538672128000003,6
2014-02-14,11,5.2126892032,3
2014-02-15,0,-1.5710979071999995,7
2014-02-16,1,0.29866823679999965,0
2014-02-17,4,-0.6216981504000001,1
2014-02-18,21,1.6248652799999999,4
2014-02-19,7,-0.6768901119999999,3
2014-02-20,0,2.6205776895999997,3
2014-02-21,0,-0.8662594559999999,5
2014-02-22,4,-0.45136312319999977,0
2014-02-23,0,3.7131851776,2
2014-02-24,40,-0.9560453119999999,3
2014-02-25,26,2.5570692096,5
2014-02-26,22,-0.882061824,9
2014-02-27,24,-0.4501188608000002,5
2014-02-28,30,2.710692864,4
2014-03-01,0,-0.8199232511999999,2
2014-03-02,0,-0.3843148800000003,4
2014-03-03,22,-0.26283724799999986,2
2014-03-04,16,1.7985424384000002,5
2014-03-05,10,-0.5197711359999998,5
2014-03-06,51,0.7413055488,2
2014-03-07,28,8.65321984,6
2014-03-08,2,2.0096368640000004,2
2014-03-09,0,-1.6564800512000004,2
2014-03-10,2,6.1735424,4
2014-03-11,21,-0.95378944,3
2014-03-12,36,-0.17342822400000046,2
2014-03-13,13,0.056131379199999554,0
2014-03-14,2,0.18835660799999976,0
2014-03-15,0,-0.7500176383999997,0
2014-03-16,0,-0.4999126015999997,1
2014-03-17,2,1.7040707583999999,3
2014-03-18,7,28.402794496000002,6
2014-03-19,12,-6.124564684799998,5
2014-03-20,0,-2.480212582400002,0
2014-03-21,4,-0.502983782400001,0
2014-03-22,0,-1.2523290624000003,0
2014-03-23,0,-0.8738709504000005,6
2014-03-24,25,5.32571136,5
2014-03-25,8,0.24674969600000018,0
2014-03-26,8,-1.3477183487999986,13
2014-03-27,10,-0.8300399615999994,6
2014-03-28,3,-0.31452672000000015,3
2014-03-29,1,-0.23480371200000005,2
2014-03-30,0,-0.18611415040000007,3
2014-03-31,2,-0.1424179200000001,4
2014-04-01,2,1.8798202880000003,4
2014-04-02,4,-0.5035915263999996,4
2014-04-03,20,-0.18493870080000008,4
2014-04-04,6,1.904,2
2014-04-05,0,2.5328,8
2014-04-06,0,-0.811072,6
2014-04-07,18,-0.3768576000000003,3
2014-04-08,8,5.75494656,3
2014-04-09,12,1.6193525760000003,2
2014-04-10,24,-0.2224043008000003,5
2014-04-11,56,1.1768601599999995,3
2014-04-12,2,2.094844416,0
2014-04-13,14,-1.1301178367999998,2
2014-04-14,4,3.3938111488,2
2014-04-15,16,1.80041728,2
2014-04-16,18,-1.2294072319999998,3
2014-04-17,44,-0.6843715584000001,4
2014-04-18,14,0.5746643967999999,1
2014-04-19,0,-0.4949689343999999,0
2014-04-20,0,7.6935749632,2
2014-04-21,22,-1.8144013311999996,7
2014-04-22,0,11.218068992,3
2014-04-23,2,-1.9025765375999995,2
2014-04-24,13,-0.4866368512000008,1
2014-04-25,18,0.9227852799999994,3
2014-04-26,10,-1.1090181120000002,0
2014-04-27,0,4.3040848895999995,3
2014-04-28,27,8.484616704,3
2014-04-29,62,17.1839597568,0
2014-04-30,22,-1.3010800639999989,7
2014-05-01,9,19.730195763199998,2
2014-05-02,34,1.5956094976,0
2014-05-03,0,1.2972512255999984,2
2014-05-04,0,23.097019699199997,0
2014-05-05,1,-7.78872576,1
2014-05-06,12,7.069398527999998,4
2014-05-07,12,14.148094976000001,0
2014-05-08,0,3.399901184000001,0
2014-05-09,2,-4.3762533376,5
2014-05-10,0,3.663365324799999,0
2014-05-11,0,-2.5223985152,0
2014-05-12,16,-2.317185126399999,0
2014-05-13,12,1.3840264192000002,2
2014-05-14,22,0.4071034880000004,0
2014-05-15,6,-1.4525773823999988,3
2014-05-16,12,0.1297409024000009,0
2014-05-17,0,2.3252029440000004,0
2014-05-18,0,17.0460819456,0
2014-05-19,5,-4.102031564799999,5
2014-05-20,7,27.2782928896,16
2014-05-21,16,13.132647424,0
2014-05-22,28,-3.0880202752000017,3
2014-05-23,9,11.645200179199998,6
2014-05-24,0,-2.8872862720000008,0
2014-05-25,9,-1.8448574464000016,4
2014-05-26,4,-2.9419420672000003,1
2014-05-27,56,-2.0676431872000003,6
2014-05-28,60,-1.442869247999999,0
2014-05-29,33,15.812258918400001,0
2014-05-30,41,-3.0901237759999987,5
2014-05-31,26,4.0682814464,7
2014-06-01,0,0.6274738176000003,1
2014-06-02,53,5.2346165248,5
2014-06-03,33,11.5793492992,6
2014-06-04,35,13.9215744,1
2014-06-05,38,35.38180096,0
2014-06-06,20,-10.007898624,14
2014-06-07,0,2.617634611199997,7
2014-06-08,10,-2.9028813824000013,6
2014-06-09,9,-3.447717478400001,2
2014-06-10,10,13.6326094848,1
2014-06-11,14,10.978688819200002,4
2014-06-12,28,9.1005379584,4
2014-06-13,8,-5.0937736191999985,2
2014-06-14,2,13.592497561599998,7
2014-06-15,0,-5.3076004864,0
2014-06-16,24,-2.7759670272000014,3
2014-06-17,22,15.144732979199999,2
2014-06-18,60,2.1958010880000014,1
2014-06-19,82,-2.8981545983999997,1
2014-06-20,58,2.6444583936,8
2014-06-21,0,-2.4763822079999995,6
2014-06-22,4,-1.3743724543999996,9
2014-06-23,8,-1.0116205567999998,0
2014-06-24,7,0.37570815999999974,2
2014-06-25,5,-0.7111869439999992,2
2014-06-26,4,3.488236339200001,1
2014-06-27,0,-1.0343067647999997,4
2014-06-28,0,-0.4380079104,0
2014-06-29,0,1.720117248,0
2014-06-30,8,-0.5548287999999999,10
2014-07-01,2,-0.2790707200000002,2
2014-07-02,4,-0.19210291200000007,4
2014-07-03,2,-0.14737623040000003,5
2014-07-04,0,-0.10862284799999979,1
2014-07-05,0,-0.09073500159999988,0
2014-07-06,0,-0.03385344000000002,0
2014-07-07,4,-0.02877542399999988,1
2014-07-08,0,0.9750612992000001,1
2014-07-09,0,10.8,0
2014-07-10,2,-1.2799999999999994,0
2014-07-11,16,-1.1280000000000008,0
2014-07-12,0,-0.6416000000000004,0
2014-07-13,0,-0.4431360000000002,5
2014-07-14,0,1.6650751999999998,5
2014-07-15,8,4.33282048,3
2014-07-16,9,-1.381010432,5
2014-07-17,4,0.31633909760000023,2
2014-07-18,24,6.3412494336,1
2014-07-19,0,-1.7115413503999999,3
2014-07-20,0,4.223462399999999,4
2014-07-21,10,-1.50559744,2
2014-07-22,48,5.225854976,1
2014-07-23,36,7.2639419392,5
2014-07-24,8,16.329724928,0
2014-07-25,8,2.931445248,4
2014-07-26,0,9.0310726656,0
2014-07-27,0,-4.779535052800001,0
2014-07-28,0,0.5132646399999987,6
2014-07-29,10,1.6742497279999995,5
2014-07-30,8,-0.3079019519999999,6
2014-07-31,6,8.1146884096,17
2014-08-01,14,-3.239378841599999,4
2014-08-02,2,5.3209252864,0
2014-08-03,0,-2.397425459199999,4
2014-08-04,28,-1.2416689152000002,3
2014-08-05,26,-0.7430876160000002,5
2014-08-06,36,16.4316996608,10
2014-08-07,46,9.173327974400001,16
2014-08-08,6,-3.2718174207999997,15
2014-08-09,0,-2.2991805440000013,7
2014-08-10,20,8.624086016,11
2014-08-11,22,8.993802547200001,25
2014-08-12,38,12.0871424,13
2014-08-13,122,-5.218864640000001,14
2014-08-14,81,-0.6770672640000006,9
2014-08-15,64,-0.24250593279999944,12
2014-08-16,18,-1.7848092672,9
2014-08-17,9,1.9085418495999993,3
2014-08-18,25,1.5629414400000003,6
2014-08-19,27,7.473554432,5
2014-08-20,27,1.3442348032000013,11
2014-08-21,29,11.960979353599999,14
2014-08-22,31,1.207963136,10
2014-08-23,0,0.19399147519999893,2
2014-08-24,0,3.8267707391999988,3
2014-08-25,13,2.4696535039999996,8
2014-08-26,17,12.535869132799998,13
2014-08-27,28,1.5629124608000007,6
2014-08-28,27,-3.4271010816000005,3
2014-08-29,9,-1.9184413696,7
2014-08-30,1,-0.3395424255999999,0
2014-08-31,4,-1.093854208,0
2014-09-01,3,6.2519840768,3
2014-09-02,44,5.0287717376000005,5
2014-09-03,23,1.626677248000001,11
2014-09-04,47,0.005097472000000325,10
2014-09-05,8,-0.3864449024000003,10
2014-09-06,0,-0.9828787200000004,5
2014-09-07,0,-0.6465413120000003,1
2014-09-08,34,2.5086980096,2
2014-09-09,7,9.014411776000001,14
2014-09-10,6,-2.5620999167999994,5
2014-09-11,26,3.8568814592,10
2014-09-12,15,6.3236204544,2
2014-09-13,2,-2.4519344128,7
2014-09-14,0,-1.209115750400001,0
2014-09-15,13,-0.8070681600000005,2
2014-09-16,17,22.391089664,9
2014-09-17,20,1.9122828288000022,15
2014-09-18,43,-0.6127575040000011,11
2014-09-19,32,8.528647679999999,8
