,facebook/react,emberjs/ember.js,angular/angular
2018-09-18,11,1,15.0
2018-09-19,4,2,17.0
2018-09-20,0,0,4.0
2018-09-21,0,4,21.0
2018-09-22,0,6,2.0
2018-09-23,1,2,0.0
2018-09-24,0,6,20.0
2018-09-25,6,10,3.0
2018-09-26,4,5,48.0
2018-09-27,2,2,30.0
2018-09-28,2,1,5.0
2018-09-29,0,2,0.0
2018-09-30,0,1,0.0
2018-10-01,2,5,23.0
2018-10-02,1,4,1.0
2018-10-03,2,10,3.0
2018-10-04,9,7,19.0
2018-10-05,1,10,17.0
2018-10-06,0,2,0.0
2018-10-07,0,3,0.0
2018-10-08,0,6,17.0
2018-10-09,2,2,7.0
2018-10-10,7,1,18.0
2018-10-11,2,1,24.0
2018-10-12,8,3,15.0
2018-10-13,0,3,0.0
2018-10-14,1,9,0.0
2018-10-15,1,4,11.0
2018-10-16,1,1,8.0
2018-10-17,1,2,29.0
2018-10-18,4,12,14.0
2018-10-19,8,11,36.0
2018-10-20,11,4,17.0
2018-10-21,5,0,2.0
2018-10-22,1,2,3.0
2018-10-23,23,7,28.0
2018-10-24,2,5,14.0
2018-10-25,0,0,6.0
2018-10-26,0,2,33.0
2018-10-27,3,0,0.0
2018-10-28,0,0,0.0
2018-10-29,23,4,16.0
2018-10-30,3,1,15.0
2018-10-31,3,5,17.0
2018-11-01,2,1,40.0
2018-11-02,5,1,14.0
2018-11-03,0,1,0.0
2018-11-04,0,0,0.0
2018-11-05,9,4,8.0
2018-11-06,9,3,6.0
2018-11-07,15,2,7.0
2018-11-08,4,4,10.0
2018-11-09,14,6,10.0
2018-11-10,2,0,0.0
2018-11-11,0,6,0.0
2018-11-12,1,3,9.0
2018-11-13,4,3,14.0
2018-11-14,3,0,10.0
2018-11-15,1,1,1.0
2018-11-16,1,0,10.0
2018-11-17,0,0,5.0
2018-11-18,0,0,0.0
2018-11-19,5,4,3.0
2018-11-20,2,1,11.0
2018-11-21,0,3,9.0
2018-11-22,5,4,0.0
2018-11-23,3,3,0.0
2018-11-24,1,0,0.0
2018-11-25,0,0,0.0
2018-11-26,2,5,10.0
2018-11-27,4,0,23.0
2018-11-28,2,9,9.0
2018-11-29,1,2,2.0
2018-11-30,3,2,56.0
2018-12-01,1,0,1.0
2018-12-02,2,0,0.0
2018-12-03,3,0,14.0
2018-12-04,2,22,12.0
2018-12-05,2,39,52.0
2018-12-06,2,56,31.0
2018-12-07,2,35,16.0
2018-12-08,0,32,0.0
2018-12-09,0,30,0.0
2018-12-10,0,16,6.0
2018-12-11,0,12,12.0
2018-12-12,2,32,10.0
2018-12-13,2,0,16.0
2018-12-14,2,10,26.0
2018-12-15,0,5,0.0
2018-12-16,0,0,0.0
2018-12-17,0,5,14.0
2018-12-18,3,4,26.0
2018-12-19,0,18,7.0
2018-12-20,3,5,13.0
2018-12-21,0,5,8.0
2018-12-22,0,4,0.0
2018-12-23,0,2,0.0
2018-12-24,0,3,0.0
2018-12-25,1,0,0.0
2018-12-26,0,1,8.0
2018-12-27,0,1,0.0
2018-12-28,0,1,0.0
2018-12-29,0,0,0.0
2018-12-30,0,0,0.0
2018-12-31,0,0,0.0
2019-01-01,0,0,0.0
2019-01-02,1,7,0.0
2019-01-03,0,0,16.0
2019-01-04,0,7,14.0
2019-01-05,0,4,3.0
2019-01-06,0,0,3.0
2019-01-07,1,3,31.0
2019-01-08,2,3,16.0
2019-01-09,1,9,34.0
2019-01-10,2,1,22.0
2019-01-11,0,1,36.0
2019-01-12,1,3,5.0
2019-01-13,0,1,0.0
2019-01-14,2,2,27.0
2019-01-15,5,2,22.0
2019-01-16,2,7,8.0
2019-01-17,5,5,14.0
2019-01-18,10,2,10.0
2019-01-19,1,0,0.0
2019-01-20,0,0,0.0
2019-01-21,10,2,0.0
2019-01-22,3,9,43.0
2019-01-23,11,6,20.0
2019-01-24,4,2,8.0
2019-01-25,2,1,19.0
2019-01-26,0,3,0.0
2019-01-27,3,2,0.0
2019-01-28,2,1,21.0
2019-01-29,3,1,26.0
2019-01-30,9,0,17.0
2019-01-31,8,4,8.0
2019-02-01,3,4,6.0
2019-02-02,1,8,3.0
2019-02-03,0,3,0.0
2019-02-04,5,2,19.0
2019-02-05,10,3,22.0
2019-02-06,14,1,32.0
2019-02-07,2,1,18.0
2019-02-08,6,7,22.0
2019-02-09,2,3,3.0
2019-02-10,2,1,0.0
2019-02-11,3,3,25.0
2019-02-12,3,3,11.0
2019-02-13,11,1,45.0
2019-02-14,17,1,29.0
2019-02-15,4,7,2.0
2019-02-16,3,3,0.0
2019-02-17,1,2,8.0
2019-02-18,0,1,0.0
2019-02-19,10,7,27.0
2019-02-20,6,2,23.0
2019-02-21,21,0,17.0
2019-02-22,8,2,40.0
2019-02-23,4,0,2.0
2019-02-24,1,4,1.0
2019-02-25,5,6,12.0
2019-02-26,3,0,10.0
2019-02-27,10,2,21.0
2019-02-28,14,6,19.0
2019-03-01,8,5,11.0
2019-03-02,0,3,2.0
2019-03-03,3,6,0.0
2019-03-04,3,7,17.0
2019-03-05,4,2,16.0
2019-03-06,5,3,19.0
2019-03-07,10,7,27.0
2019-03-08,0,13,13.0
2019-03-09,5,0,2.0
2019-03-10,2,0,0.0
2019-03-11,9,0,10.0
2019-03-12,1,1,26.0
2019-03-13,5,11,14.0
2019-03-14,4,11,27.0
2019-03-15,12,3,12.0
2019-03-16,5,10,0.0
2019-03-17,4,6,0.0
2019-03-18,14,19,16.0
2019-03-19,7,10,19.0
2019-03-20,8,1,50.0
2019-03-21,6,5,25.0
2019-03-22,8,1,12.0
2019-03-23,0,0,0.0
2019-03-24,5,0,0.0
2019-03-25,4,4,7.0
2019-03-26,6,11,10.0
2019-03-27,4,5,31.0
2019-03-28,5,2,12.0
2019-03-29,8,14,20.0
2019-03-30,6,5,0.0
2019-03-31,0,3,0.0
2019-04-01,12,5,30.0
2019-04-02,12,9,29.0
2019-04-03,20,24,11.0
2019-04-04,34,2,16.0
2019-04-05,20,2,4.0
2019-04-06,11,10,0.0
2019-04-07,27,3,0.0
2019-04-08,30,5,16.0
2019-04-09,22,4,9.0
2019-04-10,52,4,15.0
2019-04-11,12,8,16.0
2019-04-12,45,4,6.0
2019-04-13,20,0,3.0
2019-04-14,2,1,0.0
2019-04-15,11,4,16.0
2019-04-16,18,1,10.0
2019-04-17,12,6,17.0
2019-04-18,21,2,6.0
2019-04-19,24,3,34.0
2019-04-20,15,0,4.0
2019-04-21,7,0,0.0
2019-04-22,19,4,15.0
2019-04-23,13,5,20.0
2019-04-24,21,10,26.0
2019-04-25,27,8,44.0
2019-04-26,14,3,38.0
2019-04-27,0,0,1.0
2019-04-28,8,0,0.0
2019-04-29,5,1,27.0
2019-04-30,16,4,6.0
2019-05-01,20,0,7.0
2019-05-02,6,4,1.0
2019-05-03,16,4,0.0
2019-05-04,3,0,0.0
2019-05-05,2,0,0.0
2019-05-06,9,0,11.0
2019-05-07,7,0,12.0
