,blevesearch/bleve,apache/solr,elastic/elasticsearch
2018-04-17,3,9,27
2018-04-18,0,7,15
2018-04-19,6,6,38
2018-04-20,4,12,46
2018-04-21,4,0,0
2018-04-22,0,1,0
2018-04-23,2,9,2
2018-04-24,9,3,8
2018-04-25,0,5,16
2018-04-26,4,14,31
2018-04-27,1,4,23
2018-04-28,2,6,3
2018-04-29,1,0,1
2018-04-30,4,6,15
2018-05-01,2,1,40
2018-05-02,1,8,37
2018-05-03,5,8,19
2018-05-04,7,3,21
2018-05-05,4,2,3
2018-05-06,0,5,5
2018-05-07,2,6,19
2018-05-08,2,4,33
2018-05-09,0,12,21
2018-05-10,0,5,22
2018-05-11,1,4,15
2018-05-12,0,4,3
2018-05-13,0,0,3
2018-05-14,1,1,29
2018-05-15,0,5,29
2018-05-16,1,14,40
2018-05-17,6,6,24
2018-05-18,0,14,20
2018-05-19,0,0,3
2018-05-20,1,1,2
2018-05-21,3,10,12
2018-05-22,0,5,32
2018-05-23,0,8,28
2018-05-24,0,2,20
2018-05-25,2,12,17
2018-05-26,0,0,3
2018-05-27,0,1,1
2018-05-28,0,12,7
2018-05-29,0,6,17
2018-05-30,3,14,34
2018-05-31,0,4,24
2018-06-01,0,3,25
2018-06-02,0,3,5
2018-06-03,0,1,1
2018-06-04,0,7,38
2018-06-05,0,15,30
2018-06-06,0,10,28
2018-06-07,0,12,28
2018-06-08,0,11,17
2018-06-09,0,4,6
2018-06-10,0,1,2
2018-06-11,1,15,18
2018-06-12,0,6,30
2018-06-13,0,13,37
2018-06-14,0,9,22
2018-06-15,0,7,36
2018-06-16,0,0,2
2018-06-17,0,1,2
2018-06-18,0,7,18
2018-06-19,0,5,20
2018-06-20,0,5,21
2018-06-21,0,8,20
2018-06-22,0,3,19
2018-06-23,0,0,5
2018-06-24,0,0,3
2018-06-25,0,5,18
2018-06-26,2,6,16
2018-06-27,3,8,14
2018-06-28,0,6,27
2018-06-29,0,5,22
2018-06-30,0,2,1
2018-07-01,0,0,3
2018-07-02,0,2,10
2018-07-03,0,4,20
2018-07-04,0,8,11
2018-07-05,0,11,20
2018-07-06,0,2,18
2018-07-07,0,1,2
2018-07-08,0,1,3
2018-07-09,0,4,14
2018-07-10,0,6,16
2018-07-11,0,1,21
