,spring-projects/spring-framework,apache/tomcat,apache/struts
2020-08-10,18.0,2,0
2020-08-11,2.400000000000001,4,2
2020-08-12,-1.640000000000001,8,0
2020-08-13,-1.544000000000001,3,0
2020-08-14,2.0271999999999997,3,0
2020-08-15,-1.3092480000000002,0,1
2020-08-16,1.2054655999999995,3,0
2020-08-17,3.00321024,10,3
2020-08-18,-1.4417679359999989,7,4
2020-08-19,8.1796907008,8,0
2020-08-20,-1.2096902143999997,1,1
2020-08-21,-1.1687215104000006,9,1
2020-08-22,2.3018352639999997,0,2
2020-08-23,-1.1033766911999998,0,0
2020-08-24,1.4000936959999997,2,0
2020-08-25,7.1641152512,3,0
2020-08-26,1.9165533184,5,0
2020-08-27,12.240975872,17,0
2020-08-28,10.240901734400001,2,1
2020-08-29,-4.495121510400001,0,0
2020-08-30,1.7852912639999987,0,1
2020-08-31,4.720764108799999,1,1
2020-09-01,9.206191616,5,0
2020-09-02,1.9967455231999995,1,0
2020-09-03,2.6893170687999994,0,0
2020-09-04,-3.0816234496,0,1
2020-09-05,4.1923339264,2,0
2020-09-06,-2.3813113855999997,0,0
2020-09-07,19.744000512,3,1
2020-09-08,5.882499174400001,8,0
2020-09-09,-3.5656711168,5,0
2020-09-10,-1.578734796800001,6,2
2020-09-11,3.2026848255999996,3,1
2020-09-12,-0.21023242239999984,0,0
2020-09-13,4.322172928,0,0
2020-09-14,13.6858699776,3,0
2020-09-15,10.521699328,12,0
2020-09-16,-4.220356710399999,19,0
2020-09-17,-1.6912932864000014,12,2
2020-09-18,9.1568357376,9,0
2020-09-19,-2.4814101503999995,0,0
2020-09-20,-2.0641832960000013,0,0
2020-09-21,0.6443395071999998,4,1
2020-09-22,-0.42248509439999893,1,0
2020-09-23,-0.12717680639999873,4,0
2020-09-24,2.1553925120000006,11,0
2020-09-25,34.9713202176,10,0
2020-09-26,-4.760332902399998,0,0
2020-09-27,-3.875544166400002,0,0
2020-09-28,-1.1610875904000015,2,0
2020-09-29,0.3036610559999995,7,0
2020-09-30,2.3823644671999995,3,0
2020-10-01,0.10231797759999961,6,0
2020-10-02,4.424119193599999,3,0
2020-10-03,-2.250881843199998,4,0
2020-10-04,-1.2739605503999991,0,0
2020-10-05,-0.5525363712000002,7,0
2020-10-06,16.617371648,5,0
2020-10-07,5.2969747456,1,0
2020-10-08,-1.3989157888000006,2,0
2020-10-09,2.883786854399999,8,1
2020-10-10,-1.2744649727999997,3,0
2020-10-11,-1.5073281024000005,1,0
2020-10-12,27.0356864,4,0
2020-10-13,6.661314560000001,1,2
2020-10-14,-1.439069184000001,1,4
2020-10-15,7.312998195199999,9,0
2020-10-16,6.6691380224,12,0
2020-10-17,-4.5376119808,0,4
2020-10-18,-2.5231088640000015,3,0
2020-10-19,3.2482640895999992,3,0
2020-10-20,0.6448855040000012,1,0
2020-10-21,2.8904982528000014,3,0
2020-10-22,5.8894368768000005,1,0
2020-10-23,12.293663846400001,0,0
2020-10-24,0.5960923136000016,0,0
2020-10-25,-1.0679148544000006,0,0
2020-10-26,32.937599999999996,4,0
2020-10-27,7.666849280000001,1,0
2020-10-28,-7.000613888000002,1,0
2020-10-29,0.2939276287999979,3,0
2020-10-30,-0.3285652480000003,6,0
2020-10-31,-2.7924216831999997,0,0
2020-11-01,-1.8484162560000004,0,0
2020-11-02,3.7111818239999996,4,0
2020-11-03,2.9977198592000023,2,0
2020-11-04,12.775046144000001,0,0
2020-11-05,4.0314971136,4,2
2020-11-06,-2.3163310080000006,10,0
2020-11-07,-1.948720537600001,0,0
2020-11-08,1.7647679487999994,0,1
2020-11-09,16.5133824,4,0
2020-11-10,0.4591078400000006,4,0
2020-11-11,-2.161152512000001,3,0
2020-11-12,11.001195008,1,0
2020-11-13,-0.920476671999999,0,3
2020-11-14,-2.4910769152000007,0,1
2020-11-15,-0.456247910400001,0,0
2020-11-16,7.743675904,0,0
2020-11-17,6.285782732800001,2,1
2020-11-18,1.7765040128000003,6,1
2020-11-19,8.456331775999999,6,4
2020-11-20,0.38977423360000074,1,3
2020-11-21,-2.6779174912000006,0,1
2020-11-22,-1.4840179712000008,0,1
2020-11-23,6.960132607999999,2,1
2020-11-24,1.5882607616000008,0,0
2020-11-25,0.9067920384000003,3,0
2020-11-26,2.2439281664,3,0
2020-11-27,0.21088153600000048,0,0
2020-11-28,-1.3974017023999998,0,3
2020-11-29,-0.7682518016000004,0,3
2020-11-30,2.4758630399999997,2,0
2020-12-01,2.9865610240000002,4,0
2020-12-02,2.6191269888000006,12,2
2020-12-03,6.5343949824,0,2
2020-12-04,1.6583876608000003,13,1
2020-12-05,-1.9216608256000005,0,0
2020-12-06,-1.0267691008000006,1,1
