,scikit-learn/scikit-learn,mlpack/mlpack,statsmodels/statsmodels
2014-02-05,11,2,0
2014-02-06,12,18,12
2014-02-07,11,3,19
2014-02-08,5,0,0
2014-02-09,0,0,2
2014-02-10,2,24,1
2014-02-11,2,8,1
2014-02-12,5,2,1
2014-02-13,6,2,6
2014-02-14,4,0,0
2014-02-15,9,0,0
2014-02-16,4,0,4
2014-02-17,11,1,2
2014-02-18,4,1,0
2014-02-19,4,5,2
2014-02-20,3,11,11
2014-02-21,0,2,15
2014-02-22,0,2,27
2014-02-23,6,0,18
2014-02-24,1,0,3
2014-02-25,3,0,7
2014-02-26,3,0,0
2014-02-27,9,0,2
2014-02-28,1,3,4
2014-03-01,8,4,1
2014-03-02,11,1,0
2014-03-03,11,1,0
2014-03-04,4,0,2
2014-03-05,10,1,15
2014-03-06,4,0,0
2014-03-07,5,0,0
2014-03-08,8,0,1
2014-03-09,10,2,0
2014-03-10,48,3,2
2014-03-11,11,4,0
2014-03-12,9,1,3
2014-03-13,3,1,17
2014-03-14,1,0,0
2014-03-15,0,0,8
2014-03-16,2,0,0
2014-03-17,1,0,0
2014-03-18,5,0,0
2014-03-19,8,0,0
2014-03-20,23,0,0
2014-03-21,9,0,0
2014-03-22,8,0,0
2014-03-23,6,0,5
2014-03-24,9,2,2
2014-03-25,3,4,2
2014-03-26,6,0,10
2014-03-27,12,0,7
2014-03-28,4,4,10
2014-03-29,4,0,0
2014-03-30,6,0,0
2014-03-31,2,2,8
2014-04-01,1,0,8
2014-04-02,7,0,7
2014-04-03,10,0,33
2014-04-04,5,0,58
2014-04-05,1,0,7
2014-04-06,7,0,8
2014-04-07,2,7,0
2014-04-08,1,0,4
2014-04-09,0,2,27
2014-04-10,3,0,32
2014-04-11,2,0,0
2014-04-12,10,0,0
2014-04-13,9,0,0
2014-04-14,10,6,9
2014-04-15,7,2,0
2014-04-16,7,14,0
2014-04-17,20,0,0
2014-04-18,3,0,8
2014-04-19,5,3,2
2014-04-20,1,0,11
2014-04-21,21,0,14
2014-04-22,0,0,0
2014-04-23,2,0,0
2014-04-24,7,0,2
2014-04-25,1,0,0
2014-04-26,1,1,0
2014-04-27,3,0,0
