,rust-lang/rust,golang/go,nim-lang/Nim
2014-07-16,28,11,2.0
2014-07-17,27,10,1.7999999999999998
2014-07-18,36,12,5.71
2014-07-19,20,6,9.253
2014-07-20,17,6,-0.3683250000000009
2014-07-21,58,8,-0.7945585000000003
2014-07-22,31,7,12.487467475
2014-07-23,29,9,6.3196630825
2014-07-24,48,4,4.3128739064687505
2014-07-25,43,5,-1.5807333836031254
2014-07-26,23,5,11.035080941834376
2014-07-27,23,0,3.0970123083781256
2014-07-28,23,4,5.442427999125001
2014-07-29,48,12,4.378386496214063
2014-07-30,21,11,2.402440285796876
2014-07-31,41,12,1.5814927354078134
2014-08-01,29,5,6.841233901618751
2014-08-02,27,1,5.464880217284375
2014-08-03,18,1,0.41272717506250034
2014-08-04,23,2,-1.1747102442593742
2014-08-05,23,16,13.268667068710938
2014-08-06,41,47,3.0693658316546877
2014-08-07,24,42,5.488614193971875
2014-08-08,28,13,7.400582493309375
2014-08-09,28,0,4.147502039517188
2014-08-10,13,0,9.310196596103125
2014-08-11,15,10,2.8860819812171874
2014-08-12,41,37,8.297300734928125
2014-08-13,50,38,6.910915299031251
2014-08-14,25,18,11.82197251316875
2014-08-15,21,12,5.341615454960937
2014-08-16,14,4,1.670040150107813
2014-08-17,24,0,3.1730297278328137
2014-08-18,30,9,-1.6850589146374984
2014-08-19,34,23,12.900441482026565
2014-08-20,22,5,1.8241271659140632
2014-08-21,36,19,1.3715093100000009
2014-08-22,18,10,3.6894725749578132
2014-08-23,25,4,-0.3425902871281239
2014-08-24,23,12,-0.8797170535999989
2014-08-25,16,35,-0.5796596502218739
2014-08-26,15,11,-0.4301168101796862
2014-08-27,23,9,10.68093654528125
2014-08-28,21,33,19.628934911184373
2014-08-29,30,25,3.2740691570593734
2014-08-30,23,16,16.05736818106406
2014-08-31,35,1,19.052649924304685
2014-09-01,11,15,-2.800595602535938
2014-09-02,21,17,-0.210208887499999
2014-09-03,18,14,2.2609415787500025
2014-09-04,24,23,2.3196323605781286
2014-09-05,31,18,7.390968646276565
2014-09-06,19,8,4.025521661151564
2014-09-07,25,10,0.2862704205031259
2014-09-08,24,28,2.727283046759376
2014-09-09,45,17,13.81939198869375
2014-09-10,25,4,8.869415936432812
2014-09-11,19,11,5.755070645365624
2014-09-12,26,17,-0.08806750345625058
2014-09-13,15,0,4.539499070215626
2014-09-14,35,3,6.405126256582814
2014-09-15,36,12,-1.7809189637468739
2014-09-16,22,23,3.932482461615626
2014-09-17,61,13,5.7113446358718765
2014-09-18,30,14,16.466691673789065
2014-09-19,21,22,2.343472650479687
2014-09-20,18,0,-1.87099822381875
2014-09-21,12,1,5.873821596834376
2014-09-22,43,7,0.4800080681593766
2014-09-23,19,5,0.8767926109625015
2014-09-24,34,21,0.06750258617187599
2014-09-25,31,16,0.23389345121093885
2014-09-26,21,21,2.3573676667171886
2014-09-27,16,1,2.261786501775001
2014-09-28,9,1,2.3376298385703125
2014-09-29,47,14,-0.672768858609375
2014-09-30,37,22,-0.4118822487828121
2014-10-01,40,12,3.7439722101468753
2014-10-02,67,9,9.4127164981625
2014-10-03,43,9,-1.319084541801563
2014-10-04,22,4,5.326129082167188
2014-10-05,27,1,6.945167414595312
2014-10-06,25,18,-1.3949934966546873
2014-10-07,29,13,0.22998789239218786
2014-10-08,23,13,0.37203009000000076
2014-10-09,48,11,0.4437892854375012
2014-10-10,12,2,4.489315384700001
2014-10-11,25,3,9.149990697140625
2014-10-12,23,1,4.563561301906249
2014-10-13,41,5,-0.36938088184062545
2014-10-14,22,6,3.1341242209625
2014-10-15,28,19,1.0629672282343756
2014-10-16,27,10,0.21148657569843843
2014-10-17,21,9,2.373581228198438
2014-10-18,17,2,1.2530837948859381
2014-10-19,16,5,18.313306417164064
2014-10-20,15,16,-0.33353614970312595
2014-10-21,23,7,10.67923551176875
2014-10-22,20,10,-0.003196759598438348
2014-10-23,21,3,-0.32513276992499884
2014-10-24,19,9,4.034485618162501
2014-10-25,26,1,2.808447078417189
2014-10-26,21,1,2.8303365626109387
2014-10-27,53,17,-1.1541231948687494
2014-10-28,41,21,-0.7515924542140614
2014-10-29,24,22,3.555799383740626
2014-10-30,45,16,2.2560563847875006
2014-10-31,37,9,4.3210504506625
2014-11-01,18,2,6.097736747385937
2014-11-02,30,1,11.782207700257812
2014-11-03,76,8,16.04417683779375
2014-11-04,24,4,3.1775937898562487
2014-11-05,34,8,0.9104179274999997
2014-11-06,69,14,2.398205846687501
2014-11-07,40,4,2.502654332059377
2014-11-08,18,1,4.598623341064064
2014-11-09,31,7,-1.5427947300390614
2014-11-10,18,13,3.023161105545314
2014-11-11,18,26,1.8944200677515637
2014-11-12,32,16,4.037039637509376
2014-11-13,20,7,3.9781786107375003
2014-11-14,20,21,10.920033330329687
2014-11-15,14,2,0.16761466029374938
2014-11-16,42,4,6.8221839117625
2014-11-17,62,10,1.449849812284375
2014-11-18,42,11,0.8171018466875011
2014-11-19,73,6,3.0186951070593757
2014-11-20,38,9,3.9405157460640634
2014-11-21,55,13,-0.17720570775781175
2014-11-22,18,4,1.1870272386328131
2014-11-23,46,1,1.2494580360375007
2014-11-24,25,4,-0.6392288229468743
2014-11-25,36,4,0.5810225481656257
2014-11-26,33,0,-0.36895978113906197
2014-11-27,45,0,4.757740049115625
2014-11-28,11,0,3.320411803528125
2014-11-29,7,0,1.2542635068046875
2014-11-30,16,0,1.4116603789328122
2014-12-01,12,2,0.4435911563968752
2014-12-02,18,2,-0.4381251513218746
2014-12-03,33,2,1.7168296244843755
2014-12-04,41,2,2.581426116214063
2014-12-05,60,11,1.4385636249218752
2014-12-06,17,4,1.4631043177578125
2014-12-07,51,0,0.49509355882500006
2014-12-08,27,13,8.611750972646876
2014-12-09,42,7,0.8556347069124994
2014-12-10,20,7,6.222869217464062
2014-12-11,17,9,3.8218622602187495
2014-12-12,24,12,6.831906688381251
2014-12-13,122,4,1.5094416613609374
2014-12-14,79,3,3.8551428601468753
2014-12-15,47,4,3.7683369406625005
2014-12-16,37,9,-0.26521889967656165
2014-12-17,63,2,11.103386264895313
2014-12-18,41,21,5.21629677256875
2014-12-19,103,7,6.312734609670313
2014-12-20,45,8,2.224121831945312
2014-12-21,57,2,6.559258946915626
2014-12-22,62,27,5.312292883564063
2014-12-23,26,22,2.289009075992188
2014-12-24,22,5,3.5685949818046883
2014-12-25,35,1,-0.41543758247343643
2014-12-26,30,5,20.978266458459377
2014-12-27,27,2,-0.8679766068765629
2014-12-28,35,7,3.32737277015
2014-12-29,63,6,8.44130791198125
2014-12-30,126,7,13.002954391103126
2014-12-31,42,3,6.345910786435938
2015-01-01,49,6,1.6223590535281254
2015-01-02,70,7,22.158343331804687
2015-01-03,61,2,11.385495806120312
2015-01-04,60,7,-0.5127137380718745
2015-01-05,127,11,16.74029282985
2015-01-06,136,22,14.554592050914064
2015-01-07,78,25,6.182755963156251
2015-01-08,109,17,0.7724005598203134
2015-01-09,43,8,-2.3814795723859357
2015-01-10,33,3,23.387730346231255
2015-01-11,48,2,15.260817017653126
2015-01-12,86,12,7.128798319164062
2015-01-13,32,8,16.729731837595313
2015-01-14,34,21,5.9515446550359385
2015-01-15,91,14,8.699756489196876
2015-01-16,50,6,1.7951821600781264
2015-01-17,44,2,18.523449696106255
2015-01-18,46,3,35.20926980835937
2015-01-19,43,15,8.826342330554686
2015-01-20,72,9,-1.768537191354688
2015-01-21,96,30,1.846368999292189
2015-01-22,51,5,9.330616151625005
2015-01-23,28,10,3.0203302247031285
2015-01-24,43,4,2.5188473457406277
2015-01-25,22,1,1.8633240727421896
2015-01-26,31,10,-0.8799653421140596
2015-01-27,66,10,22.689952904614064
2015-01-28,44,29,9.872886641664062
2015-01-29,40,16,6.143131697314062
2015-01-30,65,27,3.4566842411328116
2015-01-31,28,1,4.846170610225002
2015-02-01,36,0,13.962314022206252
2015-02-02,51,11,2.1112702390078133
2015-02-03,43,29,6.8309556543406265
2015-02-04,21,23,32.67694747133906
2015-02-05,49,13,-1.9956931213156253
2015-02-06,71,26,4.153323334892188
2015-02-07,35,5,16.479706125332815
2015-02-08,18,7,8.470581241175001
2015-02-09,21,11,4.733614680248438
2015-02-10,66,13,8.182775340596876
2015-02-11,75,22,4.13672076392969
2015-02-12,39,17,15.48693594537969
2015-02-13,46,34,12.562400110945314
2015-02-14,25,10,11.573379372532813
2015-02-15,71,4,6.466067879951563
2015-02-16,71,8,33.87632808812969
2015-02-17,86,29,-1.5896989808062507
2015-02-18,123,14,10.595180137790628
2015-02-19,36,21,1.3474794484953132
2015-02-20,17,22,16.22436907046719
2015-02-21,53,8,9.194732327353126
2015-02-22,72,3,0.4729202391906271
2015-02-23,64,30,0.4597722705546894
2015-02-24,105,15,15.009669683062503
2015-02-25,32,38,3.9060166441078144
2015-02-26,31,27,1.6842337388875013
2015-02-27,34,12,8.12673360816875
2015-02-28,41,11,7.800228938773439
2015-03-01,43,20,5.6495506601140635
2015-03-02,32,28,-1.134960886279687
2015-03-03,76,30,11.640880727059375
2015-03-04,31,24,10.741045697376563
2015-03-05,55,31,18.37427890577969
2015-03-06,59,15,7.455281192685936
2015-03-07,15,3,10.9542591472
2015-03-08,38,4,9.746786511984375
2015-03-09,35,8,5.770334861765626
2015-03-10,33,12,7.158177402946876
2015-03-11,24,12,9.204533514510938
