,JuliaLang/julia,rust-lang/rust,python/cpython
2022-07-16,5,68,6
2022-07-17,5,77,6
2022-07-18,7,108,15
2022-07-19,8,94,7
2022-07-20,10,171,16
2022-07-21,6,111,5
2022-07-22,7,81,15
2022-07-23,6,63,8
2022-07-24,4,109,8
2022-07-25,7,112,17
2022-07-26,6,114,17
2022-07-27,3,97,14
2022-07-28,1,115,16
2022-07-29,4,97,10
2022-07-30,5,85,6
2022-07-31,0,77,4
2022-08-01,3,85,16
2022-08-02,3,96,5
2022-08-03,8,103,10
2022-08-04,4,134,21
2022-08-05,3,65,13
2022-08-06,5,72,8
2022-08-07,3,63,0
2022-08-08,3,72,10
2022-08-09,7,111,6
2022-08-10,5,97,7
2022-08-11,5,76,14
2022-08-12,4,109,7
2022-08-13,2,61,7
2022-08-14,1,57,3
2022-08-15,4,80,8
2022-08-16,4,106,8
2022-08-17,11,88,9
2022-08-18,8,104,13
2022-08-19,6,89,12
2022-08-20,5,79,1
2022-08-21,1,117,5
2022-08-22,7,133,5
2022-08-23,3,134,10
2022-08-24,5,87,9
2022-08-25,3,67,10
2022-08-26,8,112,10
2022-08-27,0,92,7
2022-08-28,2,80,2
2022-08-29,14,87,13
2022-08-30,16,100,19
2022-08-31,21,124,5
2022-09-01,17,94,5
2022-09-02,12,87,5
2022-09-03,10,53,5
2022-09-04,0,60,8
2022-09-05,6,82,11
2022-09-06,19,75,8
2022-09-07,11,74,11
2022-09-08,3,96,9
2022-09-09,2,88,7
2022-09-10,1,72,4
2022-09-11,5,54,3
2022-09-12,9,126,2
2022-09-13,11,115,10
2022-09-14,16,103,6
2022-09-15,17,75,6
2022-09-16,7,94,4
2022-09-17,7,58,7
2022-09-18,3,46,4
2022-09-19,7,70,8
2022-09-20,7,82,8
2022-09-21,11,86,5
2022-09-22,7,103,6
2022-09-23,1,99,4
2022-09-24,2,93,3
2022-09-25,1,68,5
2022-09-26,5,101,6
2022-09-27,10,140,4
2022-09-28,5,64,8
2022-09-29,14,77,4
2022-09-30,12,82,9
2022-10-01,2,104,3
2022-10-02,7,91,6
2022-10-03,11,83,22
2022-10-04,9,65,33
2022-10-05,11,65,27
2022-10-06,14,78,19
2022-10-07,15,116,46
2022-10-08,6,60,14
2022-10-09,1,83,3
2022-10-10,17,108,10
2022-10-11,0,64,10
2022-10-12,6,74,12
2022-10-13,8,68,3
2022-10-14,5,87,1
2022-10-15,5,68,15
2022-10-16,4,70,7
2022-10-17,3,77,11
2022-10-18,7,65,12
2022-10-19,5,93,15
2022-10-20,8,104,14
2022-10-21,7,78,8
2022-10-22,5,64,7
2022-10-23,2,101,5
2022-10-24,16,106,16
2022-10-25,9,92,18
2022-10-26,9,95,14
2022-10-27,9,99,10
2022-10-28,5,74,11
2022-10-29,8,109,8
2022-10-30,1,39,5
2022-10-31,4,70,9
2022-11-01,8,71,12
2022-11-02,23,72,18
2022-11-03,12,52,24
2022-11-04,9,105,9
2022-11-05,2,102,8
2022-11-06,8,69,14
2022-11-07,5,158,15
2022-11-08,15,78,16
2022-11-09,6,122,9
2022-11-10,8,95,22
2022-11-11,1,86,14
2022-11-12,0,85,10
2022-11-13,3,71,11
2022-11-14,5,72,22
2022-11-15,8,102,9
2022-11-16,6,70,16
2022-11-17,3,70,6
2022-11-18,1,97,6
2022-11-19,8,105,3
2022-11-20,2,106,4
2022-11-21,8,130,7
2022-11-22,4,80,19
2022-11-23,3,90,8
2022-11-24,3,86,15
2022-11-25,3,170,8
2022-11-26,2,80,13
2022-11-27,2,88,11
2022-11-28,12,100,9
2022-11-29,9,100,10
2022-11-30,9,65,14
2022-12-01,4,90,3
2022-12-02,3,87,4
2022-12-03,4,75,4
2022-12-04,1,54,6
2022-12-05,5,53,15
2022-12-06,3,106,11
2022-12-07,14,60,8
2022-12-08,0,59,13
2022-12-09,4,83,13
2022-12-10,5,60,8
2022-12-11,5,68,3
2022-12-12,6,68,12
2022-12-13,6,110,2
2022-12-14,5,112,6
2022-12-15,3,88,6
2022-12-16,3,70,11
2022-12-17,0,79,8
2022-12-18,1,53,2
2022-12-19,2,53,2
2022-12-20,10,91,8
2022-12-21,12,59,10
2022-12-22,9,74,10
2022-12-23,3,60,16
2022-12-24,3,42,16
2022-12-25,2,44,2
2022-12-26,3,22,3
2022-12-27,16,67,3
2022-12-28,14,110,19
2022-12-29,18,67,4
2022-12-30,2,52,3
2022-12-31,3,54,6
2023-01-01,4,39,9
2023-01-02,6,87,6
2023-01-03,6,66,7
2023-01-04,7,80,7
2023-01-05,10,56,9
2023-01-06,8,62,9
2023-01-07,3,53,7
2023-01-08,5,37,13
2023-01-09,7,172,12
2023-01-10,32,52,7
2023-01-11,6,133,9
2023-01-12,9,131,7
2023-01-13,12,106,5
2023-01-14,4,131,8
2023-01-15,1,49,3
2023-01-16,9,65,7
2023-01-17,7,100,3
2023-01-18,9,72,6
2023-01-19,11,76,5
2023-01-20,4,84,16
2023-01-21,1,83,9
2023-01-22,10,54,8
2023-01-23,2,100,7
2023-01-24,8,50,13
2023-01-25,3,64,7
2023-01-26,5,81,9
2023-01-27,3,151,5
2023-01-28,8,77,5
2023-01-29,1,57,1
2023-01-30,5,91,8
2023-01-31,3,95,12
2023-02-01,9,72,10
2023-02-02,8,73,5
2023-02-03,12,80,9
2023-02-04,3,30,6
2023-02-05,17,61,9
2023-02-06,7,65,11
2023-02-07,14,72,17
2023-02-08,9,52,16
2023-02-09,8,84,13
2023-02-10,23,89,10
2023-02-11,2,53,2
2023-02-12,5,56,4
2023-02-13,20,90,6
2023-02-14,11,139,7
2023-02-15,6,86,7
2023-02-16,13,95,11
2023-02-17,6,75,10
2023-02-18,1,98,4
2023-02-19,1,73,10
2023-02-20,3,93,10
2023-02-21,7,91,9
2023-02-22,2,83,7
2023-02-23,3,66,12
2023-02-24,5,42,9
2023-02-25,5,79,8
2023-02-26,3,82,4
2023-02-27,3,64,8
2023-02-28,7,79,10
2023-03-01,12,126,6
2023-03-02,7,66,5
2023-03-03,41,93,4
2023-03-04,5,80,9
2023-03-05,7,84,10
2023-03-06,18,75,5
2023-03-07,7,60,8
2023-03-08,22,98,13
2023-03-09,7,97,7
2023-03-10,7,104,6
2023-03-11,1,75,9
2023-03-12,0,78,4
2023-03-13,1,76,13
2023-03-14,2,87,12
2023-03-15,6,87,13
2023-03-16,10,86,16
2023-03-17,6,88,5
2023-03-18,1,47,5
2023-03-19,1,59,6
2023-03-20,7,70,8
2023-03-21,12,92,17
2023-03-22,4,91,17
2023-03-23,9,79,15
2023-03-24,17,75,7
2023-03-25,3,63,8
2023-03-26,2,61,0
2023-03-27,2,84,7
2023-03-28,10,81,3
2023-03-29,7,99,8
2023-03-30,11,105,6
2023-03-31,10,50,12
2023-04-01,5,33,2
2023-04-02,3,34,7
2023-04-03,4,105,8
2023-04-04,7,115,11
2023-04-05,17,91,15
2023-04-06,3,112,13
2023-04-07,7,70,12
2023-04-08,3,48,8
2023-04-09,11,85,16
2023-04-10,15,64,8
2023-04-11,9,101,15
2023-04-12,6,108,10
2023-04-13,17,99,10
2023-04-14,5,104,12
2023-04-15,2,47,3
2023-04-16,0,111,2
2023-04-17,14,90,6
2023-04-18,7,60,8
2023-04-19,8,83,12
2023-04-20,14,104,1
2023-04-21,5,94,4
2023-04-22,9,101,12
2023-04-23,2,70,11
2023-04-24,9,90,40
2023-04-25,7,93,12
2023-04-26,10,101,19
2023-04-27,13,109,20
2023-04-28,8,92,11
2023-04-29,3,95,6
2023-04-30,0,56,8
2023-05-01,3,64,21
2023-05-02,10,150,15
2023-05-03,10,68,22
2023-05-04,31,67,28
2023-05-05,19,120,21
2023-05-06,11,118,12
2023-05-07,2,64,18
2023-05-08,13,83,13
2023-05-09,7,70,18
2023-05-10,12,67,13
2023-05-11,10,72,17
2023-05-12,17,74,20
2023-05-13,6,63,6
2023-05-14,2,57,6
2023-05-15,16,79,13
2023-05-16,8,72,20
2023-05-17,16,54,11
2023-05-18,4,102,16
2023-05-19,6,39,19
2023-05-20,5,62,14
2023-05-21,5,44,20
2023-05-22,5,64,23
2023-05-23,4,75,15
2023-05-24,4,75,30
2023-05-25,3,105,17
2023-05-26,8,119,23
2023-05-27,2,46,9
2023-05-28,0,51,4
2023-05-29,4,66,7
2023-05-30,8,72,18
2023-05-31,13,80,20
2023-06-01,6,100,19
2023-06-02,6,105,14
2023-06-03,2,61,2
2023-06-04,2,53,4
2023-06-05,5,116,13
2023-06-06,8,67,29
2023-06-07,8,73,24
2023-06-08,4,76,14
2023-06-09,8,66,20
2023-06-10,2,72,2
2023-06-11,1,62,15
2023-06-12,4,108,9
2023-06-13,11,84,16
2023-06-14,8,102,30
2023-06-15,8,78,13
2023-06-16,8,81,10
2023-06-17,10,73,1
2023-06-18,2,58,4
2023-06-19,7,125,8
2023-06-20,10,107,7
2023-06-21,5,111,12
2023-06-22,14,85,10
2023-06-23,2,77,13
