,ansible/ansible,saltstack/salt,cfengine/core
2012-03-05,17,17,2
2012-03-06,17,43,8
2012-03-07,11,16,14
2012-03-08,7,19,9
2012-03-09,22,22,1
2012-03-10,21,11,4
2012-03-11,12,11,0
2012-03-12,14,10,9
2012-03-13,14,17,7
2012-03-14,20,24,4
2012-03-15,8,21,5
2012-03-16,14,50,9
2012-03-17,2,61,0
2012-03-18,20,41,6
2012-03-19,3,72,16
2012-03-20,8,50,2
2012-03-21,8,25,16
2012-03-22,18,11,1
2012-03-23,5,11,3
2012-03-24,14,4,1
2012-03-25,2,9,2
2012-03-26,9,2,4
2012-03-27,30,14,1
2012-03-28,15,27,12
2012-03-29,9,23,3
2012-03-30,6,4,3
2012-03-31,41,13,0
2012-04-01,6,10,0
2012-04-02,16,8,8
2012-04-03,14,46,6
2012-04-04,20,29,6
2012-04-05,10,20,5
2012-04-06,6,15,6
2012-04-07,2,12,2
2012-04-08,0,7,0
2012-04-09,1,13,3
2012-04-10,9,17,16
2012-04-11,8,14,3
2012-04-12,14,2,5
2012-04-13,26,8,2
2012-04-14,10,5,0
2012-04-15,1,0,0
2012-04-16,8,11,5
2012-04-17,39,10,13
2012-04-18,20,30,4
2012-04-19,42,19,4
2012-04-20,6,42,0
2012-04-21,15,21,1
2012-04-22,13,7,1
2012-04-23,7,14,1
2012-04-24,34,18,3
2012-04-25,8,43,20
2012-04-26,22,23,2
2012-04-27,22,7,3
2012-04-28,9,3,0
2012-04-29,0,13,0
2012-04-30,0,7,9
2012-05-01,13,24,2
2012-05-02,32,52,10
2012-05-03,13,17,3
2012-05-04,5,14,3
2012-05-05,4,16,1
2012-05-06,17,5,0
2012-05-07,7,7,8
2012-05-08,25,9,3
2012-05-09,5,13,6
2012-05-10,36,39,4
2012-05-11,16,13,6
2012-05-12,2,17,3
2012-05-13,6,40,0
2012-05-14,10,22,13
2012-05-15,8,11,1
2012-05-16,2,8,0
2012-05-17,2,15,1
2012-05-18,0,8,5
2012-05-19,4,17,21
2012-05-20,6,10,0
2012-05-21,0,14,5
2012-05-22,3,15,5
2012-05-23,2,34,13
2012-05-24,1,13,20
2012-05-25,5,2,8
2012-05-26,3,19,9
2012-05-27,2,22,0
2012-05-28,0,14,0
2012-05-29,6,12,5
2012-05-30,9,31,10
2012-05-31,3,13,7
2012-06-01,10,7,11
2012-06-02,0,4,16
2012-06-03,0,20,1
2012-06-04,0,19,9
2012-06-05,3,20,1
2012-06-06,1,28,5
2012-06-07,4,9,3
2012-06-08,5,12,2
2012-06-09,2,12,0
2012-06-10,2,9,0
