,facebook/react,angular/angular,jquery/jquery
2014-11-18,15,7.0,0
2014-11-19,9,2.2999999999999994,0
2014-11-20,2,4.385,0
2014-11-21,7,-0.8345000000000007,0
2014-11-22,0,0.5448625000000002,0
2014-11-23,0,0.5826952500000004,0
2014-11-24,5,1.6112031625000007,0
2014-11-25,13,9.52877433875,0
2014-11-26,9,4.694768157640625,0
2014-11-27,4,-1.286744638048438,0
2014-11-28,1,-0.6986418851859375,0
2014-11-29,0,-0.4761084714296866,0
2014-11-30,2,-0.3321285342656239,0
2014-12-01,8,2.731524816948438,0
2014-12-02,8,3.482555483932813,1
2014-12-03,8,7.2859569872718755,4
2014-12-04,2,4.793101596546874,2
2014-12-05,3,2.8136193847843742,2
2014-12-06,1,4.97099975,2
2014-12-07,3,-1.2202530375,0
2014-12-08,5,15.27716186125,4
2014-12-09,1,-1.1287263240468755,8
2014-12-10,4,0.7603665453296882,2
2014-12-11,1,2.9729473582312504,1
2014-12-12,4,4.902952441618751,0
2014-12-13,3,1.7292409552218757,1
2014-12-14,11,-1.0430392382374993,0
2014-12-15,4,-0.6619377677156242,2
2014-12-16,5,-0.46445272949999894,0
2014-12-17,4,2.6225266039093764,4
2014-12-18,19,4.500767411432813,0
2014-12-19,5,-0.7961191721343751,0
2014-12-20,2,-0.4347863769874999,0
2014-12-21,2,-0.28358555426249965,0
2014-12-22,4,-0.17685930760781188,0
2014-12-23,7,-0.12006978749999961,6
2014-12-24,1,0.9009088487500003,0
2014-12-25,2,-0.18417342029687483,3
2014-12-26,0,-0.11803812268593736,1
2014-12-27,0,-0.07049426267968742,0
2014-12-28,0,-0.020662499999999924,0
2014-12-29,5,5.98388325,0
2014-12-30,3,3.3868379874999994,0
2014-12-31,2,-0.6810936962500005,0
2015-01-01,1,-0.3605683130156252,0
2015-01-02,2,-0.24637385253593713,0
2015-01-03,0,-0.17935049999999939,2
2015-01-04,0,-0.14343907499999956,0
2015-01-05,12,-0.11921022749999965,1
2015-01-06,1,4.89821533690625,0
2015-01-07,6,10.411333632721874,4
2015-01-08,2,4.641404589856249,0
2015-01-09,2,8.7625,1
2015-01-10,1,-1.686812500000001,0
2015-01-11,1,-0.9288712499999994,6
2015-01-12,3,2.347930687500001,3
2015-01-13,17,4.196423881250001,3
2015-01-14,4,1.9549882011718758,1
2015-01-15,7,6.044071991648438,0
2015-01-16,11,1.6997782815109375,0
2015-01-17,3,0.00176100462812534,0
2015-01-18,1,-0.7005458128593746,0
2015-01-19,1,-0.42257890124999914,2
2015-01-20,5,10.673035792203127,0
2015-01-21,12,3.632533951064062,0
2015-01-22,18,12.801042137023437,0
2015-01-23,12,4.9228821500328115,0
2015-01-24,2,-0.7983781030484376,0
2015-01-25,2,-1.129361620623437,1
2015-01-26,5,0.23246025996406416,1
2015-01-27,41,8.313387278750001,0
2015-01-28,10,3.5765321505781253,0
2015-01-29,0,1.6627084720265628,5
2015-01-30,6,0.9310689688515628,3
2015-01-31,11,-0.8752350728624991,0
