,spring-projects/spring-boot,apache/tomee,dropwizard/dropwizard
2016-12-21,36,0.0,0
2016-12-22,31,1.0,0
2016-12-23,5,-0.6000000000000001,1
2016-12-24,6,-0.12,1
2016-12-25,5,-0.055999999999999994,0
2016-12-26,4,-0.03359999999999997,0
2016-12-27,34,-0.022848000000000004,0
2016-12-28,19,0.9832448,7
2016-12-29,12,-0.61292544,2
2016-12-30,38,0.8696596480000001,0
2016-12-31,1,-0.6645020672,0
2017-01-01,0,-0.15359999999999996,0
2017-01-02,0,1.921152,0
2017-01-03,57,1.7496447999999998,0
2017-01-04,30,-2.0757734400000003,0
2017-01-05,33,-0.499095552,0
2017-01-06,28,0.7433724928000001,0
2017-01-07,0,0.243163648,0
2017-01-08,7,-0.8305564672000001,0
2017-01-09,3,-0.25211648000000003,0
2017-01-10,15,0.850942976,1
2017-01-11,0,1.2955268095999999,1
2017-01-12,8,-1.3851094016000003,0
2017-01-13,22,-0.32568063999999997,14
2017-01-14,4,-0.16886579199999996,0
2017-01-15,4,-0.10889041919999996,0
2017-01-16,34,0.9290467327999999,1
2017-01-17,46,-0.6464358400000001,3
2017-01-18,22,-0.156191232,0
2017-01-19,45,-0.08518277120000002,0
2017-01-20,33,0.9493958656,0
2017-01-21,0,-0.6228480000000001,0
2017-01-22,6,-0.1367552,0
2017-01-23,15,-0.06892544,6
2017-01-24,70,-0.04394035199999998,1
2017-01-25,27,0.9686499328,0
2017-01-26,40,5.3832448,0
2017-01-27,3,-2.7329254400000007,5
2017-01-28,6,-1.386340352,0
2017-01-29,0,-0.49810206719999994,0
2017-01-30,20,0.7195520000000002,4
2017-01-31,3,1.2125568,0
2017-02-01,13,-1.4563046400000004,3
2017-02-02,6,1.599351808,6
2017-02-03,2,-1.4290696192000003,0
2017-02-04,0,-0.3914007552,0
2017-02-05,6,-0.18295326720000002,0
2017-02-06,21,-0.11363583999999996,3
2017-02-07,23,-0.08188723200000003,3
2017-02-08,34,1.9373068288,1
2017-02-09,15,-0.24285501440000012,2
2017-02-10,2,1.139319296,2
2017-02-11,0,-1.4490041344000002,2
2017-02-12,6,-0.3631999999999999,0
2017-02-13,10,0.8087040000000001,4
2017-02-14,16,0.27644159999999995,3
2017-02-15,11,-0.8083020800000001,0
2017-02-16,4,-0.24311654400000005,0
2017-02-17,4,-0.1427953664,0
2017-02-18,0,-0.08563077120000001,1
2017-02-19,3,-0.05660733440000003,0
2017-02-20,9,0.97031936,1
2017-02-21,8,0.3767342079999999,1
2017-02-22,44,-0.7388424192,0
2017-02-23,0,-0.1845020672,0
2017-02-24,15,-0.08959999999999996,2
2017-02-25,0,-0.05644799999999997,0
2017-02-26,2,-0.03960320000000001,0
2017-02-27,8,-0.029680640000000015,3
2017-02-28,20,-0.023265792000000018,0
2017-03-01,43,0.9811575807999999,0
2017-03-02,53,0.3914979327999999,0
2017-03-03,27,1.2799999999999998,0
2017-03-04,0,-1.3760000000000001,0
2017-03-05,0,-0.32959999999999995,0
2017-03-06,16,-0.16844799999999996,2
2017-03-07,11,0.8931968,3
2017-03-08,6,0.3246233599999999,8
2017-03-09,12,4.223223808,0
2017-03-10,21,-3.2206932992000006,0
2017-03-11,2,0.2812172288,0
2017-03-12,3,-0.9534521344,1
2017-03-13,12,0.6723968000000001,1
2017-03-14,12,0.20007935999999993,3
2017-03-15,21,-0.8606417920000001,4
2017-03-16,10,-0.28231761920000004,0
2017-03-17,11,3.8334409728,0
2017-03-18,3,-1.5118837760000003,0
2017-03-19,0,-1.129943552,0
2017-03-20,0,-0.3821827072,2
2017-03-21,0,-0.21366579199999988,5
2017-03-22,4,-0.1438344192,1
2017-03-23,8,-0.09837086720000005,2
2017-03-24,43,-0.06845696000000004,2
2017-03-25,13,-0.05428684800000005,0
2017-03-26,6,-0.04434862080000005,0
2017-03-27,1,-0.00850206720000001,13
2017-03-28,18,0.0,1
2017-03-29,4,2.0,1
2017-03-30,0,2.8,0
2017-03-31,7,-2.6400000000000006,0
2017-04-01,2,-0.592,0
