,apple/swift,rust-lang/rust,JetBrains/kotlin
2022-09-17,17,58,27
2022-09-18,24,46,10
2022-09-19,51,70,53
2022-09-20,75,82,12
2022-09-21,40,86,60
2022-09-22,49,103,20
2022-09-23,47,99,7
2022-09-24,13,93,0
2022-09-25,4,68,0
2022-09-26,37,101,11
2022-09-27,51,140,35
2022-09-28,49,64,16
2022-09-29,52,77,22
2022-09-30,60,82,33
2022-10-01,13,104,0
2022-10-02,1,91,8
2022-10-03,39,83,17
2022-10-04,66,65,19
2022-10-05,49,65,40
2022-10-06,25,78,16
2022-10-07,83,116,55
2022-10-08,21,60,2
2022-10-09,13,83,0
2022-10-10,52,108,13
2022-10-11,10,64,21
2022-10-12,21,74,34
2022-10-13,24,68,29
2022-10-14,43,87,24
2022-10-15,18,68,0
2022-10-16,4,70,0
2022-10-17,48,77,49
2022-10-18,29,65,36
2022-10-19,40,93,39
2022-10-20,77,104,39
2022-10-21,67,78,25
2022-10-22,45,64,0
2022-10-23,11,101,0
2022-10-24,42,106,26
2022-10-25,41,92,14
2022-10-26,33,95,31
2022-10-27,60,99,90
2022-10-28,49,74,1
2022-10-29,9,109,0
2022-10-30,26,39,0
2022-10-31,51,70,22
2022-11-01,60,71,25
2022-11-02,68,72,30
2022-11-03,56,52,17
2022-11-04,89,105,37
2022-11-05,25,102,1
2022-11-06,5,69,0
2022-11-07,56,158,27
2022-11-08,59,78,16
2022-11-09,83,122,15
2022-11-10,76,95,54
2022-11-11,64,86,78
2022-11-12,45,85,32
2022-11-13,7,71,2
2022-11-14,57,72,11
2022-11-15,52,102,29
2022-11-16,95,70,15
2022-11-17,64,70,65
2022-11-18,45,97,24
2022-11-19,23,105,1
2022-11-20,0,106,0
2022-11-21,6,130,26
2022-11-22,6,80,76
2022-11-23,7,90,25
2022-11-24,2,86,40
2022-11-25,0,170,22
2022-11-26,3,80,4
2022-11-27,2,88,1
2022-11-28,50,100,27
2022-11-29,116,100,194
2022-11-30,87,65,47
2022-12-01,90,90,38
2022-12-02,68,87,50
2022-12-03,24,75,0
2022-12-04,10,54,4
2022-12-05,32,53,22
2022-12-06,68,106,53
2022-12-07,58,60,32
2022-12-08,55,59,44
2022-12-09,58,83,50
2022-12-10,27,60,0
2022-12-11,7,68,6
2022-12-12,71,68,50
2022-12-13,90,110,40
2022-12-14,84,112,22
2022-12-15,109,88,27
2022-12-16,60,70,31
2022-12-17,19,79,1
2022-12-18,14,53,5
2022-12-19,55,53,9
2022-12-20,70,91,57
2022-12-21,68,59,29
2022-12-22,39,74,18
2022-12-23,1,60,4
2022-12-24,1,42,0
2022-12-25,1,44,0
2022-12-26,1,22,11
2022-12-27,1,67,30
2022-12-28,12,110,15
2022-12-29,7,67,18
2022-12-30,5,52,1
2022-12-31,2,54,0
2023-01-01,3,39,0
2023-01-02,8,87,52
2023-01-03,78,66,11
2023-01-04,60,80,46
2023-01-05,60,56,10
2023-01-06,49,62,29
2023-01-07,57,53,2
2023-01-08,29,37,1
2023-01-09,63,172,37
2023-01-10,30,52,84
2023-01-11,54,133,57
2023-01-12,57,131,52
