,python/cpython,php/php-src,ruby/ruby
2004-03-05,1,5,9
2004-03-06,0,11,12
2004-03-07,2,10,4
2004-03-08,11,21,9
2004-03-09,3,28,2
2004-03-10,4,9,6
2004-03-11,7,8,1
2004-03-12,6,16,3
2004-03-13,7,9,2
2004-03-14,4,28,2
2004-03-15,5,13,3
2004-03-16,4,29,9
2004-03-17,4,15,0
2004-03-18,9,25,6
2004-03-19,5,11,3
2004-03-20,24,4,6
2004-03-21,35,15,8
2004-03-22,13,7,1
2004-03-23,15,11,6
2004-03-24,3,13,11
2004-03-25,20,15,9
2004-03-26,7,11,2
2004-03-27,3,13,2
2004-03-28,2,22,8
2004-03-29,3,21,3
2004-03-30,0,14,5
2004-03-31,7,10,8
2004-04-01,3,16,5
2004-04-02,2,7,11
2004-04-03,1,17,3
2004-04-04,4,10,4
2004-04-05,2,3,11
2004-04-06,5,8,6
2004-04-07,5,14,9
2004-04-08,5,23,7
2004-04-09,1,8,3
2004-04-10,3,2,2
2004-04-11,8,2,4
2004-04-12,4,5,6
2004-04-13,1,14,5
2004-04-14,1,9,4
2004-04-15,2,14,10
2004-04-16,6,5,2
2004-04-17,2,3,1
2004-04-18,0,4,2
2004-04-19,2,10,3
2004-04-20,2,12,0
2004-04-21,1,15,12
2004-04-22,5,11,3
2004-04-23,1,12,6
2004-04-24,2,2,3
2004-04-25,1,14,2
2004-04-26,1,6,5
2004-04-27,2,17,7
2004-04-28,3,9,0
2004-04-29,1,11,0
2004-04-30,1,13,2
2004-05-01,1,2,1
2004-05-02,1,7,2
2004-05-03,0,5,1
2004-05-04,7,9,2
2004-05-05,9,5,1
2004-05-06,10,12,8
2004-05-07,3,6,8
2004-05-08,2,8,3
2004-05-09,16,13,7
2004-05-10,7,13,5
2004-05-11,16,6,1
2004-05-12,8,15,6
2004-05-13,10,7,4
2004-05-14,1,4,7
2004-05-15,2,1,6
2004-05-16,1,16,11
2004-05-17,1,15,5
2004-05-18,6,46,8
2004-05-19,6,37,6
2004-05-20,5,51,8
2004-05-21,2,44,4
2004-05-22,2,7,4
2004-05-23,2,13,2
2004-05-24,1,4,6
2004-05-25,1,35,3
2004-05-26,4,15,8
2004-05-27,2,13,8
2004-05-28,2,19,2
2004-05-29,0,14,0
2004-05-30,1,16,0
2004-05-31,10,14,0
2004-06-01,7,20,0
2004-06-02,22,5,0
2004-06-03,20,6,0
2004-06-04,8,7,2
2004-06-05,18,6,1
2004-06-06,13,10,0
2004-06-07,10,9,0
2004-06-08,8,11,0
2004-06-09,4,7,6
2004-06-10,5,12,4
2004-06-11,7,2,1
2004-06-12,6,17,5
2004-06-13,11,8,0
2004-06-14,5,5,2
2004-06-15,6,11,1
2004-06-16,1,3,8
2004-06-17,10,3,1
2004-06-18,10,8,4
2004-06-19,6,4,3
2004-06-20,5,7,4
2004-06-21,2,10,3
2004-06-22,3,6,10
2004-06-23,0,9,6
2004-06-24,4,5,6
2004-06-25,6,3,5
2004-06-26,8,10,7
2004-06-27,9,4,4
2004-06-28,6,7,2
2004-06-29,12,2,4
2004-06-30,4,6,5
2004-07-01,11,4,4
2004-07-02,9,1,0
2004-07-03,8,4,4
2004-07-04,9,4,4
2004-07-05,12,7,5
2004-07-06,6,7,5
2004-07-07,14,3,5
2004-07-08,25,4,3
2004-07-09,13,2,5
2004-07-10,42,6,2
2004-07-11,10,13,0
2004-07-12,17,12,6
2004-07-13,6,13,8
2004-07-14,20,9,3
2004-07-15,25,12,9
2004-07-16,7,9,6
2004-07-17,9,5,12
2004-07-18,25,17,4
2004-07-19,13,25,0
2004-07-20,8,20,1
2004-07-21,13,13,1
2004-07-22,4,11,1
2004-07-23,9,6,3
2004-07-24,3,6,3
2004-07-25,1,17,2
2004-07-26,11,6,2
2004-07-27,8,15,3
2004-07-28,10,19,7
2004-07-29,12,18,2
2004-07-30,6,10,5
2004-07-31,8,11,3
2004-08-01,5,5,0
2004-08-02,27,18,5
2004-08-03,33,18,2
2004-08-04,22,12,0
2004-08-05,5,8,1
2004-08-06,8,4,2
2004-08-07,56,6,1
2004-08-08,17,4,4
2004-08-09,23,3,6
2004-08-10,8,14,0
2004-08-11,0,14,4
2004-08-12,18,10,3
2004-08-13,15,8,7
2004-08-14,9,2,1
2004-08-15,9,6,2
2004-08-16,9,5,3
2004-08-17,13,3,3
2004-08-18,15,6,7
2004-08-19,15,14,5
2004-08-20,13,7,4
2004-08-21,4,5,3
2004-08-22,17,2,1
2004-08-23,12,10,3
2004-08-24,4,14,3
2004-08-25,20,10,4
2004-08-26,23,16,1
2004-08-27,12,4,3
2004-08-28,3,3,2
2004-08-29,11,9,2
2004-08-30,22,9,5
2004-08-31,35,8,4
2004-09-01,6,1,3
2004-09-02,3,8,3
2004-09-03,6,5,3
2004-09-04,7,3,1
2004-09-05,2,8,0
2004-09-06,8,4,3
2004-09-07,8,5,5
2004-09-08,5,7,3
2004-09-09,3,19,4
2004-09-10,15,9,4
2004-09-11,8,3,3
2004-09-12,5,8,9
2004-09-13,15,6,7
2004-09-14,12,4,6
2004-09-15,3,8,2
2004-09-16,4,7,3
2004-09-17,3,6,5
2004-09-18,10,1,0
2004-09-19,6,13,5
2004-09-20,7,5,11
2004-09-21,3,3,3
2004-09-22,5,13,6
2004-09-23,11,19,4
2004-09-24,13,5,4
2004-09-25,13,16,1
2004-09-26,13,22,1
2004-09-27,10,26,5
2004-09-28,19,10,0
2004-09-29,5,27,4
2004-09-30,6,11,1
2004-10-01,10,4,3
2004-10-02,7,3,4
2004-10-03,20,2,5
2004-10-04,1,9,3
2004-10-05,1,12,3
2004-10-06,4,6,7
2004-10-07,9,6,6
2004-10-08,5,17,3
2004-10-09,14,4,7
2004-10-10,3,4,2
2004-10-11,7,5,2
2004-10-12,12,5,3
2004-10-13,20,3,0
2004-10-14,8,3,2
2004-10-15,7,1,6
2004-10-16,1,4,6
2004-10-17,11,1,6
2004-10-18,6,7,4
2004-10-19,9,4,10
2004-10-20,9,8,9
2004-10-21,3,3,6
2004-10-22,2,6,3
2004-10-23,2,6,5
2004-10-24,3,2,2
2004-10-25,7,2,2
2004-10-26,13,5,2
2004-10-27,7,9,5
2004-10-28,3,6,0
2004-10-29,3,6,14
2004-10-30,3,12,4
2004-10-31,4,10,10
2004-11-01,9,23,9
2004-11-02,10,5,4
2004-11-03,2,16,6
2004-11-04,6,9,9
2004-11-05,7,2,7
2004-11-06,6,1,3
2004-11-07,22,0,3
2004-11-08,7,3,4
2004-11-09,3,8,8
2004-11-10,15,7,5
2004-11-11,7,9,3
2004-11-12,9,3,4
2004-11-13,8,2,1
2004-11-14,1,6,6
2004-11-15,3,15,5
2004-11-16,2,6,15
2004-11-17,2,6,7
2004-11-18,9,7,10
2004-11-19,5,2,14
2004-11-20,2,4,11
2004-11-21,1,6,2
2004-11-22,3,9,6
2004-11-23,2,6,3
2004-11-24,5,4,1
2004-11-25,6,2,12
2004-11-26,0,2,5
2004-11-27,0,3,9
2004-11-28,2,7,11
2004-11-29,7,3,10
2004-11-30,10,3,8
2004-12-01,15,12,5
2004-12-02,8,5,9
2004-12-03,7,5,2
2004-12-04,3,7,8
2004-12-05,11,4,3
2004-12-06,6,11,12
2004-12-07,9,7,12
2004-12-08,0,5,10
2004-12-09,0,6,8
2004-12-10,3,4,1
2004-12-11,2,2,3
2004-12-12,7,6,6
2004-12-13,6,4,4
2004-12-14,2,7,5
2004-12-15,1,3,8
2004-12-16,5,9,9
2004-12-17,1,6,4
2004-12-18,5,2,3
2004-12-19,3,2,6
2004-12-20,4,5,8
2004-12-21,5,9,8
2004-12-22,8,2,2
2004-12-23,5,6,10
2004-12-24,3,4,1
2004-12-25,0,5,0
2004-12-26,3,5,2
2004-12-27,3,11,6
2004-12-28,3,4,8
2004-12-29,5,10,5
2004-12-30,2,13,4
2004-12-31,5,2,2
2005-01-01,6,2,8
2005-01-02,2,6,4
2005-01-03,4,3,4
2005-01-04,1,4,4
2005-01-05,5,2,6
2005-01-06,1,1,5
2005-01-07,15,20,6
2005-01-08,11,12,6
2005-01-09,5,9,1
2005-01-10,8,15,4
2005-01-11,10,13,5
2005-01-12,12,14,0
2005-01-13,5,7,0
2005-01-14,0,6,0
2005-01-15,0,7,3
2005-01-16,8,3,4
2005-01-17,2,14,1
2005-01-18,4,27,2
2005-01-19,8,20,2
2005-01-20,2,23,2
2005-01-21,1,15,4
2005-01-22,0,12,4
2005-01-23,6,5,2
2005-01-24,1,17,4
2005-01-25,2,15,6
2005-01-26,2,4,8
2005-01-27,2,10,1
2005-01-28,1,9,6
2005-01-29,2,1,2
2005-01-30,0,1,0
2005-01-31,3,6,6
2005-02-01,0,6,2
2005-02-02,1,15,8
2005-02-03,6,8,5
2005-02-04,3,9,7
2005-02-05,3,8,4
2005-02-06,2,30,9
2005-02-07,3,22,9
2005-02-08,5,9,5
2005-02-09,3,27,5
2005-02-10,6,13,7
2005-02-11,1,6,3
2005-02-12,0,11,8
2005-02-13,2,46,9
2005-02-14,1,15,2
2005-02-15,4,9,1
2005-02-16,2,4,6
2005-02-17,10,20,5
2005-02-18,5,8,3
2005-02-19,1,13,7
2005-02-20,5,28,0
2005-02-21,4,28,2
2005-02-22,1,19,9
2005-02-23,2,32,4
2005-02-24,1,22,0
2005-02-25,0,11,0
2005-02-26,0,14,3
2005-02-27,1,30,1
2005-02-28,2,20,6
2005-03-01,5,17,1
2005-03-02,3,9,7
2005-03-03,23,10,7
2005-03-04,4,7,7
2005-03-05,7,10,6
2005-03-06,0,14,10
2005-03-07,1,24,9
2005-03-08,5,11,8
2005-03-09,6,27,7
2005-03-10,5,22,2
2005-03-11,5,11,0
2005-03-12,2,23,3
2005-03-13,3,10,4
2005-03-14,4,13,2
2005-03-15,3,6,11
2005-03-16,2,6,8
2005-03-17,0,12,1
2005-03-18,3,9,3
2005-03-19,2,21,2
2005-03-20,7,9,2
2005-03-21,8,10,0
2005-03-22,8,12,1
2005-03-23,3,14,3
2005-03-24,4,8,2
2005-03-25,0,5,3
2005-03-26,0,9,4
2005-03-27,4,3,3
2005-03-28,8,12,4
2005-03-29,4,3,3
2005-03-30,6,4,7
2005-03-31,4,8,6
2005-04-01,0,4,4
2005-04-02,0,6,6
2005-04-03,0,11,0
2005-04-04,5,11,3
2005-04-05,2,9,4
2005-04-06,3,10,3
2005-04-07,3,14,12
2005-04-08,7,15,7
2005-04-09,8,2,8
2005-04-10,3,11,2
2005-04-11,2,7,7
2005-04-12,1,6,3
2005-04-13,2,5,10
2005-04-14,1,8,4
2005-04-15,3,10,3
2005-04-16,0,10,4
2005-04-17,1,10,3
2005-04-18,1,10,6
2005-04-19,3,14,3
2005-04-20,3,10,10
2005-04-21,3,12,0
2005-04-22,0,5,3
2005-04-23,0,6,4
2005-04-24,1,4,2
2005-04-25,1,19,1
2005-04-26,2,7,2
2005-04-27,1,14,4
2005-04-28,1,12,0
2005-04-29,0,14,1
2005-04-30,4,9,5
2005-05-01,0,3,3
2005-05-02,0,12,0
2005-05-03,0,13,0
2005-05-04,1,9,0
2005-05-05,1,5,2
2005-05-06,0,14,0
2005-05-07,0,16,2
2005-05-08,0,6,5
2005-05-09,0,8,3
2005-05-10,2,12,3
2005-05-11,0,9,5
2005-05-12,2,4,6
2005-05-13,0,9,7
2005-05-14,3,4,6
2005-05-15,2,1,7
2005-05-16,1,3,4
2005-05-17,0,8,3
2005-05-18,1,8,5
