,opencv/opencv,scikit-image/scikit-image,davisking/dlib
2014-08-11,35,3,1
2014-08-12,26,2,1
2014-08-13,24,0,1
2014-08-14,22,2,0
2014-08-15,13,24,1
2014-08-16,4,0,2
2014-08-17,2,2,3
2014-08-18,63,7,0
2014-08-19,19,0,4
2014-08-20,6,0,1
2014-08-21,16,0,3
2014-08-22,15,0,5
2014-08-23,3,0,0
2014-08-24,0,0,12
2014-08-25,17,1,3
2014-08-26,9,0,0
2014-08-27,12,0,0
2014-08-28,6,0,0
2014-08-29,17,0,0
2014-08-30,1,0,0
2014-08-31,4,27,0
2014-09-01,14,26,0
2014-09-02,17,9,0
2014-09-03,6,4,5
2014-09-04,10,8,0
2014-09-05,6,2,4
2014-09-06,2,2,6
2014-09-07,2,0,2
2014-09-08,9,1,0
2014-09-09,14,2,0
2014-09-10,6,1,0
2014-09-11,4,4,0
2014-09-12,3,4,0
2014-09-13,2,3,0
2014-09-14,13,0,2
2014-09-15,8,3,6
2014-09-16,3,12,0
2014-09-17,19,3,1
2014-09-18,14,3,5
2014-09-19,19,9,0
2014-09-20,0,11,0
2014-09-21,1,9,0
2014-09-22,16,9,0
2014-09-23,21,1,0
2014-09-24,7,2,0
2014-09-25,10,0,0
2014-09-26,14,6,1
2014-09-27,6,6,1
2014-09-28,9,4,0
2014-09-29,10,4,0
2014-09-30,21,11,2
2014-10-01,6,14,5
2014-10-02,15,1,0
2014-10-03,1,0,0
2014-10-04,4,6,0
2014-10-05,0,19,0
2014-10-06,16,18,0
2014-10-07,15,15,0
2014-10-08,9,1,0
2014-10-09,18,4,0
2014-10-10,12,30,0
2014-10-11,12,45,2
2014-10-12,3,11,8
2014-10-13,4,1,4
2014-10-14,37,0,4
2014-10-15,9,4,0
2014-10-16,12,11,0
2014-10-17,31,1,0
2014-10-18,15,1,0
2014-10-19,0,0,0
2014-10-20,7,6,0
2014-10-21,16,2,0
2014-10-22,5,0,0
2014-10-23,9,2,0
2014-10-24,8,0,0
2014-10-25,0,1,1
2014-10-26,5,3,0
2014-10-27,14,2,0
2014-10-28,8,1,0
2014-10-29,4,2,1
2014-10-30,4,0,0
2014-10-31,1,2,0
2014-11-01,14,0,0
2014-11-02,1,7,0
2014-11-03,1,0,0
2014-11-04,6,2,0
2014-11-05,22,2,0
2014-11-06,10,2,1
2014-11-07,15,40,0
2014-11-08,0,3,0
2014-11-09,2,2,0
2014-11-10,7,14,1
2014-11-11,5,1,0
2014-11-12,13,5,0
2014-11-13,9,0,0
2014-11-14,4,0,0
2014-11-15,0,3,5
2014-11-16,5,2,1
2014-11-17,3,2,0
2014-11-18,3,2,0
2014-11-19,6,4,1
2014-11-20,0,0,0
2014-11-21,0,1,0
2014-11-22,1,3,0
2014-11-23,0,4,0
2014-11-24,3,3,1
2014-11-25,4,3,0
2014-11-26,3,8,4
2014-11-27,3,5,1
2014-11-28,3,6,0
2014-11-29,2,1,0
2014-11-30,1,5,0
2014-12-01,32,6,0
2014-12-02,10,5,0
2014-12-03,7,4,0
2014-12-04,4,11,2
2014-12-05,8,3,0
2014-12-06,10,10,5
2014-12-07,0,3,8
2014-12-08,3,2,4
2014-12-09,4,0,10
2014-12-10,2,0,12
2014-12-11,2,4,9
2014-12-12,1,10,1
2014-12-13,0,35,0
2014-12-14,2,23,1
2014-12-15,10,22,3
2014-12-16,5,13,0
2014-12-17,4,0,0
2014-12-18,3,0,0
2014-12-19,20,1,3
2014-12-20,1,2,10
2014-12-21,1,2,0
2014-12-22,26,11,0
2014-12-23,20,21,0
2014-12-24,8,9,0
2014-12-25,7,1,0
2014-12-26,20,5,0
2014-12-27,5,21,7
2014-12-28,4,1,2
2014-12-29,6,0,2
2014-12-30,20,1,1
2014-12-31,16,14,0
2015-01-01,0,0,0
2015-01-02,1,1,1
2015-01-03,3,0,3
2015-01-04,3,0,6
2015-01-05,3,0,2
2015-01-06,0,0,2
2015-01-07,1,0,0
2015-01-08,2,0,0
2015-01-09,5,0,0
2015-01-10,1,3,2
2015-01-11,0,1,0
2015-01-12,63,0,0
2015-01-13,23,2,0
2015-01-14,12,8,0
2015-01-15,22,8,2
2015-01-16,7,7,1
2015-01-17,1,2,0
2015-01-18,9,2,0
2015-01-19,20,3,0
2015-01-20,18,1,1
2015-01-21,22,11,6
2015-01-22,13,56,0
2015-01-23,6,0,0
2015-01-24,0,0,0
2015-01-25,0,11,0
2015-01-26,5,1,6
2015-01-27,2,27,1
2015-01-28,9,4,3
2015-01-29,7,4,5
2015-01-30,3,2,3
2015-01-31,4,6,9
2015-02-01,4,10,0
2015-02-02,10,2,2
2015-02-03,2,15,14
2015-02-04,17,8,0
2015-02-05,8,2,0
2015-02-06,4,3,0
2015-02-07,3,6,2
2015-02-08,3,5,0
2015-02-09,4,2,0
2015-02-10,6,1,0
2015-02-11,0,0,6
2015-02-12,8,0,1
2015-02-13,17,0,0
2015-02-14,0,0,5
2015-02-15,0,0,2
2015-02-16,16,0,4
2015-02-17,9,11,0
2015-02-18,17,4,3
2015-02-19,11,1,0
2015-02-20,24,2,0
2015-02-21,7,2,0
2015-02-22,2,0,1
2015-02-23,7,6,0
2015-02-24,23,7,0
2015-02-25,9,1,3
2015-02-26,11,0,2
2015-02-27,11,0,3
2015-02-28,1,1,9
2015-03-01,4,2,2
2015-03-02,39,5,1
2015-03-03,23,0,2
2015-03-04,13,5,0
2015-03-05,15,1,0
2015-03-06,27,3,0
2015-03-07,5,1,4
2015-03-08,2,3,0
2015-03-09,15,1,2
2015-03-10,16,2,0
2015-03-11,5,0,0
2015-03-12,9,3,5
2015-03-13,12,1,0
2015-03-14,7,12,0
2015-03-15,0,6,0
2015-03-16,10,0,0
2015-03-17,11,1,0
2015-03-18,8,0,0
2015-03-19,18,2,0
2015-03-20,14,0,2
2015-03-21,0,5,7
2015-03-22,1,0,10
2015-03-23,11,1,2
2015-03-24,23,5,5
2015-03-25,15,2,2
2015-03-26,11,2,0
2015-03-27,7,1,0
2015-03-28,0,0,0
2015-03-29,1,2,9
2015-03-30,14,10,0
2015-03-31,6,2,0
2015-04-01,9,5,0
2015-04-02,8,0,0
2015-04-03,14,1,1
2015-04-04,4,0,2
2015-04-05,4,2,0
2015-04-06,4,0,2
2015-04-07,16,0,0
2015-04-08,6,0,1
2015-04-09,2,0,2
2015-04-10,6,0,0
2015-04-11,3,0,0
2015-04-12,0,4,0
2015-04-13,4,1,2
2015-04-14,8,1,0
2015-04-15,3,0,0
2015-04-16,9,0,0
2015-04-17,7,0,0
2015-04-18,3,0,0
2015-04-19,31,0,0
2015-04-20,5,2,1
2015-04-21,18,0,0
2015-04-22,12,0,2
2015-04-23,19,0,0
2015-04-24,21,0,0
2015-04-25,16,0,0
2015-04-26,1,0,0
2015-04-27,3,0,0
2015-04-28,18,0,1
2015-04-29,12,0,2
2015-04-30,3,0,4
2015-05-01,3,2,0
2015-05-02,10,10,0
2015-05-03,7,0,1
2015-05-04,9,1,0
2015-05-05,8,1,4
2015-05-06,46,2,0
2015-05-07,7,5,0
2015-05-08,3,4,0
2015-05-09,3,12,0
2015-05-10,2,3,0
2015-05-11,5,2,0
2015-05-12,12,4,0
2015-05-13,22,2,0
2015-05-14,17,0,0
2015-05-15,10,15,0
2015-05-16,10,1,0
2015-05-17,2,0,0
2015-05-18,11,0,0
2015-05-19,10,18,0
2015-05-20,10,21,6
2015-05-21,17,14,0
2015-05-22,9,0,1
2015-05-23,16,1,0
2015-05-24,14,0,0
2015-05-25,11,6,1
2015-05-26,26,0,2
2015-05-27,11,3,3
2015-05-28,17,6,0
2015-05-29,5,6,1
2015-05-30,1,1,6
2015-05-31,0,1,2
2015-06-01,5,1,0
2015-06-02,5,0,3
2015-06-03,13,3,3
2015-06-04,1,0,3
2015-06-05,2,4,0
2015-06-06,1,5,0
2015-06-07,0,9,0
2015-06-08,2,4,1
2015-06-09,10,8,0
2015-06-10,2,11,0
2015-06-11,6,5,0
2015-06-12,1,3,1
2015-06-13,0,2,0
2015-06-14,1,2,2
2015-06-15,1,18,0
2015-06-16,10,9,0
2015-06-17,24,1,0
2015-06-18,10,13,1
2015-06-19,13,5,0
2015-06-20,4,1,0
2015-06-21,0,0,1
2015-06-22,8,0,0
2015-06-23,2,0,2
2015-06-24,9,1,0
2015-06-25,7,2,0
2015-06-26,14,1,1
2015-06-27,2,0,0
2015-06-28,0,0,0
2015-06-29,6,1,0
2015-06-30,10,8,0
2015-07-01,12,1,2
2015-07-02,3,0,3
2015-07-03,2,0,3
2015-07-04,0,3,3
2015-07-05,1,0,3
2015-07-06,4,0,0
2015-07-07,0,0,0
2015-07-08,11,1,0
2015-07-09,3,0,0
2015-07-10,3,0,0
2015-07-11,0,16,0
2015-07-12,1,15,2
2015-07-13,4,4,2
2015-07-14,4,59,2
2015-07-15,3,11,0
2015-07-16,1,6,0
2015-07-17,3,8,5
2015-07-18,1,0,3
2015-07-19,1,0,0
2015-07-20,8,0,0
2015-07-21,13,0,0
2015-07-22,11,11,2
2015-07-23,4,0,0
2015-07-24,5,0,4
2015-07-25,1,0,0
2015-07-26,2,0,0
2015-07-27,6,1,0
2015-07-28,6,8,0
2015-07-29,13,0,0
2015-07-30,11,2,0
2015-07-31,7,0,0
2015-08-01,1,2,2
2015-08-02,1,1,0
2015-08-03,9,0,0
2015-08-04,7,0,0
2015-08-05,6,0,0
2015-08-06,9,0,4
2015-08-07,4,0,0
2015-08-08,2,2,0
2015-08-09,2,0,0
2015-08-10,5,0,0
2015-08-11,4,0,2
2015-08-12,9,0,0
2015-08-13,7,1,1
2015-08-14,9,20,0
2015-08-15,13,1,2
2015-08-16,6,2,4
2015-08-17,10,2,0
2015-08-18,1,1,0
2015-08-19,7,2,4
2015-08-20,10,2,13
2015-08-21,5,2,5
2015-08-22,2,1,1
2015-08-23,2,0,2
2015-08-24,7,0,1
2015-08-25,13,0,0
2015-08-26,8,0,1
2015-08-27,11,2,4
2015-08-28,1,31,2
2015-08-29,0,23,0
2015-08-30,1,18,0
2015-08-31,5,10,0
2015-09-01,12,5,0
2015-09-02,4,3,0
2015-09-03,12,3,0
2015-09-04,7,20,4
2015-09-05,1,7,0
2015-09-06,0,10,0
2015-09-07,5,2,0
2015-09-08,4,0,0
2015-09-09,11,1,0
2015-09-10,10,0,0
2015-09-11,21,1,0
2015-09-12,1,0,3
2015-09-13,11,4,2
2015-09-14,10,0,0
