,tensorflow/tensorflow,pytorch/pytorch,apache/mxnet
2020-12-25,6,1,0.0
2020-12-26,2,0,0.0
2020-12-27,6,0,0.0
2020-12-28,48,7,0.0
2020-12-29,42,8,0.0
2020-12-30,54,13,1.0
2020-12-31,20,5,0.8
2021-01-01,5,1,0.72
2021-01-02,7,0,-0.32800000000000007
2021-01-03,7,1,-0.16160000000000013
2021-01-04,27,21,0.8928639999999999
2021-01-05,86,40,1.7204352
2021-01-06,85,46,-0.54289152
2021-01-07,79,28,-0.25974323200000016
2021-01-08,91,43,-0.17338378240000002
2021-01-09,15,8,-0.11959306239999994
2021-01-10,8,4,-0.0839701504
2021-01-11,82,28,-0.05778432000000003
2021-01-12,112,43,0.951758848
2021-01-13,107,33,-0.2412447743999998
2021-01-14,74,27,-0.1049387008
2021-01-15,73,23,1.952
2021-01-16,21,11,0.5664
2021-01-17,8,1,-0.3855360000000001
2021-01-18,28,7,-0.19642880000000015
2021-01-19,62,30,-0.13212672000000006
2021-01-20,100,44,1.9009402880000001
2021-01-21,95,28,-0.47886295039999993
2021-01-22,104,45,-0.21428224000000018
2021-01-23,24,13,-0.14170214399999997
2021-01-24,17,2,-0.10652641279999989
2021-01-25,98,20,-0.06354135039999999
2021-01-26,75,30,-0.04085760000000002
2021-01-27,109,35,-0.03385344000000002
2021-01-28,90,49,0.9712245760000001
2021-01-29,73,37,0.7750612992000001
2021-01-30,44,9,-0.28
2021-01-31,4,3,0.8719999999999999
2021-02-01,74,23,-0.2816
2021-02-02,100,61,0.8608639999999999
2021-02-03,86,44,2.7060352
2021-02-04,95,68,-0.75095552
2021-02-05,78,37,1.6551495679999997
2021-02-06,27,13,-0.6248858624
2021-02-07,6,3,1.6842679295999998
2021-02-08,72,25,0.3925754880000001
2021-02-09,79,28,-0.5178824704000001
2021-02-10,93,37,-0.2922398720000001
2021-02-11,71,42,-0.21169008639999987
2021-02-12,82,17,-0.15593349119999997
2021-02-13,38,11,-0.09516902399999992
2021-02-14,4,12,-0.07922094079999996
2021-02-15,48,3,1.9542978560000002
2021-02-16,54,10,2.5606735872
2021-02-17,92,40,-0.7724693504
2021-02-18,68,47,1.6639999999999997
2021-02-19,41,47,0.38880000000000003
2021-02-20,38,12,-0.5118720000000001
2021-02-21,15,3,1.7065343999999998
2021-02-22,91,29,0.38966016000000003
2021-02-23,113,30,-0.524227584
2021-02-24,99,26,1.6895045632
2021-02-25,114,40,-0.6068902911999999
2021-02-26,115,33,0.7096258559999999
2021-02-27,33,8,0.5982799872000001
2021-02-28,11,6,-0.41395159040000007
2021-03-01,66,38,1.775225856
2021-03-02,77,74,-0.5617840127999999
2021-03-03,98,59,-0.26545879040000014
2021-03-04,98,31,-0.170740224
2021-03-05,133,48,-0.12949422079999998
2021-03-06,23,7,0.917613568
2021-03-07,12,3,-0.26771466239999986
2021-03-08,60,28,-0.12632279040000005
2021-03-09,79,44,1.9232245760000002
2021-03-10,116,48,0.5414612992000001
2021-03-11,93,47,0.6144639999999999
2021-03-12,105,73,3.6035711999999998
2021-03-13,43,10,-1.01212672
2021-03-14,22,7,0.5329402879999997
2021-03-15,75,30,1.4955370495999998
2021-03-16,135,27,1.30578176
2021-03-17,89,35,-0.7762749440000001
2021-03-18,107,41,0.5724316671999998
2021-03-19,132,28,0.5167000576
2021-03-20,41,7,-0.48872099839999983
2021-03-21,17,3,1.7132662784
2021-03-22,71,28,0.429301248
2021-03-23,113,43,-0.4942342144
2021-03-24,89,31,2.7243210751999998
2021-03-25,91,30,-0.7774942207999999
2021-03-26,33,33,2.6440135679999996
2021-03-27,6,29,-0.8372506623999999
2021-03-28,8,6,-0.4075515904000002
2021-03-29,62,46,-0.266310144
2021-03-30,80,42,0.7985871872000001
2021-03-31,101,46,0.6601424896
2021-04-01,75,64,-0.38444953599999987
2021-04-02,81,53,0.7838117888
2021-04-03,15,10,1.6752368640000002
2021-04-04,12,1,-0.5765440512
2021-04-05,61,33,0.7460351999999998
2021-04-06,52,56,0.6330444799999999
2021-04-07,89,51,1.595949568
2021-04-08,93,38,-0.6263578623999999
2021-04-09,72,38,-0.3118536704000002
2021-04-10,14,17,-0.20337715200000006
2021-04-11,5,7,0.8455904256000001
2021-04-12,47,30,0.6866337792000001
2021-04-13,74,72,-0.352172032
2021-04-14,79,58,0.8112894976
2021-04-15,77,88,1.6771552256000002
2021-04-16,70,54,-0.5640747008
2021-04-17,18,12,-0.2539648000000002
2021-04-18,9,6,-0.16695552000000008
2021-04-19,94,33,0.875949568
2021-04-20,104,51,1.7016421376000002
2021-04-21,96,73,-0.5502536704
2021-04-22,95,56,1.743758848
2021-04-23,87,44,-0.5708447743999998
2021-04-24,15,12,-0.2776747008000001
2021-04-25,7,12,-0.16750080000000012
2021-04-26,61,38,2.8750156799999997
2021-04-27,65,87,0.3006868480000001
2021-04-28,86,43,-0.5221023744000001
2021-04-29,52,60,0.7172078591999999
2021-04-30,75,56,5.622424576
2021-05-01,12,25,-0.4151467007999998
2021-05-02,7,15,-0.8148224000000005
2021-05-03,59,38,1.5271910399999997
2021-05-04,71,46,0.2647741440000002
2021-05-05,72,38,-0.6190405632
2021-05-06,83,62,-0.35350487040000017
2021-05-07,81,52,-0.2515768320000001
2021-05-08,31,14,0.7996056576000004
2021-05-09,12,4,-0.3555974143999997
2021-05-10,62,35,-0.14675159040000008
2021-05-11,85,59,-0.09370214399999993
2021-05-12,89,73,-0.07292641279999988
2021-05-13,94,72,0.9619946496
2021-05-14,61,61,0.7795712
2021-05-15,37,10,0.7030732799999999
2021-05-16,12,2,-0.342387712
2021-05-17,92,41,-0.17406935040000007
2021-05-18,76,39,0.8928639999999999
2021-05-19,80,32,-0.2795648
2021-05-20,76,40,-0.1428915200000001
2021-05-21,102,68,0.900256768
2021-05-22,21,24,-0.2773837823999999
2021-05-23,8,11,-0.13239306239999998
2021-05-24,53,24,0.9191018496
2021-05-25,82,46,0.74947328
2021-05-26,101,43,-0.31992371199999997
2021-05-27,94,39,-0.16089815040000008
2021-05-28,39,16,-0.09852672000000007
2021-05-29,6,6,-0.07352371199999996
2021-05-30,4,6,-0.058434150399999996
2021-05-31,23,7,-0.03735552000000002
2021-06-01,53,30,0.968685568
2021-06-02,70,52,0.7731429376000001
2021-06-03,85,33,-0.2924693504
2021-06-04,70,55,-0.1280000000000001
2021-06-05,12,22,-0.08160000000000005
2021-06-06,5,6,-0.05913600000000002
2021-06-07,51,21,-0.04596480000000003
2021-06-08,89,47,0.96264448
2021-06-09,100,48,-0.2313144319999999
2021-06-10,80,38,-0.10685706239999998
2021-06-11,84,37,-0.060469350399999997
2021-06-12,17,9,-0.03360000000000001
2021-06-13,6,5,-0.025536000000000014
2021-06-14,58,20,0.9795712
2021-06-15,92,38,0.78307328
2021-06-16,71,33,-0.29438771199999997
2021-06-17,97,54,0.8595306495999999
2021-06-18,114,29,-0.2816
2021-06-19,15,8,-0.1391360000000001
2021-06-20,10,4,-0.09396480000000007
2021-06-21,79,28,1.92904448
2021-06-22,85,47,1.543149568
2021-06-23,98,50,-0.6072858623999999
2021-06-24,104,50,0.7146039295999997
2021-06-25,71,46,0.622412288
2021-06-26,18,9,-0.41074135040000004
2021-06-27,3,2,-0.21992960000000017
2021-06-28,49,39,0.8436889599999999
2021-06-29,78,34,2.678235136
2021-06-30,77,53,3.2203210752
2021-07-01,78,35,-1.1502942208
2021-07-02,62,11,0.4710855679999997
2021-07-03,9,7,-0.5451930624000001
2021-07-04,8,0,-0.32390615040000015
2021-07-05,37,0,-0.22835712000000014
2021-07-06,48,13,2.819516928
2021-07-07,71,54,0.25112463360000037
2021-07-08,106,38,0.44461230080000025
2021-07-09,77,50,-0.4908041216
2021-07-10,21,18,-0.24318771200000008
2021-07-11,11,10,-0.17067735040000007
2021-07-12,53,35,-0.12042240000000007
2021-07-13,73,20,1.90325504
2021-07-14,97,21,-0.48051865599999977
2021-07-15,93,25,-0.2287224832
2021-07-16,84,35,0.8771429376000001
2021-07-17,15,5,-0.27966935039999996
2021-07-18,2,9,-0.1310720000000001
2021-07-19,57,27,-0.08885760000000006
2021-07-20,64,51,-0.06745344000000003
2021-07-21,73,41,-0.05431142399999989
2021-07-22,81,37,-0.04536750079999994
2021-07-23,72,35,-0.01692672000000001
2021-07-24,19,12,-0.01438771199999994
2021-07-25,4,3,-0.012469350399999964
2021-07-26,57,36,1.0
2021-07-27,79,46,-0.19999999999999996
2021-07-28,76,32,0.9199999999999999
2021-07-29,81,28,-0.248
2021-07-30,81,43,0.8863999999999999
2021-07-31,36,7,-0.273536
2021-08-01,16,1,-0.1340288000000001
2021-08-02,90,27,0.9095372799999999
2021-08-03,79,49,-0.26841651199999994
2021-08-04,77,28,1.8650679296
2021-08-05,77,28,-0.48281651199999986
2021-08-06,80,28,-0.22299607040000013
2021-08-07,30,7,-0.13592371200000003
2021-08-08,11,0,-0.1000981504
2021-08-09,69,34,1.93200128
2021-08-10,97,35,-0.45524531199999985
2021-08-11,94,27,-0.20632279040000012
2021-08-12,79,19,0.875224576
2021-08-13,92,36,0.7078612992000001
2021-08-14,22,8,1.668928
2021-08-15,9,5,-0.5688576000000001
2021-08-16,52,29,-0.2754534400000002
2021-08-17,70,36,0.8160885760000001
2021-08-18,88,50,0.6618964992
2021-08-19,57,34,1.63157248
2021-08-20,57,34,-0.600172032
2021-08-21,19,8,0.6976894975999999
2021-08-22,12,1,-0.3963807743999999
2021-08-23,59,15,0.7818964991999999
2021-08-24,75,45,0.66357248
2021-08-25,78,45,0.614227968
2021-08-26,62,41,0.5857534976000001
2021-08-27,57,42,-0.4232735743999999
2021-08-28,19,9,-0.22900142080000008
2021-08-29,5,8,-0.14195251200000003
2021-08-30,44,35,-0.10896087040000002
2021-08-31,52,34,-0.07727923199999998
2021-09-01,53,44,-0.06421258239999993
2021-09-02,49,48,-0.043783782399999915
2021-09-03,49,11,-0.026857062399999902
2021-09-04,22,3,-0.012469350399999964
2021-09-05,14,6,1.0
2021-09-06,23,1,0.8
2021-09-07,57,24,-0.28
2021-09-08,63,48,0.8719999999999999
2021-09-09,88,37,0.7183999999999999
2021-09-10,85,30,1.660864
2021-09-11,32,9,-0.5739648
2021-09-12,13,6,-0.27895552000000023
2021-09-13,84,29,0.813549568
2021-09-14,82,37,0.6599781376000001
2021-09-15,48,41,-0.38089687040000003
2021-09-16,84,29,0.7998279679999999
2021-09-17,81,56,0.6576894976000001
2021-09-18,22,12,-0.3803807743999999
2021-09-19,9,0,-0.19890350080000005
2021-09-20,33,18,0.8810444799999999
2021-09-21,74,34,-0.2904504319999999
2021-09-22,69,34,0.8471781376
2021-09-23,92,28,1.7021751296
2021-09-24,63,39,0.4550855680000001
2021-09-25,18,10,-0.46039306240000005
2021-09-26,8,1,-0.2424981504000001
2021-09-27,58,13,-0.1576627200000001
2021-09-28,57,27,6.880511488
2021-09-29,64,32,0.5042103296000002
2021-09-30,72,34,-0.028669952000000443
2021-10-01,67,62,-0.7541714944000002
2021-10-02,34,13,-0.4505264128000001
2021-10-03,8,4,-0.3064213504000001
2021-10-04,48,6,0.7723263999999999
2021-10-05,77,33,0.61511936
2021-10-06,104,39,0.5650037760000004
2021-10-07,72,35,0.5390124032000003
2021-10-08,72,53,1.5990735872
2021-10-09,38,26,0.40039464959999993
2021-10-10,12,9,-0.4875648000000002
2021-10-11,70,27,-0.2724915200000002
2021-10-12,103,31,0.8075207679999999
2021-10-13,54,45,1.6511154176
2021-10-14,73,29,2.4098226176
2021-10-15,181,38,1.1108606976000002
2021-10-16,23,5,-0.8277714944000001
2021-10-17,13,6,0.5639375871999999
2021-10-18,58,34,1.5192298495999998
2021-10-19,89,54,3.31840768
2021-10-20,105,43,1.831400448
2021-10-21,136,34,-0.18248253440000006
2021-10-22,40,39,-0.8266912768000001
