,scikit-learn/scikit-learn,mlpack/mlpack,statsmodels/statsmodels
2022-01-05,4,2,4
2022-01-06,1,0,5
2022-01-07,4,3,20
2022-01-08,1,8,17
2022-01-09,0,0,0
2022-01-10,4,2,12
2022-01-11,4,1,7
2022-01-12,5,1,1
2022-01-13,4,1,12
2022-01-14,1,0,1
2022-01-15,1,14,0
2022-01-16,0,12,0
2022-01-17,1,4,1
2022-01-18,5,3,1
2022-01-19,2,4,0
2022-01-20,4,1,3
2022-01-21,5,4,6
2022-01-22,3,3,3
2022-01-23,1,1,2
2022-01-24,12,6,1
2022-01-25,4,4,9
2022-01-26,5,3,4
2022-01-27,7,2,2
2022-01-28,22,0,0
2022-01-29,6,1,1
2022-01-30,1,1,0
2022-01-31,7,0,3
2022-02-01,6,2,3
2022-02-02,4,1,1
2022-02-03,1,6,0
2022-02-04,3,2,0
2022-02-05,3,3,0
2022-02-06,1,6,0
2022-02-07,3,5,6
2022-02-08,7,0,1
2022-02-09,8,2,4
2022-02-10,5,8,1
2022-02-11,5,3,0
2022-02-12,4,0,0
2022-02-13,0,0,2
2022-02-14,15,0,0
2022-02-15,10,0,0
2022-02-16,4,1,2
2022-02-17,10,3,1
2022-02-18,5,0,10
2022-02-19,6,4,0
2022-02-20,0,0,0
2022-02-21,1,2,2
2022-02-22,4,1,0
2022-02-23,5,0,4
2022-02-24,5,1,0
2022-02-25,4,8,0
2022-02-26,2,1,0
2022-02-27,4,0,0
2022-02-28,7,0,1
2022-03-01,1,0,5
2022-03-02,15,0,4
2022-03-03,5,0,7
2022-03-04,3,0,0
2022-03-05,2,0,0
2022-03-06,0,3,0
2022-03-07,7,0,0
2022-03-08,10,0,0
2022-03-09,8,0,0
2022-03-10,5,0,0
2022-03-11,5,10,2
2022-03-12,15,0,0
2022-03-13,11,1,0
2022-03-14,12,1,0
2022-03-15,7,0,0
2022-03-16,4,1,0
2022-03-17,18,1,1
2022-03-18,14,3,0
2022-03-19,3,0,1
2022-03-20,1,1,3
2022-03-21,9,0,2
2022-03-22,11,0,0
2022-03-23,3,4,0
2022-03-24,7,3,0
2022-03-25,7,3,0
2022-03-26,4,0,0
2022-03-27,6,8,0
2022-03-28,3,0,0
2022-03-29,9,1,0
2022-03-30,6,7,2
2022-03-31,5,5,0
2022-04-01,8,5,0
2022-04-02,1,12,0
2022-04-03,0,40,0
2022-04-04,6,6,2
2022-04-05,3,3,0
2022-04-06,12,0,0
2022-04-07,9,0,0
2022-04-08,12,2,0
2022-04-09,8,2,2
2022-04-10,1,0,0
2022-04-11,1,7,3
2022-04-12,7,3,0
2022-04-13,7,3,3
2022-04-14,7,4,1
2022-04-15,0,0,3
2022-04-16,1,8,0
2022-04-17,2,7,0
2022-04-18,0,3,0
2022-04-19,9,0,1
2022-04-20,9,0,0
2022-04-21,3,0,1
2022-04-22,6,0,0
2022-04-23,8,0,0
2022-04-24,4,1,4
2022-04-25,3,0,7
2022-04-26,6,0,2
2022-04-27,8,90,1
2022-04-28,1,7,0
2022-04-29,12,10,0
2022-04-30,1,11,5
2022-05-01,1,3,0
2022-05-02,10,0,0
2022-05-03,3,1,6
2022-05-04,8,0,3
2022-05-05,6,1,0
2022-05-06,7,0,1
2022-05-07,1,0,0
2022-05-08,0,0,2
2022-05-09,4,6,3
2022-05-10,5,23,0
2022-05-11,2,6,0
2022-05-12,12,0,3
2022-05-13,8,0,0
2022-05-14,5,1,0
2022-05-15,0,3,0
2022-05-16,7,12,0
2022-05-17,4,3,1
2022-05-18,6,0,2
2022-05-19,8,1,0
2022-05-20,5,0,0
2022-05-21,2,0,0
2022-05-22,0,0,0
2022-05-23,5,1,0
2022-05-24,6,2,0
2022-05-25,10,4,0
2022-05-26,2,0,0
2022-05-27,1,5,0
2022-05-28,1,9,0
2022-05-29,0,3,0
2022-05-30,7,0,10
2022-05-31,5,1,1
2022-06-01,8,0,16
2022-06-02,3,0,0
2022-06-03,4,2,0
2022-06-04,2,2,1
2022-06-05,1,3,1
2022-06-06,4,0,1
2022-06-07,7,2,0
2022-06-08,1,1,1
2022-06-09,7,9,0
2022-06-10,0,9,0
2022-06-11,0,7,1
2022-06-12,0,0,1
2022-06-13,3,7,0
2022-06-14,6,2,5
2022-06-15,6,1,1
2022-06-16,10,4,0
2022-06-17,8,3,0
2022-06-18,0,2,0
2022-06-19,0,1,3
2022-06-20,14,13,4
2022-06-21,9,7,24
2022-06-22,11,1,2
2022-06-23,7,9,0
2022-06-24,15,4,0
2022-06-25,0,1,0
2022-06-26,0,2,0
2022-06-27,7,12,0
2022-06-28,17,3,0
2022-06-29,16,0,3
2022-06-30,11,1,0
2022-07-01,1,1,2
2022-07-02,0,1,0
2022-07-03,0,3,0
2022-07-04,3,1,0
2022-07-05,0,0,0
2022-07-06,11,0,1
2022-07-07,9,3,4
2022-07-08,2,6,1
2022-07-09,0,9,0
2022-07-10,0,0,0
2022-07-11,0,4,0
2022-07-12,2,8,0
2022-07-13,0,1,3
2022-07-14,0,0,0
2022-07-15,1,0,1
2022-07-16,11,0,0
2022-07-17,3,0,0
2022-07-18,1,0,0
2022-07-19,17,1,1
2022-07-20,9,4,2
2022-07-21,13,0,1
2022-07-22,7,9,2
2022-07-23,1,2,0
2022-07-24,0,1,0
2022-07-25,12,0,0
2022-07-26,7,3,0
2022-07-27,11,0,0
2022-07-28,9,0,0
2022-07-29,5,3,0
2022-07-30,0,13,0
2022-07-31,1,18,0
2022-08-01,4,4,3
2022-08-02,2,7,2
2022-08-03,4,0,0
2022-08-04,2,0,0
2022-08-05,12,0,0
2022-08-06,0,1,0
2022-08-07,1,0,0
2022-08-08,2,0,0
2022-08-09,2,0,0
2022-08-10,5,3,3
2022-08-11,4,2,9
2022-08-12,4,6,0
2022-08-13,2,2,0
2022-08-14,0,2,2
2022-08-15,1,14,1
2022-08-16,3,4,4
2022-08-17,2,4,0
2022-08-18,1,14,0
2022-08-19,1,2,0
2022-08-20,0,5,0
2022-08-21,0,0,0
2022-08-22,2,0,2
2022-08-23,1,0,1
2022-08-24,8,0,0
2022-08-25,6,0,0
2022-08-26,5,3,1
2022-08-27,0,0,1
2022-08-28,0,0,0
2022-08-29,11,1,0
2022-08-30,12,0,0
2022-08-31,11,1,0
2022-09-01,4,2,0
2022-09-02,21,9,0
2022-09-03,6,2,0
2022-09-04,3,4,0
2022-09-05,14,0,0
2022-09-06,7,0,0
2022-09-07,10,0,0
2022-09-08,4,1,1
2022-09-09,12,2,2
2022-09-10,3,5,0
2022-09-11,0,3,0
2022-09-12,8,0,1
2022-09-13,3,0,0
2022-09-14,1,0,0
2022-09-15,4,7,0
2022-09-16,10,0,0
2022-09-17,1,0,0
2022-09-18,1,0,0
2022-09-19,6,0,2
2022-09-20,6,0,0
2022-09-21,4,6,0
2022-09-22,4,5,1
2022-09-23,4,1,0
2022-09-24,2,1,0
2022-09-25,6,0,0
2022-09-26,10,1,3
2022-09-27,7,0,0
2022-09-28,5,2,0
2022-09-29,1,0,0
2022-09-30,6,1,0
2022-10-01,0,0,0
2022-10-02,0,0,0
2022-10-03,4,0,0
2022-10-04,1,0,0
2022-10-05,0,1,0
2022-10-06,6,1,1
2022-10-07,9,1,0
2022-10-08,0,0,1
2022-10-09,0,1,1
2022-10-10,5,0,8
2022-10-11,2,0,10
2022-10-12,5,0,0
2022-10-13,16,0,0
2022-10-14,8,0,0
2022-10-15,0,0,0
2022-10-16,0,0,0
2022-10-17,3,2,0
2022-10-18,4,2,0
2022-10-19,3,3,0
2022-10-20,2,4,1
2022-10-21,0,1,0
2022-10-22,0,1,0
