,gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket
2014-02-12,5,19.0,0
2014-02-13,1,15.200000000000001,0
2014-02-14,2,14.68,0
2014-02-15,1,6.567999999999999,0
2014-02-16,0,0.24959999999999738,0
2014-02-17,4,7.676415999999998,0
2014-02-18,2,34.9506688,2
2014-02-19,4,4.09472512,1
2014-02-20,5,7.686881791999998,0
2014-02-21,0,10.009191014399999,4
2014-02-22,0,-5.1177240576,1
2014-02-23,0,-1.1165731840000008,5
2014-02-24,0,18.9066595328,3
2014-02-25,6,19.691654553600003,0
2014-02-26,0,14.701649715200002,9
2014-02-27,0,10.371856384,1
2014-02-28,0,10.125844992,8
2014-03-01,0,-5.637511782400001,15
2014-03-02,8,-2.3810527232000016,8
2014-03-03,9,15.927284940799998,4
2014-03-04,1,1.1387725824000015,14
2014-03-05,0,5.5799354368,9
2014-03-06,12,11.613932851200001,14
2014-03-07,5,-2.3825207295999995,2
2014-03-08,0,0.8976599039999993,11
2014-03-09,1,-0.4493249536000006,2
2014-03-10,5,18.3733680128,3
2014-03-11,18,11.066195148800002,3
2014-03-12,4,9.607883776,5
2014-03-13,27,16.5760309248,6
2014-03-14,17,24.970187161600002,7
2014-03-15,36,-5.730905804800001,8
2014-03-16,31,-3.3173129216000037,0
2014-03-17,37,28.426363392,0
2014-03-18,10,-1.7302930431999997,4
2014-03-19,43,17.3581746176,1
2014-03-20,44,15.241872691200001,2
2014-03-21,24,7.5194392576,0
2014-03-22,18,-1.4909975551999999,0
2014-03-23,49,-2.131045683200001,0
2014-03-24,32,33.577213952,5
2014-03-25,52,33.4220284928,0
2014-03-26,35,15.875565260800002,0
2014-03-27,20,11.144257228799997,1
2014-03-28,14,-0.7662693376000007,1
2014-03-29,19,-6.752825753600002,2
2014-03-30,22,-4.720278220800003,2
2014-03-31,10,16.852601139199997,3
2014-04-01,8,20.687285862400003,1
2014-04-02,12,28.218916556800004,5
2014-04-03,4,10.456087142400001,0
2014-04-04,11,7.33842688,1
2014-04-05,8,-4.252867481600001,0
2014-04-06,16,7.852322201599997,0
2014-04-07,9,35.2260380672,3
2014-04-08,5,19.4830181376,4
2014-04-09,8,14.1625619456,3
2014-04-10,21,2.7730121728000015,5
2014-04-11,22,8.3237183488,4
2014-04-12,25,-6.1601226752,0
2014-04-13,12,6.124277452799998,0
2014-04-14,16,21.67410944,0
2014-04-15,16,7.436072550400002,1
2014-04-16,11,-1.5240209407999998,0
2014-04-17,2,5.007085363200001,6
2014-04-18,6,4.2583124992000005,3
2014-04-19,4,-4.244152831999999,0
2014-04-20,4,-2.240050483200001,0
2014-04-21,8,1.6603496448000001,2
2014-04-22,14,15.471860019200001,1
2014-04-23,26,20.806103244800003,2
2014-04-24,4,9.4056891392,2
2014-04-25,3,4.060817715199999,2
2014-04-26,9,-3.8333394944000005,4
2014-04-27,11,0.3330288639999983,5
2014-04-28,0,9.814581657599998,8
2014-04-29,3,7.2744380416,13
2014-04-30,6,3.9236634624000004,4
2014-05-01,23,3.319528140800001,1
2014-05-02,9,11.769210265600002,2
2014-05-03,4,-1.4929804287999993,1
2014-05-04,0,-3.5720515584000014,2
2014-05-05,13,17.8656934912,7
2014-05-06,6,10.4422145024,2
2014-05-07,11,9.0064990208,5
2014-05-08,8,31.9164598272,0
2014-05-09,9,-6.819868569599999,0
2014-05-10,1,-5.005985075200003,15
2014-05-11,21,-0.9222124544000012,2
2014-05-12,11,9.752887398399999,2
2014-05-13,8,23.14221824,1
2014-05-14,10,11.570470400000001,0
2014-05-15,8,6.8694081535999985,0
2014-05-16,9,2.720683008000001,2
2014-05-17,0,-5.042367283200001,0
2014-05-18,3,0.5123723263999977,11
2014-05-19,5,14.7775937536,0
2014-05-20,0,8.2059875328,1
2014-05-21,2,-1.9308838911999988,0
2014-05-22,1,24.9609791488,0
2014-05-23,0,21.846157312000003,0
2014-05-24,6,0.12839270399999947,0
2014-05-25,0,-6.858410496000003,1
2014-05-26,9,30.022751641599996,0
2014-05-27,0,16.3439105024,0
2014-05-28,4,18.8919016448,1
2014-05-29,1,26.896779366399997,0
2014-05-30,5,0.5103893504000006,1
2014-05-31,1,-3.9363337216000005,5
2014-06-01,5,-5.994872832000002,5
2014-06-02,1,13.399305215999998,6
2014-06-03,4,45.069519872,0
2014-06-04,1,14.487688294400002,1
2014-06-05,1,13.318518681599999,4
2014-06-06,3,9.085772902399999,3
2014-06-07,1,-0.6761004032000013,3
2014-06-08,4,-4.875814297600002,0
2014-06-09,0,-1.4783263744000017,4
2014-06-10,1,36.3663911936,2
2014-06-11,2,15.469110988800004,0
2014-06-12,6,5.837090611200001,0
2014-06-13,1,14.9655512064,0
2014-06-14,0,19.2073573376,5
2014-06-15,0,-7.0284048384,6
2014-06-16,0,4.394183679999997,2
2014-06-17,1,9.506955980799997,0
2014-06-18,0,10.696651366400001,0
2014-06-19,1,4.039298969600001,2
2014-06-20,2,6.3403159552,2
2014-06-21,3,-3.3723701247999998,0
2014-06-22,5,-0.23830773759999957,2
2014-06-23,6,22.5409352704,1
