,ray-project/ray,DLR-RM/stable-baselines3,hill-a/stable-baselines
2019-09-05,5.0,2,1
2019-09-06,2.4999999999999996,7,1
2019-09-07,4.475,0,1
2019-09-08,3.2224999999999993,0,0
2019-09-09,1.1861874999999997,3,0
2019-09-10,3.33492875,1,0
2019-09-11,4.1785271875,0,0
2019-09-12,2.0048117312500002,3,1
2019-09-13,3.1082752836718752,0,0
2019-09-14,3.028800767023438,0,0
2019-09-15,5.022983567314063,0,0
2019-09-16,2.8083257927578127,0,1
2019-09-17,1.9220828663250002,0,0
2019-09-18,-0.9481424758843746,5,0
2019-09-19,1.395191886028126,4,0
2019-09-20,0.36742746327343845,4,0
2019-09-21,2.4967288303296886,7,1
2019-09-22,2.3585708602937503,6,0
2019-09-23,5.3203088892625,0,0
2019-09-24,3.004656543971875,4,0
2019-09-25,3.077771375809375,3,0
2019-09-26,4.078116287392188,2,0
2019-09-27,1.96395839021875,0,0
2019-09-28,0.08251635566250037,0,2
2019-09-29,0.3260260446671882,0,1
2019-09-30,1.4286087758453134,0,0
2019-10-01,2.4042994792984382,1,0
2019-10-02,3.3136360352218754,0,0
2019-10-03,6.20439756904375,0,1
2019-10-04,0.8491781735281247,0,0
2019-10-05,0.18182408952343754,0,0
2019-10-06,0.4073171581265629,0,1
2019-10-07,4.509254904448438,2,0
2019-10-08,8.158893132682813,1,0
2019-10-09,0.6115924833812496,0,0
2019-10-10,2.0482710415796874,2,0
2019-10-11,4.098147743746876,0,2
2019-10-12,-0.0607305525328119,0,0
2019-10-13,2.2998544731625006,0,0
2019-10-14,8.226385240698438,1,0
2019-10-15,0.6024295411359377,1,0
2019-10-16,3.0184712401796876,0,0
2019-10-17,2.981578299895313,2,0
2019-10-18,2.0145541121312505,0,0
2019-10-19,0.09600639356406293,0,0
2019-10-20,2.332814723054688,0,2
2019-10-21,5.259111917167188,0,0
2019-10-22,1.9238986827515627,0,0
2019-10-23,5.083738116145312,0,0
2019-10-24,0.8769639703656249,0,0
2019-10-25,8.15386298654375,4,0
2019-10-26,4.567431917059375,0,0
2019-10-27,0.6186567156265625,0,0
2019-10-28,2.9923224934171877,5,0
2019-10-29,1.9259444005484383,6,0
2019-10-30,3.0219899932375007,1,2
2019-10-31,1.9897225592984382,5,0
2019-11-01,6.071271417503126,0,1
2019-11-02,-0.2712532247124999,0,1
2019-11-03,0.1606647565828132,0,0
2019-11-04,4.375654936253126,0,0
2019-11-05,5.092512154115625,0,0
2019-11-06,0.8668590783093753,0,0
2019-11-07,1.1618357640796877,5,1
2019-11-08,6.266452514559376,2,0
