,webpack/webpack,rollup/rollup,parcel-bundler/parcel
2021-08-05,9.0,4,0
2021-08-06,8.1,0,2
2021-08-07,0.694999999999999,0,0
2021-08-08,-0.8615000000000006,3,0
2021-08-09,-0.5324624999999996,0,0
2021-08-10,16.61198675,3,1
2021-08-11,0.9951661374999996,0,1
2021-08-12,-1.31553487875,0,1
2021-08-13,-0.8317821083906249,0,0
2021-08-14,2.3793456175359395,1,0
2021-08-15,0.26930145114531356,0,0
2021-08-16,12.476097832428126,0,1
2021-08-17,-0.6585788737500007,0,1
2021-08-18,1.0285700899843753,0,0
2021-08-19,8.144001817842188,0,1
2021-08-20,1.6320881548921877,0,0
2021-08-21,-1.0386233512499996,0,2
2021-08-22,-0.6598465477968745,0,2
2021-08-23,-0.4958409343734362,3,3
2021-08-24,0.6227571070109387,0,0
2021-08-25,0.5922508490171883,0,1
2021-08-26,3.688135217682813,1,1
2021-08-27,0.3903063890374999,0,1
2021-08-28,-0.4334571118703124,0,1
2021-08-29,-0.22097580760781244,0,4
2021-08-30,8.8595712375,0,2
2021-08-31,-1.0093852087500004,0,2
2021-09-01,-0.49442680926562504,0,3
2021-09-02,4.667996036948438,0,5
2021-09-03,14.256271699151563,0,0
2021-09-04,-1.9132144731593759,0,0
2021-09-05,0.05564303496406231,0,0
2021-09-06,-0.7306557662499997,1,1
2021-09-07,-0.5216360671406234,1,1
2021-09-08,12.588349014676563,0,0
2021-09-09,-0.5735611687500004,0,0
2021-09-10,5.084636241171875,0,1
2021-09-11,-0.2141809704140627,0,4
2021-09-12,0.1958110157109385,0,0
2021-09-13,2.4442514369843753,0,0
2021-09-14,9.306903234964063,0,1
2021-09-15,-0.4382430637500001,0,1
2021-09-16,6.1132669095468755,0,2
2021-09-17,1.6934181640171873,0,0
2021-09-18,-0.9885396893796868,1,1
2021-09-19,-0.6268711619812494,1,0
2021-09-20,3.5708773706984385,0,1
2021-09-21,2.263992483417188,0,1
2021-09-22,0.2475422784859378,3,0
2021-09-23,4.440301250375001,0,0
2021-09-24,14.178191867604687,0,0
2021-09-25,-1.9674514067984383,0,0
2021-09-26,0.035642642392187396,0,0
2021-09-27,5.2692099275,0,0
2021-09-28,9.8797623966875,0,1
2021-09-29,3.220544642059375,0,1
2021-09-30,-1.4743260393734374,0,2
