,apache/tomcat,spring-projects/spring-framework,apache/struts
2016-08-10,11,6,0
2016-08-11,12,3,0
2016-08-12,33,0,0
2016-08-13,2,1,0
2016-08-14,0,0,0
2016-08-15,3,2,0
2016-08-16,0,7,0
2016-08-17,0,9,5
2016-08-18,2,4,0
2016-08-19,3,4,0
2016-08-20,0,0,0
2016-08-21,0,0,0
2016-08-22,16,4,0
2016-08-23,8,4,0
2016-08-24,9,10,0
2016-08-25,3,3,0
2016-08-26,6,11,0
2016-08-27,10,0,0
2016-08-28,2,4,2
2016-08-29,5,10,1
2016-08-30,19,15,3
2016-08-31,9,10,0
2016-09-01,1,21,0
2016-09-02,1,16,1
2016-09-03,0,1,0
2016-09-04,0,0,0
2016-09-05,6,6,2
2016-09-06,5,5,3
2016-09-07,2,9,1
2016-09-08,3,1,0
2016-09-09,4,8,0
2016-09-10,3,5,0
2016-09-11,1,0,0
2016-09-12,6,8,3
2016-09-13,0,19,0
2016-09-14,2,6,1
2016-09-15,5,4,1
2016-09-16,1,24,3
2016-09-17,0,7,0
2016-09-18,0,2,1
2016-09-19,5,9,2
2016-09-20,7,16,1
2016-09-21,3,2,0
2016-09-22,0,1,0
2016-09-23,2,0,1
2016-09-24,1,0,0
2016-09-25,8,4,0
2016-09-26,8,5,0
2016-09-27,4,3,0
2016-09-28,3,0,9
2016-09-29,3,0,0
2016-09-30,3,0,0
2016-10-01,0,0,1
2016-10-02,0,0,0
2016-10-03,2,2,0
2016-10-04,8,7,0
2016-10-05,13,1,3
2016-10-06,17,3,4
2016-10-07,20,1,3
2016-10-08,1,0,0
2016-10-09,0,0,0
2016-10-10,3,4,1
2016-10-11,0,7,4
2016-10-12,1,13,2
2016-10-13,7,12,0
2016-10-14,7,12,0
2016-10-15,0,6,1
2016-10-16,2,0,0
2016-10-17,3,1,0
2016-10-18,5,2,0
2016-10-19,8,4,0
2016-10-20,5,12,0
2016-10-21,2,13,0
2016-10-22,0,0,0
2016-10-23,1,0,0
2016-10-24,0,3,0
2016-10-25,3,7,0
2016-10-26,8,4,0
2016-10-27,11,8,0
2016-10-28,1,29,2
2016-10-29,0,3,0
2016-10-30,0,3,0
2016-10-31,10,10,0
2016-11-01,6,4,1
2016-11-02,6,8,0
2016-11-03,4,8,0
2016-11-04,1,13,0
2016-11-05,1,0,0
2016-11-06,0,0,0
2016-11-07,4,12,4
2016-11-08,3,7,0
2016-11-09,2,0,0
2016-11-10,6,0,1
2016-11-11,2,1,4
2016-11-12,0,0,4
2016-11-13,0,0,1
2016-11-14,3,2,0
2016-11-15,3,0,0
2016-11-16,3,4,6
2016-11-17,3,1,0
2016-11-18,1,0,1
2016-11-19,0,0,0
2016-11-20,0,0,1
2016-11-21,7,6,4
2016-11-22,2,6,7
2016-11-23,5,10,4
2016-11-24,8,12,2
2016-11-25,9,5,0
2016-11-26,0,0,0
2016-11-27,2,0,3
2016-11-28,7,12,4
2016-11-29,5,5,0
2016-11-30,0,8,3
2016-12-01,4,8,8
2016-12-02,4,5,4
2016-12-03,0,2,0
2016-12-04,1,0,0
2016-12-05,13,2,0
2016-12-06,9,6,2
2016-12-07,7,6,0
2016-12-08,1,13,0
2016-12-09,3,9,0
2016-12-10,0,0,0
2016-12-11,0,0,0
2016-12-12,4,21,0
2016-12-13,2,20,0
2016-12-14,45,22,0
2016-12-15,10,14,0
2016-12-16,0,6,0
2016-12-17,14,3,0
2016-12-18,4,7,0
2016-12-19,0,11,1
2016-12-20,0,9,1
2016-12-21,0,15,0
2016-12-22,1,5,0
2016-12-23,0,18,0
2016-12-24,2,3,0
2016-12-25,0,0,0
2016-12-26,0,8,0
2016-12-27,0,10,0
2016-12-28,0,6,0
2016-12-29,0,13,0
2016-12-30,1,3,3
2016-12-31,0,0,1
2017-01-01,0,2,0
2017-01-02,3,1,2
2017-01-03,11,4,0
2017-01-04,1,5,0
2017-01-05,2,3,0
2017-01-06,9,2,0
2017-01-07,0,4,0
2017-01-08,0,0,1
2017-01-09,2,4,5
2017-01-10,9,5,4
2017-01-11,5,5,0
2017-01-12,5,14,2
2017-01-13,6,5,0
2017-01-14,0,0,0
2017-01-15,0,0,1
2017-01-16,0,13,0
2017-01-17,3,26,2
2017-01-18,3,8,0
2017-01-19,2,14,1
2017-01-20,6,8,0
2017-01-21,2,1,0
2017-01-22,0,0,0
2017-01-23,3,13,0
2017-01-24,3,3,0
2017-01-25,3,10,0
2017-01-26,2,8,0
2017-01-27,9,10,3
2017-01-28,1,1,1
2017-01-29,0,0,0
2017-01-30,6,7,0
2017-01-31,6,11,0
2017-02-01,0,7,2
2017-02-02,2,13,6
2017-02-03,4,6,1
2017-02-04,0,0,0
2017-02-05,0,0,1
2017-02-06,1,8,0
2017-02-07,2,0,1
2017-02-08,1,5,0
2017-02-09,3,18,0
2017-02-10,0,14,0
2017-02-11,2,2,0
2017-02-12,0,0,0
2017-02-13,7,15,6
2017-02-14,5,11,1
2017-02-15,6,8,0
2017-02-16,2,14,0
2017-02-17,3,4,0
2017-02-18,0,4,0
2017-02-19,0,0,0
2017-02-20,0,22,0
2017-02-21,0,10,1
2017-02-22,0,9,0
2017-02-23,1,2,1
2017-02-24,0,0,1
2017-02-25,0,2,0
2017-02-26,0,0,0
2017-02-27,8,4,2
2017-02-28,9,7,0
2017-03-01,6,5,0
2017-03-02,0,2,0
2017-03-03,6,3,0
2017-03-04,1,3,0
2017-03-05,0,3,0
2017-03-06,8,7,1
2017-03-07,6,7,1
2017-03-08,8,6,8
2017-03-09,10,3,3
2017-03-10,5,7,12
2017-03-11,0,0,0
2017-03-12,0,0,0
2017-03-13,1,5,10
2017-03-14,2,8,6
2017-03-15,0,6,10
2017-03-16,3,11,8
2017-03-17,1,5,12
2017-03-18,0,2,0
2017-03-19,1,0,1
2017-03-20,3,2,0
2017-03-21,4,18,0
2017-03-22,0,9,0
2017-03-23,15,4,6
2017-03-24,15,15,2
2017-03-25,2,0,0
2017-03-26,6,2,4
2017-03-27,8,21,0
2017-03-28,3,5,0
2017-03-29,4,9,1
2017-03-30,20,6,0
2017-03-31,7,0,0
2017-04-01,3,1,0
2017-04-02,0,2,0
2017-04-03,3,6,0
2017-04-04,1,14,3
2017-04-05,14,6,0
2017-04-06,18,17,1
2017-04-07,1,10,0
2017-04-08,0,1,0
2017-04-09,0,3,0
2017-04-10,5,18,3
2017-04-11,10,23,2
2017-04-12,14,8,0
2017-04-13,4,12,1
2017-04-14,1,10,6
2017-04-15,1,2,0
2017-04-16,1,0,1
2017-04-17,2,5,0
2017-04-18,0,7,0
2017-04-19,6,14,8
2017-04-20,11,7,6
2017-04-21,3,2,2
2017-04-22,0,1,3
2017-04-23,0,0,1
2017-04-24,3,3,1
2017-04-25,0,13,0
2017-04-26,1,13,12
2017-04-27,1,11,0
2017-04-28,14,12,5
2017-04-29,0,0,0
2017-04-30,1,1,1
2017-05-01,0,3,0
2017-05-02,16,13,0
2017-05-03,7,9,0
2017-05-04,31,16,0
2017-05-05,1,11,0
2017-05-06,0,1,0
2017-05-07,0,4,0
2017-05-08,0,4,0
2017-05-09,5,3,1
2017-05-10,11,2,5
2017-05-11,2,3,1
2017-05-12,2,3,7
2017-05-13,0,0,0
2017-05-14,0,0,0
2017-05-15,0,1,0
2017-05-16,7,4,0
2017-05-17,1,4,2
2017-05-18,0,1,3
2017-05-19,0,5,0
2017-05-20,0,3,0
2017-05-21,0,0,0
2017-05-22,1,1,0
2017-05-23,3,4,0
2017-05-24,3,14,0
2017-05-25,1,6,0
2017-05-26,1,3,0
2017-05-27,0,2,0
2017-05-28,0,4,0
2017-05-29,4,2,1
2017-05-30,8,4,1
2017-05-31,1,7,0
2017-06-01,2,15,0
2017-06-02,5,7,0
2017-06-03,13,2,0
2017-06-04,0,3,0
2017-06-05,4,0,2
2017-06-06,5,0,0
2017-06-07,0,6,0
2017-06-08,4,9,0
2017-06-09,2,10,0
2017-06-10,0,0,0
2017-06-11,5,2,0
2017-06-12,7,22,0
2017-06-13,1,19,1
2017-06-14,0,4,2
2017-06-15,0,5,0
2017-06-16,1,3,0
2017-06-17,0,3,0
2017-06-18,3,0,3
2017-06-19,10,2,0
2017-06-20,1,8,4
2017-06-21,8,4,2
2017-06-22,0,3,4
2017-06-23,8,8,0
2017-06-24,0,0,0
2017-06-25,0,0,0
2017-06-26,9,12,0
2017-06-27,2,2,0
2017-06-28,6,3,0
2017-06-29,1,12,0
2017-06-30,4,11,0
2017-07-01,0,1,0
2017-07-02,0,4,0
2017-07-03,7,4,0
2017-07-04,6,11,0
2017-07-05,6,7,0
2017-07-06,5,7,4
2017-07-07,2,14,7
2017-07-08,0,0,0
2017-07-09,1,0,0
2017-07-10,3,5,0
2017-07-11,0,17,0
2017-07-12,6,17,0
2017-07-13,0,8,0
2017-07-14,0,14,0
2017-07-15,0,0,0
2017-07-16,1,0,0
2017-07-17,7,7,2
2017-07-18,1,10,0
2017-07-19,1,19,0
2017-07-20,2,9,2
2017-07-21,1,3,0
2017-07-22,0,0,0
2017-07-23,0,0,1
2017-07-24,13,1,1
2017-07-25,0,7,2
2017-07-26,3,3,1
2017-07-27,7,8,1
2017-07-28,8,9,1
2017-07-29,0,0,0
2017-07-30,7,0,0
2017-07-31,1,6,0
2017-08-01,4,8,7
2017-08-02,4,5,6
2017-08-03,3,4,5
2017-08-04,1,0,4
2017-08-05,0,0,0
2017-08-06,0,0,0
2017-08-07,1,0,3
2017-08-08,4,4,0
2017-08-09,5,0,0
