,django/django,rails/rails,sinatra/sinatra
2019-10-08,2.0,7,0
2019-10-09,11.8,4,0
2019-10-10,3.709999999999999,13,0
2019-10-11,4.903,16,0
2019-10-12,-1.2083250000000008,3,0
2019-10-13,-0.6926834999999992,8,0
2019-10-14,3.505962475000001,7,0
2019-10-15,5.2153097075,10,1
2019-10-16,2.90522845646875,8,0
2019-10-17,0.9499419824906252,14,0
2019-10-18,5.151160026990626,3,0
2019-10-19,-1.0918461407734372,10,0
2019-10-20,-0.6093916652156244,0,0
2019-10-21,6.599861140000001,14,0
2019-10-22,1.9863080204375003,2,0
2019-10-23,8.1265954017625,5,0
2019-10-24,6.575674165221875,7,0
2019-10-25,5.445568286325,6,1
2019-10-26,-1.5655123331656253,1,7
2019-10-27,-0.9198399527156242,3,0
2019-10-28,4.373007338750002,2,0
2019-10-29,8.007711107640626,4,0
2019-10-30,5.469546476951563,11,0
2019-10-31,5.460304967751562,6,0
2019-11-01,-0.6046045506984374,4,0
2019-11-02,-1.0152152613968741,2,0
2019-11-03,-0.6587902802515614,3,0
2019-11-04,9.540118656250002,9,0
2019-11-05,6.626701331171875,3,0
2019-11-06,9.435984208929687,9,2
2019-11-07,5.021614249817187,6,0
2019-11-08,5.2335111448890625,10,0
2019-11-09,-1.7233277807671872,6,0
2019-11-10,-1.010740477535936,12,0
2019-11-11,4.262345187500002,1,0
2019-11-12,3.9133304123437513,2,0
2019-11-13,2.7874829742656257,14,0
2019-11-14,0.8902677752906252,6,0
2019-11-15,2.137166057245313,13,0
2019-11-16,-0.813666408860937,11,0
2019-11-17,-0.4798357802515617,3,0
2019-11-18,14.687429456250001,3,0
2019-11-19,5.249820903671875,8,0
2019-11-20,2.416115112242187,5,0
2019-11-21,7.7155590552578115,17,0
2019-11-22,3.324549375075,11,0
2019-11-23,-1.4508913941187493,3,0
2019-11-24,-0.8995939951078116,10,0
2019-11-25,9.348530968750001,3,0
2019-11-26,1.4778081310156257,3,0
2019-11-27,7.8136223733515635,5,0
2019-11-28,3.417281451435937,7,0
2019-11-29,1.6276962914656254,0,1
2019-11-30,-1.1280862379015621,4,0
2019-12-01,-0.6854271376796863,1,0
2019-12-02,12.515713750000002,7,0
2019-12-03,5.31000641859375,17,0
2019-12-04,7.38830295684375,18,0
2019-12-05,4.208234106501562,7,1
2019-12-06,5.3701751733484375,19,0
2019-12-07,-1.6513544517265621,2,1
2019-12-08,-0.9810824701078111,3,0
2019-12-09,5.295122111250001,20,0
2019-12-10,4.838159944546876,11,0
2019-12-11,3.662204134673438,7,0
2019-12-12,7.755396950107812,8,0
2019-12-13,-0.6306304246671877,16,2
2019-12-14,1.0144531936750005,8,0
2019-12-15,-0.8392770427515618,9,0
2019-12-16,2.4694194975000014,11,0
2019-12-17,0.28750463190625075,36,0
2019-12-18,6.425828662940626,44,0
2019-12-19,3.92602654095625,19,0
2019-12-20,1.9289856989296874,23,0
2019-12-21,0.09914187166093746,9,0
2019-12-22,-0.605275766067187,9,0
2019-12-23,5.5901294436781255,10,0
