,metabase/metabase,apache/superset,getredash/redash
2019-08-02,1.0,2,0
2019-08-03,-0.19999999999999996,0,0
2019-08-04,-0.08000000000000007,0,3
2019-08-05,1.952,5,2
2019-08-06,3.5664000000000002,7,2
2019-08-07,1.014464,5,1
2019-08-08,5.1635712,4,1
2019-08-09,7.36387328,3,2
2019-08-10,-1.5758597120000002,0,0
2019-08-11,-1.4306709504000008,1,6
2019-08-12,5.11975936,2,4
2019-08-13,7.159044096000001,4,3
2019-08-14,11.2176602112,3,3
2019-08-15,3.8023916544,3,3
2019-08-16,2.3623657471999993,3,1
2019-08-17,-2.1888482304,0,0
2019-08-18,-2.0134086656000005,0,3
2019-08-19,6.707807129599999,1,0
2019-08-20,5.421442048,5,0
2019-08-21,3.9684740096000004,3,1
2019-08-22,2.9788253184,3,1
2019-08-23,4.1755382784,8,0
2019-08-24,-1.8920957952,1,0
2019-08-25,-1.7401222144000006,0,1
2019-08-26,5.8923344896,4,1
2019-08-27,-0.22993305599999925,6,0
2019-08-28,10.3717316608,1,0
2019-08-29,10.633433292800001,1,1
2019-08-30,-1.4037275647999996,6,2
2019-08-31,-2.7344088064000003,0,0
2019-09-01,-1.6109467648000004,0,3
2019-09-02,0.9073540095999995,2,5
2019-09-03,0.7619829760000001,2,1
2019-09-04,7.7582072832,2,2
2019-09-05,1.4481482752000008,2,0
2019-09-06,-0.08504033279999934,2,0
2019-09-07,0.5119939584000002,0,0
2019-09-08,-0.1837376512000004,5,0
2019-09-09,-0.8949350400000003,5,6
2019-09-10,-0.5918320640000002,7,0
2019-09-11,2.5459581952,3,2
2019-09-12,3.0523354112000005,1,2
2019-09-13,7.6899779584,2,1
2019-09-14,-2.3969350655999997,0,0
2019-09-15,-1.0834408448000006,0,2
2019-09-16,1.3176655871999996,0,3
2019-09-17,1.1217002496,5,0
2019-09-18,3.0776806399999996,8,2
2019-09-19,1.649270784,5,0
2019-09-20,14.669500620800001,1,1
2019-09-21,-1.9296388095999992,0,0
2019-09-22,-1.162553753600001,2,6
2019-09-23,0.5943449599999993,5,1
2019-09-24,0.6654479359999996,1,2
2019-09-25,-0.2664834048000002,1,2
2019-09-26,1.9991974912,0,0
2019-09-27,6.7265383424,2,1
2019-09-28,-1.328165683199999,1,0
2019-09-29,-1.3547413504,2,0
2019-09-30,1.2956265471999997,2,1
2019-10-01,9.1110649856,4,0
2019-10-02,7.4701847552,2,2
2019-10-03,0.8249270271999998,0,1
2019-10-04,0.641324953599999,6,0
2019-10-05,-0.9565084672000002,0,1
2019-10-06,-1.3783601152000002,3,6
2019-10-07,8.1356292096,0,2
2019-10-08,4.546725376,1,0
2019-10-09,7.3499937792,1,0
2019-10-10,-1.4150999039999994,3,3
2019-10-11,-2.0918533120000005,2,2
2019-10-12,-1.2149912576000004,1,0
2019-10-13,-0.8464069632000002,0,0
2019-10-14,-0.6303714304000003,0,1
2019-10-15,6.496663552,2,5
2019-10-16,-0.8230629375999992,1,2
2019-10-17,-0.025016012799999654,3,3
2019-10-18,-0.7694689279999998,1,0
2019-10-19,0.6118612991999999,0,2
2019-10-20,-0.4603520000000001,0,0
2019-10-21,5.7178624,3,0
2019-10-22,-1.41245184,2,2
2019-10-23,1.348330496,4,3
2019-10-24,-0.8321358847999998,3,5
2019-10-25,-0.40888586240000013,3,1
2019-10-26,-0.27861207040000013,1,0
2019-10-27,-0.20416051200000002,0,1
2019-10-28,0.8348983295999999,5,3
2019-10-29,-0.3271838719999996,2,1
2019-10-30,2.8113304576,5,1
2019-10-31,7.323224576,5,1
2019-11-01,-1.8985387007999999,1,0
2019-11-02,-0.8095360000000007,2,1
2019-11-03,-0.5052288000000004,0,0
2019-11-04,2.63766528,7,0
2019-11-05,-0.879962112,7,1
2019-11-06,1.5333200895999997,3,1
2019-11-07,3.2774231040000004,2,2
2019-11-08,6.786690252800001,2,0
2019-11-09,-1.1923628032,0,0
2019-11-10,-1.1604864000000008,2,1
2019-11-11,0.29974783999999954,0,4
2019-11-12,1.297035264,8,0
2019-11-13,1.1291353088,5,4
2019-11-14,-0.8934487040000001,2,4
2019-11-15,0.47206789120000003,9,0
2019-11-16,1.4293581824000006,1,0
2019-11-17,-0.7328433151999997,0,0
2019-11-18,2.6706743295999997,3,1
2019-11-19,3.181301248,7,0
2019-11-20,-1.2078342144,13,2
2019-11-21,1.4107850751999997,3,1
2019-11-22,-0.7755230208,3,0
2019-11-23,-0.4192491520000002,2,0
2019-11-24,-0.3006751744,1,5
2019-11-25,3.7753659392,2,1
2019-11-26,0.03805798400000027,3,2
2019-11-27,2.3441835008,8,6
2019-11-28,-0.9557308416,2,0
2019-11-29,-0.4511754240000002,1,0
2019-11-30,-0.3046827008000001,0,0
2019-12-01,-0.2080512000000001,0,0
2019-12-02,6.83525632,5,1
2019-12-03,3.4642360320000005,13,1
2019-12-04,-0.6750452736000001,15,4
2019-12-05,1.0083675135999997,6,3
2019-12-06,3.0073919487999996,5,0
2019-12-07,-1.3547520000000002,0,0
2019-12-08,-0.7202816000000005,7,0
2019-12-09,3.4946329599999997,1,0
2019-12-10,-0.19124838399999966,8,1
2019-12-11,10.1608476672,4,6
2019-12-12,2.335696896000001,3,1
2019-12-13,2.8286483455999996,2,1
2019-12-14,6.853766451199999,0,1
2019-12-15,-2.9667286016000003,0,0
2019-12-16,0.502968319999999,4,1
2019-12-17,2.573125632,5,1
2019-12-18,4.2573169663999995,3,0
2019-12-19,4.7966642176,2,0
2019-12-20,0.3832057856000004,4,1
2019-12-21,-1.9200977920000002,0,0
2019-12-22,-1.11243776,1,0
2019-12-23,-0.7602087936,0,0
2019-12-24,-0.4986071040000001,0,5
2019-12-25,-0.4036594687999998,0,7
2019-12-26,0.6840228864000004,0,3
2019-12-27,0.5736897536000007,0,0
2019-12-28,-0.41044858879999957,0,0
2019-12-29,-0.1654080512,0,0
2019-12-30,-0.08160000000000005,0,5
2019-12-31,-0.05913600000000002,3,1
2020-01-01,-0.04596480000000003,0,1
2020-01-02,-0.03735552000000002,1,0
2020-01-03,1.9686855680000002,3,0
2020-01-04,-0.4268570623999998,1,0
2020-01-05,-0.1724693504000001,0,0
2020-01-06,5.904,2,2
2020-01-07,2.7328,1,0
2020-01-08,3.6689279999999997,2,2
2020-01-09,1.3511423999999996,0,1
2020-01-10,11.57254656,5,1
2020-01-11,0.6036085760000001,0,0
2020-01-12,-2.401655500800001,0,3
2020-01-13,12.64424448,4,3
2020-01-14,9.238414848000001,2,3
2020-01-15,-3.4646549504,6,0
2020-01-16,5.547685478399999,4,2
2020-01-17,2.818327552,1,0
2020-01-18,0.02554081280000009,0,0
2020-01-19,-2.3352236032,0,0
2020-01-20,-1.3747618816000007,0,4
2020-01-21,7.008207872,2,4
2020-01-22,9.604015718400001,4,2
2020-01-23,5.448916172800001,6,7
2020-01-24,3.5655822336,6,0
2020-01-25,-0.20166123520000045,3,0
2020-01-26,-2.317467238400001,2,1
2020-01-27,1.6143295487999993,2,0
2020-01-28,0.41041663999999956,4,1
2020-01-29,-1.4216335359999999,7,1
2020-01-30,0.05164257280000062,4,0
2020-01-31,7.144304947200001,3,0
2020-02-01,-2.0875262975999993,1,0
2020-02-02,-0.9308069888000002,3,0
2020-02-03,2.4533541887999997,5,1
2020-02-04,5.028647424,4,0
2020-02-05,3.2690997248,6,0
2020-02-06,1.1707041791999997,2,1
2020-02-07,-1.5386014720000005,4,0
2020-02-08,-0.8857790463999999,2,0
2020-02-09,-0.6262572032,0,11
2020-02-10,1.5981670399999999,1,4
2020-02-11,-0.7234754559999999,1,2
2020-02-12,-0.42965432319999974,2,0
2020-02-13,4.7064651776,0,1
2020-02-14,2.8272901120000005,6,0
2020-02-15,4.7115199487999995,0,0
2020-02-16,-1.8008576000000003,0,1
2020-02-17,0.12614655999999935,4,0
2020-02-18,1.221144576,3,3
2020-02-19,0.08917329919999994,5,1
2020-02-20,2.2724351999999994,4,2
2020-02-21,6.92818176,0,0
2020-02-22,-2.2021939199999996,1,0
2020-02-23,-1.0253044736000003,1,2
2020-02-24,0.35706357759999996,9,3
2020-02-25,4.385922048,2,1
2020-02-26,3.5962541056,5,4
2020-02-27,0.29846302719999995,2,2
2020-02-28,-1.2646462464000003,0,0
2020-02-29,-0.7460457471999998,0,0
2020-03-01,-0.5118636031999999,0,6
2020-03-02,5.68604928,3,0
2020-03-03,1.5477626880000002,4,3
2020-03-04,5.7101008896,2,3
2020-03-05,-1.0961387519999999,6,0
2020-03-06,2.803277824,4,1
2020-03-07,0.5050452991999999,3,0
2020-03-08,-1.2023808000000005,3,1
2020-03-09,11.27280128,3,0
2020-03-10,5.063955968,5,2
2020-03-11,3.0137609215999994,5,1
2020-03-12,3.2961640448,2,0
2020-03-13,1.3225623551999997,6,0
2020-03-14,-1.2471056384000008,1,0
2020-03-15,-1.5376864256000005,0,1
2020-03-16,3.9816942591999993,3,1
2020-03-17,0.2337448960000006,4,3
2020-03-18,6.5753889792,5,1
2020-03-19,-1.3948925951999995,3,0
2020-03-20,0.6467219455999997,3,0
2020-03-21,-1.2081736704,0,0
2020-03-22,-0.6942811136000001,1,0
2020-03-23,2.5281514495999997,2,0
2020-03-24,1.0380416000000003,11,4
2020-03-25,1.061963264,3,0
2020-03-26,0.09817528320000035,13,0
2020-03-27,4.2952040448,6,0
2020-03-28,-0.36105277439999983,1,0
2020-03-29,-0.8524971008000004,2,0
2020-03-30,0.5036902399999996,4,1
2020-03-31,3.440589824,0,1
2020-04-01,0.8382542848000001,2,0
