,jetty/jetty.project,square/okhttp,apache/httpcomponents-client
2015-07-25,0.0,0,0
2015-07-26,0.0,0,0
2015-07-27,1.0,0,0
2015-07-28,6.7,0,0
2015-07-29,-1.2050000000000005,0,0
2015-07-30,13.9055,0,0
2015-07-31,-4.061662500000001,0,0
2015-08-01,-2.245357749999999,3,0
2015-08-02,-1.2689851124999993,3,0
2015-08-03,3.12641893875,6,0
2015-08-04,-1.8578247455156252,0,0
2015-08-05,7.057389108157812,0,0
2015-08-06,7.9433994218546875,2,0
2015-08-07,-1.5713414384671882,2,6
2015-08-08,-2.869508915257812,0,1
2015-08-09,-1.3975068632328118,0,0
2015-08-10,3.066121405,2,3
2015-08-11,0.10283598293749963,0,3
2015-08-12,0.4287579195687501,0,0
2015-08-13,7.5466136671249995,0,0
2015-08-14,7.470166988465625,0,0
2015-08-15,-4.760253695857813,0,0
2015-08-16,-1.9641391896984364,0,2
2015-08-17,-0.19779381999999956,0,0
2015-08-18,0.8427471104375,0,0
2015-08-19,2.6345478535374998,0,1
2015-08-20,3.044874788753125,0,0
2015-08-21,-2.4577497886062503,0,0
2015-08-22,-1.1699398535171879,0,0
2015-08-23,-0.6902889080609376,0,0
2015-08-24,1.61478750125,0,0
2015-08-25,6.104484035734375,1,8
2015-08-26,-0.547570254264063,10,3
2015-08-27,16.360539937721875,0,3
2015-08-28,-6.240542236759375,1,0
2015-08-29,-2.4174950661640615,3,0
2015-08-30,0.5940715250000006,0,0
2015-08-31,-0.5832460849999999,0,0
2015-09-01,0.7440194252187502,0,0
2015-09-02,-0.41927391632500033,4,0
2015-09-03,1.8821067463390624,0,0
2015-09-04,-0.536550728246876,0,1
2015-09-05,-1.0756084131906252,0,0
2015-09-06,-0.44429840999999987,0,0
2015-09-07,-0.30698018228125,0,0
2015-09-08,-0.23356220323125007,2,0
2015-09-09,3.8361430419859373,3,0
2015-09-10,1.6768037730187497,0,0
2015-09-11,1.5998291627203125,1,0
2015-09-12,-1.5096269564640625,1,0
2015-09-13,-0.6677334132328122,2,0
2015-09-14,2.5821315,0,0
2015-09-15,-0.2027717,4,0
2015-09-16,0.15016756750000015,0,0
2015-09-17,2.2262787241875,4,0
2015-09-18,2.656176875521875,3,0
2015-09-19,-1.7922036399953125,0,0
2015-09-20,0.22102442280156287,0,0
2015-09-21,7.23163956625,0,0
2015-09-22,-1.8446790365468755,2,0
2015-09-23,6.536192182285938,0,0
2015-09-24,1.799382098751562,0,0
2015-09-25,8.112437091470312,0,0
2015-09-26,-4.706462469260938,2,0
2015-09-27,-1.0630580766812487,15,0
2015-09-28,-0.5838902692656247,3,0
2015-09-29,4.658809928892187,0,0
2015-09-30,8.315970724871875,2,0
2015-10-01,-1.5211355036078134,0,0
2015-10-02,3.1215363490593755,0,0
2015-10-03,-3.3060370630859377,0,1
2015-10-04,-1.6202646818109372,0,0
2015-10-05,1.0210705844843753,2,0
2015-10-06,0.6705709900015624,0,0
2015-10-07,10.624462187423438,2,0
2015-10-08,0.6182986399312487,2,0
2015-10-09,1.7298836616421878,2,0
2015-10-10,-3.0147760402921877,0,0
2015-10-11,-1.4919527043968746,0,0
2015-10-12,16.0605682275,0,0
2015-10-13,1.2015479189687497,0,0
2015-10-14,5.5635868925031255,0,0
2015-10-15,6.824621891096875,0,0
2015-10-16,-1.0864334113718748,0,0
2015-10-17,-4.288682399992187,0,0
2015-10-18,-2.312358478664062,0,0
2015-10-19,5.438107808750001,3,0
2015-10-20,1.7071307737343737,0,0
2015-10-21,6.805400620182812,3,1
2015-10-22,1.4607573422140616,0,0
2015-10-23,1.150221397734375,0,0
2015-10-24,-3.3762387926218747,0,0
2015-10-25,0.336890646335938,0,0
2015-10-26,4.31521727125,2,0
2015-10-27,0.1721339888906246,0,0
2015-10-28,4.698673361042188,0,0
2015-10-29,3.690842811179687,0,0
2015-10-30,1.3602036983281245,3,0
2015-10-31,-3.1577547882249997,4,0
2015-11-01,-1.557315038664062,5,0
2015-11-02,9.99798108646875,1,0
2015-11-03,-4.0511192358093755,2,0
2015-11-04,17.271601166556252,2,0
2015-11-05,8.244507514192186,2,0
2015-11-06,-1.2377947787390626,2,0
2015-11-07,-5.006890226457811,3,0
2015-11-08,-2.6095940536640616,1,0
2015-11-09,1.2673477387500003,2,2
2015-11-10,-2.2037590219218757,0,0
2015-11-11,2.6478598156890625,2,0
2015-11-12,0.8957981002031241,2,2
2015-11-13,-1.0504667454078138,0,0
2015-11-14,-1.2411722490859378,4,1
2015-11-15,-0.595493066896875,4,0
2015-11-16,1.6442596787500001,2,0
2015-11-17,-0.8700768502968752,0,0
2015-11-18,9.573857827801563,2,0
2015-11-19,-1.2626595508125007,2,0
2015-11-20,-1.8512460769781247,0,0
2015-11-21,-0.9210674564640622,0,0
2015-11-22,-0.5807701382328124,10,0
2015-11-23,1.5845579525,4,0
2015-11-24,8.07599744146875,3,0
2015-11-25,15.826698711034375,19,0
2015-11-26,-2.960681715156251,1,0
2015-11-27,-2.978412565859374,1,0
2015-11-28,-2.298569826465624,2,1
2015-11-29,-1.4201314749999998,0,0
2015-11-30,1.9677229400000003,2,1
2015-12-01,1.2962512152187498,2,0
2015-12-02,9.131910821393749,2,0
2015-12-03,0.6834817048578108,0,0
2015-12-04,-2.2945364922359373,0,0
2015-12-05,-1.7593586196968745,4,0
2015-12-06,-1.0168742507328123,3,0
2015-12-07,0.28605034125000006,1,0
2015-12-08,12.150644790953125,2,0
2015-12-09,1.5519650362546873,2,0
2015-12-10,-3.5579613553703124,2,1
2015-12-11,7.308579096860938,1,0
2015-12-12,-3.6926265329296877,3,0
2015-12-13,-1.6092025257328118,3,1
2015-12-14,4.96457001375,20,1
2015-12-15,7.436531049484374,27,0
2015-12-16,-0.2312066236859387,5,1
2015-12-17,6.911627564879687,2,0
2015-12-18,12.491909056853125,6,0
2015-12-19,-6.110836950890626,2,0
2015-12-20,-3.399788394095311,0,0
2015-12-21,2.0164417325000006,2,0
2015-12-22,-2.6174214880937505,6,1
2015-12-23,13.485687882946875,4,0
2015-12-24,2.4475913506093736,5,0
2015-12-25,-4.6943053368375,1,0
2015-12-26,-2.2760765910937497,2,0
2015-12-27,-0.4183556917234377,1,0
2015-12-28,-0.15651625823281257,9,0
2015-12-29,-1.0554818045625,4,1
2015-12-30,-0.6894396591812499,0,0
