,microsoft/TypeScript,definitelytyped/definitelytyped,sindresorhus/type-fest
2019-05-13,11.0,58,0
2019-05-14,5.899999999999999,67,0
2019-05-15,5.804999999999999,34,3
2019-05-16,2.6714999999999987,17,0
2019-05-17,3.8582125,14,0
2019-05-18,-1.2014217499999997,0,0
2019-05-19,-0.7412368874999989,1,0
2019-05-20,10.447868003750001,37,0
2019-05-21,11.457179095578125,16,0
2019-05-22,14.834746757245313,21,0
2019-05-23,12.165544993639061,2,0
2019-05-24,10.984678798935937,38,0
2019-05-25,-3.0868337252218754,1,0
2019-05-26,-1.8050566501796856,0,3
2019-05-27,-0.2760590712499973,1,0
2019-05-28,4.895750043078128,56,0
2019-05-29,3.5265670291515643,0,0
2019-05-30,12.57897997701719,32,0
2019-05-31,30.741720564154686,19,0
2019-06-01,-0.47253092025781473,0,0
2019-06-02,0.3852410519968741,0,0
2019-06-03,5.119575478750001,15,0
2019-06-04,4.001562446984378,30,0
2019-06-05,16.079451863120315,25,0
2019-06-06,18.91615265970625,14,0
2019-06-07,5.031321578851562,4,1
2019-06-08,-1.1569913375187495,12,0
2019-06-09,4.858523938001564,0,0
2019-06-10,0.9898952020593774,12,0
2019-06-11,5.391815848782815,18,0
2019-06-12,4.173671596654689,22,0
2019-06-13,2.2374868205031264,16,0
2019-06-14,30.467845726759375,14,2
2019-06-15,-3.129198802931252,0,0
2019-06-16,-2.1026604601046874,27,0
2019-06-17,7.65445842756875,16,0
2019-06-18,6.101708144451565,8,0
2019-06-19,21.047216523782815,29,0
2019-06-20,16.485622219154685,9,0
2019-06-21,15.094210840221875,21,0
2019-06-22,1.8832741271062492,4,0
2019-06-23,1.974038793334377,0,0
2019-06-24,5.691026531214065,31,0
2019-06-25,12.611486825359378,3,0
2019-06-26,15.896775309301564,43,0
2019-06-27,13.237772817853125,35,0
2019-06-28,14.097324077610939,33,0
2019-06-29,2.9724812619843757,3,0
2019-06-30,4.99340859247344,0,0
2019-07-01,24.33010481220625,58,0
2019-07-02,2.559565801945313,18,0
2019-07-03,10.777011043228127,30,1
2019-07-04,-1.4959070465859368,0,0
2019-07-05,6.669618360551565,2,4
2019-07-06,-2.4667518511421855,0,0
2019-07-07,-0.5263736942562469,0,0
2019-07-08,13.84953814187344,41,0
2019-07-09,2.649344679540626,29,0
2019-07-10,9.176066267920314,41,0
2019-07-11,13.893443645029688,30,0
2019-07-12,14.199881922215624,9,0
2019-07-13,-1.194638284712501,1,0
2019-07-14,-2.012984806573437,0,0
2019-07-15,9.675831930734377,26,0
2019-07-16,11.88169533347969,25,0
2019-07-17,16.283243038132813,27,0
2019-07-18,7.575767441648437,18,0
2019-07-19,4.958315252604688,18,0
2019-07-20,3.377710395659376,0,0
2019-07-21,-1.1984212566421855,0,0
2019-07-22,3.5453977111781274,44,0
2019-07-23,5.430774321828127,20,0
2019-07-24,3.2116848736359396,17,0
2019-07-25,12.398428358450001,18,0
2019-07-26,6.623519463645312,14,1
2019-07-27,-1.1463793220203122,0,0
2019-07-28,1.6783657928687505,0,0
2019-07-29,12.821077253018752,15,0
2019-07-30,6.825196646135938,20,0
2019-07-31,4.870077639960938,24,0
2019-08-01,8.037492357170313,25,0
2019-08-02,13.801918826351564,24,0
2019-08-03,2.0846245136062502,0,5
2019-08-04,3.902604500410938,0,0
2019-08-05,7.088684098417189,46,0
2019-08-06,19.84460220642344,22,0
2019-08-07,6.44984474860625,23,0
2019-08-08,8.084844223567188,26,0
2019-08-09,34.14255269959219,19,0
2019-08-10,2.5488521601406244,0,0
2019-08-11,-3.706936995653124,1,0
2019-08-12,4.708233317976564,29,0
2019-08-13,4.618013875143754,20,0
2019-08-14,13.681568590832816,17,0
2019-08-15,18.867082992803127,27,0
2019-08-16,19.03085967021875,22,0
2019-08-17,-0.5386192794734388,3,0
2019-08-18,-0.9848553854546864,0,0
2019-08-19,12.015076218462502,65,0
2019-08-20,7.210967735140628,26,0
2019-08-21,4.266831176139064,23,0
2019-08-22,3.5865354189984386,26,0
2019-08-23,6.825803909331252,25,0
2019-08-24,-1.2773042651499988,2,0
2019-08-25,-1.419707427889061,2,0
2019-08-26,10.122043841325002,32,0
2019-08-27,11.235011862709376,17,0
2019-08-28,5.669391735590625,2,0
2019-08-29,4.9493962435312495,5,0
2019-08-30,8.113005375404688,18,0
2019-08-31,2.8635016213937505,0,0
2019-09-01,-1.7542578733390615,0,0
2019-09-02,2.9148928262140643,1,0
2019-09-03,6.783292155578127,24,0
2019-09-04,16.357860895401565,26,0
2019-09-05,11.250408664157812,15,0
2019-09-06,4.168433963603125,15,0
2019-09-07,0.7172894208421874,15,0
2019-09-08,-1.6993371404374984,0,0
2019-09-09,9.894458352320315,18,0
2019-09-10,6.080288952937501,16,1
2019-09-11,17.03609862823125,30,0
2019-09-12,7.891283460431249,4,0
2019-09-13,4.187434860884375,3,0
2019-09-14,0.7030725346375002,0,3
2019-09-15,3.3176994557015647,0,0
2019-09-16,7.37947093364219,24,5
2019-09-17,10.023498999328126,15,0
2019-09-18,10.553199001729688,12,0
2019-09-19,3.288683736165625,9,0
2019-09-20,9.824482197395312,1,0
2019-09-21,5.508042529745313,0,0
2019-09-22,-2.2344370005484366,0,1
2019-09-23,13.633681711064064,25,0
2019-09-24,27.495009902679687,77,0
2019-09-25,13.552699444739062,67,2
2019-09-26,8.843885372865625,28,0
2019-09-27,19.320047083939063,33,0
2019-09-28,-4.513588691403124,1,0
2019-09-29,-2.635690422056247,0,0
2019-09-30,15.157329360962503,6,0
2019-10-01,10.901992942265629,20,0
2019-10-02,4.680489876492189,51,0
2019-10-03,9.214360450890625,45,0
2019-10-04,13.1590150714,4,0
2019-10-05,1.7394839676734382,0,0
2019-10-06,4.630137679173439,0,0
2019-10-07,0.8692549887500016,36,0
2019-10-08,1.2952298312343775,30,2
2019-10-09,8.480888904670316,29,0
2019-10-10,5.016431755371876,26,0
2019-10-11,-1.835624528974999,5,0
2019-10-12,-0.11181955743124883,0,0
2019-10-13,5.146159633096876,0,0
2019-10-14,5.867455419960939,47,0
2019-10-15,14.636284629451563,26,0
2019-10-16,26.63636495334531,29,0
2019-10-17,25.841872688485935,18,0
2019-10-18,17.833533271031246,14,0
2019-10-19,2.9312250109984355,1,0
2019-10-20,-3.7153450780156234,0,0
2019-10-21,11.543182445620317,3,0
2019-10-22,4.736691191175004,83,0
2019-10-23,2.105552207748441,19,0
2019-10-24,3.5646661069718775,25,0
2019-10-25,2.766657772239065,28,0
2019-10-26,-0.864220845437498,4,0
2019-10-27,-1.1822347874515609,1,0
2019-10-28,5.280142582212502,39,0
2019-10-29,4.882970985281251,73,0
2019-10-30,5.700182754121876,32,0
2019-10-31,2.595478624634375,3,0
2019-11-01,0.8219903654765628,96,0
2019-11-02,-0.9095038765437494,0,0
2019-11-03,-0.5758726506953115,1,0
2019-11-04,2.5935996449640637,56,0
2019-11-05,3.378101856906251,78,0
2019-11-06,1.1946595829406252,31,0
2019-11-07,3.3464298836750004,45,0
2019-11-08,0.21475988768593757,17,0
2019-11-09,0.47926771382500033,1,0
2019-11-10,-0.4210757425718747,0,1
2019-11-11,0.7256873612500006,35,0
2019-11-12,2.6869667509531254,31,0
2019-11-13,1.4799154978296878,19,0
2019-11-14,1.510114416325,13,0
2019-11-15,4.524510834115625,38,0
2019-11-16,-0.7793616694093751,9,0
2019-11-17,-0.40280442805156236,0,0
2019-11-18,2.7249629137140627,46,0
2019-11-19,6.495280573234376,36,0
2019-11-20,3.9988010409171872,24,0
2019-11-21,6.967169361360937,3,0
2019-11-22,9.622109687646875,33,0
2019-11-23,-0.8601270201500004,7,0
2019-11-24,-1.1206100501796872,0,0
2019-11-25,2.270201073750001,16,0
2019-11-26,-0.8568923752968736,28,0
2019-11-27,6.414113920032814,32,0
2019-11-28,-0.14178199032968708,0,0
2019-11-29,-0.7307209380546869,0,0
2019-11-30,-0.4763862097093746,0,0
2019-12-01,-0.3145792284109366,0,1
2019-12-02,4.824840308714063,10,0
2019-12-03,1.3630442234531248,17,0
2019-12-04,2.4589855561421876,14,0
2019-12-05,4.3894281126406245,5,0
