,MonoGame/MonoGame,godotengine/godot,4ian/GDevelop
2013-06-10,6.0,0,0
2013-06-11,1.6000000000000005,0,5
2013-06-12,12.68,0,0
2013-06-13,0.136000000000001,0,5
2013-06-14,1.894400000000001,0,0
2013-06-15,-4.946111999999999,0,4
2013-06-16,-1.169587200000001,0,1
2013-06-17,5.209443839999999,0,9
2013-06-18,13.070271488,0,2
2013-06-19,-4.4873765888,0,6
2013-06-20,-4.6974646272,0,3
2013-06-21,4.684191744,0,0
2013-06-22,1.8084957183999997,0,0
2013-06-23,-3.1842840576,0,4
2013-06-24,-2.221932032,0,0
2013-06-25,1.6817595391999998,0,9
2013-06-26,0.8560195583999999,0,8
2013-06-27,-0.2202459135999999,0,1
2013-06-28,-1.6995177471999998,0,6
2013-06-29,-0.796076544,0,2
2013-06-30,-0.5415479296000001,0,10
2013-07-01,-0.3338902528000001,0,24
2013-07-02,3.8032965632,0,3
2013-07-03,4.253494784000001,0,4
2013-07-04,-3.0006027263999995,0,0
2013-07-05,3.9552941056,0,0
2013-07-06,-2.5759963135999997,0,0
2013-07-07,9.030592,0,0
2013-07-08,3.4084352000000004,0,1
2013-07-09,4.18073856,0,2
2013-07-10,-5.520606207999999,0,0
2013-07-11,-1.2649428992000002,0,0
2013-07-12,-1.7769617408000005,0,0
2013-07-13,0.9605734399999994,0,0
2013-07-14,-1.564969984,0,0
2013-07-15,5.2132096,0,3
2013-07-16,-1.9725143039999993,0,2
2013-07-17,-0.4649498623999999,0,1
2013-07-18,2.9025420288,0,1
2013-07-19,0.9053178879999999,0,2
2013-07-20,0.9851487232,0,0
2013-07-21,-1.0556426239999999,0,5
2013-07-22,1.6928651264,0,1
2013-07-23,4.111123968,0,0
2013-07-24,15.7591759872,0,0
2013-07-25,-8.813781708799997,0,0
2013-07-26,1.9838257152,0,0
2013-07-27,-3.7301906432,0,0
2013-07-28,0.25876623359999895,0,0
2013-07-29,6.0644709375999994,0,2
2013-07-30,-1.2527894528,0,3
2013-07-31,0.08387061760000059,0,1
2013-08-01,2.3652365312000003,0,0
2013-08-02,-2.2797217792,0,6
2013-08-03,-1.6781209600000002,0,0
2013-08-04,2.060906496,0,0
2013-08-05,1.191978496,0,1
2013-08-06,1.9777967104000003,0,2
2013-08-07,-0.49973207039999945,0,2
2013-08-08,-1.7954776064,0,3
2013-08-09,10.1568004096,0,0
2013-08-10,-3.9322920959999985,0,0
2013-08-11,4.9401925632,0,0
2013-08-12,0.12366438400000046,0,0
2013-08-13,0.8351297536,0,0
2013-08-14,-1.0348304383999998,0,0
2013-08-15,-0.1912512512000002,0,0
2013-08-16,-1.9226996736,0,0
2013-08-17,-1.0000337920000002,0,0
2013-08-18,-0.7073901568000001,0,0
2013-08-19,3.5726728192,0,0
2013-08-20,-0.9295225855999996,0,0
2013-08-21,3.9255170048,0,0
2013-08-22,-1.4942451711999993,0,2
2013-08-23,-1.2863077376,0,2
2013-08-24,-0.6270043136000001,0,0
2013-08-25,0.6061951999999997,0,0
2013-08-26,3.31219456,0,0
2013-08-27,0.056238592000000365,0,3
2013-08-28,-1.5251643391999998,0,0
2013-08-29,7.3554527232,0,0
2013-08-30,-3.6034984959999994,0,0
2013-08-31,14.8012306432,0,1
2013-09-01,-5.0821273599999985,0,0
2013-09-02,-2.1873643520000003,0,0
2013-09-03,-0.013778124799999958,0,2
2013-09-04,-1.9788096512000006,0,0
2013-09-05,-0.0389927936000003,0,0
2013-09-06,6.881839104,0,0
2013-09-07,-3.875392614399999,0,0
2013-09-08,-1.3860997119999998,0,0
2013-09-09,-0.8529788927999999,0,0
2013-09-10,11.5597548544,0,0
2013-09-11,-0.10568878079999866,0,3
2013-09-12,12.3323275264,0,0
2013-09-13,-7.930120191999999,0,0
2013-09-14,-2.8732438528000004,0,0
2013-09-15,0.3061907455999995,0,0
2013-09-16,7.1090816,0,1
2013-09-17,-0.6544947199999989,0,0
2013-09-18,-2.449132544,0,0
2013-09-19,-1.0624854016,0,0
2013-09-20,0.4832138239999999,0,0
2013-09-21,3.3293350912,0,0
2013-09-22,1.2911820800000005,0,0
2013-09-23,1.3129487360000005,0,0
2013-09-24,4.2284048384,0,3
2013-09-25,-0.021044019199999653,0,2
2013-09-26,-0.14280529919999996,0,2
2013-09-27,5.4062810112,0,0
2013-09-28,5.5461768192,0,0
2013-09-29,0.20522608640000062,0,3
2013-09-30,-0.7154462719999994,0,0
