,brave/brave-browser,gorhill/ublock,adblockplus/adblockplus
2017-02-09,3.0,1,0
2017-02-10,1.4000000000000001,0,0
2017-02-11,-0.6400000000000001,1,0
2017-02-12,-0.30400000000000027,1,0
2017-02-13,-0.19680000000000009,2,0
2017-02-14,0.856192,0,0
2017-02-15,-0.31235840000000004,0,0
2017-02-16,-0.17163776000000014,1,0
2017-02-17,-0.12501657599999988,0,0
2017-02-18,-0.09978347519999978,3,0
2017-02-19,-0.05047470079999994,2,0
2017-02-20,-0.02042880000000001,0,0
2017-02-21,-0.01692672000000001,0,0
2017-02-22,-0.01438771199999994,0,0
2017-02-23,-0.012469350399999964,0,0
2017-02-24,0.0,0,0
2017-02-25,0.0,0,0
2017-02-26,0.0,0,0
2017-02-27,0.0,1,0
2017-02-28,0.0,1,0
2017-03-01,0.0,0,0
2017-03-02,0.0,2,0
2017-03-03,0.0,1,1
2017-03-04,0.0,0,0
2017-03-05,0.0,5,0
2017-03-06,0.0,2,0
2017-03-07,0.0,1,1
2017-03-08,0.0,1,0
2017-03-09,1.0,0,1
2017-03-10,-0.19999999999999996,1,0
2017-03-11,-0.08000000000000007,2,0
2017-03-12,-0.048000000000000036,1,0
2017-03-13,-0.03360000000000001,3,0
2017-03-14,-0.025536000000000014,3,0
2017-03-15,7.9795712,0,0
2017-03-16,-1.6169267199999997,2,1
2017-03-17,-0.6543877120000005,0,0
2017-03-18,-0.39646935040000025,1,0
2017-03-19,0.7311999999999999,0,0
2017-03-20,-0.4042880000000001,3,0
2017-03-21,0.7565695999999998,1,2
2017-03-22,-0.38341376000000005,1,0
2017-03-23,2.7712983040000005,1,0
2017-03-24,9.2267091968,1,0
2017-03-25,-2.2940288,3,0
2017-03-26,-0.9864627200000009,0,0
2017-03-27,-0.6156165120000003,2,0
2017-03-28,1.5579959295999999,0,0
2017-03-29,-0.731034112,0,0
2017-03-30,-0.42753751040000026,0,0
2017-03-31,0.691569664,1,0
2017-04-01,-0.44848517119999926,12,0
2017-04-02,-0.25576550399999975,4,0
2017-04-03,-0.08885760000000006,6,0
2017-04-04,-0.06745344000000003,2,0
2017-04-05,-0.05431142399999989,1,0
2017-04-06,-0.04536750079999994,0,0
2017-04-07,-0.01692672000000001,1,1
2017-04-08,-0.01438771199999994,1,0
2017-04-09,-0.012469350399999964,2,0
2017-04-10,0.0,0,0
2017-04-11,0.0,0,0
2017-04-12,0.0,1,0
2017-04-13,0.0,0,0
2017-04-14,0.0,1,0
2017-04-15,0.0,1,0
2017-04-16,0.0,0,0
2017-04-17,0.0,0,0
2017-04-18,0.0,0,0
2017-04-19,1.0,0,0
2017-04-20,8.8,0,0
2017-04-21,-0.8799999999999997,0,0
2017-04-22,-0.9680000000000006,4,0
2017-04-23,1.4543999999999997,2,0
2017-04-24,-0.7759360000000001,3,0
2017-04-25,-0.44385280000000027,1,0
2017-04-26,-0.3223219200000002,4,0
2017-04-27,-0.25435699200000006,3,0
2017-04-28,-0.20995747839999945,0,0
2017-04-29,-0.16746946559999965,3,0
2017-04-30,-0.04632279039999998,1,0
2017-05-01,-0.02877542399999988,0,0
2017-05-02,0.9750612992000001,1,0
2017-05-03,0.8,2,0
2017-05-04,-0.28,0,0
2017-05-05,-0.1280000000000001,0,0
2017-05-06,2.9184,2,0
2017-05-07,-0.6591359999999999,2,0
2017-05-08,0.7140351999999998,5,0
2017-05-09,1.61864448,2,0
2017-05-10,-0.6121144319999999,1,0
2017-05-11,-0.31146506240000016,0,0
2017-05-12,-0.2033557504000001,3,0
2017-05-13,-0.14351616000000006,6,0
2017-05-14,-0.11466393599999986,1,0
2017-05-15,-0.09519237119999992,2,0
2017-05-16,-0.04824115199999996,4,0
2017-05-17,-0.041244774399999844,5,0
2017-05-18,-0.02493870079999993,2,0
2017-05-19,0.0,3,1
2017-05-20,0.0,11,0
2017-05-21,0.0,0,0
2017-05-22,0.0,0,0
2017-05-23,0.0,2,0
2017-05-24,0.0,0,0
2017-05-25,0.0,4,0
2017-05-26,0.0,4,0
2017-05-27,0.0,7,0
2017-05-28,0.0,8,0
2017-05-29,1.0,4,0
2017-05-30,0.8,5,0
2017-05-31,-0.28,4,0
2017-06-01,-0.1280000000000001,1,0
2017-06-02,-0.08160000000000005,4,0
2017-06-03,-0.05913600000000002,0,0
2017-06-04,-0.04596480000000003,0,0
2017-06-05,-0.03735552000000002,4,0
2017-06-06,1.9686855680000002,1,0
2017-06-07,-0.4268570623999998,4,0
2017-06-08,-0.1724693504000001,3,0
2017-06-09,0.9039999999999999,1,0
2017-06-10,-0.2672,1,0
2017-06-11,-0.1310720000000001,1,0
2017-06-12,0.9111423999999999,0,0
2017-06-13,0.7325465600000001,0,0
2017-06-14,-0.3343114239999999,2,0
2017-06-15,-0.17336750080000005,0,0
2017-06-16,0.9014732799999999,0,0
2017-06-17,-0.2735237119999999,3,0
2017-06-18,-0.13843415040000007,1,0
2017-06-19,-0.08535552000000005,3,0
2017-06-20,-0.06491443199999997,0,0
2017-06-21,1.9476069376,6,0
2017-06-22,-0.4328981503999999,5,0
2017-06-23,-0.17692672000000015,2,0
2017-06-24,-0.11038771200000001,4,0
2017-06-25,-0.07966935039999999,0,0
2017-06-26,-0.05107200000000003,2,0
2017-06-27,-0.04085760000000002,0,0
2017-06-28,-0.03385344000000002,0,0
2017-06-29,-0.02877542399999988,0,0
2017-06-30,-0.02493870079999993,0,0
2017-07-01,0.0,0,0
2017-07-02,0.0,4,0
2017-07-03,0.0,7,1
2017-07-04,0.0,1,1
2017-07-05,1.0,2,0
2017-07-06,-0.19999999999999996,0,0
2017-07-07,0.9199999999999999,3,0
2017-07-08,-0.248,2,0
2017-07-09,-0.11360000000000009,5,0
2017-07-10,-0.07353600000000005,0,0
2017-07-11,0.9459712,4,0
2017-07-12,-0.24246271999999996,0,0
2017-07-13,-0.11481651200000002,3,0
2017-07-14,0.9226039295999999,1,0
2017-07-15,-0.24798771199999992,0,0
2017-07-16,-0.11800535040000004,0,0
2017-07-17,-0.06842880000000004,0,1
2017-07-18,-0.050526720000000025,3,1
2017-07-19,-0.03992371199999995,3,0
2017-07-20,-0.03289815039999998,0,0
2017-07-21,0.9830732799999999,2,0
2017-07-22,-0.2143877119999999,3,0
2017-07-23,-0.09246935040000004,3,0
2017-07-24,-0.048000000000000036,4,1
2017-07-25,0.9664,2,0
2017-07-26,-0.22553599999999996,2,0
2017-07-27,-0.10042880000000008,0,0
2017-07-28,-0.06492672000000005,0,0
2017-07-29,-0.04798771199999995,0,0
2017-07-30,-0.03800535039999998,0,0
2017-07-31,-0.02042880000000001,1,0
2017-08-01,-0.01692672000000001,0,0
2017-08-02,0.9856122880000001,0,0
2017-08-03,-0.21246935039999992,3,0
2017-08-04,-0.08000000000000007,4,0
2017-08-05,-0.048000000000000036,3,0
2017-08-06,-0.03360000000000001,0,0
2017-08-07,-0.025536000000000014,0,0
2017-08-08,-0.02042880000000001,4,0
2017-08-09,-0.01692672000000001,1,0
2017-08-10,-0.01438771199999994,3,0
2017-08-11,-0.012469350399999964,3,0
2017-08-12,0.0,2,0
2017-08-13,0.0,2,0
2017-08-14,0.0,1,0
2017-08-15,0.0,1,0
2017-08-16,1.0,3,0
2017-08-17,-0.19999999999999996,5,0
2017-08-18,-0.08000000000000007,1,0
2017-08-19,-0.048000000000000036,0,0
2017-08-20,-0.03360000000000001,0,0
2017-08-21,-0.025536000000000014,3,1
2017-08-22,-0.02042880000000001,3,1
2017-08-23,-0.01692672000000001,3,2
2017-08-24,-0.01438771199999994,3,0
2017-08-25,-0.012469350399999964,0,2
2017-08-26,0.0,0,0
2017-08-27,0.0,0,0
2017-08-28,0.0,1,2
2017-08-29,0.0,2,3
2017-08-30,0.0,9,0
2017-08-31,0.0,3,0
2017-09-01,2.0,2,0
2017-09-02,0.6000000000000001,10,0
2017-09-03,-0.3600000000000001,0,0
2017-09-04,-0.17600000000000016,7,1
2017-09-05,-0.11520000000000005,3,0
2017-09-06,0.9153279999999999,0,0
2017-09-07,-0.2663936,0,0
