,hashicorp/consul,etcd-io/etcd,apache/zookeeper
2014-02-04,3,6,0
2014-02-05,23,21,0
2014-02-06,1,14,0
2014-02-07,6,27,0
2014-02-08,2,7,0
2014-02-09,0,2,0
2014-02-10,0,1,2
2014-02-11,0,10,0
2014-02-12,0,0,3
2014-02-13,0,6,0
2014-02-14,2,4,1
2014-02-15,0,8,0
2014-02-16,0,0,0
2014-02-17,0,3,0
2014-02-18,1,2,0
2014-02-19,9,2,1
2014-02-20,6,0,0
2014-02-21,4,4,0
2014-02-22,3,1,0
2014-02-23,7,3,0
2014-02-24,9,0,0
2014-02-25,3,3,0
2014-02-26,3,0,0
2014-02-27,0,6,0
2014-02-28,0,0,0
2014-03-01,0,2,0
2014-03-02,0,0,0
2014-03-03,0,1,0
2014-03-04,0,5,0
2014-03-05,7,5,1
2014-03-06,2,7,0
2014-03-07,0,1,0
2014-03-08,0,2,0
2014-03-09,5,0,0
2014-03-10,0,2,1
2014-03-11,0,1,1
2014-03-12,1,3,3
2014-03-13,0,1,2
2014-03-14,0,1,2
2014-03-15,0,1,0
2014-03-16,0,0,0
2014-03-17,0,2,0
2014-03-18,0,6,0
2014-03-19,0,0,0
2014-03-20,5,1,0
2014-03-21,0,0,1
2014-03-22,0,1,0
2014-03-23,0,1,2
2014-03-24,0,3,0
2014-03-25,4,2,1
2014-03-26,0,6,2
2014-03-27,1,5,0
2014-03-28,0,3,1
2014-03-29,1,0,3
2014-03-30,0,0,0
2014-03-31,17,6,2
2014-04-01,14,17,3
2014-04-02,0,0,0
2014-04-03,14,3,3
2014-04-04,2,17,2
2014-04-05,1,3,0
2014-04-06,0,0,0
2014-04-07,21,2,1
2014-04-08,5,1,0
2014-04-09,14,13,0
2014-04-10,8,2,1
2014-04-11,20,8,0
2014-04-12,2,1,0
2014-04-13,0,0,0
2014-04-14,46,24,1
2014-04-15,0,11,0
2014-04-16,10,0,2
2014-04-17,33,12,1
2014-04-18,8,11,1
2014-04-19,7,2,0
2014-04-20,2,0,0
2014-04-21,30,6,0
2014-04-22,0,4,0
2014-04-23,4,0,0
2014-04-24,2,0,0
2014-04-25,7,0,3
2014-04-26,1,0,1
2014-04-27,0,0,0
2014-04-28,0,0,0
2014-04-29,7,1,1
2014-04-30,3,0,1
2014-05-01,124,0,0
2014-05-02,8,0,0
2014-05-03,2,0,0
2014-05-04,11,0,1
2014-05-05,13,0,0
2014-05-06,14,1,0
2014-05-07,19,24,0
2014-05-08,10,15,1
2014-05-09,19,7,1
2014-05-10,1,0,1
2014-05-11,0,0,0
2014-05-12,0,0,0
2014-05-13,3,3,0
2014-05-14,0,4,0
2014-05-15,3,1,2
2014-05-16,5,9,2
2014-05-17,0,1,1
2014-05-18,0,4,3
2014-05-19,1,0,0
2014-05-20,38,13,2
2014-05-21,6,10,2
2014-05-22,2,1,0
2014-05-23,1,0,0
2014-05-24,0,0,0
2014-05-25,0,0,0
2014-05-26,11,0,0
2014-05-27,3,0,0
2014-05-28,13,0,1
2014-05-29,5,1,0
2014-05-30,8,7,0
2014-05-31,0,7,0
2014-06-01,0,0,0
2014-06-02,5,12,0
2014-06-03,5,0,0
2014-06-04,17,0,1
2014-06-05,11,3,0
2014-06-06,10,5,0
2014-06-07,1,1,0
2014-06-08,9,5,0
2014-06-09,20,3,1
2014-06-10,5,0,0
2014-06-11,23,1,0
2014-06-12,0,1,0
2014-06-13,8,2,0
2014-06-14,0,0,0
2014-06-15,0,0,0
2014-06-16,1,2,0
2014-06-17,10,7,0
2014-06-18,7,5,0
2014-06-19,3,4,0
2014-06-20,1,2,0
2014-06-21,0,1,0
2014-06-22,0,0,0
2014-06-23,0,4,0
2014-06-24,0,2,0
2014-06-25,0,4,5
2014-06-26,0,0,0
2014-06-27,0,1,1
2014-06-28,1,0,0
2014-06-29,0,0,0
2014-06-30,3,1,1
2014-07-01,3,0,0
2014-07-02,2,1,0
2014-07-03,0,1,2
2014-07-04,0,0,1
2014-07-05,1,0,0
2014-07-06,0,0,0
2014-07-07,0,4,1
2014-07-08,0,4,2
2014-07-09,0,1,0
2014-07-10,0,2,0
2014-07-11,3,1,1
2014-07-12,0,0,0
2014-07-13,0,1,0
2014-07-14,0,2,1
2014-07-15,1,0,1
2014-07-16,1,0,2
2014-07-17,2,0,2
2014-07-18,0,0,5
2014-07-19,0,0,1
2014-07-20,0,0,1
2014-07-21,3,2,2
2014-07-22,4,0,2
2014-07-23,14,0,3
2014-07-24,0,0,3
2014-07-25,0,1,2
2014-07-26,0,0,1
2014-07-27,0,1,0
2014-07-28,0,3,0
2014-07-29,0,2,0
2014-07-30,0,0,0
2014-07-31,0,0,0
2014-08-01,7,0,3
2014-08-02,0,0,0
2014-08-03,4,0,0
2014-08-04,4,0,0
2014-08-05,2,0,0
2014-08-06,0,1,0
2014-08-07,0,0,0
2014-08-08,0,0,0
2014-08-09,0,2,0
2014-08-10,0,1,0
2014-08-11,0,2,0
2014-08-12,0,2,0
2014-08-13,0,1,0
2014-08-14,0,1,3
2014-08-15,0,1,0
2014-08-16,0,0,0
2014-08-17,0,0,0
2014-08-18,60,1,0
2014-08-19,6,0,1
2014-08-20,12,2,2
2014-08-21,9,1,0
2014-08-22,14,1,0
2014-08-23,14,0,0
2014-08-24,0,2,1
2014-08-25,4,6,0
2014-08-26,0,0,0
2014-08-27,5,1,0
2014-08-28,12,6,0
2014-08-29,5,2,1
2014-08-30,2,0,0
2014-08-31,2,0,0
2014-09-01,20,0,0
2014-09-02,17,0,0
2014-09-03,1,506,0
2014-09-04,0,22,0
2014-09-05,8,11,0
2014-09-06,0,0,0
2014-09-07,0,0,0
2014-09-08,2,26,0
2014-09-09,0,49,0
2014-09-10,0,11,1
2014-09-11,0,20,0
2014-09-12,0,27,0
2014-09-13,0,2,0
2014-09-14,0,2,0
2014-09-15,1,38,0
2014-09-16,0,17,0
2014-09-17,2,14,1
2014-09-18,5,12,1
2014-09-19,3,10,0
2014-09-20,0,0,0
2014-09-21,0,5,0
2014-09-22,0,13,0
2014-09-23,4,47,0
2014-09-24,1,37,0
2014-09-25,0,25,0
2014-09-26,0,8,0
2014-09-27,0,0,1
2014-09-28,0,3,1
2014-09-29,2,16,2
2014-09-30,4,4,0
2014-10-01,0,23,0
2014-10-02,1,2,0
2014-10-03,0,13,0
2014-10-04,8,2,0
2014-10-05,0,2,0
2014-10-06,15,14,0
2014-10-07,1,29,0
2014-10-08,0,12,1
2014-10-09,7,10,0
2014-10-10,0,7,0
2014-10-11,1,0,0
2014-10-12,10,2,0
2014-10-13,2,8,2
2014-10-14,16,18,0
2014-10-15,18,6,0
2014-10-16,5,20,1
2014-10-17,4,27,0
2014-10-18,6,0,0
2014-10-19,12,0,0
2014-10-20,8,21,0
2014-10-21,6,19,0
