,ramda/ramda,lodash/lodash,jashkenas/underscore
2013-06-21,3.0,0,0
2013-06-22,4.1,7,0
2013-06-23,0.18500000000000005,5,0
2013-06-24,2.6965000000000003,6,0
2013-06-25,3.1720125,1,0
2013-06-26,-2.3289732499999998,1,0
2013-06-27,3.9382311625,0,0
2013-06-28,3.80913336625,1,3
2013-06-29,-2.833671744046875,1,0
2013-06-30,-1.3272730710265623,23,0
2013-07-01,-0.8497164071953125,9,0
2013-07-02,4.424963687721875,4,0
2013-07-03,0.07155695074062463,3,2
2013-07-04,0.5726113900859375,6,0
2013-07-05,2.699372773671875,0,0
2013-07-06,-0.8929898667578129,5,16
2013-07-07,-0.14942672939687474,12,3
2013-07-08,5.1008301875,12,2
2013-07-09,-2.32593859375,3,1
2013-07-10,-1.0124033563281247,2,0
2013-07-11,4.342408752804688,0,0
2013-07-12,5.071274532503125,0,0
2013-07-13,-1.9362333297781253,4,0
2013-07-14,-0.5613528184468743,20,3
2013-07-15,-1.1655162724984374,3,0
2013-07-16,-0.7030824638265627,3,0
2013-07-17,1.494390958103125,7,0
2013-07-18,1.07236484375,5,0
2013-07-19,-1.0750856125781252,0,2
2013-07-20,-0.5502922197734377,1,3
2013-07-21,-0.32924288314531264,3,0
2013-07-22,-0.16922562999843754,6,0
2013-07-23,-0.11958563823281251,2,2
2013-07-24,-0.0844762725,1,12
2013-07-25,-0.0696679810312501,4,7
2013-07-26,-0.05892025999687514,2,0
2013-07-27,-0.027166826465625047,4,3
2013-07-28,0.0,4,6
2013-07-29,0.0,2,0
2013-07-30,0.0,2,0
2013-07-31,0.0,3,2
2013-08-01,0.0,4,1
2013-08-02,0.0,3,1
2013-08-03,0.0,6,0
2013-08-04,0.0,8,0
2013-08-05,0.0,0,0
2013-08-06,0.0,5,0
2013-08-07,0.0,3,3
2013-08-08,0.0,2,0
2013-08-09,0.0,9,2
2013-08-10,0.0,9,0
2013-08-11,1.0,1,2
2013-08-12,-0.30000000000000004,1,1
2013-08-13,4.8950000000000005,0,0
2013-08-14,1.4405,2,0
2013-08-15,-1.4651625,3,3
2013-08-16,-0.6422202499999996,3,0
2013-08-17,-0.4025933624999999,2,0
2013-08-18,-0.28804602375,1,0
2013-08-19,0.778558220734375,1,2
2013-08-20,2.5217876305171876,2,0
2013-08-21,-0.1412554050781254,1,0
2013-08-22,1.2099527835390624,2,2
