,BabylonJS/Babylon.js,mrdoob/three.js,playcanvas/engine
2013-06-27,3,0.0,0
2013-06-28,2,0.0,4
2013-06-29,0,18.0,0
2013-06-30,0,7.4,0
2013-07-01,1,3.3599999999999994,0
2013-07-02,0,-1.144000000000001,0
2013-07-03,0,1.9071999999999991,0
2013-07-04,0,-0.12524800000000047,0
2013-07-05,4,2.3001855999999994,0
2013-07-06,1,-1.9273497600000007,0
2013-07-07,0,10.810353664,0
2013-07-08,2,5.696598220800001,2
2013-07-09,0,-3.2989174784,6
2013-07-10,0,0.3772306431999992,3
2013-07-11,0,11.5667418112,5
2013-07-12,0,7.4848082944000005,0
2013-07-13,1,9.1065408512,0
2013-07-14,0,10.391942758399999,0
2013-07-15,1,10.619134976,0
2013-07-16,0,-4.045547212800001,4
2013-07-17,2,-2.529347993600002,0
2013-07-18,1,0.5624924159999987,0
2013-07-19,7,13.639612723199999,0
2013-07-20,2,-3.810621747199999,0
2013-07-21,0,7.386363289599999,0
2013-07-22,6,16.3360616448,0
2013-07-23,1,18.066266112,1
2013-07-24,0,5.3713258496,0
2013-07-25,0,4.741496627199998,0
2013-07-26,0,-5.666248806400001,2
2013-07-27,0,-2.3099461632000007,0
2013-07-28,0,-2.5694045184000007,0
2013-07-29,1,-1.7667400704,1
2013-07-30,0,9.586840576,0
2013-07-31,0,4.726943744000002,0
2013-08-01,0,-3.178034585599999,0
2013-08-02,0,5.4912048128,0
2013-08-03,0,-2.3076895743999994,4
2013-08-04,0,-0.12408371200000068,0
2013-08-05,1,0.022525849599999592,0
2013-08-06,0,1.1351756799999997,0
2013-08-07,0,-0.0004305919999993968,2
2013-08-08,4,-0.8368661503999993,3
2013-08-09,0,1.5466221568,3
2013-08-10,0,2.3381212160000002,0
2013-08-11,0,6.0306870272,0
2013-08-12,0,-0.8337080320000001,0
2013-08-13,1,9.9476606976,4
2013-08-14,2,7.1739565056000005,2
2013-08-15,0,0.6800079871999998,7
2013-08-16,0,3.552038809599999,1
2013-08-17,2,6.382306816,0
2013-08-18,0,-1.2959136768000006,0
2013-08-19,0,3.822474444799999,0
2013-08-20,0,11.4121009152,0
2013-08-21,1,1.7466674176000003,0
2013-08-22,0,-1.3763436544000003,0
2013-08-23,0,6.727664127999999,0
2013-08-24,0,-0.20101775359999952,3
2013-08-25,0,-2.3358357504000002,1
2013-08-26,0,-1.4209790976000003,9
2013-08-27,2,-0.9682838528,0
2013-08-28,2,-0.7492859903999992,2
2013-08-29,1,-0.5552178175999993,6
2013-08-30,1,0.6827815936000002,6
2013-08-31,0,-0.4052082687999994,4
2013-09-01,0,-0.23538728959999958,0
2013-09-02,0,-0.08540805119999992,8
2013-09-03,0,-0.03360000000000001,3
2013-09-04,3,2.9744639999999998,0
2013-09-05,0,8.3795712,0
2013-09-06,0,2.94307328,3
2013-09-07,0,-1.8783877120000003,0
2013-09-08,0,-0.9452693504000007,0
2013-09-09,0,0.38099199999999966,3
2013-09-10,0,3.3408895999999997,0
2013-09-11,0,4.75768064,0
2013-09-12,0,2.134352384,1
2013-09-13,2,-0.7571310591999998,0
2013-09-14,12,-1.1520987135999998,0
2013-09-15,0,0.3414804479999999,0
2013-09-16,2,10.36574208,0
2013-09-17,2,-2.6204113919999994,1
2013-09-18,1,0.7931682815999994,5
2013-09-19,0,3.8140606464,3
2013-09-20,0,6.2955703296,6
2013-09-21,0,-0.4615899136000001,0
2013-09-22,0,-1.6013128704000008,0
2013-09-23,0,7.036346367999999,0
2013-09-24,1,-2.3040717823999994,0
2013-09-25,0,11.8153517056,0
2013-09-26,0,1.6880885760000002,0
2013-09-27,0,-2.5819486208000004,0
2013-09-28,0,-1.4395898880000002,0
2013-09-29,0,0.031239372799999998,0
2013-09-30,0,2.1396795392,0
2013-10-01,0,3.8116439040000003,2
2013-10-02,0,6.2900538368,4
