,TryGhost/Ghost,strapi/strapi,decaporg/decap-cms
2024-02-25,0,0.0,0
2024-02-26,5,7.0,0
2024-02-27,3,4.200000000000001,1
2024-02-28,19,8.360000000000001,0
2024-02-29,4,9.912,0
2024-03-01,1,4.420800000000002,1
2024-03-02,0,-8.388864,0
2024-03-03,0,-3.453606400000001,0
2024-03-04,5,20.85363968,0
2024-03-05,6,12.269725696000002,1
2024-03-06,13,10.867088998400003,1
2024-03-07,3,-2.695906201599998,2
2024-03-08,2,-4.7436865536,4
2024-03-09,0,-6.423490764800001,0
2024-03-10,0,-4.2698256384,0
2024-03-11,6,6.327275519999999,0
2024-03-12,13,8.404754944,0
2024-03-13,8,10.739297177600001,1
2024-03-14,9,2.0977273856000025,0
2024-03-15,3,5.627389132800001,0
2024-03-16,0,-9.890850713599999,0
2024-03-17,0,-4.140341452800001,0
2024-03-18,7,35.430494003199996,0
2024-03-19,4,4.956733952000004,1
2024-03-20,8,13.215794380800002,1
2024-03-21,8,20.677601996800004,2
2024-03-22,2,-11.264547635199996,0
2024-03-23,0,-13.1990877184,0
2024-03-24,0,-6.640317952000002,0
2024-03-25,7,8.673272319999999,0
2024-03-26,3,0.5811850239999998,0
2024-03-27,12,7.3037950976,0
2024-03-28,16,-5.568595865599999,4
2024-03-29,0,0.3468583935999998,3
2024-03-30,0,-5.2568187904,0
2024-03-31,2,-2.3088693248000007,0
2024-04-01,4,-1.4451660800000004,0
2024-04-02,5,24.923784704,2
2024-04-03,16,36.7500993536,3
2024-04-04,6,-1.8737805311999978,0
2024-04-05,1,-0.18681855999999897,0
2024-04-06,0,-13.2157268992,0
2024-04-07,0,-6.1163409408000025,0
2024-04-08,8,13.067660799999999,0
2024-04-09,1,-6.674460160000001,0
2024-04-10,3,5.522705408,0
2024-04-11,4,8.338580787200002,2
2024-04-12,2,1.1542895616000006,0
2024-04-13,0,-8.169236684799998,0
2024-04-14,0,-3.4866009088000003,0
2024-04-15,3,7.919738879999999,0
2024-04-16,4,1.4978140160000004,3
2024-04-17,9,11.8380048384,0
2024-04-18,11,-2.0316314623999983,0
2024-04-19,2,-4.289347276799999,0
2024-04-20,0,-3.6902033408,0
2024-04-21,0,-1.975275724800001,0
2024-04-22,5,2.7271679999999994,0
2024-04-23,5,7.43661056,0
2024-04-24,3,9.752982528,0
2024-04-25,8,-0.9777545215999979,0
2024-04-26,2,4.233200230400001,0
2024-04-27,0,-6.4557065216,0
2024-04-28,0,-1.6889691136000007,0
2024-04-29,6,8.91640576,0
2024-04-30,2,-3.734440447999999,0
2024-05-01,9,-1.1225705471999996,0
2024-05-02,9,11.500856832,0
2024-05-03,2,0.06268006400000115,0
2024-05-04,0,-5.284779417599999,0
2024-05-05,0,-2.278051328,0
2024-05-06,13,9.646537727999998,0
2024-05-07,21,-2.3727065087999994,0
2024-05-08,17,2.7410189312000006,0
2024-05-09,4,2.062162022400001,0
2024-05-10,0,-3.1359702015999993,0
2024-05-11,0,-2.2435361792000004,0
2024-05-12,0,-1.1856382976000006,0
2024-05-13,6,0.23572223999999964,0
2024-05-14,3,1.019084288,0
2024-05-15,12,-1.3842014207999997,0
2024-05-16,16,-0.5665153023999999,0
2024-05-17,1,1.6443062272,0
2024-05-18,0,-1.0050966527999998,0
2024-05-19,0,-0.33566535680000004,0
2024-05-20,3,6.80770304,0
2024-05-21,2,1.0649031680000007,0
2024-05-22,4,8.4569864192,0
2024-05-23,4,-5.399522713599999,0
2024-05-24,1,-0.9039411200000003,0
2024-05-25,0,-1.5103754240000002,0
2024-05-26,0,-0.8837467136000007,0
2024-05-27,4,4.38608128,0
2024-05-28,6,1.5262325760000004,0
2024-05-29,7,3.4177618944000003,0
2024-05-30,11,4.5591313408000005,0
2024-05-31,2,0.4568497152000006,0
2024-06-01,0,-3.6753157119999997,0
2024-06-02,0,-1.6090221568000005,0
2024-06-03,7,6.983782399999999,0
2024-06-04,13,2.0653440000000005,0
2024-06-05,9,4.071697408,0
2024-06-06,11,5.164092620800001,0
2024-06-07,1,2.033312563200001,0
2024-06-08,0,-5.579379814399999,0
2024-06-09,0,-2.3602083840000003,0
2024-06-10,5,0.5476403199999993,0
2024-06-11,10,4.152505344,0
2024-06-12,4,2.5504679936000003,0
2024-06-13,9,-1.8134458367999993,0
2024-06-14,1,4.6118931456,1
2024-06-15,0,-3.9827312639999994,0
2024-06-16,0,-1.5456236544000004,0
2024-06-17,3,9.11456768,0
2024-06-18,5,7.370582016,0
2024-06-19,12,7.517655654400001,0
2024-06-20,7,0.9547932672000012,0
2024-06-21,4,5.3003057152,0
2024-06-22,0,-5.706406297599999,0
2024-06-23,2,-3.0770430976000007,0
2024-06-24,10,9.339008,0
2024-06-25,2,11.48974336,0
2024-06-26,10,-0.9203307519999981,4
2024-06-27,8,-7.436155289599999,1
2024-06-28,1,1.6568992767999995,0
2024-06-29,0,-4.040980275200001,0
2024-06-30,0,-1.991354265600001,0
2024-07-01,13,5.7358956544,0
2024-07-02,14,2.2599944192000008,0
2024-07-03,6,2.0185242624000006,0
2024-07-04,9,-3.049584230399999,0
2024-07-05,3,-0.00223621120000006,0
2024-07-06,0,-1.8390425600000002,0
2024-07-07,0,-0.9580451840000004,0
2024-07-08,7,0.3843148799999998,1
2024-07-09,10,0.13275545599999994,0
2024-07-10,10,2.1063880704000004,0
2024-07-11,6,-1.6160201727999997,0
2024-07-12,3,-0.5942857728,0
2024-07-13,0,-0.30666158080000006,0
2024-07-14,0,-0.20331151360000016,0
2024-07-15,2,-0.13118976000000004,0
2024-07-16,2,0.897584128,0
2024-07-17,7,1.5169344512,0
2024-07-18,9,1.0217347072000003,0
2024-07-19,3,0.8576055296000002,0
2024-07-20,2,-1.2096,0
2024-07-21,0,-0.48115200000000014,0
2024-07-22,2,5.7059328,0
2024-07-23,2,1.3925990400000003,0
2024-07-24,9,0.5222727680000006,0
2024-07-25,4,1.8102228992000002,0
2024-07-26,2,-1.5582488575999998,0
2024-07-27,2,-1.4740197376000002,0
2024-07-28,0,-0.7839835136000003,0
2024-07-29,6,0.47766783999999984,1
2024-07-30,4,1.2052858880000001,0
2024-07-31,6,3.7656717312000003,0
2024-08-01,8,2.5028947968000006,4
2024-08-02,1,-1.8869878783999994,3
2024-08-03,0,-1.4995003392,0
2024-08-04,0,-0.7436653568000003,0
2024-08-05,6,0.5139430399999996,1
2024-08-06,2,5.241927168,0
2024-08-07,2,0.20026961920000064,5
2024-08-08,3,0.7998091264000005,0
2024-08-09,1,0.8562600960000002,0
2024-08-10,0,-2.110698496,0
2024-08-11,0,-0.8922733568000002,0
2024-08-12,4,-0.5628057600000003,3
2024-08-13,1,2.5910753279999996,4
2024-08-14,6,-0.5175897087999997,0
2024-08-15,5,0.9937426432,0
2024-08-16,6,-1.2509732863999998,0
2024-08-17,0,-0.5126616064,0
2024-08-18,0,-0.2978504704000001,0
2024-08-19,11,0.8179583999999999,0
2024-08-20,24,0.46202112000000006,0
2024-08-21,9,3.3702359040000003,0
2024-08-22,16,3.1257086976000004,0
2024-08-23,2,4.3712904192,0
2024-08-24,0,-2.7531483135999997,0
2024-08-25,0,-1.7793152,0
2024-08-26,14,11.062858239999999,0
2024-08-27,15,3.569660928000001,0
2024-08-28,19,5.492483891200001,0
2024-08-29,21,3.3960317952000016,0
2024-08-30,3,-0.6737283071999993,2
2024-08-31,0,-5.226275328,0
2024-09-01,1,-2.467469209600001,0
2024-09-02,14,7.4306143231999995,0
