,rust-lang/rust,swiftlang/swift,golang/go
2010-07-17,2.0,1,5
2010-07-18,5.4,18,0
2010-07-19,9.99,22,7
2010-07-20,12.651,0,5
2010-07-21,2.202675,1,14
2010-07-22,5.500584500000001,14,5
2010-07-23,6.0366667750000005,8,2
2010-07-24,-6.507505222499999,13,0
2010-07-25,-3.2060741760312483,11,3
2010-07-26,10.831041175440625,0,12
2010-07-27,-4.512695246834376,16,11
2010-07-28,3.1187469049406253,2,4
2010-07-29,28.45979116290156,0,10
2010-07-30,-11.33599438851719,7,14
2010-07-31,-3.483463896748436,2,0
2010-08-01,-2.9403474212937493,7,1
2010-08-02,-0.8382469212499999,0,1
2010-08-03,0.32441223329687463,7,19
2010-08-04,14.203645168707812,8,4
2010-08-05,3.1853032761734363,8,15
2010-08-06,-0.1519987783968757,0,7
2010-08-07,6.0393282528,3,2
2010-08-08,-3.801698079265625,2,0
2010-08-09,15.436411088017188,0,7
2010-08-10,0.0054201857343745274,0,12
2010-08-11,6.842092760735938,0,5
2010-08-12,1.6884209290343746,0,17
2010-08-13,-1.5169653063656252,0,7
2010-08-14,-3.984589902923437,0,2
2010-08-15,-2.2506887825703124,0,1
2010-08-16,1.4281491859062498,0,7
2010-08-17,0.9901524187359367,0,9
2010-08-18,20.89674635945,0,5
2010-08-19,-3.923886133817189,0,9
2010-08-20,17.72016871208125,0,3
2010-08-21,-7.770322422925002,0,1
2010-08-22,-3.9850744904312485,0,2
2010-08-23,-2.384930158749999,0,4
2010-08-24,11.298082190953124,0,7
2010-08-25,10.788470863754686,0,21
2010-08-26,4.811356954692187,0,19
2010-08-27,7.130233743582813,0,10
2010-08-28,-4.356691195525,0,0
2010-08-29,-4.427675057887499,0,3
2010-08-30,-2.4217086257328115,0,7
2010-08-31,3.2836436412500003,0,9
2010-09-01,-1.8256550479531257,0,9
2010-09-02,-1.8981919502765632,0,13
2010-09-03,2.854400367087499,0,7
2010-09-04,-1.902459314762501,2,5
2010-09-05,-0.8465616855562501,0,1
2010-09-06,-0.42487480219843743,0,1
2010-09-07,3.72128276875,0,14
2010-09-08,13.582778142421875,0,8
2010-09-09,-1.0969172329296883,0,17
2010-09-10,-0.10241250823281156,0,19
2010-09-11,-2.4366568670624993,0,7
