,scikit-learn/scikit-learn,statsmodels/statsmodels,mlpack/mlpack
2022-02-05,3,0,3
2022-02-06,1,0,6
2022-02-07,3,6,5
2022-02-08,7,1,0
2022-02-09,8,4,2
2022-02-10,5,1,8
2022-02-11,5,0,3
2022-02-12,4,0,0
2022-02-13,0,2,0
2022-02-14,15,0,0
2022-02-15,10,0,0
2022-02-16,4,2,1
2022-02-17,10,1,3
2022-02-18,5,10,0
2022-02-19,6,0,4
2022-02-20,0,0,0
2022-02-21,1,2,2
2022-02-22,4,0,1
2022-02-23,5,4,0
2022-02-24,5,0,1
2022-02-25,4,0,8
2022-02-26,2,0,1
2022-02-27,4,0,0
2022-02-28,7,1,0
2022-03-01,1,5,0
2022-03-02,15,4,0
2022-03-03,5,7,0
2022-03-04,3,0,0
2022-03-05,2,0,0
2022-03-06,0,0,3
2022-03-07,7,0,0
2022-03-08,10,0,0
2022-03-09,8,0,0
2022-03-10,5,0,0
2022-03-11,5,2,10
2022-03-12,15,0,0
2022-03-13,11,0,1
2022-03-14,12,0,1
2022-03-15,7,0,0
2022-03-16,4,0,1
2022-03-17,18,1,1
2022-03-18,14,0,3
2022-03-19,3,1,0
2022-03-20,1,3,1
2022-03-21,9,2,0
2022-03-22,11,0,0
2022-03-23,3,0,4
2022-03-24,7,0,3
2022-03-25,7,0,3
2022-03-26,4,0,0
2022-03-27,6,0,8
2022-03-28,3,0,0
2022-03-29,9,0,1
2022-03-30,6,2,7
2022-03-31,5,0,5
2022-04-01,8,0,5
2022-04-02,1,0,12
2022-04-03,0,0,40
2022-04-04,6,2,6
2022-04-05,3,0,3
2022-04-06,12,0,0
2022-04-07,9,0,0
2022-04-08,12,0,2
2022-04-09,8,2,2
2022-04-10,1,0,0
2022-04-11,1,3,7
2022-04-12,7,0,3
2022-04-13,7,3,3
2022-04-14,7,1,4
2022-04-15,0,3,0
2022-04-16,1,0,8
2022-04-17,2,0,7
2022-04-18,0,0,3
2022-04-19,9,1,0
2022-04-20,9,0,0
2022-04-21,3,1,0
2022-04-22,6,0,0
2022-04-23,8,0,0
2022-04-24,4,4,1
2022-04-25,3,7,0
2022-04-26,6,2,0
2022-04-27,8,1,90
2022-04-28,1,0,7
2022-04-29,12,0,10
2022-04-30,1,5,11
2022-05-01,1,0,3
2022-05-02,10,0,0
2022-05-03,3,6,1
2022-05-04,8,3,0
