,home-assistant/core,ioBroker/ioBroker,node-red/node-red
2018-09-12,21,1,0
2018-09-13,9,2,0
2018-09-14,10,1,4
2018-09-15,14,0,0
2018-09-16,3,0,2
2018-09-17,19,1,7
2018-09-18,11,0,1
2018-09-19,11,0,0
2018-09-20,29,0,0
2018-09-21,18,0,10
2018-09-22,7,0,0
2018-09-23,10,0,5
2018-09-24,17,0,3
2018-09-25,36,0,3
2018-09-26,35,0,4
2018-09-27,21,0,2
2018-09-28,7,0,7
2018-09-29,6,0,0
2018-09-30,16,0,2
2018-10-01,35,2,4
2018-10-02,24,0,11
2018-10-03,16,0,7
2018-10-04,19,0,0
2018-10-05,21,0,3
2018-10-06,7,0,1
2018-10-07,19,0,7
2018-10-08,36,0,1
2018-10-09,24,0,0
2018-10-10,25,0,0
2018-10-11,16,0,3
2018-10-12,25,0,1
2018-10-13,14,0,0
2018-10-14,16,0,0
2018-10-15,27,0,4
2018-10-16,14,0,5
2018-10-17,20,1,6
2018-10-18,19,0,1
2018-10-19,11,0,9
2018-10-20,6,0,0
2018-10-21,14,0,0
2018-10-22,9,0,12
2018-10-23,30,0,12
2018-10-24,19,0,5
2018-10-25,16,0,7
2018-10-26,28,0,8
2018-10-27,13,0,1
2018-10-28,13,0,0
2018-10-29,29,0,4
2018-10-30,17,0,3
2018-10-31,13,0,9
2018-11-01,32,0,4
2018-11-02,29,0,12
2018-11-03,20,0,2
2018-11-04,18,0,0
2018-11-05,28,0,1
2018-11-06,35,0,0
2018-11-07,26,0,0
2018-11-08,12,0,2
2018-11-09,11,0,1
2018-11-10,9,0,0
2018-11-11,15,0,0
2018-11-12,11,0,5
2018-11-13,10,0,10
2018-11-14,9,0,7
2018-11-15,18,0,3
2018-11-16,9,0,1
2018-11-17,4,0,0
2018-11-18,4,1,0
2018-11-19,19,1,0
2018-11-20,12,0,0
2018-11-21,15,0,0
2018-11-22,10,0,0
2018-11-23,11,0,0
2018-11-24,9,0,0
2018-11-25,12,0,0
2018-11-26,14,0,0
2018-11-27,29,1,0
2018-11-28,12,0,0
2018-11-29,39,4,1
2018-11-30,22,0,8
2018-12-01,24,0,1
2018-12-02,32,0,0
2018-12-03,30,0,0
2018-12-04,22,0,3
2018-12-05,23,2,6
2018-12-06,14,0,4
2018-12-07,21,0,14
2018-12-08,5,0,2
2018-12-09,14,0,2
2018-12-10,27,0,6
2018-12-11,11,0,4
2018-12-12,20,0,0
2018-12-13,14,0,9
2018-12-14,36,0,0
2018-12-15,5,2,0
2018-12-16,9,0,0
2018-12-17,35,0,2
2018-12-18,12,0,8
2018-12-19,25,0,3
2018-12-20,8,0,3
2018-12-21,7,2,3
2018-12-22,14,0,1
2018-12-23,9,0,0
2018-12-24,3,0,0
2018-12-25,9,0,0
2018-12-26,11,0,0
2018-12-27,11,0,0
2018-12-28,7,0,0
2018-12-29,7,0,0
2018-12-30,12,0,0
2018-12-31,2,1,0
2019-01-01,6,4,1
2019-01-02,4,1,1
2019-01-03,6,2,0
2019-01-04,12,0,0
2019-01-05,8,0,0
2019-01-06,9,0,0
2019-01-07,20,1,5
2019-01-08,18,0,3
2019-01-09,29,1,3
2019-01-10,12,0,4
2019-01-11,53,3,3
2019-01-12,18,0,0
2019-01-13,18,3,0
