,ant-design/ant-design,mui/material-ui,twbs/bootstrap
2015-06-07,4,9.0,0
2015-06-08,22,5.3,2
2015-06-09,57,11.655000000000001,9
2015-06-10,39,13.1245,2
2015-06-11,15,2.8875375000000005,3
2015-06-12,18,9.223717750000002,0
2015-06-13,0,-0.13522726249999906,3
2015-06-14,23,1.6997463862500015,0
2015-06-15,62,9.157766171609374,1
2015-06-16,14,3.2385173030296865,6
2015-06-17,41,8.889080253903124,1
2015-06-18,8,5.507005371710937,11
2015-06-19,21,-3.2969915158453134,11
2015-06-20,0,11.449058646189062,1
2015-06-21,0,-1.2727422233500008,1
2015-06-22,0,4.0035713662625,6
2015-06-23,2,2.708762131403125,16
2015-06-24,8,20.994492712085936,0
2015-06-25,22,16.78836709118906,1
2015-06-26,13,2.689663572306248,0
2015-06-27,0,-2.7599560603374975,2
2015-06-28,0,3.1987994575703134,0
2015-06-29,1,-0.760152292317188,0
2015-06-30,3,-2.2588168115359375,0
2015-07-01,13,0.17124087553125023,7
2015-07-02,16,26.52973096323281,1
2015-07-03,15,-8.97192375672344,4
2015-07-04,2,1.136697533731251,7
2015-07-05,7,3.7049621054,0
2015-07-06,30,8.483725693465624,0
2015-07-07,30,18.94389677957969,2
2015-07-08,41,4.849117884057813,1
2015-07-09,35,28.276260439490628,1
2015-07-10,14,-10.236690394648441,0
2015-07-11,12,-2.0132531392640605,1
2015-07-12,11,5.945238704192188,1
2015-07-13,23,16.89762239897969,3
2015-07-14,33,-2.8617521713140626,0
2015-07-15,59,-3.3489105761656255,0
2015-07-16,45,12.870087960196877,0
2015-07-17,40,3.751714721181248,1
2015-07-18,0,-6.3437508821906246,8
2015-07-19,0,-3.5848983680062485,0
2015-07-20,65,7.819870433167187,0
2015-07-21,45,5.528680682582811,0
2015-07-22,21,10.999213212039063,0
2015-07-23,11,-1.873576716673437,0
2015-07-24,13,-4.373588718460937,1
2015-07-25,1,-3.235887829376562,7
2015-07-26,1,-1.9550698168078124,3
2015-07-27,14,7.68661770801875,3
2015-07-28,19,2.288984028595312,4
2015-07-29,36,7.439259491267187,3
2015-07-30,39,5.978153764423436,0
2015-07-31,21,4.481401900698437,4
2015-08-01,3,-3.4153344461624986,2
2015-08-02,0,-0.1477201757328115,0
2015-08-03,38,15.21598911125,0
2015-08-04,28,0.9247286691093741,0
2015-08-05,14,0.4718419815609378,31
