,ethereum/go-ethereum,hyperledger/besu,NethermindEth/nethermind
2018-11-09,2,1.0,23
2018-11-10,0,-0.3999999999999999,19
2018-11-11,0,2.88,4
2018-11-12,3,1.7360000000000002,33
2018-11-13,4,3.3984000000000005,17
2018-11-14,8,1.4180480000000006,8
2018-11-15,8,-0.5397631999999999,30
2018-11-16,5,0.16697344000000003,14
2018-11-17,0,-1.677901312,2
2018-11-18,1,2.1790405631999996,10
2018-11-19,3,7.253597184,28
2018-11-20,6,1.629328793600001,6
2018-11-21,5,2.0345143296000003,0
2018-11-22,5,-1.0280811519999995,39
2018-11-23,3,-0.8865011711999999,13
2018-11-24,0,-2.1879653376,15
2018-11-25,0,0.8513112063999997,0
2018-11-26,15,0.4189066239999999,16
2018-11-27,3,-0.6358544384,25
2018-11-28,8,2.7868653568,1
2018-11-29,9,4.800038707200001,12
2018-11-30,2,1.3538988032000008,9
2018-12-01,1,-2.3121362943999997,8
2018-12-02,2,-0.7526158336000002,4
2018-12-03,4,3.658976256,1
2018-12-04,4,0.2322049023999999,27
2018-12-05,1,-1.3303366656,2
2018-12-06,1,2.5316170752000002,8
2018-12-07,3,4.5779493888000005,13
2018-12-08,0,-1.8252594175999994,0
2018-12-09,0,-2.239789056,1
2018-12-10,17,5.9269517312,0
2018-12-11,7,-0.5056595967999997,0
2018-12-12,2,1.44745472,0
2018-12-13,3,1.2443211776000003,9
2018-12-14,7,1.1888586752,10
2018-12-15,0,-2.8644877311999997,2
2018-12-16,0,-0.2728969216000001,0
2018-12-17,3,3.8347121663999997,14
2018-12-18,4,1.3407375360000002,0
2018-12-19,0,3.3158027264000003,0
2018-12-20,2,3.494047641600001,0
2018-12-21,3,-0.19924971519999968,0
2018-12-22,4,-3.2749386752,0
2018-12-23,1,-1.4817871872000004,0
2018-12-24,0,-0.9257733120000005,0
2018-12-25,0,-0.6759021568000003,0
2018-12-26,0,-0.5153873919999999,0
2018-12-27,0,0.6374263808,0
2018-12-28,1,-0.6563611647999998,0
2018-12-29,2,-0.27020994559999995,0
2018-12-30,0,-0.11519262719999998,6
2018-12-31,0,0.9583999999999999,5
2019-01-01,0,-0.42995199999999995,2
2019-01-02,2,0.8570367999999999,8
2019-01-03,6,0.5176294400000001,4
2019-01-04,5,2.4232442880000002,7
2019-01-05,2,-0.42675015679999984,10
2019-01-06,1,0.11143680000000011,3
2019-01-07,6,6.1980774400000005,2
2019-01-08,1,1.8231290880000004,0
2019-01-09,1,2.9104120832000007,0
2019-01-10,4,0.3780321280000005,1
2019-01-11,5,2.9328192511999998,0
2019-01-12,0,-2.7812630528,0
2019-01-13,0,-1.0080231424000003,0
2019-01-14,0,13.4785242112,3
2019-01-15,7,6.098071859200002,15
2019-01-16,4,0.34724618240000105,1
2019-01-17,7,3.8422615040000005,0
2019-01-18,3,-4.7165503488,2
2019-01-19,1,-2.685540659200001,0
2019-01-20,0,1.5430607871999995,0
2019-01-21,2,5.8943501311999995,0
2019-01-22,2,5.810623283200001,0
2019-01-23,4,3.3969029120000016,0
2019-01-24,14,0.39039426560000123,4
2019-01-25,2,0.4881453055999998,14
2019-01-26,2,-2.8756843520000004,5
2019-01-27,1,-3.034375065600001,0
2019-01-28,2,4.2939287552,1
2019-01-29,8,19.3934338048,3
2019-01-30,7,9.190743756800003,0
2019-01-31,1,7.237386035200002,4
2019-02-01,2,-1.1118213119999982,0
2019-02-02,0,-9.3137744896,8
2019-02-03,1,-1.3017755648000016,0
2019-02-04,7,9.0425867264,0
2019-02-05,4,0.44059084799999937,6
2019-02-06,5,4.4894456832000005,0
2019-02-07,17,1.4840923136000015,5
2019-02-08,6,2.1913461760000006,2
2019-02-09,0,-5.584943411199999,6
2019-02-10,0,-1.2476290048000007,5
2019-02-11,0,7.332137983999999,7
2019-02-12,10,6.4170535936,7
2019-02-13,3,2.8644653056000013,0
2019-02-14,13,1.1657460736000012,0
2019-02-15,2,-1.1093833728,0
2019-02-16,1,-4.714601779200001,0
2019-02-17,1,-2.2841362432000007,0
2019-02-18,15,12.5453064192,9
2019-02-19,15,20.3251518464,0
2019-02-20,6,5.692978688000004,0
2019-02-21,7,-1.3029154815999977,1
2019-02-22,3,-6.331480063999999,0
2019-02-23,1,-3.456691814400001,1
2019-02-24,2,-2.8485795840000008,0
2019-02-25,5,7.2641177599999995,0
2019-02-26,9,14.153242112000001,6
2019-02-27,4,-0.6270702591999981,0
2019-02-28,9,1.9540214784000014,0
2019-03-01,6,-5.4368678911999995,14
2019-03-02,2,-3.017471180800001,0
2019-03-03,0,-1.6117484544000011,1
2019-03-04,4,12.952758374399998,2
2019-03-05,2,5.6718815232000015,7
2019-03-06,4,-2.009937407999999,3
2019-03-07,11,-0.6287042559999989,8
2019-03-08,6,-2.5451950080000003,0
2019-03-09,0,-2.973706752000001,0
2019-03-10,0,0.39745341439999926,1
2019-03-11,1,0.08225413120000002,3
2019-03-12,6,5.110309683200001,2
2019-03-13,4,1.1580600320000007,6
2019-03-14,7,3.5537104896000002,1
2019-03-15,4,-2.1804126207999994,0
2019-03-16,1,-2.451332608,1
2019-03-17,0,-1.2139278336000003,15
2019-03-18,6,6.203245055999999,9
2019-03-19,0,7.6078183424,12
2019-03-20,3,4.315814502400001,2
2019-03-21,2,4.892114022400001,2
2019-03-22,4,-0.8020218879999987,2
2019-03-23,0,-4.1471625216,24
2019-03-24,0,-2.7558107136000003,10
2019-03-25,7,1.3576908799999994,0
2019-03-26,3,4.619129856,2
2019-03-27,7,7.9260872704,5
2019-03-28,2,-1.4941442047999987,0
2019-03-29,2,-1.44068096,11
2019-03-30,0,-3.1991405568,1
2019-03-31,0,0.45030174719999927,1
2019-04-01,5,5.2119237632,10
2019-04-02,9,2.2358205440000005,5
2019-04-03,1,-0.9376031743999995,7
2019-04-04,7,7.1166019584,0
2019-04-05,7,1.620427878400001,0
2019-04-06,1,-4.806648319999999,9
2019-04-07,0,1.9796100096,16
2019-04-08,47,0.14945945599999977,12
2019-04-09,9,3.4184807424,11
2019-04-10,8,6.309070950400001,4
2019-04-11,4,2.4548959232000005,27
2019-04-12,3,0.6528464896000008,12
2019-04-13,0,-3.6653803519999997,5
2019-04-14,0,-1.4596709376000008,2
2019-04-15,2,6.2101662719999995,6
2019-04-16,6,1.6902688768000003,8
2019-04-17,4,7.857948057600001,20
2019-04-18,2,-5.616641740799999,12
2019-04-19,1,-2.969165824,15
2019-04-20,0,-0.6118692864000006,5
2019-04-21,0,-0.4369328128000005,12
2019-04-22,0,0.7662784511999998,0
2019-04-23,1,5.4662223872,14
2019-04-24,0,3.4176705536000007,20
2019-04-25,6,-2.116580044799999,10
2019-04-26,2,2.6071512064,8
2019-04-27,0,-0.09323591679999987,14
2019-04-28,0,1.4916833279999997,46
2019-04-29,0,12.201698611200001,15
2019-04-30,5,-3.2723499007999983,8
2019-05-01,0,2.7632333824,7
2019-05-02,2,4.1565097984,3
2019-05-03,0,-1.7204489216,0
2019-05-04,1,-3.9920193536,0
2019-05-05,0,-1.9943961600000004,24
2019-05-06,0,1.6935074815999995,8
2019-05-07,5,1.8512790527999998,5
2019-05-08,7,11.33233408,7
2019-05-09,0,-1.6864704511999982,11
2019-05-10,16,-0.3602707455999994,8
2019-05-11,1,-3.5280622592,1
2019-05-12,0,-0.6222902272000008,0
2019-05-13,11,6.56970752,18
2019-05-14,2,0.9234058240000005,0
2019-05-15,5,-0.6148291583999992,1
2019-05-16,15,1.1993218048000003,0
2019-05-17,4,4.0288130048,0
