,gohugoio/hugo,hexojs/hexo,sphinx-doc/sphinx
2017-09-04,0,0,5
2017-09-05,4,3,1
2017-09-06,0,1,3
2017-09-07,1,0,2
2017-09-08,2,0,1
2017-09-09,1,0,1
2017-09-10,3,0,2
2017-09-11,6,0,2
2017-09-12,0,0,1
2017-09-13,6,0,1
2017-09-14,0,0,0
2017-09-15,0,0,1
2017-09-16,0,0,0
2017-09-17,0,0,6
2017-09-18,0,0,4
2017-09-19,0,0,2
2017-09-20,0,2,6
2017-09-21,2,0,0
2017-09-22,3,0,0
2017-09-23,8,0,0
2017-09-24,2,0,19
2017-09-25,13,0,4
2017-09-26,11,0,8
2017-09-27,2,4,2
2017-09-28,4,0,4
2017-09-29,6,0,0
2017-09-30,0,4,1
2017-10-01,0,1,5
2017-10-02,0,0,7
2017-10-03,3,1,5
2017-10-04,4,0,5
2017-10-05,5,0,17
2017-10-06,0,0,0
2017-10-07,4,1,12
2017-10-08,0,0,3
2017-10-09,0,3,14
2017-10-10,1,0,12
2017-10-11,0,0,2
2017-10-12,0,0,1
2017-10-13,1,0,10
2017-10-14,2,0,0
2017-10-15,5,0,1
2017-10-16,6,0,9
2017-10-17,1,0,4
2017-10-18,3,0,11
2017-10-19,17,0,9
2017-10-20,0,3,5
2017-10-21,9,0,19
2017-10-22,0,0,8
2017-10-23,3,0,9
2017-10-24,0,2,0
2017-10-25,0,0,5
2017-10-26,0,0,2
2017-10-27,0,3,1
2017-10-28,1,0,0
2017-10-29,1,2,1
2017-10-30,1,0,3
2017-10-31,0,1,14
2017-11-01,0,3,5
2017-11-02,0,0,1
2017-11-03,0,0,0
2017-11-04,2,0,0
2017-11-05,2,0,1
2017-11-06,2,1,1
2017-11-07,3,0,2
2017-11-08,0,1,0
2017-11-09,1,3,0
2017-11-10,0,2,0
2017-11-11,2,0,15
2017-11-12,0,0,4
2017-11-13,0,0,0
2017-11-14,0,0,0
2017-11-15,1,10,0
2017-11-16,4,2,2
2017-11-17,6,0,1
2017-11-18,2,1,0
2017-11-19,3,0,0
2017-11-20,8,0,1
2017-11-21,0,1,0
2017-11-22,0,3,0
2017-11-23,0,0,0
2017-11-24,1,0,0
2017-11-25,1,0,1
2017-11-26,0,0,8
2017-11-27,7,0,4
2017-11-28,1,0,0
2017-11-29,0,0,1
2017-11-30,1,0,0
2017-12-01,1,0,1
2017-12-02,2,0,2
2017-12-03,0,0,3
2017-12-04,0,3,2
2017-12-05,1,2,1
2017-12-06,2,0,3
2017-12-07,2,0,0
2017-12-08,0,0,0
2017-12-09,0,0,0
2017-12-10,0,0,11
2017-12-11,0,3,7
2017-12-12,0,0,15
2017-12-13,0,0,8
2017-12-14,0,0,28
2017-12-15,1,0,10
2017-12-16,3,1,19
2017-12-17,1,0,9
2017-12-18,0,0,11
2017-12-19,0,0,18
2017-12-20,0,2,23
2017-12-21,0,0,15
2017-12-22,0,0,0
2017-12-23,0,0,1
2017-12-24,0,0,5
2017-12-25,0,0,2
2017-12-26,0,0,0
2017-12-27,1,0,3
2017-12-28,5,0,10
2017-12-29,4,0,14
2017-12-30,2,0,2
2017-12-31,5,0,6
2018-01-01,3,0,12
2018-01-02,6,0,0
2018-01-03,8,0,6
2018-01-04,0,1,0
2018-01-05,0,1,8
2018-01-06,5,5,13
2018-01-07,2,4,7
2018-01-08,6,0,27
2018-01-09,0,0,5
2018-01-10,4,0,4
2018-01-11,10,0,9
2018-01-12,5,0,3
2018-01-13,1,0,30
2018-01-14,4,6,19
2018-01-15,3,2,16
2018-01-16,0,4,2
2018-01-17,5,0,2
2018-01-18,6,0,1
2018-01-19,2,0,10
2018-01-20,0,0,36
2018-01-21,1,0,25
2018-01-22,9,0,0
2018-01-23,4,0,1
2018-01-24,6,0,22
2018-01-25,5,1,4
2018-01-26,6,0,1
2018-01-27,4,0,11
2018-01-28,4,0,20
2018-01-29,5,0,18
2018-01-30,5,0,18
2018-01-31,10,2,11
2018-02-01,0,0,3
2018-02-02,2,0,9
2018-02-03,0,1,8
2018-02-04,0,2,20
2018-02-05,12,0,6
2018-02-06,0,0,7
2018-02-07,1,0,12
2018-02-08,1,0,7
2018-02-09,4,0,3
2018-02-10,3,1,12
2018-02-11,0,0,11
2018-02-12,8,0,14
2018-02-13,2,1,11
2018-02-14,1,1,4
2018-02-15,11,0,4
2018-02-16,3,0,17
2018-02-17,2,0,10
2018-02-18,1,0,19
2018-02-19,1,2,27
2018-02-20,0,0,9
2018-02-21,8,6,3
2018-02-22,3,0,15
2018-02-23,0,2,11
2018-02-24,0,0,11
2018-02-25,2,0,11
2018-02-26,2,0,3
2018-02-27,10,2,1
2018-02-28,0,3,5
2018-03-01,1,0,11
2018-03-02,0,0,11
2018-03-03,0,0,14
2018-03-04,0,0,0
