,pi-hole/pi-hole,AdguardTeam/AdGuardHome,NLnetLabs/unbound
2018-10-30,0,11,0
2018-10-31,3,1,0
2018-11-01,6,1,0
2018-11-02,2,3,0
2018-11-03,3,0,0
2018-11-04,0,0,0
2018-11-05,0,12,0
2018-11-06,0,5,1
2018-11-07,3,0,0
2018-11-08,5,2,0
2018-11-09,4,8,0
2018-11-10,2,2,0
2018-11-11,1,0,0
2018-11-12,0,1,0
2018-11-13,3,0,0
2018-11-14,0,0,1
2018-11-15,0,0,0
2018-11-16,0,2,0
2018-11-17,0,0,0
2018-11-18,0,0,0
2018-11-19,1,2,1
2018-11-20,0,4,3
2018-11-21,2,2,2
2018-11-22,0,3,9
2018-11-23,0,0,0
2018-11-24,0,0,0
2018-11-25,1,3,0
2018-11-26,1,24,4
2018-11-27,2,3,10
2018-11-28,0,12,2
2018-11-29,1,5,7
2018-11-30,0,0,2
2018-12-01,1,0,0
2018-12-02,0,0,0
2018-12-03,0,0,9
2018-12-04,0,0,1
2018-12-05,1,51,0
2018-12-06,3,9,1
2018-12-07,0,2,0
2018-12-08,1,0,0
2018-12-09,1,0,0
2018-12-10,3,0,6
2018-12-11,0,2,2
2018-12-12,1,0,1
2018-12-13,0,0,0
2018-12-14,0,0,0
2018-12-15,0,0,0
2018-12-16,0,0,0
2018-12-17,0,5,0
2018-12-18,2,1,0
2018-12-19,1,1,0
2018-12-20,0,0,0
2018-12-21,1,0,0
2018-12-22,0,0,0
2018-12-23,0,0,0
2018-12-24,0,10,0
2018-12-25,2,1,0
2018-12-26,0,3,0
2018-12-27,1,0,0
2018-12-28,1,30,0
2018-12-29,0,18,0
2018-12-30,0,0,0
2018-12-31,0,4,0
2019-01-01,2,0,0
2019-01-02,3,0,0
2019-01-03,3,0,0
2019-01-04,1,6,0
2019-01-05,1,2,0
2019-01-06,0,0,0
2019-01-07,1,0,3
2019-01-08,0,0,2
2019-01-09,1,1,1
2019-01-10,0,0,0
2019-01-11,0,1,1
2019-01-12,0,0,0
2019-01-13,2,0,0
2019-01-14,0,0,1
2019-01-15,0,5,3
2019-01-16,0,3,1
2019-01-17,0,0,2
2019-01-18,0,0,0
2019-01-19,2,1,0
2019-01-20,3,0,0
2019-01-21,0,0,7
2019-01-22,0,0,7
2019-01-23,0,0,14
2019-01-24,7,0,6
2019-01-25,0,10,6
2019-01-26,0,0,0
2019-01-27,1,0,0
2019-01-28,1,0,4
2019-01-29,1,2,4
2019-01-30,0,4,1
2019-01-31,2,0,9
2019-02-01,3,0,0
2019-02-02,6,0,0
2019-02-03,14,0,0
2019-02-04,0,2,3
2019-02-05,5,8,2
2019-02-06,6,30,0
2019-02-07,0,15,1
2019-02-08,4,1,2
2019-02-09,0,0,0
2019-02-10,1,4,0
2019-02-11,1,7,5
2019-02-12,0,4,0
2019-02-13,0,0,0
2019-02-14,0,0,1
2019-02-15,0,42,0
2019-02-16,1,0,0
2019-02-17,0,0,0
2019-02-18,3,4,3
