,electron/electron,nwjs/nw.js,AvaloniaUI/Avalonia
2018-03-05,7,1.0,17
2018-03-06,39,-0.10000000000000009,2
2018-03-07,13,1.955,9
2018-03-08,6,-0.2285000000000002,6
2018-03-09,27,-0.1106625,3
2018-03-10,1,-0.07311675,5
2018-03-11,0,-0.05448701249999981,4
2018-03-12,3,-0.04332719624999986,1
2018-03-13,13,-0.0358923380156249,4
2018-03-14,13,1.9694137549640627,3
2018-03-15,8,-0.21913662603125011,0
2018-03-16,6,-0.10679770507187503,2
2018-03-17,1,-0.057000000000000044,6
2018-03-18,0,-0.04132499999999985,5
2018-03-19,8,1.9677665000000002,11
2018-03-20,103,-0.2263240250000001,8
2018-03-21,4,-0.1121873925,7
2018-03-22,15,-0.07613662603124999,4
2018-03-23,2,1.941877294928125,2
2018-03-24,0,-0.23223350000000006,6
2018-03-25,1,-0.11632402499999998,0
2018-03-26,0,-0.07918739249999998,4
2018-03-27,2,0.9395383739687502,2
2018-03-28,1,-0.14903120507187495,0
2018-03-29,1,2.928675975,1
2018-03-30,1,-0.35068739250000025,0
2018-03-31,2,-0.17479912603124997,1
2018-04-01,0,-0.11841445507187497,0
2018-04-02,3,-0.07514951249999974,3
2018-04-03,3,-0.05944394624999981,5
2018-04-04,1,-0.04905435051562486,7
2018-04-05,9,-0.04167994128593738,2
2018-04-06,5,-0.028704939046874926,2
2018-04-07,1,-0.025196557607812434,0
2018-04-08,0,4.0,4
2018-04-09,9,-0.40000000000000036,1
2018-04-10,2,0.8199999999999998,9
2018-04-11,10,-0.2140000000000002,13
2018-04-12,3,-0.12764999999999974,15
2018-04-13,8,-0.09296699999999981,29
2018-04-14,4,-0.07331054999999977,16
2018-04-15,7,-0.06049153499999982,9
2018-04-16,14,-0.05143526456249986,8
2018-04-17,3,-0.04468910639374988,17
2018-04-18,4,1.990431686984375,14
2018-04-19,30,-0.20839885253593765,6
2018-04-20,17,0.9099999999999999,2
2018-04-21,0,-0.15700000000000014,1
2018-04-22,1,-0.08632499999999987,0
2018-04-23,2,-0.06073349999999991,2
2018-04-24,2,-0.04698652499999985,3
2018-04-25,4,1.9616958575,1
2018-04-26,7,0.7677013614687499,9
2018-04-27,2,1.7821085986781249,2
2018-04-28,1,2.6884316869843747,4
2018-04-29,0,-0.4682238525359377,3
2018-04-30,17,-0.24489599999999995,7
2018-05-01,11,-0.16926577499999979,5
2018-05-02,8,0.8704295950000005,9
2018-05-03,14,-0.20490459728124977,12
2018-05-04,13,-0.1330394480874998,22
2018-05-05,2,-0.08931656731718736,5
2018-05-06,0,-0.0661651441187498,28
2018-05-07,6,-0.04131330760781238,42
2018-05-08,3,-0.01316201249999996,4
2018-05-09,1,-0.011093696249999967,9
2018-05-10,9,1.990431686984375,2
2018-05-11,12,-0.20839885253593765,7
2018-05-12,5,-0.09000000000000007,8
2018-05-13,0,-0.057000000000000044,3
2018-05-14,11,1.9586750000000002,9
2018-05-15,18,-0.23223350000000006,21
2018-05-16,11,-0.11632402499999998,9
2018-05-17,3,-0.07918739249999998,9
2018-05-18,12,1.9395383739687502,16
2018-05-19,0,-0.24903120507187504,1
2018-05-20,0,-0.11632402499999998,4
2018-05-21,15,-0.07918739249999998,7
2018-05-22,3,0.9395383739687502,4
2018-05-23,14,3.850968794928125,7
2018-05-24,13,-0.4713240250000003,14
2018-05-25,6,-0.2306873925000001,11
2018-05-26,0,-0.15379912603124996,4
2018-05-27,0,-0.1155644550718746,22
2018-05-28,1,-0.07762901249999975,13
2018-05-29,24,-0.06374174624999981,12
2018-05-30,2,2.946056901984375,4
2018-05-31,2,-0.34667210459843767,12
2018-06-01,2,-0.16859541014375,10
2018-06-02,1,-0.08550000000000006,4
2018-06-03,1,-0.06198749999999977,0
2018-06-04,0,0.9516497500000002,5
2018-06-05,0,1.8605139625,11
2018-06-06,0,-0.2782810887500001,18
2018-06-07,2,-0.147204939046875,8
2018-06-08,0,1.8971409423921877,3
2018-06-09,0,-0.25744174999999997,4
2018-06-10,1,-0.13539551249999993,10
2018-06-11,2,-0.09441772124999993,2
2018-06-12,1,-0.07308070551562476,1
2018-06-13,2,-0.059768978567187325,8
2018-06-14,5,5.956878269928125,8
2018-06-15,2,-0.6221873925000004,1
2018-06-16,5,0.7108633739687499,7
2018-06-17,7,0.7122022949281248,17
2018-06-18,16,-0.26897499999999963,4
2018-06-19,234,-0.17020049999999975,9
2018-06-20,16,-0.12813457499999972,20
2018-06-21,12,0.8966585725000004,8
2018-06-22,11,-0.18668864059374984,16
2018-06-23,1,-0.11964882396562482,8
2018-06-24,0,0.950837990734375,2
2018-06-25,1,1.8613703344484376,11
2018-06-26,8,-0.26951560253593765,16
2018-06-27,12,-0.13166201250000004,5
2018-06-28,7,1.9112438037500001,9
2018-06-29,8,-0.26701006301562497,30
2018-06-30,1,-0.1437943650359374,12
2018-07-01,0,-0.09441772124999993,0
2018-07-02,1,0.9269192944843753,3
2018-07-03,3,-0.15976897856718741,19
2018-07-04,0,-0.0881217300718749,8
2018-07-05,1,0.9493126075,4
2018-07-06,9,-0.13979912603124997,3
2018-07-07,0,-0.07791445507187494,5
2018-07-08,0,-0.041662012499999984,1
2018-07-09,4,1.96824380375,8
2018-07-10,13,-0.2256850630156251,8
2018-07-11,15,0.8884391349640625,3
2018-07-12,16,3.83190630375,0
2018-07-13,11,-0.4958933130156252,0
2018-07-14,1,-0.24913235253593752,2
2018-07-15,1,-0.16098652499999994,1
2018-07-16,11,-0.12095414249999958,2
2018-07-17,13,1.9032343614687504,6
2018-07-18,7,-0.28053945132187497,13
2018-07-19,11,-0.1439430980156249,25
2018-07-20,12,-0.10367210459843743,35
2018-07-21,1,-0.07492041014374975,12
2018-07-22,0,-0.032233499999999894,7
2018-07-23,3,0.973675975,7
2018-07-24,4,-0.12218739250000002,3
2018-07-25,13,1.93586337396875,5
2018-07-26,5,-0.24529770507187515,12
2018-07-27,6,0.8893375,3
2018-07-28,0,-0.1731167500000001,1
2018-07-29,0,-0.09948701249999983,0
2018-07-30,13,-0.07182719624999988,2
2018-07-31,7,-0.056554838015624824,2
2018-08-01,8,-0.04670299503593736,10
2018-08-02,1,1.9677013614687502,6
2018-08-03,9,-0.2278914013218751,12
2018-08-04,1,-0.09956831301562505,0
2018-08-05,0,-0.06539885253593752,4
2018-08-06,1,-0.04132499999999985,1
2018-08-07,1,-0.032233499999999894,0
2018-08-08,3,-0.02632402499999992,0
2018-08-09,4,-0.022187392499999934,0
2018-08-10,8,-0.01913662603124995,0
2018-08-11,2,0.983202294928125,2
2018-08-12,3,-0.10000000000000009,1
2018-08-13,8,0.955,18
2018-08-14,8,-0.12850000000000011,13
2018-08-15,7,-0.06566249999999996,3
2018-08-16,26,2.95538325,8
2018-08-17,21,-0.33382451250000017,9
2018-08-18,2,0.83778955375,5
2018-08-19,8,-0.2082303255156251,1
2018-08-20,6,1.8735199512140628,4
2018-08-21,11,-0.286418563015625,2
2018-08-22,4,-0.15854739003593737,5
2018-08-23,5,-0.10639783874999989,0
2018-08-24,10,-0.08319195154687473,2
2018-08-25,1,6.9314762461421875,6
2018-08-26,2,-0.7358923380156255,2
2018-08-27,8,0.6544137549640623,7
2018-08-28,9,0.6813633739687498,5
2018-08-29,7,-0.30643520507187455,4
2018-08-30,1,1.8136827500000003,4
2018-08-31,10,3.6587034125,1
2018-09-01,2,-0.6044351237500001,10
2018-09-02,1,-0.3332569536093749,8
2018-09-03,2,0.7616273234984378,7
2018-09-04,5,0.7644544907343753,6
2018-09-05,7,2.7462418094484375,13
2018-09-06,6,-0.45673429503593754,31
2018-09-07,7,-0.24767391103124986,15
2018-09-08,1,-0.17735020713437477,35
2018-09-09,5,-0.12486167264374959,13
2018-09-10,8,-0.07260595874999977,7
2018-09-11,53,2.939851953234375,9
2018-09-12,19,1.6487517456984373,15
2018-09-13,15,-0.3721037915828127,10
2018-09-14,15,-0.20069655760781258,9
2018-09-15,4,-0.11898749999999982,15
2018-09-16,1,-0.08967524999999969,16
2018-09-17,4,-0.07171953749999978,2
2018-09-18,7,1.9403948862500002,6
2018-09-19,15,0.7491076684531249,0
2018-09-20,15,-0.23433318363906253,0
2018-09-21,17,-0.11879770507187504,1
2018-09-22,2,-0.06982499999999987,0
2018-09-23,1,-0.05289599999999982,19
2018-09-24,7,-0.04244077499999987,24
2018-09-25,7,5.964650595,1
2018-09-26,7,1.3697696777187496,5
2018-09-27,8,0.5036339819124998,6
2018-09-28,37,1.6306011474640623,7
2018-09-29,25,-0.42597499999999977,5
2018-09-30,1,-0.25652549999999963,2
2018-10-01,8,-0.18886807499999964,10
2018-10-02,12,-0.15032795249999953,11
2018-10-03,61,2.8750072169062504,13
2018-10-04,22,0.593052537503125,42
2018-10-05,15,-0.28355341058750005,2
2018-10-06,8,-0.15803547856718753,4
2018-10-07,1,-0.10728520507187475,9
2018-10-08,4,-0.06901274999999976,10
2018-10-09,93,-0.055602787499999834,18
2018-10-10,30,-0.04644310124999986,10
2018-10-11,10,0.9602013647031251,13
2018-10-12,6,1.8652351293765626,7
2018-10-13,7,-0.2533988525359377,4
2018-10-14,2,0.8815,0
2018-10-15,1,1.8223375,9
2018-10-16,6,3.69755825,17
2018-10-17,8,2.4361044874999997,17
2018-10-18,9,0.40491977874999974,12
2018-10-19,14,1.561802544484375,1
2018-10-20,0,-0.4860809910671873,2
2018-10-21,1,-0.2991699263218745,36
2018-10-22,6,0.7895834944843754,15
2018-10-23,8,0.7311619489328129,30
2018-10-24,9,2.721252441615625,17
2018-10-25,7,1.526781929559375,12
2018-10-26,5,-0.44111476312343756,57
2018-10-27,0,2.7601852714328126,15
2018-10-28,0,-0.46506396757187496,28
2018-10-29,4,0.7510690412500003,56
2018-10-30,5,0.7221184532343752,22
2018-10-31,8,-0.2845597793015622,9
2018-11-01,4,1.8188585659171879,0
2018-11-02,3,0.6670182788609376,20
2018-11-03,0,0.7231419561781252,4
2018-11-04,0,-0.259983701546875,3
2018-11-05,6,1.8357227336421877,5
2018-11-06,9,-0.302058009265625,9
2018-11-07,4,0.8289295594484377,14
2018-11-08,14,1.7831349924640625,16
2018-11-09,5,-0.3297173347812499,7
2018-11-10,3,1.8118067856625002,8
2018-11-11,0,-0.32195369055156253,9
2018-11-12,6,1.8219720049640626,8
2018-11-13,3,0.6784678614687499,3
2018-11-14,6,-0.2855404263218748,18
2018-11-15,3,2.8340107944843753,6
2018-11-16,1,3.5763154964328123,8
2018-11-17,1,10.373118902428125,20
2018-11-18,0,0.572922598968749,10
2018-11-19,7,-0.9231346100718753,29
2018-11-20,8,0.4352694277187502,9
2018-11-21,8,2.485393444412501,2
2018-11-22,1,1.3420627587140632,6
2018-11-23,0,-0.6135953615468746,6
2018-11-24,0,-0.40798699342031197,8
2018-11-25,1,3.703861504184376,7
2018-11-26,3,1.3856387335734377,5
2018-11-27,9,-0.479610938821875,4
2018-11-28,12,2.726826573234375,10
2018-11-29,6,3.5010588159171876,2
2018-11-30,7,2.3148748163609376,7
2018-12-01,1,1.3328207449281249,17
2018-12-02,1,0.41831369000000007,5
2018-12-03,72,-0.4669608945624996,0
2018-12-04,11,-0.3206725736749994,4
2018-12-05,8,2.7790979061781256,7
2018-12-06,3,-0.46546176154687474,6
2018-12-07,2,-0.2741916734203122,8
2018-12-08,0,-0.1831497541906248,10
2018-12-09,0,3.882585620110938,9
2018-12-10,5,0.5252837319124999,15
2018-12-11,6,2.6721151099640625,2
2018-12-12,3,-0.4922810887500003,1
2018-12-13,5,0.7251450609531253,4
2018-12-14,5,1.7041739423921878,1
2018-12-15,0,-0.3757522999999998,1
2018-12-16,0,-0.22438704749999977,2
2018-12-17,5,-0.16651548581249973,2
2018-12-18,5,1.8661134380906255,0
2018-12-19,7,1.7175006959171877,0
2018-12-20,4,0.6473857211421874,1
2018-12-21,1,3.721244294484375,8
2018-12-22,1,3.429139521432812,0
2018-12-23,0,1.3011437949281248,0
2018-12-24,0,3.4267799749999996,0
2018-12-25,0,-0.7512781675,0
2018-12-26,0,1.5613969689687504,0
2018-12-27,0,4.480531922646875,1
2018-12-28,1,3.1717276469125,3
2018-12-29,0,1.1361620854015624,5
2018-12-30,0,-0.7105291047062499,2
2018-12-31,0,-0.43665282117499943,4
2019-01-01,0,-0.30162873213437424,0
2019-01-02,2,2.7726151348562507,1
2019-01-03,4,3.54051334271875,3
2019-01-04,11,3.32966191985,0
2019-01-05,2,0.23204509275781227,4
2019-01-06,0,2.491280463825,4
2019-01-07,11,0.39320204492812505,0
2019-01-08,10,3.5498969625000005,2
2019-01-09,8,1.29844136125,13
2019-01-10,11,4.387667975953125,17
2019-01-11,8,-0.8940193571703126,5
2019-01-12,5,0.4967848540437505,5
2019-01-13,0,1.5621011755906253,4
2019-01-14,1,0.518608462167188,4
2019-01-15,4,1.5954525693765629,8
2019-01-16,3,7.542667940401563,21
2019-01-17,5,0.9158577325749997,18
2019-01-18,11,1.2523027173499999,25
2019-01-19,0,4.345146266070312,12
2019-01-20,2,-0.8894512180156247,2
2019-01-21,5,2.482787800182813,4
2019-01-22,74,1.3300919894125003,0
2019-01-23,6,0.3868449264328131,7
2019-01-24,4,-0.4979393766968746,9
2019-01-25,5,1.6616875986812507,5
2019-01-26,1,-0.40957806235312466,7
2019-01-27,0,-0.24702130764999958,2
2019-01-28,2,-0.1747161264296872,0
2019-01-29,5,0.8946206559531253,4
2019-01-30,8,-0.18766037988906234,3
2019-01-31,10,3.9023099569125,2
2019-02-01,7,-0.45908624503593776,8
2019-02-02,0,-0.21979912603125001,1
2019-02-03,0,-0.146914455071875,1
2019-02-04,7,-0.09581201249999965,1
2019-02-05,11,-0.07556069624999975,0
2019-02-06,17,-0.06221636301562482,0
2019-02-07,10,0.9472263624640627,4
2019-02-08,13,1.8617267479375,0
2019-02-09,1,-0.2785954101437501,4
2019-02-10,1,-0.11850000000000009,6
2019-02-11,16,-0.07766249999999997,2
2019-02-12,11,-0.05744174999999979,4
2019-02-13,14,-0.04539551249999985,7
2019-02-14,67,0.9625822787500001,7
2019-02-15,5,0.868244294484375,15
2019-02-16,2,-0.17253547856718754,0
2019-02-17,1,-0.09029770507187501,9
2019-02-18,5,1.9508375,4
2019-02-19,6,0.7632207499999999,18
2019-02-20,2,-0.21927876250000006,6
2019-02-21,3,0.87374429125,13
2019-02-22,0,-0.1904870092656249,11
2019-02-23,2,-0.11586316555156231,4
2019-02-24,0,-0.07933962753593737,0
2019-02-25,3,1.9439880950000001,1
2019-02-26,12,-0.24634707228125002,10
2019-02-27,11,0.8704719694125,2
2019-02-28,4,0.8235074512140624,3
2019-03-01,5,3.804106686984375,11
2019-03-02,1,0.4858676474640622,16
2019-03-03,0,-0.3554865250000001,0
2019-03-04,1,1.7820333575,7
