,kubernetes/kubernetes,docker-archive/classicswarm,hashicorp/nomad
2015-09-01,70,11,9
2015-09-02,65,3,1
2015-09-03,61,7,6
2015-09-04,68,1,6
2015-09-05,8,1,0
2015-09-06,7,0,29
2015-09-07,19,1,37
2015-09-08,49,2,16
2015-09-09,59,3,15
2015-09-10,77,3,20
2015-09-11,72,2,22
2015-09-12,34,0,22
2015-09-13,13,0,22
2015-09-14,44,1,44
2015-09-15,66,1,42
2015-09-16,73,2,10
2015-09-17,93,3,7
2015-09-18,64,7,5
2015-09-19,32,2,17
2015-09-20,6,0,33
2015-09-21,64,0,31
2015-09-22,69,2,83
2015-09-23,68,5,89
2015-09-24,64,3,53
2015-09-25,85,3,53
2015-09-26,33,0,33
2015-09-27,2,0,23
2015-09-28,35,0,48
2015-09-29,52,7,26
2015-09-30,98,5,7
2015-10-01,72,3,11
2015-10-02,94,5,21
2015-10-03,17,0,16
2015-10-04,6,0,5
2015-10-05,88,2,10
2015-10-06,66,2,31
2015-10-07,79,5,15
2015-10-08,81,7,21
2015-10-09,91,22,14
2015-10-10,47,2,21
2015-10-11,3,1,34
2015-10-12,95,4,23
2015-10-13,74,8,11
2015-10-14,61,9,3
2015-10-15,77,6,9
2015-10-16,75,3,22
2015-10-17,25,3,9
2015-10-18,12,3,0
2015-10-19,60,10,9
2015-10-20,56,2,5
2015-10-21,72,6,4
2015-10-22,52,7,14
2015-10-23,53,7,15
2015-10-24,34,0,2
2015-10-25,10,0,9
2015-10-26,44,2,22
2015-10-27,66,1,6
2015-10-28,32,9,26
2015-10-29,66,1,40
2015-10-30,56,6,11
2015-10-31,10,1,4
2015-11-01,4,1,0
2015-11-02,51,2,11
2015-11-03,69,8,12
2015-11-04,50,2,5
2015-11-05,53,2,27
2015-11-06,49,0,30
2015-11-07,27,0,4
2015-11-08,4,0,0
2015-11-09,32,1,7
2015-11-10,48,1,10
2015-11-11,51,2,16
2015-11-12,130,0,5
2015-11-13,58,0,6
2015-11-14,11,1,0
2015-11-15,4,1,0
2015-11-16,42,0,34
2015-11-17,58,0,53
2015-11-18,56,4,118
2015-11-19,63,2,34
2015-11-20,49,0,19
2015-11-21,25,1,10
2015-11-22,8,2,4
2015-11-23,68,5,7
2015-11-24,57,2,28
2015-11-25,96,10,38
2015-11-26,36,5,19
2015-11-27,24,0,9
2015-11-28,7,1,3
2015-11-29,4,1,1
2015-11-30,38,4,10
2015-12-01,69,2,14
2015-12-02,55,6,9
2015-12-03,84,12,12
2015-12-04,41,9,4
2015-12-05,31,3,4
2015-12-06,11,4,0
2015-12-07,47,7,1
2015-12-08,42,12,5
2015-12-09,67,9,19
2015-12-10,76,1,13
2015-12-11,56,9,38
2015-12-12,13,3,4
2015-12-13,8,1,0
2015-12-14,65,11,13
2015-12-15,66,6,15
2015-12-16,71,10,10
2015-12-17,71,4,11
2015-12-18,70,5,26
2015-12-19,30,0,2
2015-12-20,17,0,6
2015-12-21,31,0,12
2015-12-22,58,4,18
2015-12-23,31,0,1
2015-12-24,8,0,36
2015-12-25,1,0,1
2015-12-26,2,0,0
2015-12-27,2,0,0
2015-12-28,29,0,5
2015-12-29,30,3,2
2015-12-30,29,1,0
2015-12-31,6,0,0
2016-01-01,5,0,0
2016-01-02,9,0,0
2016-01-03,9,0,0
2016-01-04,24,5,7
2016-01-05,48,14,10
2016-01-06,39,6,7
2016-01-07,42,8,12
2016-01-08,41,5,9
2016-01-09,7,0,0
2016-01-10,7,0,2
2016-01-11,31,6,4
2016-01-12,64,13,10
2016-01-13,49,9,12
2016-01-14,71,12,30
2016-01-15,45,2,9
2016-01-16,24,4,0
2016-01-17,14,4,3
2016-01-18,19,2,0
2016-01-19,15,3,11
2016-01-20,49,2,3
2016-01-21,102,5,22
2016-01-22,84,2,11
2016-01-23,17,4,0
2016-01-24,16,1,2
2016-01-25,47,2,2
2016-01-26,65,4,14
2016-01-27,53,8,37
2016-01-28,65,13,12
2016-01-29,75,13,19
2016-01-30,67,2,1
2016-01-31,25,2,6
2016-02-01,69,15,14
2016-02-02,74,10,17
2016-02-03,80,18,14
2016-02-04,65,16,22
