,facebook/docusaurus,docsifyjs/docsify,mkdocs/mkdocs
2021-10-07,7.0,0,1
2021-10-08,1.2999999999999994,0,1
2021-10-09,0.48499999999999965,0,0
2021-10-10,0.6104999999999997,0,2
2021-10-11,-0.34663749999999965,0,8
2021-10-12,1.7723577500000005,1,5
2021-10-13,1.6264699125000002,0,2
2021-10-14,6.56924085125,0,0
2021-10-15,5.034555653890624,2,0
2021-10-16,0.8844906974671871,0,0
2021-10-17,-0.7805182143375002,1,0
2021-10-18,-0.48216219055156195,0,0
2021-10-19,3.6492974799640634,0,0
2021-10-20,10.328516393968751,0,0
2021-10-21,9.495204220146874,0,0
2021-10-22,-1.885662098681251,2,0
2021-10-23,-1.0295392383453124,0,0
2021-10-24,-0.674784241246874,0,1
2021-10-25,0.5259824949281267,0,0
2021-10-26,0.533558827500001,0,2
2021-10-27,6.5499139516875005,0,0
2021-10-28,3.9656224879343753,0,1
2021-10-29,12.938198678932812,0,0
2021-10-30,3.0463333721046864,0,0
2021-10-31,0.5535837374999997,0,0
2021-11-01,1.93561454125,0,1
2021-11-02,3.9848451532343763,0,0
2021-11-03,1.8176198981984384,0,0
2021-11-04,5.952477550104689,0,1
2021-11-05,1.6005236571703128,0,1
2021-11-06,-0.10990590114843668,0,0
2021-11-07,3.195829819418751,0,3
2021-11-08,5.116290210039063,0,0
2021-11-09,1.8762380871312503,0,0
2021-11-10,4.048533951064063,0,0
2021-11-11,0.9073921370234377,0,0
2021-11-12,5.162440150032813,0,0
2021-11-13,-1.1424266530484373,0,1
2021-11-14,2.363225519376563,0,0
2021-11-15,5.254370930401563,0,0
2021-11-16,1.9186950605125004,0,1
2021-11-17,0.08690893948750023,0,0
2021-11-18,4.357814909814063,0,0
2021-11-19,2.069481683789063,1,0
2021-11-20,3.1741183793343755,0,2
2021-11-21,1.0908409710343752,0,0
2021-11-22,0.28031759595312544,0,0
2021-11-23,1.424379213048438,0,0
2021-11-24,3.4109979369875005,1,0
2021-11-25,1.2459886106265627,0,0
2021-11-26,1.3679344436359377,0,0
2021-11-27,3.397160238273438,0,0
2021-11-28,-0.7607027146703123,0,1
2021-11-29,1.5670582425750004,0,0
2021-11-30,0.5112400394125003,0,0
2021-12-01,0.5968822114328131,0,0
2021-12-02,1.6299506253656253,0,0
2021-12-03,3.557607521325,0,0
2021-12-04,0.3482948838968749,0,0
2021-12-05,1.5448257678656252,0,0
2021-12-06,0.5146134348562501,1,0
2021-12-07,3.6232241652187502,0,0
2021-12-08,9.3490867606625,1,0
2021-12-09,0.641255641948437,5,0
2021-12-10,5.098031723932812,4,2
2021-12-11,2.833744571615625,0,1
2021-12-12,-1.0766051281593745,0,0
2021-12-13,0.35523027518281314,0,1
2021-12-14,-0.5725694280874991,0,0
2021-12-15,0.5917164079015637,0,0
2021-12-16,1.5765949922000009,0,0
2021-12-17,7.512002121109376,0,0
2021-12-18,3.9468008818343745,0,0
2021-12-19,0.9605091202218747,0,0
2021-12-20,5.24486914360625,0,0
2021-12-21,9.947236174484376,1,0
2021-12-22,4.294936926214062,0,0
2021-12-23,1.4750394444843749,0,0
2021-12-24,2.778196388932813,0,0
2021-12-25,3.794875284553126,0,0
2021-12-26,1.717048897134376,0,0
2021-12-27,0.9298367962890635,0,0
2021-12-28,6.116289433084376,0,0
2021-12-29,2.6950277266125005,0,0
2021-12-30,3.8497023552609377,0,5
2021-12-31,0.8415418482375001,0,0
2022-01-01,-0.8742953284203119,0,0
2022-01-02,1.430990661028126,0,0
2022-01-03,-0.6098001817265616,0,0
2022-01-04,-0.38654585738906166,3,0
2022-01-05,4.716805756318751,0,0
2022-01-06,9.279817273935938,3,2
2022-01-07,8.639142132278124,0,0
2022-01-08,0.32004508628906136,0,1
2022-01-09,1.9227024024281247,0,0
2022-01-10,3.0186546239687506,0,0
2022-01-11,-0.042400267571873984,0,0
2022-01-12,3.244918893750001,0,0
2022-01-13,5.056380347421876,1,0
2022-01-14,6.785561369664063,1,0
2022-01-15,3.4895254144843753,0,0
2022-01-16,4.681178959859375,0,0
2022-01-17,2.65551855838125,1,0
2022-01-18,1.7982879440796882,0,0
2022-01-19,7.950242916840626,0,0
2022-01-20,11.427910867901563,0,0
2022-01-21,-0.21541542073750009,0,0
2022-01-22,5.570665324409376,0,0
2022-01-23,6.370944637134375,1,1
2022-01-24,2.2310717867265635,1,0
2022-01-25,3.5492516814718758,0,1
2022-01-26,6.581879222059376,1,0
2022-01-27,11.301029299001563,0,1
2022-01-28,3.671616777973438,0,0
2022-01-29,6.1079468172515625,0,0
2022-01-30,1.0884427338187503,0,0
2022-01-31,1.5259301806234389,1,0
2022-02-01,0.7372785964000013,0,0
2022-02-02,9.976206792278127,1,0
2022-02-03,3.191847606945313,1,0
2022-02-04,5.474225083009376,1,0
2022-02-05,4.376994181439063,1,0
2022-02-06,-1.5167277455906243,0,0
2022-02-07,2.0944023769156264,0,0
2022-02-08,1.0829077233453135,0,0
2022-02-09,1.1960338451109387,0,0
2022-02-10,3.2581477830062506,0,0
2022-02-11,5.094155608276563,0,0
2022-02-12,1.8977901187109376,0,0
2022-02-13,0.08675361665468762,0,0
2022-02-14,4.369118271034376,0,0
2022-02-15,4.1038416434531255,0,0
2022-02-16,3.968643373860938,0,0
2022-02-17,7.904206058896875,0,0
2022-02-18,0.4519515778656249,0,0
2022-02-19,0.9311553605125005,0,0
2022-02-20,3.1136019369875005,0,0
2022-02-21,1.0304103356265635,0,0
2022-02-22,0.19910528863593824,0,0
2022-02-23,7.358679078492188,0,0
2022-02-24,3.7671133809921877,1,0
2022-02-25,5.829087502679688,0,0
2022-02-26,1.6245422586453122,0,1
2022-02-27,1.9544501088968753,0,0
2022-02-28,0.04283313786562559,0,0
2022-03-01,0.28515691757500106,0,0
2022-03-02,10.4137695994125,0,1
2022-03-03,8.483614324589063,0,0
2022-03-04,2.1753129533843745,0,0
2022-03-05,3.617981169960937,0,0
2022-03-06,5.657655741951563,1,0
2022-03-07,2.498933544595313,0,0
2022-03-08,3.7080417956265634,2,0
2022-03-09,3.681102550698438,0,0
2022-03-10,5.6585434417921885,0,0
2022-03-11,0.4387773944484381,0,0
2022-03-12,2.904856153828126,0,0
2022-03-13,1.9148628510281256,0,0
2022-03-14,5.018621448710938,0,0
2022-03-15,1.778513986435938,2,0
2022-03-16,3.0005769560281257,1,0
2022-03-17,2.973729773492188,0,0
2022-03-18,3.978366853710938,1,0
2022-03-19,1.8855225837171878,2,0
2022-03-20,0.06267562911562541,0,0
2022-03-21,5.307034435809376,0,0
2022-03-22,3.9331849255484377,0,0
2022-03-23,1.8828078607375005,1,0
2022-03-24,8.061332592829688,0,0
2022-03-25,15.51558506904375,0,3
2022-03-26,4.481606923528124,0,13
2022-03-27,4.975163777023437,0,0
2022-03-28,5.099050139376563,0,0
2022-03-29,4.128423500620314,0,0
2022-03-30,4.216903868456251,0,0
2022-03-31,2.278748569523439,1,1
2022-04-01,-0.4904930484984362,0,0
2022-04-02,-0.09583320533906092,0,0
2022-04-03,0.1407758545296891,0,0
2022-04-04,0.36475139238906384,0,0
2022-04-05,0.4700660886390634,0,0
2022-04-06,1.554308676654688,0,0
2022-04-07,13.524380959190625,0,0
2022-04-08,2.331798673971874,0,0
2022-04-09,6.808801318090625,0,0
2022-04-10,0.5213353756984367,0,0
2022-04-11,0.9622686256984383,0,0
2022-04-12,1.1183306131984383,0,0
2022-04-13,4.198810266948438,0,0
2022-04-14,3.9472457239328134,0,0
2022-04-15,2.8440165277093756,0,0
2022-04-16,-0.11198928256562457,0,0
2022-04-17,5.28330066823125,0,0
2022-04-18,-0.07773511381874965,0,0
2022-04-19,0.3143344638968756,0,0
2022-04-20,3.4416576251468753,0,0
2022-04-21,6.2136524486,0,0
2022-04-22,5.826764374742187,0,0
2022-04-23,-0.33611253599218793,0,0
2022-04-24,1.1638453368406252,0,0
2022-04-25,0.2563310606203131,0,0
2022-04-26,1.400342075518751,0,0
2022-04-27,2.4100442119484384,0,0
2022-04-28,2.307596184151563,0,0
2022-04-29,13.263712512496875,0,0
2022-04-30,4.158870369889062,0,0
2022-05-01,-1.513430685767188,0,0
2022-05-02,3.1557090501828124,0,0
2022-05-03,5.003335301912501,0,0
2022-05-04,22.77008789518281,0,0
2022-05-05,8.856247592131249,0,0
2022-05-06,0.17816468084531145,0,0
2022-05-07,4.061842882673437,0,0
2022-05-08,2.102757636403127,0,0
2022-05-09,-1.563991975215623,0,0
2022-05-10,0.9728877704375019,0,0
2022-05-11,2.9984766017625017,0,0
2022-05-12,3.8780064799093763,0,0
2022-05-13,-1.2301123807999992,0,0
2022-05-14,4.370973603021875,0,0
2022-05-15,0.11563527929843775,0,0
2022-05-16,3.3922301077218755,0,0
2022-05-17,4.22348539735625,0,2
2022-05-18,4.05886602646875,0,0
2022-05-19,-1.0507856883843751,0,0
2022-05-20,1.3864862122781254,0,0
2022-05-21,1.3790957435703133,0,0
2022-05-22,3.4145204386718757,0,0
2022-05-23,3.210668826804688,1,0
2022-05-24,1.1537243516515625,0,0
2022-05-25,4.295536043528125,0,0
2022-05-26,9.064956647242187,0,0
2022-05-27,8.480377319820313,0,0
2022-05-28,1.2077359314687492,0,0
2022-05-29,-0.3035031661031249,0,0
2022-05-30,0.06702148286562604,0,0
2022-05-31,-0.7581586172062484,0,0
2022-06-01,5.463524357575001,0,0
2022-06-02,6.995290892350001,0,0
2022-06-03,2.605120357164062,1,0
2022-06-04,0.8267684932343748,1,0
2022-06-05,2.1310758268437504,0,0
2022-06-06,1.188140933126563,0,0
2022-06-07,0.2994767594484382,1,0
2022-06-08,0.43845086996406324,0,0
2022-06-09,2.5049715019062506,0,0
2022-06-10,0.3391863206593755,0,0
2022-06-11,2.5164664976500006,0,0
2022-06-12,-0.5796163999249999,0,0
2022-06-13,0.6775437008812504,0,0
2022-06-14,1.6768983576109378,0,0
2022-06-15,6.599949998162501,0,0
2022-06-16,4.068739483198437,0,0
2022-06-17,4.019653974667187,0,0
2022-06-18,0.950012290626562,0,0
2022-06-19,-0.7946368040828122,0,0
2022-06-20,-0.5112440288578117,0,0
2022-06-21,0.635213956984376,0,0
2022-06-22,3.6070898351828133,0,0
2022-06-23,4.31771206006875,0,0
2022-06-24,6.103073960920312,0,0
2022-06-25,0.828314279742187,0,0
2022-06-26,-0.8173976387109374,0,0
2022-06-27,2.5127607824281255,0,0
2022-06-28,1.3540370037500007,0,0
2022-06-29,0.39110458948437565,0,0
2022-06-30,-0.5020081733484371,0,0
2022-07-01,4.650595626028125,0,0
2022-07-02,-0.7493350962890624,0,0
2022-07-03,0.6046893687171878,0,0
2022-07-04,1.664980431178125,0,0
2022-07-05,-0.4123668440468746,0,0
2022-07-06,5.7454893701109375,0,0
2022-07-07,2.2301614194124997,0,0
2022-07-08,5.308690916214062,0,0
2022-07-09,1.0007629224218744,0,0
2022-07-10,-0.7588869839296872,0,0
2022-07-11,5.548556294484375,0,0
2022-07-12,2.0641671964328125,0,0
2022-07-13,1.1691285799281252,0,0
2022-07-14,7.29210345815625,0,0
2022-07-15,0.7285407432375002,0,0
2022-07-16,-0.8804818282015622,0,0
2022-07-17,1.4438229337531254,0,0
2022-07-18,0.42262057992812585,0,2
2022-07-19,0.5227260081562508,0,4
2022-07-20,2.5591849532375006,0,0
2022-07-21,-0.5742317786390623,0,0
2022-07-22,-0.33192760169687463,0,0
2022-07-23,0.7650692786812503,0,0
2022-07-24,-0.23025136007187466,0,0
2022-07-25,1.8632574152187502,0,0
2022-07-26,-0.3054457518375,0,0
2022-07-27,-0.16191075430156235,0,0
2022-07-28,0.8897794584171876,0,0
2022-07-29,-0.17968357010781233,0,0
2022-07-30,-0.08832719624999989,0,0
2022-07-31,0.9356076619843751,0,0
2022-08-01,10.848751254964062,0,1
2022-08-02,1.819746623968749,1,0
2022-08-03,0.14654028242812445,1,1
2022-08-04,-0.5802561962500002,0,0
2022-08-05,0.6165274369843758,0,0
2022-08-06,0.6106673849640633,0,2
2022-08-07,0.6301114162500006,0,8
2022-08-08,2.6392982407343752,0,6
2022-08-09,3.4457441030421876,0,1
2022-08-10,-0.7324652631921875,0,1
2022-08-11,1.6497938668765626,0,0
2022-08-12,2.5752411887140627,0,0
2022-08-13,-0.5548242717656248,0,4
2022-08-14,-0.3250138993015622,0,3
2022-08-15,-0.23072130430156212,0,8
2022-08-16,1.824300423417188,0,0
2022-08-17,1.6618559153296877,0,3
2022-08-18,3.61473115985625,0,0
2022-08-19,0.4005822852187497,0,1
2022-08-20,-0.42382764411874996,0,2
2022-08-21,-0.2577550576078123,0,7
2022-08-22,-0.16970752499999953,0,2
2022-08-23,-0.13364091749999957,0,13
2022-08-24,1.8899111814687504,0,1
2022-08-25,1.7065288713968751,0,0
2022-08-26,0.6438353466156249,0,0
2022-08-27,-0.2901637231593751,0,0
2022-08-28,-0.1517238525359374,0,0
2022-08-29,-0.10205849999999977,0,0
