,rust-lang/rust,nim-lang/Nim,golang/go
2010-09-16,16,1,14
2010-09-17,0,0,3
2010-09-18,0,0,2
2010-09-19,0,2,3
2010-09-20,1,2,16
2010-09-21,12,1,5
2010-09-22,8,0,17
2010-09-23,4,0,12
2010-09-24,8,0,29
2010-09-25,0,0,2
2010-09-26,0,0,0
2010-09-27,3,0,12
2010-09-28,5,0,10
2010-09-29,1,0,14
2010-09-30,5,0,16
2010-10-01,2,0,5
2010-10-02,1,0,0
2010-10-03,0,0,1
2010-10-04,1,0,3
2010-10-05,2,0,2
2010-10-06,5,0,13
2010-10-07,3,0,13
2010-10-08,6,0,2
2010-10-09,9,0,1
2010-10-10,2,0,0
2010-10-11,2,0,11
2010-10-12,11,0,16
2010-10-13,7,0,9
2010-10-14,8,0,10
2010-10-15,2,0,10
2010-10-16,1,0,2
2010-10-17,0,0,4
2010-10-18,9,0,14
2010-10-19,5,0,7
2010-10-20,4,2,17
2010-10-21,15,0,17
2010-10-22,12,0,12
2010-10-23,8,7,0
2010-10-24,0,0,1
2010-10-25,0,1,11
2010-10-26,5,1,14
2010-10-27,2,1,8
2010-10-28,8,0,14
2010-10-29,0,0,7
2010-10-30,0,3,4
2010-10-31,0,1,4
2010-11-01,0,5,18
2010-11-02,2,1,6
2010-11-03,9,0,6
2010-11-04,3,0,10
2010-11-05,8,0,14
2010-11-06,9,0,4
2010-11-07,0,2,0
2010-11-08,2,0,6
2010-11-09,2,0,5
2010-11-10,1,0,9
2010-11-11,2,0,4
2010-11-12,3,0,8
2010-11-13,1,0,3
2010-11-14,7,0,0
2010-11-15,1,0,0
2010-11-16,1,0,0
2010-11-17,0,0,2
2010-11-18,1,2,8
2010-11-19,4,0,5
2010-11-20,5,0,1
2010-11-21,6,0,1
2010-11-22,6,0,4
2010-11-23,7,0,2
2010-11-24,4,0,1
2010-11-25,10,0,0
2010-11-26,10,0,1
2010-11-27,2,0,1
2010-11-28,0,0,1
2010-11-29,5,0,5
2010-11-30,6,0,10
2010-12-01,6,0,4
2010-12-02,8,0,9
2010-12-03,14,0,5
2010-12-04,5,0,0
2010-12-05,0,0,3
2010-12-06,1,0,13
2010-12-07,9,3,28
2010-12-08,5,0,29
2010-12-09,12,0,17
2010-12-10,10,0,5
2010-12-11,11,0,1
2010-12-12,4,0,4
2010-12-13,9,1,18
2010-12-14,7,0,17
2010-12-15,13,0,14
2010-12-16,10,0,17
2010-12-17,5,0,12
2010-12-18,6,0,0
2010-12-19,0,0,0
2010-12-20,7,0,2
2010-12-21,7,0,2
2010-12-22,6,0,0
2010-12-23,2,0,5
2010-12-24,2,0,1
2010-12-25,4,0,0
2010-12-26,0,0,0
2010-12-27,0,0,3
2010-12-28,0,0,0
2010-12-29,1,0,0
2010-12-30,7,0,1
2010-12-31,17,0,0
2011-01-01,1,0,0
2011-01-02,0,0,0
2011-01-03,9,2,2
2011-01-04,14,2,13
2011-01-05,4,6,14
2011-01-06,6,8,6
2011-01-07,5,1,8
2011-01-08,2,0,5
2011-01-09,0,4,3
2011-01-10,12,3,5
2011-01-11,5,2,15
2011-01-12,10,0,16
2011-01-13,1,2,11
2011-01-14,7,1,11
2011-01-15,2,3,1
2011-01-16,0,2,3
2011-01-17,7,0,1
2011-01-18,7,2,14
2011-01-19,5,0,31
2011-01-20,7,0,32
2011-01-21,8,0,9
2011-01-22,2,0,3
2011-01-23,0,0,0
2011-01-24,5,0,10
2011-01-25,4,0,12
2011-01-26,6,0,12
2011-01-27,11,0,13
2011-01-28,7,2,7
2011-01-29,0,3,4
2011-01-30,3,0,4
2011-01-31,4,1,16
2011-02-01,5,2,24
2011-02-02,9,2,18
2011-02-03,3,0,23
2011-02-04,2,1,13
2011-02-05,0,0,6
2011-02-06,0,3,0
2011-02-07,5,0,6
2011-02-08,1,1,7
2011-02-09,10,0,25
2011-02-10,10,0,11
2011-02-11,9,0,16
2011-02-12,0,1,3
2011-02-13,0,5,2
2011-02-14,5,1,9
2011-02-15,11,0,7
2011-02-16,7,2,19
2011-02-17,1,0,14
2011-02-18,3,0,13
2011-02-19,4,0,2
2011-02-20,0,7,1
2011-02-21,1,2,5
2011-02-22,4,3,10
2011-02-23,12,0,24
2011-02-24,8,0,10
2011-02-25,12,2,17
2011-02-26,6,0,1
2011-02-27,0,0,0
2011-02-28,2,0,7
2011-03-01,9,0,9
2011-03-02,27,0,11
2011-03-03,16,1,14
2011-03-04,12,0,10
2011-03-05,3,0,10
2011-03-06,6,2,12
2011-03-07,18,0,31
2011-03-08,17,3,19
2011-03-09,23,0,12
2011-03-10,18,1,14
2011-03-11,17,0,14
2011-03-12,4,1,6
2011-03-13,2,0,2
2011-03-14,27,1,4
2011-03-15,12,0,13
2011-03-16,15,0,20
2011-03-17,9,0,16
2011-03-18,24,1,7
2011-03-19,15,0,1
2011-03-20,13,0,1
2011-03-21,32,0,8
2011-03-22,29,0,11
2011-03-23,24,2,18
2011-03-24,17,3,7
2011-03-25,30,2,19
2011-03-26,6,1,6
2011-03-27,11,0,3
2011-03-28,8,1,11
2011-03-29,17,0,31
2011-03-30,12,0,8
2011-03-31,23,4,10
2011-04-01,26,1,3
2011-04-02,6,0,6
2011-04-03,10,6,3
2011-04-04,1,6,13
2011-04-05,8,0,20
2011-04-06,6,0,11
2011-04-07,22,0,10
2011-04-08,23,0,24
2011-04-09,3,0,1
2011-04-10,1,1,2
2011-04-11,7,3,7
2011-04-12,18,0,9
2011-04-13,15,0,22
2011-04-14,13,0,24
2011-04-15,4,0,28
2011-04-16,7,1,1
2011-04-17,8,1,3
2011-04-18,14,2,11
2011-04-19,22,0,9
2011-04-20,15,1,13
2011-04-21,9,2,18
2011-04-22,17,2,14
2011-04-23,4,7,7
2011-04-24,2,2,1
2011-04-25,8,1,14
2011-04-26,11,1,13
2011-04-27,13,0,13
2011-04-28,25,0,18
2011-04-29,23,4,7
2011-04-30,2,1,0
2011-05-01,11,3,4
2011-05-02,5,1,20
2011-05-03,27,0,14
2011-05-04,17,0,7
2011-05-05,43,0,6
2011-05-06,19,0,5
2011-05-07,3,2,2
2011-05-08,1,3,6
2011-05-09,14,3,4
2011-05-10,10,0,4
2011-05-11,36,0,10
2011-05-12,18,0,14
2011-05-13,25,3,22
2011-05-14,27,5,5
2011-05-15,3,2,4
2011-05-16,21,0,14
2011-05-17,21,4,12
2011-05-18,30,0,12
2011-05-19,32,1,5
2011-05-20,29,1,9
2011-05-21,27,0,4
2011-05-22,31,5,5
2011-05-23,8,0,7
2011-05-24,19,0,12
2011-05-25,17,0,17
2011-05-26,6,0,12
2011-05-27,39,0,17
2011-05-28,6,0,1
2011-05-29,0,0,5
2011-05-30,1,0,12
2011-05-31,26,0,21
2011-06-01,30,0,16
2011-06-02,20,1,21
2011-06-03,15,0,16
2011-06-04,19,2,1
2011-06-05,3,2,2
2011-06-06,4,1,16
2011-06-07,5,1,14
2011-06-08,19,0,13
2011-06-09,29,1,13
2011-06-10,26,4,14
2011-06-11,10,5,5
2011-06-12,6,1,1
2011-06-13,4,3,10
2011-06-14,33,1,20
2011-06-15,46,4,11
2011-06-16,48,4,19
2011-06-17,39,0,15
2011-06-18,14,0,3
2011-06-19,24,6,7
2011-06-20,25,3,24
2011-06-21,13,0,7
2011-06-22,10,0,14
2011-06-23,15,0,7
2011-06-24,18,0,12
2011-06-25,8,0,3
2011-06-26,3,5,1
2011-06-27,38,2,21
2011-06-28,50,0,16
2011-06-29,38,1,19
2011-06-30,38,0,14
2011-07-01,33,0,8
2011-07-02,6,0,3
2011-07-03,8,0,0
2011-07-04,9,0,6
2011-07-05,26,0,8
2011-07-06,68,0,16
2011-07-07,32,1,11
2011-07-08,58,1,12
2011-07-09,15,0,8
2011-07-10,13,2,6
2011-07-11,35,1,14
2011-07-12,50,0,24
2011-07-13,32,0,29
2011-07-14,25,0,16
2011-07-15,28,0,10
2011-07-16,10,1,0
2011-07-17,8,0,5
2011-07-18,15,1,23
2011-07-19,22,0,16
2011-07-20,22,1,16
2011-07-21,24,0,18
2011-07-22,29,1,10
2011-07-23,11,1,12
2011-07-24,4,4,3
2011-07-25,16,6,10
2011-07-26,41,0,10
2011-07-27,40,7,15
2011-07-28,51,1,18
2011-07-29,32,5,14
2011-07-30,16,6,0
2011-07-31,4,3,6
2011-08-01,12,2,7
2011-08-02,48,2,4
2011-08-03,32,1,2
2011-08-04,29,2,14
2011-08-05,40,0,5
2011-08-06,4,0,2
2011-08-07,0,3,1
2011-08-08,14,1,11
2011-08-09,27,2,5
2011-08-10,31,1,14
2011-08-11,38,2,7
2011-08-12,76,0,12
2011-08-13,3,0,3
2011-08-14,4,0,2
2011-08-15,46,4,12
2011-08-16,49,5,17
2011-08-17,33,0,18
2011-08-18,31,3,15
2011-08-19,38,4,3
2011-08-20,20,1,4
2011-08-21,0,0,3
2011-08-22,23,0,17
2011-08-23,10,0,16
2011-08-24,21,0,19
2011-08-25,6,1,15
2011-08-26,30,0,23
2011-08-27,52,0,1
2011-08-28,4,5,1
2011-08-29,17,0,27
2011-08-30,14,0,10
2011-08-31,29,0,14
2011-09-01,51,0,7
2011-09-02,20,0,8
2011-09-03,15,0,3
2011-09-04,0,2,1
2011-09-05,0,0,10
2011-09-06,4,0,7
2011-09-07,8,0,17
2011-09-08,4,0,18
2011-09-09,9,1,6
2011-09-10,9,1,0
2011-09-11,1,0,0
2011-09-12,46,0,12
2011-09-13,17,0,7
2011-09-14,33,0,20
2011-09-15,27,0,20
2011-09-16,30,0,9
2011-09-17,3,0,8
2011-09-18,2,0,2
2011-09-19,9,2,22
2011-09-20,37,11,14
2011-09-21,30,0,6
2011-09-22,27,0,8
2011-09-23,42,3,9
2011-09-24,19,8,2
2011-09-25,6,1,2
2011-09-26,23,2,17
2011-09-27,31,1,8
2011-09-28,23,0,10
2011-09-29,7,0,10
2011-09-30,33,0,10
2011-10-01,6,0,3
2011-10-02,3,0,0
2011-10-03,4,0,5
2011-10-04,9,0,8
2011-10-05,39,0,18
2011-10-06,16,0,18
2011-10-07,14,8,10
2011-10-08,0,1,5
2011-10-09,4,0,0
2011-10-10,6,1,5
2011-10-11,16,0,12
2011-10-12,49,2,17
2011-10-13,7,1,23
2011-10-14,2,0,22
2011-10-15,3,0,5
2011-10-16,2,0,2
2011-10-17,10,0,17
2011-10-18,17,2,34
2011-10-19,0,0,14
2011-10-20,13,2,5
2011-10-21,46,4,6
2011-10-22,4,5,1
2011-10-23,5,4,2
2011-10-24,34,0,3
2011-10-25,7,1,5
2011-10-26,9,1,39
2011-10-27,19,5,6
2011-10-28,46,1,17
2011-10-29,10,2,1
2011-10-30,7,4,0
2011-10-31,18,1,13
2011-11-01,13,2,11
2011-11-02,49,6,44
2011-11-03,7,1,23
2011-11-04,2,8,20
2011-11-05,29,1,2
2011-11-06,5,2,3
2011-11-07,17,1,17
2011-11-08,11,2,14
2011-11-09,17,1,34
2011-11-10,19,4,8
2011-11-11,16,0,16
2011-11-12,6,4,5
2011-11-13,2,0,4
2011-11-14,6,2,31
2011-11-15,8,4,19
2011-11-16,59,0,16
2011-11-17,33,2,10
2011-11-18,36,3,22
2011-11-19,7,4,6
2011-11-20,1,3,4
2011-11-21,13,1,8
2011-11-22,17,2,10
2011-11-23,11,0,6
2011-11-24,4,3,6
2011-11-25,9,10,6
2011-11-26,4,3,2
2011-11-27,0,3,4
2011-11-28,6,1,20
2011-11-29,37,11,9
2011-11-30,11,4,16
2011-12-01,13,0,25
2011-12-02,25,0,22
2011-12-03,6,2,0
2011-12-04,4,3,1
2011-12-05,7,1,13
2011-12-06,12,4,15
2011-12-07,28,0,25
2011-12-08,15,1,12
2011-12-09,13,2,23
2011-12-10,1,1,4
2011-12-11,3,3,5
2011-12-12,4,9,30
2011-12-13,21,1,38
2011-12-14,33,0,30
2011-12-15,12,0,35
2011-12-16,42,0,19
2011-12-17,25,0,4
2011-12-18,16,1,2
2011-12-19,46,1,23
2011-12-20,33,0,36
2011-12-21,25,0,41
2011-12-22,21,6,28
2011-12-23,11,2,15
2011-12-24,5,2,1
2011-12-25,1,1,3
2011-12-26,1,0,2
2011-12-27,0,7,2
2011-12-28,12,0,0
2011-12-29,5,3,0
2011-12-30,9,9,0
2011-12-31,9,14,0
2012-01-01,2,0,0
2012-01-02,23,8,0
2012-01-03,11,2,9
2012-01-04,13,1,7
2012-01-05,23,1,12
2012-01-06,28,0,5
2012-01-07,29,3,0
2012-01-08,10,7,2
2012-01-09,25,1,19
2012-01-10,18,1,26
2012-01-11,22,1,27
2012-01-12,21,3,26
2012-01-13,32,7,18
2012-01-14,31,0,9
2012-01-15,15,6,8
2012-01-16,43,0,15
2012-01-17,63,2,24
2012-01-18,41,0,20
2012-01-19,76,0,45
2012-01-20,76,0,22
2012-01-21,31,3,7
2012-01-22,8,1,8
2012-01-23,20,1,29
2012-01-24,66,0,19
2012-01-25,41,0,31
2012-01-26,32,0,29
2012-01-27,36,1,16
2012-01-28,14,4,1
