,cypress-io/cypress,DevExpress/testcafe,seleniumhq/selenium
2023-04-20,1,2.0,9
2023-04-21,2,1.6,14
2023-04-22,0,0.43999999999999995,0
2023-04-23,0,-0.4560000000000002,1
2023-04-24,3,-0.2432000000000002,1
2023-04-25,2,0.8337279999999999,5
2023-04-26,2,0.6744703999999999,6
2023-04-27,2,2.61975296,2
2023-04-28,3,0.1889423360000001,6
2023-04-29,0,-0.5922408448,0
2023-04-30,0,-0.3224624128000001,0
2023-05-01,7,-0.20723415040000007,3
2023-05-02,2,-0.14756352000000006,10
2023-05-03,5,5.881863168,5
2023-05-04,7,-0.2980660223999996,8
2023-05-05,2,0.24744079359999982,8
2023-05-06,0,-0.6197957632000001,7
2023-05-07,0,-0.34206935040000014,0
2023-05-08,0,-0.23481600000000014,5
2023-05-09,2,-0.1817088000000001,2
2023-05-10,1,-0.1475251200000001,8
2023-05-11,2,5.876318208000001,3
2023-05-12,6,-0.3061305343999994,6
2023-05-13,0,-0.7068570624000002,0
2023-05-14,0,-0.38046935040000024,3
2023-05-15,5,0.7504,8
2023-05-16,3,2.613184,2
2023-05-17,5,1.1718912000000001,7
2023-05-18,5,1.1900108799999998,13
2023-05-19,2,-0.8408529919999999,9
2023-05-20,0,-0.4715398144,0
2023-05-21,0,-0.2727061504000001,0
2023-05-22,4,-0.19648512000000007,5
2023-05-23,5,0.842902528,8
2023-05-24,4,1.6696564736000004,2
2023-05-25,2,1.4199630848000002,3
2023-05-26,2,0.3382858752000001,0
2023-05-27,0,-0.5145387008000001,3
2023-05-28,0,-0.2687360000000002,1
2023-05-29,0,1.8132991999999999,6
2023-05-30,1,1.4575436800000001,5
2023-05-31,2,1.325365248,7
2023-06-01,3,4.2484729856,5
2023-06-02,7,-1.3938408447999997,5
2023-06-03,0,-0.6535984128000003,6
2023-06-04,0,2.5884010496,2
2023-06-05,8,1.10621696,17
2023-06-06,6,0.12883353599999992,13
2023-06-07,2,4.3062884352,15
2023-06-08,5,2.5848522752000003,10
2023-06-09,5,-1.4886852607999999,3
2023-06-10,0,-0.7683051520000004,0
2023-06-11,0,-0.47717376000000034,0
2023-06-12,3,-0.359525376,4
2023-06-13,7,3.7126018048000002,0
2023-06-14,11,1.9943247872000003,2
2023-06-15,4,1.9278852096,3
2023-06-16,3,-1.1518975999999999,9
2023-06-17,0,-0.5682774016000002,1
2023-06-18,0,-0.34694400000000014,1
2023-06-19,0,-0.2591232000000001,27
2023-06-20,3,-0.2056012800000001,6
2023-06-21,3,1.8303825920000003,1
2023-06-22,1,0.4561793024000004,0
2023-06-23,1,3.5594288128000002,6
2023-06-24,1,-1.0134080511999999,0
2023-06-25,0,-0.43520000000000036,0
2023-06-26,6,1.7233279999999997,0
2023-06-27,1,1.3992064,15
2023-06-28,6,0.2835737599999999,16
2023-06-29,5,0.4165826559999999,4
2023-06-30,9,2.4497667072000002,0
2023-07-01,0,-0.9162921983999998,2
2023-07-02,0,-0.46340700160000015,6
2023-07-03,0,2.72215296,1
2023-07-04,0,1.190606336,3
2023-07-05,3,-0.8076776448,1
2023-07-06,2,1.5784604671999998,1
2023-07-07,4,0.3255627776000001,0
2023-07-08,0,-0.5594404864,0
2023-07-09,0,-0.3257664512000001,0
2023-07-10,2,-0.20683776000000012,3
2023-07-11,1,-0.1616885759999999,3
2023-07-12,5,3.8674229248,12
2023-07-13,2,1.1207790592000002,4
2023-07-14,1,0.23429785599999997,2
2023-07-15,0,-0.5913264128000001,0
2023-07-16,0,-0.32286935040000014,1
2023-07-17,4,0.7826559999999999,2
2023-07-18,5,0.6336128,0
2023-07-19,4,-0.4141004800000001,5
2023-07-20,2,0.7601669120000001,2
2023-07-21,2,0.6228204544000002,16
2023-07-22,0,-0.3784624127999999,1
2023-07-23,0,-0.1864341504000001,3
2023-07-24,1,1.88104448,27
2023-07-25,5,-0.4904504319999999,11
2023-07-26,3,-0.23282186240000008,6
2023-07-27,3,0.8541751296,9
2023-07-28,0,-0.29851443199999994,3
2023-07-29,0,1.8420709376,3
2023-07-30,0,-0.5013269504,4
2023-07-31,3,0.7725465599999999,13
2023-08-01,2,-0.3503114239999999,23
2023-08-02,0,2.8074324992,5
2023-08-03,0,1.28400128,3
2023-08-04,5,-0.7288453120000001,3
2023-08-05,0,-0.37585879040000025,8
2023-08-06,1,-0.246004224,1
2023-08-07,5,3.8143265792,8
2023-08-08,3,0.07325388800000021,13
2023-08-09,1,-0.6241071104000002,10
2023-08-10,4,-0.349016576,4
2023-08-11,9,-0.24858347519999985,10
2023-08-12,0,-0.1606827008,2
2023-08-13,0,-0.10725120000000006,0
2023-08-14,9,3.91186432,20
2023-08-15,13,-0.8744775679999996,9
2023-08-16,5,2.6157348864,12
2023-08-17,2,3.1955306496,0
2023-08-18,4,4.8256,1
2023-08-19,0,-1.7661440000000002,1
2023-08-20,1,0.1454847999999993,0
2023-08-21,7,2.2332851199999997,2
2023-08-22,9,4.897418752,4
2023-08-23,1,0.17641123840000006,11
2023-08-24,4,-1.2910428160000005,3
2023-08-25,12,2.2291447808,2
2023-08-26,2,-1.1308404735999995,8
2023-08-27,1,-0.6134452224000002,7
2023-08-28,28,-0.3828126720000002,10
2023-08-29,23,0.7011495936000001,11
2023-08-30,3,1.5658042368000005,6
2023-08-31,6,3.3551220736000005,17
2023-09-01,0,-1.0837188608,7
2023-09-02,0,-0.4927631360000002,3
2023-09-03,0,-0.3221440512000001,0
2023-09-04,0,-0.20590080000000008,12
2023-09-05,1,0.8400716799999999,8
2023-09-06,2,0.670043648,3
2023-09-07,6,-0.3889516543999999,2
2023-09-08,1,-0.2104895487999998,3
2023-09-09,0,-0.1314774015999999,1
2023-09-10,0,-0.05913600000000002,1
2023-09-11,2,3.9540352,7
2023-09-12,3,4.16264448,1
2023-09-13,0,0.6486855679999999,4
2023-09-14,1,-0.0188570624000004,1
2023-09-15,4,-0.7468693504000004,3
2023-09-16,0,-0.44614400000000026,13
2023-09-17,0,-0.3245952000000002,17
2023-09-18,0,-0.2545228800000001,6
2023-09-19,2,0.7914219520000002,4
2023-09-20,4,-0.3760982015999995,3
2023-09-21,3,-0.1880488959999998,1
2023-09-22,1,0.9126735872000001,3
2023-09-23,0,-0.24606935039999994,6
2023-09-24,0,-0.10553600000000009,6
2023-09-25,3,-0.06842880000000004,16
2023-09-26,0,-0.050526720000000025,16
2023-09-27,3,-0.03992371199999995,8
2023-09-28,1,-0.03289815039999998,0
2023-09-29,1,-0.01692672000000001,1
2023-09-30,0,-0.01438771199999994,4
2023-10-01,0,-0.012469350399999964,0
2023-10-02,2,0.0,2
2023-10-03,2,0.0,4
2023-10-04,3,0.0,5
2023-10-05,2,0.0,10
2023-10-06,2,0.0,11
2023-10-07,0,0.0,6
2023-10-08,0,0.0,3
2023-10-09,1,0.0,12
2023-10-10,2,0.0,19
2023-10-11,5,0.0,15
2023-10-12,0,3.0,7
2023-10-13,1,-0.5999999999999999,1
2023-10-14,0,-0.2400000000000002,2
2023-10-15,0,-0.1440000000000001,1
2023-10-16,4,2.8992,9
2023-10-17,2,0.3233920000000001,17
2023-10-18,3,-0.5012864000000001,3
2023-10-19,0,-0.2747801600000002,3
2023-10-20,0,0.8080368640000001,2
2023-10-21,0,-0.3476160511999999,0
2023-10-22,0,-0.16682240000000012,3
2023-10-23,2,-0.11920896000000009,16
2023-10-24,4,0.9063101440000001,4
2023-10-25,1,-0.2773317631999998,4
2023-10-26,4,0.8871018495999999,8
2023-10-27,5,1.73507328,12
2023-10-28,0,-0.5279877119999999,0
2023-10-29,0,-0.24600535040000016,0
2023-10-30,1,0.8499711999999999,10
2023-10-31,2,0.69033728,16
2023-11-01,1,-0.365888512,24
2023-11-02,2,0.8017463295999999,10
2023-11-03,3,-0.32984115199999997,10
2023-11-04,0,-0.18038077439999994,1
2023-11-05,0,-0.11890350079999998,3
2023-11-06,4,-0.07095552000000002,6
2023-11-07,5,-0.056850431999999965,0
2023-11-08,1,-0.04728586239999991,4
2023-11-09,0,3.9706039296,9
2023-11-10,0,0.1856122880000003,22
2023-11-11,0,-0.5324693504000002,0
2023-11-12,0,-0.27200000000000024,2
2023-11-13,2,-0.1824000000000001,10
2023-11-14,3,-0.13574400000000006,7
2023-11-15,0,-0.10725120000000006,1
2023-11-16,5,0.91186432,2
2023-11-17,0,-0.2744775679999997,2
2023-11-18,0,-0.14426511359999988,0
2023-11-19,0,-0.060469350399999997,0
2023-11-20,4,0.9664,1
2023-11-21,4,0.774464,3
2023-11-22,4,0.6995712,2
2023-11-23,0,-0.3449267200000001,3
2023-11-24,0,0.8240122879999999,2
2023-11-25,0,-0.3196053504,1
2023-11-26,0,-0.15956480000000012,8
2023-11-27,2,-0.11089152000000008,6
2023-11-28,2,-0.08534323199999996,0
2023-11-29,4,0.9306802176000001,6
2023-11-30,1,-0.24728586239999986,0
2023-12-01,0,-0.10939607040000005,12
2023-12-02,0,-0.06238771199999998,1
2023-12-03,0,-0.04606935039999997,4
2023-12-04,0,-0.025536000000000014,5
2023-12-05,4,-0.02042880000000001,9
2023-12-06,0,1.98307328,17
2023-12-07,0,1.585612288,13
2023-12-08,0,-0.5724693504,11
2023-12-09,0,-0.2560000000000002,3
2023-12-10,0,-0.1632000000000001,0
2023-12-11,1,0.881728,8
2023-12-12,1,-0.2919296,4
2023-12-13,1,0.8452889599999999,7
2023-12-14,3,-0.3106288639999999,4
2023-12-15,1,-0.16731412479999988,3
2023-12-16,0,-0.09847470079999998,2
2023-12-17,0,-0.05402880000000002,0
2023-12-18,0,-0.04246272000000002,12
2023-12-19,4,3.965183488,11
2023-12-20,0,0.17060392960000015,11
2023-12-21,0,-0.5343877120000002,6
2023-12-22,2,1.7155306495999998,15
2023-12-23,0,-0.5824,9
2023-12-24,0,-0.29574400000000023,0
2023-12-25,0,-0.20325120000000013,0
2023-12-26,5,-0.1553356800000001,7
2023-12-27,0,0.8744504320000002,11
2023-12-28,5,-0.30512271359999976,8
2023-12-29,4,-0.12632279040000005,1
2023-12-30,0,-0.07677542399999991,1
2023-12-31,0,-0.05853870079999994,2
2024-01-01,0,-0.025536000000000014,7
2024-01-02,3,-0.02042880000000001,1
2024-01-03,3,-0.01692672000000001,9
2024-01-04,1,-0.01438771199999994,3
2024-01-05,4,-0.012469350399999964,4
2024-01-06,1,0.0,2
2024-01-07,0,0.0,4
2024-01-08,1,1.0,4
2024-01-09,5,-0.19999999999999996,9
2024-01-10,5,0.9199999999999999,8
2024-01-11,4,-0.248,3
2024-01-12,6,0.8863999999999999,5
2024-01-13,0,-0.273536,0
2024-01-14,0,-0.1340288000000001,1
2024-01-15,0,0.9095372799999999,1
2024-01-16,4,-0.26841651199999994,2
2024-01-17,2,-0.13493207040000005,7
2024-01-18,3,-0.08281651199999998,13
2024-01-19,2,-0.06299607039999999,5
