,bitcoin/bitcoin,bitcoinj/bitcoinj,libbitcoin/libbitcoin-system
2019-05-19,3.0,7,0
2019-05-20,8.7,1,0
2019-05-21,1.9649999999999992,1,0
2019-05-22,7.209499999999999,0,0
2019-05-23,8.7465125,0,0
2019-05-24,2.3201872499999996,3,1
2019-05-25,3.6754757125,2,1
2019-05-26,-0.33038945124999963,0,0
2019-05-27,0.05740675720312627,0,0
2019-05-28,15.218793936501564,0,0
2019-05-29,17.834056193129687,0,0
2019-05-30,-1.1150743242328138,1,0
2019-05-31,-0.8658380479437504,0,0
2019-06-01,-1.2976090211718738,1,0
2019-06-02,4.121189316028127,0,0
2019-06-03,6.834591528054689,0,2
2019-06-04,1.4633974444484381,1,2
2019-06-05,7.771693439214063,0,0
2019-06-06,13.2725901941125,0,0
2019-06-07,11.565408877,0,0
2019-06-08,0.385402419412499,0,0
2019-06-09,-1.7609761837859372,0,0
2019-06-10,-0.16506542257812318,0,0
2019-06-11,4.013193781945315,0,0
2019-06-12,0.7742087869156267,1,0
2019-06-13,10.036164756501563,0,0
2019-06-14,8.232925346942189,0,0
2019-06-15,-1.9646495090078127,0,0
2019-06-16,2.95514036295,0,3
2019-06-17,6.953378683642188,1,0
2019-06-18,12.544729930734375,0,0
2019-06-19,9.741622552385937,1,0
2019-06-20,10.544568327539062,1,0
2019-06-21,6.29824688925625,0,0
2019-06-22,-1.4859275580515616,0,0
2019-06-23,0.41725608964062655,4,0
2019-06-24,2.725195502937502,0,0
2019-06-25,6.662621938231252,0,0
2019-06-26,8.29190902999375,0,0
2019-06-27,1.9734783945593755,0,0
2019-06-28,1.4689369216156254,0,0
2019-06-29,6.772515378642188,0,0
2019-06-30,1.4554475716609383,0,0
2019-07-01,3.8334761364328136,0,0
2019-07-02,13.735104847865625,0,0
2019-07-03,12.70212282323125,1,0
2019-07-04,1.2448437270562493,0,0
2019-07-05,5.084998283828125,4,0
2019-07-06,0.11144279330937579,0,0
2019-07-07,2.6184770370171897,1,0
2019-07-08,26.637304321915625,0,0
2019-07-09,15.31702174606406,0,0
2019-07-10,6.167285298335937,1,0
2019-07-11,0.8261001442265616,0,0
2019-07-12,6.697247061148439,0,0
2019-07-13,-2.3842655437531226,0,0
2019-07-14,-1.5226829787828096,0,0
2019-07-15,3.8839098103656275,3,0
2019-07-16,6.605661971668752,0,0
2019-07-17,6.249398419196876,0,0
2019-07-18,10.279405774160937,0,0
2019-07-19,8.886582456328124,0,2
2019-07-20,-2.233593977284375,3,0
2019-07-21,-0.2726337353234367,0,0
2019-07-22,6.048851418750002,0,0
2019-07-23,6.592424264921877,0,0
2019-07-24,23.313981263195313,0,0
2019-07-25,3.4981936830874987,0,1
2019-07-26,3.482204514775,4,1
2019-07-27,15.875183063896875,0,0
2019-07-28,0.8893883383546886,0,0
2019-07-29,12.878923463234376,0,0
2019-07-30,13.077030823854688,0,7
2019-07-31,11.63755953437344,0,0
2019-08-01,8.516721905571876,0,0
2019-08-02,7.7141675929921885,0,0
2019-08-03,-2.008387678345311,0,0
2019-08-04,-0.9692332219968725,0,0
2019-08-05,4.485348508540628,0,1
2019-08-06,6.3537620671218775,0,0
2019-08-07,1.100127859960939,0,0
2019-08-08,0.5764079216906259,1,0
2019-08-09,6.920913034523439,2,2
2019-08-10,-0.46779388235312425,0,0
2019-08-11,5.100057037839063,0,0
2019-08-12,3.8474993069484373,0,0
2019-08-13,4.809922161870313,0,0
2019-08-14,29.667858766909376,0,0
2019-08-15,16.124028998165624,0,4
2019-08-16,19.087742233860936,0,5
2019-08-17,-3.471468730446878,0,0
2019-08-18,1.348630626696877,0,2
2019-08-19,17.786381463120314,0,1
2019-08-20,4.421108254706253,0,0
2019-08-21,3.088103275476564,0,0
2019-08-22,4.499622218800002,0,0
2019-08-23,9.60423528482344,0,0
2019-08-24,8.374575003671877,0,0
2019-08-25,2.3972340436578135,0,0
2019-08-26,7.047819870401563,0,0
2019-08-27,6.808049434543751,1,0
2019-08-28,8.728591680156251,0,0
2019-08-29,18.59770252786875,0,0
2019-08-30,5.486675951175,0,6
2019-08-31,2.1490343048109377,3,0
2019-09-01,-1.255802517353124,0,0
2019-09-02,2.4487729282765653,0,11
2019-09-03,11.51535126642969,0,2
2019-09-04,8.682999338785939,0,2
2019-09-05,11.567486900254687,0,11
2019-09-06,5.1767579700265625,0,0
2019-09-07,2.592299285854688,0,0
2019-09-08,8.117021765848438,0,0
2019-09-09,6.813397226804689,0,0
2019-09-10,7.780893206651563,0,0
2019-09-11,2.6134711869031255,3,0
2019-09-12,6.031246876360939,0,0
2019-09-13,4.961966607385939,0,0
2019-09-14,2.064605204121876,0,0
2019-09-15,2.4480925396343762,0,0
2019-09-16,14.605475465914063,0,0
2019-09-17,10.4855781325,0,0
2019-09-18,10.338495365770312,1,0
2019-09-19,13.1991692520625,0,0
2019-09-20,5.800588309445312,0,0
2019-09-21,1.2518276536031259,0,1
2019-09-22,2.908837545185939,0,0
2019-09-23,5.102908285293752,0,1
2019-09-24,5.015156867856252,0,0
2019-09-25,9.001219288971877,0,1
2019-09-26,9.688190095329688,0,0
2019-09-27,1.4655093425328127,0,3
2019-09-28,0.15836394478437588,0,0
2019-09-29,-0.3235702436359362,0,0
2019-09-30,25.019538813528126,0,1
2019-10-01,19.690538534960936,3,0
2019-10-02,22.989963032389063,0,0
2019-10-03,6.12128818407656,0,0
2019-10-04,3.198252305917188,0,0
2019-10-05,-2.033181887493748,0,0
2019-10-06,0.9368891925750038,0,0
2019-10-07,4.175531841912504,0,0
2019-10-08,17.046873907807814,1,0
2019-10-09,21.728266948456252,0,0
2019-10-10,15.730212944001561,0,0
2019-10-11,2.7383364021078114,0,1
2019-10-12,0.9882666972453129,0,0
2019-10-13,3.711605805482815,1,1
2019-10-14,13.85058704341719,0,0
2019-10-15,16.92659052304844,0,0
2019-10-16,6.140759031237501,0,1
2019-10-17,7.7427639639265635,0,0
2019-10-18,13.921058002539063,0,0
2019-10-19,-2.5094201018281233,0,0
2019-10-20,1.9183204026859397,0,1
2019-10-21,16.1503003217625,3,2
2019-10-22,3.9059730765343765,4,0
2019-10-23,12.4998857491125,0,0
2019-10-24,22.963788197875,0,0
2019-10-25,12.69811318271875,0,0
2019-10-26,6.948970554589062,0,2
2019-10-27,-2.462394566126562,0,0
2019-10-28,18.803031025401566,0,7
2019-10-29,16.290290894325004,0,7
2019-10-30,27.79845244449375,0,4
2019-10-31,4.3890462720140615,0,0
2019-11-01,14.831836849804688,0,4
2019-11-02,18.470074091550003,0,0
2019-11-03,1.04093710496719,0,0
2019-11-04,25.502975437839066,0,0
2019-11-05,35.76835324913594,0,0
2019-11-06,17.788183681432812,2,0
2019-11-07,10.49866148278125,0,5
2019-11-08,11.43263407244375,0,0
2019-11-09,-2.0919618114062466,0,0
2019-11-10,4.445240812457817,5,0
2019-11-11,7.714375559829692,0,0
2019-11-12,14.717486698581254,0,0
2019-11-13,12.004063574067189,0,0
2019-11-14,3.0669419218859386,0,0
2019-11-15,8.110066991585938,0,1
2019-11-16,0.13577174687343918,0,0
2019-11-17,0.9797813603421899,0,0
2019-11-18,24.38830455451719,0,0
2019-11-19,15.256674254040625,0,0
2019-11-20,12.070978010323437,4,0
2019-11-21,14.166951884853123,1,0
2019-11-22,13.990048222065624,0,0
2019-11-23,4.885566462826564,0,0
2019-11-24,10.643596019307815,0,0
2019-11-25,10.459791163345315,0,0
2019-11-26,9.35612837523594,5,0
2019-11-27,-0.619647478231248,0,0
2019-11-28,0.5324002860671899,0,10
2019-11-29,1.054834580143753,1,0
2019-11-30,0.37773257882187794,0,0
2019-12-01,1.7311206647125024,0,0
2019-12-02,4.878198284957814,0,0
2019-12-03,7.662417843528126,0,0
2019-12-04,8.34008561904375,0,0
2019-12-05,13.119121851735937,0,0
2019-12-06,24.50766813959531,0,0
2019-12-07,-0.058237926654689076,0,0
2019-12-08,1.4492379026109377,3,0
2019-12-09,16.94887206588125,0,0
2019-12-10,14.692291423048438,0,0
2019-12-11,9.268322667643751,0,0
2019-12-12,11.508330415770313,0,0
2019-12-13,8.36525443065625,0,0
2019-12-14,-2.4049933244609356,1,0
2019-12-15,5.81429070696719,0,0
2019-12-16,16.77397963404375,0,0
2019-12-17,9.635612697559377,0,0
2019-12-18,3.729480428785938,0,0
2019-12-19,4.392166241400001,0,0
2019-12-20,-0.3060176457015604,0,0
2019-12-21,-1.64652309047656,0,0
2019-12-22,-0.09283760094687277,0,0
2019-12-23,2.1187135020890646,0,0
2019-12-24,-0.9844831563343734,0,0
2019-12-25,0.35051027136406365,0,0
2019-12-26,0.5136943271734382,0,0
2019-12-27,1.628938198639063,0,0
2019-12-28,3.5870591437171875,0,0
2019-12-29,1.393460061178125,0,0
2019-12-30,2.4833713482343747,0,0
2019-12-31,3.3882924459171875,0,0
2020-01-01,-0.7563357663578124,0,0
2020-01-02,12.581721965734376,0,0
2020-01-03,17.398976391948437,0,0
2020-01-04,4.285765461432812,0,0
2020-01-05,1.893288612865624,0,0
2020-01-06,3.3362263250750006,0,0
2020-01-07,10.428517320881252,0,0
2020-01-08,10.775568277829688,0,0
2020-01-09,4.39414105110625,0,0
2020-01-10,1.7779181145468756,0,0
2020-01-11,1.1646792959859391,0,0
2020-01-12,-0.47825473679218544,1,0
2020-01-13,6.986366898935939,0,0
2020-01-14,11.488365257278126,0,0
2020-01-15,6.7918793423828125,0,0
2020-01-16,9.862509026615625,0,0
2020-01-17,5.583059153423437,0,0
2020-01-18,0.8624451789359382,0,0
2020-01-19,0.4238296045593759,0,0
2020-01-20,2.749378646876564,0,0
2020-01-21,-0.2818225204109357,0,0
2020-01-22,15.022712194259377,0,0
2020-01-23,23.717604394892188,4,0
2020-01-24,-1.7820285365109392,0,0
2020-01-25,0.8519326516937493,0,0
2020-01-26,1.3515520481656258,0,0
2020-01-27,8.61103701886094,0,0
2020-01-28,16.042382646615625,0,0
2020-01-29,9.007403811840625,0,0
2020-01-30,15.118410261714063,1,0
2020-01-31,10.44719354101875,0,0
2020-02-01,0.6046335817843755,0,0
2020-02-02,-0.2914553578687489,0,0
2020-02-03,6.253919315845315,0,0
2020-02-04,3.93811312973594,0,0
2020-02-05,10.048456760359377,0,0
2020-02-06,5.546254190665626,0,0
2020-02-07,1.8104908377875009,0,0
2020-02-08,-1.710743537865624,0,0
2020-02-09,5.964008819934376,0,0
2020-02-10,17.606845318825002,0,0
2020-02-11,8.255565463303125,0,0
2020-02-12,8.41801184661875,0,0
2020-02-13,9.412252008596875,0,0
2020-02-14,2.264387730443751,0,0
2020-02-15,-0.08460390984999888,0,0
2020-02-16,4.467098728606252,3,0
2020-02-17,4.319725192640627,0,0
2020-02-18,2.2688837887015643,0,0
2020-02-19,9.492286799895314,0,0
2020-02-20,0.996218261432813,0,0
2020-02-21,7.5813248596671885,0,0
2020-02-22,0.2223622369906253,0,0
2020-02-23,-1.1889196412109364,0,0
2020-02-24,0.22081043933437616,0,0
2020-02-25,12.311727334190627,0,0
2020-02-26,2.218441186471875,0,0
2020-02-27,4.663680445434375,4,0
2020-02-28,21.58157789180781,3,0
2020-02-29,-1.1022280172484384,2,0
2020-03-01,0.19394393864531256,0,0
2020-03-02,13.667060436178126,0,0
2020-03-03,-0.4253724142656239,0,0
2020-03-04,15.399855968260939,9,0
2020-03-05,15.192194699970312,2,0
2020-03-06,9.6633446730125,1,0
2020-03-07,17.803448017925,4,0
2020-03-08,-0.013423814357812702,1,0
2020-03-09,23.409926450146877,0,0
2020-03-10,11.656521994693751,0,0
2020-03-11,38.901941274679686,2,0
2020-03-12,2.267646528662498,1,0
2020-03-13,1.3716775588578134,5,0
2020-03-14,0.4586814139000026,0,0
2020-03-15,6.230437733704694,0,0
2020-03-16,11.156339792182816,0,0
2020-03-17,15.786137023950001,0,0
2020-03-18,7.067199274565626,0,0
2020-03-19,9.670936058503125,1,0
2020-03-20,-2.337301453685937,0,0
2020-03-21,5.087445551582815,0,0
2020-03-22,5.9782164414718775,0,0
2020-03-23,4.885503037715627,0,0
2020-03-24,12.945211328707813,0,0
2020-03-25,10.20372704595,0,0
2020-03-26,16.125173044895313,0,0
2020-03-27,19.49392526915156,0,0
2020-03-28,1.7500398802671864,0,0
2020-03-29,6.056875548854689,0,0
2020-03-30,10.161970216873438,0,0
2020-03-31,22.870863632353128,0,0
2020-04-01,5.467226798264063,0,0
2020-04-02,32.41295962650781,0,0
2020-04-03,10.170226630985937,0,0
2020-04-04,6.183587562457814,0,0
2020-04-05,3.006806584829689,0,0
2020-04-06,30.821044191393753,0,0
2020-04-07,4.440663030473439,0,0
2020-04-08,25.842613866126563,1,0
2020-04-09,4.335059688909375,0,0
2020-04-10,16.79892867857813,0,0
2020-04-11,4.170789054206251,0,0
2020-04-12,12.324160117503128,0,0
2020-04-13,13.038201133495313,1,0
2020-04-14,6.83850805221719,0,0
2020-04-15,24.30891062112188,0,0
2020-04-16,16.986472109171878,2,0
2020-04-17,17.918295060015627,0,0
2020-04-18,-1.1846308149375,0,0
2020-04-19,8.51842167710469,0,0
2020-04-20,7.496598345176565,0,0
2020-04-21,11.628584029409378,0,0
2020-04-22,14.36144504371719,1,0
2020-04-23,56.99199525266719,2,0
