,pallets/flask,expressjs/express,django/django
2010-04-06,4,3,5.0
2010-04-07,0,1,1.0
2010-04-08,2,2,0.0
2010-04-09,5,0,5.0
2010-04-10,4,2,1.0
2010-04-11,16,0,5.0
2010-04-12,7,10,5.0
2010-04-13,0,7,6.0
2010-04-14,8,2,3.0
2010-04-15,1,4,10.0
2010-04-16,19,2,3.0
2010-04-17,6,0,0.0
2010-04-18,18,0,0.0
2010-04-19,20,4,5.0
2010-04-20,21,8,4.0
2010-04-21,9,29,6.0
2010-04-22,0,25,0.0
2010-04-23,7,10,1.0
2010-04-24,7,1,1.0
2010-04-25,13,1,1.0
2010-04-26,1,7,3.0
2010-04-27,1,0,6.0
2010-04-28,0,1,7.0
2010-04-29,0,14,10.0
2010-04-30,0,15,4.0
2010-05-01,0,1,2.0
2010-05-02,9,0,9.0
2010-05-03,8,1,3.0
2010-05-04,7,0,16.0
2010-05-05,0,2,2.0
2010-05-06,1,14,11.0
2010-05-07,3,1,6.0
2010-05-08,0,0,12.0
2010-05-09,0,0,29.0
2010-05-10,2,1,27.0
2010-05-11,5,10,7.0
2010-05-12,2,0,7.0
2010-05-13,3,2,4.0
2010-05-14,0,6,6.0
2010-05-15,0,0,1.0
2010-05-16,3,0,3.0
2010-05-17,9,1,12.0
2010-05-18,4,0,0.0
2010-05-19,1,1,2.0
2010-05-20,0,0,0.0
2010-05-21,0,0,5.0
2010-05-22,0,6,1.0
2010-05-23,0,2,1.0
2010-05-24,6,0,1.0
2010-05-25,3,2,0.0
2010-05-26,4,0,0.0
2010-05-27,15,1,0.0
2010-05-28,4,0,8.0
2010-05-29,2,0,0.0
2010-05-30,0,4,0.0
2010-05-31,5,4,0.0
2010-06-01,1,3,0.0
2010-06-02,3,0,1.0
2010-06-03,3,8,1.0
2010-06-04,0,2,0.0
2010-06-05,11,0,5.0
2010-06-06,1,0,0.0
2010-06-07,10,0,5.0
2010-06-08,0,1,1.0
2010-06-09,0,1,0.0
2010-06-10,4,3,1.0
2010-06-11,0,2,1.0
2010-06-12,0,0,0.0
2010-06-13,0,1,0.0
2010-06-14,2,1,0.0
2010-06-15,0,4,0.0
2010-06-16,0,1,0.0
2010-06-17,3,0,2.0
2010-06-18,6,4,0.0
2010-06-19,2,3,2.0
2010-06-20,0,7,0.0
2010-06-21,0,0,3.0
2010-06-22,1,0,0.0
2010-06-23,0,0,4.0
2010-06-24,0,0,1.0
2010-06-25,0,0,0.0
2010-06-26,5,0,0.0
