,vuejs/core,sveltejs/svelte,facebook/react
2022-09-19,0,0.0,2
2022-09-20,0,0.0,0
2022-09-21,1,2.0,1
2022-09-22,0,0.7999999999999998,2
2022-09-23,0,-0.19000000000000017,5
2022-09-24,1,-0.10200000000000008,1
2022-09-25,0,-0.06982499999999987,0
2022-09-26,0,-0.05289599999999982,0
2022-09-27,10,-0.04244077499999987,3
2022-09-28,11,0.964650595,2
2022-09-29,0,-0.13023032228125,7
2022-09-30,0,0.9286339819125,8
2022-10-01,0,-0.1368988525359376,2
2022-10-02,0,-0.06566249999999996,0
2022-10-03,5,0.95538325,8
2022-10-04,1,-0.13382451249999996,21
2022-10-05,2,5.92778955375,9
2022-10-06,0,4.348769674484375,4
2022-10-07,0,4.189844951214062,1
2022-10-08,0,-0.9216850630156257,0
2022-10-09,0,-0.5130358650359372,0
2022-10-10,0,0.6463933037500006,1
2022-10-11,1,-0.3724366380156242,4
2022-10-12,0,-0.26635484253593683,2
2022-10-13,0,10.79281157815625,7
2022-10-14,5,1.7256343384562496,11
2022-10-15,0,0.0990474222421871,4
2022-10-16,0,3.396343724820312,1
2022-10-17,0,0.23111880375000038,12
2022-10-18,0,-0.5573400630156244,12
2022-10-19,0,-0.3811937400359369,6
2022-10-20,2,0.7112165537500008,0
2022-10-21,1,-0.3368240444218744,7
2022-10-22,2,-0.245950813192187,6
2022-10-23,0,-0.12080166812343726,8
2022-10-24,0,-0.07842830084843727,9
2022-10-25,0,-0.05928047315937483,3
2022-10-26,15,-0.02156086503593744,0
2022-10-27,1,0.98890630375,19
2022-10-28,2,-0.10956831301562506,2
2022-10-29,0,-0.05339885253593751,3
2022-10-30,0,-0.028500000000000022,1
2022-10-31,0,0.9793375000000001,1
2022-11-01,1,-0.11611675000000003,5
2022-11-02,0,-0.05816201249999999,2
2022-11-03,0,0.96040630375,5
2022-11-04,0,-0.130230813015625,9
2022-11-05,0,-0.06951560253593746,0
2022-11-06,0,-0.041662012499999984,0
2022-11-07,0,2.96824380375,7
2022-11-08,31,-0.32568506301562516,6
2022-11-09,17,4.843439134964062,5
2022-11-10,12,4.40340630375,7
2022-11-11,14,-0.7965558130156254,4
2022-11-12,0,-0.4242491025359376,0
2022-11-13,0,-0.28529853749999956,2
2022-11-14,36,-0.21717733874999925,2
2022-11-15,0,-0.17509875154687446,6
2022-11-16,0,-0.14647510135781205,6
2022-11-17,0,-0.10331004632812471,15
2022-11-18,0,-0.08983582775781226,3
2022-11-19,0,-0.041994262679687394,1
2022-11-20,0,0.0,0
2022-11-21,0,0.0,14
2022-11-22,0,0.0,10
2022-11-23,0,0.0,1
2022-11-24,0,0.0,6
2022-11-25,1,0.0,1
2022-11-26,0,0.0,0
2022-11-27,0,0.0,0
2022-11-28,0,0.0,5
2022-11-29,0,0.0,5
2022-11-30,0,0.0,2
2022-12-01,2,0.0,8
2022-12-02,0,1.0,7
2022-12-03,0,4.9,0
2022-12-04,0,-0.5450000000000005,0
2022-12-05,0,12.7465,8
2022-12-06,0,2.536837499999999,7
2022-12-07,0,-0.10442925000000036,4
2022-12-08,0,-0.7442457625000002,4
2022-12-09,0,-0.504516258749999,5
2022-12-10,0,-0.3857045442656238,0
2022-12-11,0,0.6875239198859384,0
2022-12-12,0,-0.35497711392968684,7
2022-12-13,0,0.7730751332968755,6
2022-12-14,0,-0.28705203127968726,14
2022-12-15,0,0.8911737768406252,10
2022-12-16,0,0.8469843974640625,3
2022-12-17,0,-0.1788245125,1
2022-12-18,0,-0.10071044624999997,2
2022-12-19,0,0.9281071744843751,2
2022-12-20,0,0.8437282012140626,15
2022-12-21,0,-0.183847075515625,13
2022-12-22,0,3.8938454387140626,13
2022-12-23,1,-0.46982450926562525,3
2022-12-24,0,-0.23474641555156245,0
2022-12-25,0,-0.15167761503593746,0
2022-12-26,0,-0.10690570874999962,0
2022-12-27,0,-0.08512900926562472,0
2022-12-28,0,-0.0706152155515623,0
2022-12-29,0,-0.05277363753593735,0
2022-12-30,0,-0.0382732520624999,0
2022-12-31,0,0.9664045898562501,0
2023-01-01,1,1.9,0
2023-01-02,0,9.754999999999999,0
2023-01-03,0,0.8814999999999991,3
2023-01-04,0,-0.7276625000000005,13
2023-01-05,0,-0.43244175000000007,6
2023-01-06,0,-0.3090205124999991,1
2023-01-07,0,-0.23991022124999922,0
2023-01-08,0,-0.19560933051562443,0
2023-01-09,6,0.835203533932813,11
2023-01-10,0,5.7653317722718755,10
2023-01-11,0,-0.7481251513906253,12
2023-01-12,2,0.6847022949281248,11
2023-01-13,0,-0.29166250000000016,8
2023-01-14,0,-0.18509174999999953,4
2023-01-15,0,-0.13836251249999967,1
2023-01-16,1,-0.11072827124999965,2
2023-01-17,0,-0.09224724051562473,5
2023-01-18,0,-0.07897074312968728,5
2023-01-19,0,-0.06148681146562483,15
2023-01-20,1,-0.009568313015624975,9
2023-01-21,1,-0.008398852535937478,0
2023-01-22,0,0.0,0
2023-01-23,0,0.0,8
2023-01-24,0,0.0,8
2023-01-25,0,1.0,11
2023-01-26,19,-0.10000000000000009,5
2023-01-27,3,0.955,3
2023-01-28,0,3.8714999999999997,1
2023-01-29,1,-0.4656625000000003,0
2023-01-30,1,0.77538325,11
2023-01-31,0,-0.24782451250000007,27
2023-02-01,10,-0.15486044624999964,11
2023-02-02,17,1.8843026744843752,13
2023-02-03,16,0.7071969012140626,10
2023-02-04,1,-0.26005984801562493,0
2023-02-05,4,2.8381658829015626,0
2023-02-06,7,-0.41451410639375,7
2023-02-07,0,2.802535686984375,14
2023-02-08,0,-0.4363396275359377,12
2023-02-09,0,-0.23233690499999976,11
2023-02-10,1,-0.16408057228124984,18
2023-02-11,1,-0.1278395555874996,0
2023-02-12,0,-0.09003019128593723,1
2023-02-13,0,0.9318090234531252,9
2023-02-14,0,6.841522353642188,14
2023-02-15,0,-0.7737049390468755,4
2023-02-16,0,1.6313034423921873,20
2023-02-17,0,-0.4201625000000002,10
2023-02-18,0,-0.2507542499999995,0
2023-02-19,0,-0.18297926249999966,0
2023-02-20,0,-0.14455278374999952,8
2023-02-21,5,11.880542313234375,8
2023-02-22,0,5.698298931354687,4
2023-02-23,0,4.679020639748437,2
2023-02-24,0,0.723863373968749,3
2023-02-25,0,-0.9342477050718745,3
2023-02-26,0,2.400961500000001,0
2023-02-27,0,13.248263600000001,7
2023-02-28,0,8.1017160575,5
2023-03-01,0,4.9808187950625,7
2023-03-02,0,3.1283618759593748,7
2023-03-03,0,-1.5760144883453118,22
