,filamentphp/filament,thedevdojo/wave,thedevdojo/voyager
2021-03-25,8.0,5,0
2021-03-26,-0.8000000000000007,31,0
2021-03-27,2.6399999999999997,3,0
2021-03-28,1.4719999999999995,0,0
2021-03-29,-0.5002999999999996,3,0
2021-03-30,1.6955660000000004,3,0
2021-03-31,-0.42428359999999965,3,0
2021-04-01,0.7315751800000005,1,0
2021-04-02,-0.3052660416249997,4,0
2021-04-03,-0.21312093403749954,4,0
2021-04-04,0.8883741684531252,8,0
2021-04-05,-0.1913197086390623,3,0
2021-04-06,-0.10010184757187487,3,0
2021-04-07,-0.060798638531249935,1,0
2021-04-08,-0.04855390132187485,0,0
2021-04-09,-0.025685063015624923,0,0
2021-04-10,-0.02156086503593744,3,0
2021-04-11,23.98890630375,1,0
2021-04-12,8.590431686984374,3,2
2021-04-13,-1.188398852535939,0,0
2021-04-14,1.720999999999999,2,0
2021-04-15,-1.1543999999999985,0,0
2021-04-16,2.222410500000002,0,2
2021-04-17,0.10066495000000131,0,0
2021-04-18,0.2758649025000013,0,0
2021-04-19,15.356317566375001,0,0
2021-04-20,9.907108862215624,0,0
2021-04-21,-2.1527495296609382,0,0
2021-04-22,2.890630920917187,0,1
2021-04-23,8.839643591142188,0,0
2021-04-24,-1.7387786477968743,0,0
2021-04-25,-1.0138517668734366,0,0
2021-04-26,-0.7210604555515614,0,0
2021-04-27,-0.5657082157859357,0,0
2021-04-28,2.5369830532375013,0,0
2021-04-29,-0.5767811404312495,0,0
2021-04-30,-0.2842102145624996,1,0
2021-05-01,-0.2147785402999997,0,4
2021-05-02,-0.14597602535937457,0,0
2021-05-03,0.9516497500000002,0,2
2021-05-04,-0.13948603749999997,1,0
2021-05-05,-0.07828108874999994,3,0
2021-05-06,0.942795060953125,1,0
2021-05-07,5.8541409423921875,1,0
2021-05-08,-0.6611167500000005,0,0
2021-05-09,-0.31166201250000014,0,1
2021-05-10,-0.20275619625000002,2,0
2021-05-11,-0.14966006301562446,0,0
2021-05-12,2.881738634964063,4,0
2021-05-13,-0.39006577124999997,2,0
2021-05-14,0.7888695094843752,0,0
2021-05-15,-0.2513087306296875,0,0
2021-05-16,-0.1573806152156247,0,0
2021-05-17,-0.07685024999999987,0,0
2021-05-18,-0.06014853749999981,0,0
2021-05-19,-0.04939783874999985,0,0
2021-05-20,-0.041866951546874885,2,0
2021-05-21,-0.0362902538578124,0,1
2021-05-22,0.990431686984375,0,1
2021-05-23,1.8916011474640624,0,0
2021-05-24,-0.24500000000000022,0,2
2021-05-25,-0.11850000000000009,0,0
2021-05-26,0.9223375,0,0
2021-05-27,-0.15744174999999988,0,1
2021-05-28,-0.09039551249999989,4,0
2021-05-29,-0.06591772124999991,0,0
2021-05-30,-0.05241820551562484,0,0
2021-05-31,-0.04365222856718738,0,0
2021-06-01,-0.02995971757187492,0,0
2021-06-02,-0.011093696249999967,0,0
2021-06-03,18.990431686984376,0,0
2021-06-04,-1.9083988525359392,0,0
2021-06-05,-0.8550000000000006,0,0
2021-06-06,-0.5415000000000004,0,0
2021-06-07,-0.39258749999999853,0,0
2021-06-08,-0.30621824999999897,0,0
2021-06-09,-0.25007823749999925,0,0
2021-06-10,-0.21078022874999938,0,0
2021-06-11,-0.18179794729687454,2,0
2021-06-12,-0.1595781981828121,0,2
2021-06-13,0.0,0,0
2021-06-14,0.0,0,0
2021-06-15,0.0,0,0
2021-06-16,0.0,0,0
2021-06-17,0.0,0,0
2021-06-18,0.0,0,0
2021-06-19,0.0,0,0
2021-06-20,0.0,0,0
2021-06-21,0.0,0,0
2021-06-22,0.0,0,0
2021-06-23,0.0,0,1
2021-06-24,0.0,0,0
2021-06-25,0.0,0,0
2021-06-26,0.0,0,0
2021-06-27,0.0,0,0
2021-06-28,0.0,0,0
2021-06-29,0.0,0,0
2021-06-30,0.0,0,0
2021-07-01,0.0,0,0
2021-07-02,0.0,0,0
2021-07-03,0.0,0,0
2021-07-04,0.0,8,0
2021-07-05,1.0,1,0
2021-07-06,-0.10000000000000009,0,0
2021-07-07,-0.04500000000000003,0,0
2021-07-08,1.9715,0,1
2021-07-09,-0.2206625000000001,0,1
2021-07-10,-0.10611675000000001,0,0
2021-07-11,-0.07016201250000001,0,0
2021-07-12,-0.05241869624999981,0,0
2021-07-13,-0.04180181301562487,1,0
2021-07-14,-0.0347228775359374,0,1
2021-07-15,-0.022187392499999934,0,0
2021-07-16,-0.01913662603124995,1,0
2021-07-17,-0.016797705071874957,1,0
2021-07-18,0.0,0,0
2021-07-19,13.0,0,0
2021-07-20,-1.3000000000000012,0,0
2021-07-21,-0.5850000000000004,0,0
2021-07-22,-0.3705000000000003,0,0
2021-07-23,-0.26861249999999903,0,0
2021-07-24,1.7904822500000006,0,0
2021-07-25,-0.37110616249999967,0,0
2021-07-26,-0.23421805124999961,0,0
2021-07-27,-0.18138806920312472,0,0
2021-07-28,-0.15051008296718707,0,0
2021-07-29,-0.032233499999999894,0,0
2021-07-30,-0.02632402499999992,0,1
2021-07-31,-0.022187392499999934,0,0
2021-08-01,-0.01913662603124995,0,0
2021-08-02,-0.016797705071874957,0,0
2021-08-03,0.0,2,0
2021-08-04,0.0,0,0
2021-08-05,3.0,0,0
2021-08-06,1.6999999999999997,0,0
2021-08-07,-0.3350000000000003,0,0
2021-08-08,-0.17550000000000013,0,0
2021-08-09,-0.11898749999999982,0,1
2021-08-10,-0.08967524999999969,0,0
2021-08-11,-0.07171953749999978,0,0
2021-08-12,-0.05960511374999983,0,0
2021-08-13,-0.050892331546874864,0,0
2021-08-14,-0.044333183639062385,0,0
2021-08-15,6.983202294928125,0,0
2021-08-16,0.2999999999999994,0,0
2021-08-17,0.5849999999999997,0,0
2021-08-18,-0.34450000000000025,0,0
2021-08-19,1.7818625000000003,0,0
2021-08-20,-0.36197974999999977,0,0
2021-08-21,1.7810866625000004,0,0
2021-08-22,-0.3639346362499999,0,0
2021-08-23,-0.22255889985937466,0,0
2021-08-24,-0.16868747701718723,0,0
2021-08-25,2.914383809448438,0,0
2021-08-26,-0.36281974503593756,0,0
2021-08-27,-0.18046065103124997,0,0
2021-08-28,-0.12448509757187495,0,3
2021-08-29,17.91887587396875,0,0
2021-08-30,2.134852044928124,0,0
2021-08-31,-1.249486037500001,0,3
2021-09-01,2.2737189112499996,0,2
2021-09-02,13.185370060953126,0,0
2021-09-03,10.067051942392187,0,0
2021-09-04,-2.2168832250000006,0,0
2021-09-05,9.746677917500001,0,0
2021-09-06,2.0037703307187504,0,0
2021-09-07,-1.5975231352093735,0,0
2021-09-08,34.06195432610625,0,0
2021-09-09,12.816751663453124,0,0
2021-09-10,8.172788455173436,0,0
2021-09-11,2.5958471708093738,0,0
2021-09-12,-0.623152439181248,0,0
2021-09-13,-1.876974978171872,0,0
2021-09-14,23.625734182542192,0,0
2021-09-15,4.4799950086062506,0,0
2021-09-16,12.255546558203125,0,0
2021-09-17,5.726548909976562,0,0
2021-09-18,1.329951048201564,0,0
2021-09-19,2.0188977489750015,0,0
2021-09-20,-1.673951553746873,0,0
2021-09-21,-1.1211499613218725,0,0
2021-09-22,-0.8670883328906229,0,0
2021-09-23,-0.7184983737734354,2,0
2021-09-24,-0.42767383177187374,0,0
2021-09-25,0.6908795598203133,2,0
2021-09-26,-0.2582377098859372,0,0
2021-09-27,4.88313133779375,0,0
2021-09-28,-0.5620954101437504,0,0
2021-09-29,-0.2456625000000001,0,0
2021-09-30,5.84138325,0,0
2021-10-01,4.2835254875,1,0
2021-10-02,-0.8616774462500003,0,0
2021-10-03,-0.4713783755156251,0,0
2021-10-04,6.669657666214063,2,0
2021-10-05,-0.9478545650781248,0,0
2021-10-06,6.483449912320313,0,0
2021-10-07,-1.0318722400000004,1,0
2021-10-08,-0.5725158593437494,1,1
2021-10-09,-0.4105519302937495,0,0
2021-10-10,-0.2787658501796866,0,0
2021-10-11,2.8095268762500005,3,0
2021-10-12,4.540887721390625,0,0
2021-10-13,11.228552158498438,1,0
2021-10-14,-1.577478191109376,0,0
2021-10-15,-0.8032794677515626,0,0
2021-10-16,0.5063372500000003,0,0
2021-10-17,11.5319802125,0,0
2021-10-18,-0.5374921512500002,0,2
2021-10-19,5.089382429703125,0,0
2021-10-20,-1.2138249776859378,0,0
2021-10-21,1.2806192311328135,1,0
2021-10-22,0.30098825706875065,0,0
2021-10-23,3.500870403750001,0,0
2021-10-24,12.245444819484375,0,0
2021-10-25,0.23689062002656192,0,0
2021-10-26,-1.128812720946875,0,0
2021-10-27,8.348600494370313,0,0
2021-10-28,0.6241779797843756,2,0
2021-10-29,1.0612788777187507,2,0
2021-10-30,0.17941953441250036,0,0
2021-10-31,-0.6501766808484364,0,0
2021-11-01,0.531453378153126,1,0
2021-11-02,16.551161678501565,0,0
2021-11-03,9.059139003678125,2,0
2021-11-04,1.955757015359374,0,0
2021-11-05,11.469761796145312,0,0
2021-11-06,-2.207907277353125,0,0
2021-11-07,1.7601997194125012,0,0
2021-11-08,4.826318988714064,0,0
2021-11-09,8.588977213234376,1,3
2021-11-10,20.08924336744844,0,3
2021-11-11,7.653499616217187,0,0
2021-11-12,11.177796068792187,0,0
2021-11-13,-3.0227950168468753,1,0
2021-11-14,2.2193192532828148,7,0
2021-11-15,12.392256758453128,0,0
2021-11-16,23.47033307679844,0,0
2021-11-17,6.895445799628124,0,0
2021-11-18,7.647559754546875,0,0
2021-11-19,-3.1350799464624997,0,0
2021-11-20,6.14964868988594,0,0
2021-11-21,-0.10604989550312283,0,0
2021-11-22,3.4996309254375024,0,0
2021-11-23,-0.5960542823624984,0,0
2021-11-24,7.819527129840627,0,0
2021-11-25,47.29658873214375,0,0
2021-11-26,7.228019078932809,0,0
2021-11-27,3.9297927771046854,0,0
2021-11-28,-1.1481232091250009,0,0
2021-11-29,6.7570288099312545,0,0
2021-11-30,17.529475671100002,0,0
2021-12-01,10.366837795554689,0,0
2021-12-02,2.464030051573438,0,0
2021-12-03,1.1878528381609392,0,0
2021-12-04,-2.2783061884640596,0,0
2021-12-05,7.711012907907815,0,0
2021-12-06,24.186979537431252,0,0
2021-12-07,30.3065948777875,0,0
2021-12-08,9.60779324436406,0,0
2021-12-09,16.6218938395625,2,0
2021-12-10,28.354355651403125,0,0
2021-12-11,21.998815020221876,0,0
2021-12-12,6.78294199860625,1,0
2021-12-13,44.00177690535938,0,0
2021-12-14,20.797704078770316,4,0
2021-12-15,40.427596735284375,0,0
2021-12-16,6.682218784793749,1,0
2021-12-17,29.129974062382814,0,0
2021-12-18,-4.05079314027031,0,0
2021-12-19,27.730582688126567,0,0
2021-12-20,20.10495058104063,0,0
2021-12-21,6.1677557880171925,0,0
2021-12-22,13.44953252828594,0,0
2021-12-23,46.644993161707816,0,0
2021-12-24,-3.523499294975,0,0
2021-12-25,12.957173143362503,0,0
2021-12-26,6.828796492893753,0,0
2021-12-27,15.64684604909063,0,0
2021-12-28,25.075813626142192,0,0
2021-12-29,37.05912928357657,0,0
2021-12-30,28.308283202235934,0,0
2021-12-31,-0.9461661812453128,0,0
2022-01-01,7.6700774205531275,0,0
2022-01-02,31.376421498039065,0,0
2022-01-03,-4.704103651834371,0,0
2022-01-04,31.893729584256256,0,0
2022-01-05,22.496682420062502,0,0
