,JuliaLang/julia,python/cpython,rust-lang/rust
2022-06-16,9,11,89
2022-06-17,11,15,68
2022-06-18,3,7,71
2022-06-19,7,11,69
2022-06-20,9,7,100
2022-06-21,10,25,84
2022-06-22,7,13,105
2022-06-23,4,14,105
2022-06-24,4,13,65
2022-06-25,1,10,74
2022-06-26,2,15,94
2022-06-27,5,10,98
2022-06-28,3,13,140
2022-06-29,6,10,115
2022-06-30,16,12,165
2022-07-01,2,12,106
2022-07-02,0,4,117
2022-07-03,6,3,74
2022-07-04,3,6,84
2022-07-05,22,14,107
2022-07-06,12,5,128
2022-07-07,7,12,97
2022-07-08,7,7,125
2022-07-09,5,7,70
2022-07-10,3,3,50
2022-07-11,3,7,116
2022-07-12,10,5,65
2022-07-13,13,6,97
2022-07-14,7,11,103
2022-07-15,5,6,97
2022-07-16,5,6,68
2022-07-17,5,6,77
2022-07-18,7,15,108
2022-07-19,8,7,94
2022-07-20,10,16,171
2022-07-21,6,5,111
2022-07-22,7,15,81
2022-07-23,6,8,63
2022-07-24,4,8,109
2022-07-25,7,17,112
2022-07-26,6,17,114
2022-07-27,3,14,97
2022-07-28,1,16,115
2022-07-29,4,10,97
2022-07-30,5,6,85
2022-07-31,0,4,77
2022-08-01,3,16,85
2022-08-02,3,5,96
2022-08-03,8,10,103
2022-08-04,4,21,134
2022-08-05,3,13,65
2022-08-06,5,8,72
2022-08-07,3,0,63
2022-08-08,3,10,72
2022-08-09,7,6,111
2022-08-10,5,7,97
2022-08-11,5,14,76
2022-08-12,4,7,109
2022-08-13,2,7,61
2022-08-14,1,3,57
2022-08-15,4,8,80
2022-08-16,4,8,106
2022-08-17,11,9,88
2022-08-18,8,13,104
2022-08-19,6,12,89
2022-08-20,5,1,79
2022-08-21,1,5,117
2022-08-22,7,5,133
2022-08-23,3,10,134
2022-08-24,5,9,87
2022-08-25,3,10,67
2022-08-26,8,10,112
2022-08-27,0,7,92
2022-08-28,2,2,80
2022-08-29,14,13,87
2022-08-30,16,19,100
2022-08-31,21,5,124
2022-09-01,17,5,94
2022-09-02,12,5,87
2022-09-03,10,5,53
2022-09-04,0,8,60
2022-09-05,6,11,82
2022-09-06,19,8,75
2022-09-07,11,11,74
2022-09-08,3,9,96
2022-09-09,2,7,88
2022-09-10,1,4,72
2022-09-11,5,3,54
2022-09-12,9,2,126
2022-09-13,11,10,115
2022-09-14,16,6,103
2022-09-15,17,6,75
2022-09-16,7,4,94
2022-09-17,7,7,58
2022-09-18,3,4,46
2022-09-19,7,8,70
2022-09-20,7,8,82
2022-09-21,11,5,86
2022-09-22,7,6,103
2022-09-23,1,4,99
2022-09-24,2,3,93
2022-09-25,1,5,68
2022-09-26,5,6,101
2022-09-27,10,4,140
2022-09-28,5,8,64
2022-09-29,14,4,77
2022-09-30,12,9,82
2022-10-01,2,3,104
2022-10-02,7,6,91
2022-10-03,11,22,83
2022-10-04,9,33,65
2022-10-05,11,27,65
2022-10-06,14,19,78
2022-10-07,15,46,116
2022-10-08,6,14,60
2022-10-09,1,3,83
2022-10-10,17,10,108
2022-10-11,0,10,64
2022-10-12,6,12,74
2022-10-13,8,3,68
2022-10-14,5,1,87
2022-10-15,5,15,68
2022-10-16,4,7,70
2022-10-17,3,11,77
2022-10-18,7,12,65
2022-10-19,5,15,93
2022-10-20,8,14,104
2022-10-21,7,8,78
2022-10-22,5,7,64
2022-10-23,2,5,101
