,webpack/webpack,parcel-bundler/parcel,rollup/rollup
2017-08-05,0,2,0
2017-08-06,2,2,2
2017-08-07,19,5,1
2017-08-08,15,0,0
2017-08-09,9,3,2
2017-08-10,7,0,1
2017-08-11,22,1,50
2017-08-12,5,1,23
2017-08-13,0,4,5
2017-08-14,0,2,0
2017-08-15,1,0,0
2017-08-16,5,0,3
2017-08-17,0,0,2
2017-08-18,0,0,0
2017-08-19,0,0,2
2017-08-20,0,0,14
2017-08-21,1,0,0
2017-08-22,0,0,1
2017-08-23,3,0,1
2017-08-24,1,0,1
2017-08-25,3,0,3
2017-08-26,0,0,0
2017-08-27,1,3,4
2017-08-28,5,0,8
2017-08-29,3,0,4
2017-08-30,1,0,1
2017-08-31,1,3,5
2017-09-01,2,2,2
2017-09-02,0,4,0
2017-09-03,0,2,0
2017-09-04,6,8,0
2017-09-05,0,13,0
2017-09-06,9,0,0
2017-09-07,0,4,0
2017-09-08,3,3,7
2017-09-09,1,9,1
2017-09-10,0,0,0
2017-09-11,10,1,18
2017-09-12,1,0,0
2017-09-13,5,8,15
2017-09-14,21,0,0
2017-09-15,7,0,1
2017-09-16,1,1,10
2017-09-17,7,8,0
2017-09-18,5,9,0
2017-09-19,1,0,0
2017-09-20,1,2,0
2017-09-21,1,0,0
2017-09-22,18,0,0
2017-09-23,0,0,1
2017-09-24,0,10,0
2017-09-25,4,5,0
2017-09-26,0,0,0
2017-09-27,1,0,0
2017-09-28,0,0,1
2017-09-29,1,4,1
2017-09-30,1,1,0
2017-10-01,0,0,0
2017-10-02,0,1,0
2017-10-03,0,0,0
2017-10-04,0,0,0
2017-10-05,2,0,0
2017-10-06,1,0,1
2017-10-07,0,0,0
2017-10-08,0,4,2
2017-10-09,15,0,0
2017-10-10,7,0,0
2017-10-11,20,0,0
2017-10-12,12,0,0
2017-10-13,16,0,0
2017-10-14,1,0,0
2017-10-15,0,0,0
2017-10-16,15,0,0
2017-10-17,14,2,0
2017-10-18,4,0,0
2017-10-19,9,4,0
2017-10-20,2,0,0
2017-10-21,0,0,0
2017-10-22,0,0,0
2017-10-23,1,3,0
2017-10-24,0,0,0
2017-10-25,0,1,0
2017-10-26,0,0,0
2017-10-27,0,0,0
2017-10-28,1,0,0
2017-10-29,0,1,1
2017-10-30,1,0,0
2017-10-31,0,0,0
2017-11-01,0,0,0
2017-11-02,0,0,0
2017-11-03,2,0,1
2017-11-04,0,0,2
2017-11-05,0,2,1
2017-11-06,12,0,0
2017-11-07,5,0,0
2017-11-08,15,0,86
2017-11-09,0,0,5
2017-11-10,13,0,9
