,rails/rails,sinatra/sinatra,django/django
2015-09-08,48,0,3.0
2015-09-09,25,0,18.0
2015-09-10,8,1,8.0
2015-09-11,4,0,12.0
2015-09-12,9,4,6.0
2015-09-13,9,1,0.0
2015-09-14,15,0,7.0
2015-09-15,12,1,2.0
2015-09-16,13,1,8.0
2015-09-17,17,0,8.0
2015-09-18,35,0,10.0
2015-09-19,35,0,7.0
2015-09-20,22,1,6.0
2015-09-21,36,1,17.0
2015-09-22,24,1,6.0
2015-09-23,48,0,61.0
2015-09-24,31,0,9.0
2015-09-25,17,1,6.0
2015-09-26,25,0,8.0
2015-09-27,12,0,2.0
2015-09-28,27,0,4.0
2015-09-29,21,0,5.0
2015-09-30,8,1,2.0
2015-10-01,10,0,3.0
2015-10-02,20,0,5.0
2015-10-03,18,0,8.0
2015-10-04,17,0,0.0
2015-10-05,16,0,7.0
2015-10-06,22,0,5.0
2015-10-07,22,0,6.0
2015-10-08,23,0,1.0
2015-10-09,10,0,7.0
2015-10-10,7,0,4.0
2015-10-11,5,0,1.0
2015-10-12,15,0,8.0
2015-10-13,19,2,1.0
2015-10-14,24,0,4.0
2015-10-15,14,1,0.0
2015-10-16,21,0,2.0
2015-10-17,8,0,3.0
2015-10-18,6,0,1.0
2015-10-19,12,0,3.0
2015-10-20,52,2,7.0
2015-10-21,16,0,11.0
2015-10-22,19,0,10.0
2015-10-23,23,0,4.0
2015-10-24,7,0,6.0
2015-10-25,5,0,1.0
2015-10-26,12,0,6.0
2015-10-27,10,1,11.0
2015-10-28,15,4,8.0
2015-10-29,48,2,9.0
2015-10-30,20,0,7.0
2015-10-31,7,0,6.0
2015-11-01,8,2,1.0
2015-11-02,17,0,4.0
2015-11-03,10,0,6.0
2015-11-04,25,0,1.0
2015-11-05,19,0,3.0
2015-11-06,13,0,1.0
2015-11-07,24,0,10.0
2015-11-08,6,0,0.0
2015-11-09,34,0,5.0
2015-11-10,13,0,4.0
2015-11-11,28,0,11.0
2015-11-12,13,0,6.0
2015-11-13,10,0,9.0
2015-11-14,3,0,17.0
2015-11-15,9,0,1.0
2015-11-16,9,0,7.0
2015-11-17,8,0,7.0
2015-11-18,12,0,10.0
2015-11-19,15,0,14.0
2015-11-20,10,0,4.0
2015-11-21,6,0,4.0
2015-11-22,9,0,1.0
2015-11-23,21,0,6.0
2015-11-24,16,0,8.0
2015-11-25,5,0,8.0
2015-11-26,10,0,3.0
2015-11-27,3,0,6.0
2015-11-28,8,0,1.0
2015-11-29,5,0,0.0
2015-11-30,19,0,4.0
2015-12-01,4,0,5.0
2015-12-02,10,2,4.0
2015-12-03,10,1,7.0
2015-12-04,11,1,8.0
2015-12-05,14,0,4.0
2015-12-06,21,0,0.0
2015-12-07,9,0,5.0
2015-12-08,3,0,9.0
2015-12-09,29,0,4.0
2015-12-10,7,0,8.0
2015-12-11,15,0,4.0
2015-12-12,5,0,7.0
2015-12-13,22,0,2.0
2015-12-14,30,0,6.0
2015-12-15,44,0,5.0
2015-12-16,74,1,0.0
2015-12-17,81,0,4.0
2015-12-18,68,0,7.0
2015-12-19,23,0,3.0
2015-12-20,13,0,0.0
2015-12-21,38,0,6.0
2015-12-22,41,0,5.0
2015-12-23,33,0,10.0
2015-12-24,10,0,7.0
2015-12-25,7,1,1.0
2015-12-26,0,0,3.0
2015-12-27,10,0,0.0
2015-12-28,5,1,4.0
2015-12-29,14,0,4.0
2015-12-30,24,3,8.0
2015-12-31,21,4,8.0
2016-01-01,15,2,0.0
2016-01-02,11,0,7.0
2016-01-03,7,0,2.0
2016-01-04,14,0,3.0
2016-01-05,16,0,6.0
2016-01-06,31,0,6.0
2016-01-07,16,2,15.0
2016-01-08,21,0,11.0
2016-01-09,23,0,5.0
2016-01-10,11,0,1.0
2016-01-11,14,0,9.0
2016-01-12,16,0,3.0
2016-01-13,8,0,4.0
2016-01-14,18,0,5.0
2016-01-15,13,0,3.0
2016-01-16,12,0,0.0
2016-01-17,12,2,0.0
2016-01-18,32,2,1.0
2016-01-19,30,4,3.0
2016-01-20,18,1,2.0
2016-01-21,18,16,5.0
2016-01-22,30,3,10.0
2016-01-23,10,0,12.0
2016-01-24,31,17,1.0
2016-01-25,12,0,9.0
2016-01-26,6,1,5.0
2016-01-27,30,0,2.0
2016-01-28,35,0,11.0
2016-01-29,32,0,9.0
2016-01-30,41,0,3.0
2016-01-31,30,6,0.0
2016-02-01,53,3,11.0
2016-02-02,23,6,6.0
2016-02-03,29,1,2.0
2016-02-04,29,0,6.0
2016-02-05,25,0,5.0
2016-02-06,21,0,4.0
2016-02-07,23,0,0.0
2016-02-08,21,0,7.0
2016-02-09,13,0,5.0
2016-02-10,28,2,2.0
2016-02-11,23,0,13.0
2016-02-12,37,0,6.0
2016-02-13,15,0,1.0
2016-02-14,15,0,0.0
2016-02-15,22,0,6.0
2016-02-16,30,0,4.0
2016-02-17,33,0,7.0
2016-02-18,30,0,3.0
2016-02-19,21,0,7.0
2016-02-20,15,0,1.0
2016-02-21,13,0,0.0
2016-02-22,20,0,5.0
2016-02-23,46,0,10.0
2016-02-24,75,4,5.0
2016-02-25,27,1,8.0
2016-02-26,26,0,13.0
2016-02-27,21,0,3.0
2016-02-28,20,0,2.0
2016-02-29,26,0,2.0
2016-03-01,36,0,11.0
2016-03-02,27,0,9.0
2016-03-03,23,0,7.0
2016-03-04,38,0,5.0
2016-03-05,17,0,9.0
2016-03-06,16,0,1.0
2016-03-07,19,0,3.0
2016-03-08,16,0,10.0
2016-03-09,20,0,6.0
2016-03-10,17,0,4.0
2016-03-11,24,0,2.0
2016-03-12,16,0,6.0
2016-03-13,5,0,1.0
2016-03-14,9,0,8.0
2016-03-15,7,0,8.0
2016-03-16,12,0,1.0
2016-03-17,6,0,2.0
2016-03-18,8,0,4.0
2016-03-19,2,0,4.0
2016-03-20,2,0,0.0
2016-03-21,11,0,6.0
2016-03-22,17,0,4.0
2016-03-23,10,0,9.0
2016-03-24,19,0,2.0
2016-03-25,9,0,6.0
2016-03-26,9,0,1.0
2016-03-27,10,0,1.0
2016-03-28,6,0,6.0
2016-03-29,10,0,10.0
2016-03-30,32,0,3.0
2016-03-31,17,0,5.0
2016-04-01,3,0,3.0
2016-04-02,10,0,7.0
2016-04-03,10,0,8.0
2016-04-04,7,0,9.0
2016-04-05,26,0,3.0
2016-04-06,16,0,8.0
2016-04-07,6,0,5.0
2016-04-08,13,0,6.0
2016-04-09,6,0,8.0
2016-04-10,17,0,1.0
2016-04-11,22,6,2.0
2016-04-12,20,2,5.0
2016-04-13,17,0,5.0
2016-04-14,12,4,1.0
2016-04-15,14,2,4.0
2016-04-16,8,1,8.0
2016-04-17,13,0,1.0
2016-04-18,28,1,3.0
2016-04-19,38,0,7.0
2016-04-20,25,0,4.0
2016-04-21,28,1,8.0
2016-04-22,11,1,10.0
2016-04-23,20,0,4.0
2016-04-24,32,0,1.0
2016-04-25,8,0,5.0
2016-04-26,9,1,4.0
2016-04-27,11,0,8.0
2016-04-28,16,1,5.0
2016-04-29,17,0,8.0
2016-04-30,11,0,6.0
2016-05-01,8,0,1.0
2016-05-02,7,0,7.0
2016-05-03,14,13,10.0
2016-05-04,12,6,5.0
2016-05-05,32,2,0.0
2016-05-06,30,1,7.0
2016-05-07,9,0,9.0
2016-05-08,9,1,6.0
2016-05-09,12,14,2.0
2016-05-10,25,9,5.0
2016-05-11,22,1,5.0
2016-05-12,7,0,3.0
2016-05-13,6,1,14.0
2016-05-14,9,0,6.0
2016-05-15,8,0,2.0
2016-05-16,17,6,9.0
2016-05-17,9,3,8.0
2016-05-18,7,0,8.0
2016-05-19,6,1,7.0
2016-05-20,5,0,6.0
2016-05-21,31,0,4.0
2016-05-22,2,0,0.0
2016-05-23,7,2,1.0
2016-05-24,20,0,1.0
2016-05-25,9,0,2.0
2016-05-26,4,0,1.0
2016-05-27,16,0,7.0
2016-05-28,15,0,5.0
2016-05-29,15,1,3.0
2016-05-30,8,1,6.0
2016-05-31,22,0,8.0
2016-06-01,5,0,7.0
2016-06-02,13,0,10.0
2016-06-03,9,0,12.0
2016-06-04,15,1,12.0
2016-06-05,4,1,1.0
2016-06-06,11,0,10.0
2016-06-07,19,0,6.0
2016-06-08,10,0,5.0
2016-06-09,13,0,8.0
2016-06-10,16,0,4.0
2016-06-11,11,0,1.0
2016-06-12,7,0,3.0
2016-06-13,16,0,6.0
2016-06-14,9,0,3.0
2016-06-15,11,0,2.0
2016-06-16,8,0,4.0
2016-06-17,7,0,4.0
2016-06-18,0,0,8.0
2016-06-19,3,0,1.0
2016-06-20,9,0,5.0
2016-06-21,13,1,9.0
2016-06-22,9,1,4.0
