,elastic/kibana,grafana/grafana,getsentry/sentry
2021-06-22,60,10,33.0
2021-06-23,62,15,20.800000000000004
2021-06-24,69,13,7.440000000000005
2021-06-25,10,6,-2.1919999999999984
2021-06-26,1,1,-12.148800000000001
2021-06-27,1,2,-5.6828160000000025
2021-06-28,59,13,17.2878464
2021-06-29,81,12,19.881822720000002
2021-06-30,86,12,30.961854464000005
2021-07-01,48,17,4.017617817600005
2021-07-02,3,13,-1.6888179711999953
2021-07-03,1,0,-17.122725887999998
2021-07-04,0,1,-7.906713395200002
2021-07-05,17,14,7.936663039999997
2021-07-06,46,13,29.079449088
2021-07-07,42,24,14.331688755200005
2021-07-08,51,15,6.873402163200005
2021-07-09,41,14,15.3108059136
2021-07-10,4,2,-20.193234943999997
2021-07-11,0,2,-9.899060736000003
2021-07-12,33,19,36.22541312
2021-07-13,43,20,13.101489663999999
2021-07-14,39,19,24.2186182656
2021-07-15,36,17,10.452384153600004
2021-07-16,35,18,-4.191593267199998
2021-07-17,1,2,-19.901923430399997
2021-07-18,2,0,-9.446669312000001
2021-07-19,31,17,28.0554993664
2021-07-20,38,16,17.029177856
2021-07-21,34,27,18.4905918464
2021-07-22,43,23,15.288428236800005
2021-07-23,4,11,4.9768154112000005
2021-07-24,0,1,-22.0541236224
2021-07-25,2,0,-10.454628249600002
2021-07-26,41,18,8.605608959999998
2021-07-27,38,10,17.371528192
2021-07-28,48,5,11.410950348800004
2021-07-29,41,22,14.949202432000003
2021-07-30,33,13,2.3133946880000025
2021-07-31,1,0,-17.566203903999998
2021-08-01,0,0,-7.631802572800002
2021-08-02,40,9,13.385217843199998
2021-08-03,46,13,13.47010304
2021-08-04,26,26,8.662610432000001
2021-08-05,29,15,9.850909593600003
2021-08-06,5,10,16.6741902336
2021-08-07,1,0,-17.9804565504
2021-08-08,0,0,-8.743343206400002
2021-08-09,32,15,-0.9626828800000018
2021-08-10,56,16,-4.091449856000002
2021-08-11,46,11,-1.5423227904000005
2021-08-12,45,12,-2.1086907392
2021-08-13,47,18,-2.1958052863999997
2021-08-14,9,2,-0.2662415359999999
2021-08-15,4,2,1.8783446016
2021-08-16,61,11,-1.5435457535999997
2021-08-17,78,20,14.421128192
2021-08-18,44,23,10.640347340800002
2021-08-19,44,20,6.183767859200001
2021-08-20,36,11,-0.15357122559999858
2021-08-21,2,0,-7.2120583168
2021-08-22,4,0,-3.266747392000001
2021-08-23,48,21,13.888102707199998
2021-08-24,47,19,9.071992729600002
2021-08-25,47,15,13.1263488
2021-08-26,55,15,18.804153344000003
2021-08-27,15,23,2.0761606144000027
2021-08-28,0,1,-14.82680576
